LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA13550,21,31,70,48,39,45,16,3,0,271,15,17,56,41,29,30,18,4,0,204,350,501,1326,1193,1027,1028,385,72,10,5873
LGA13660,0,3,11,8,12,3,8,0,0,49,0,3,13,10,14,16,3,6,0,71,81,122,272,357,424,440,190,62,11,1952
LGA13800,112,169,376,342,337,257,71,12,0,1664,80,173,320,342,325,251,106,22,10,1611,2187,3241,6924,6330,7248,5664,1547,213,19,33364
LGA13850,3,10,3,3,6,10,3,0,0,45,4,8,14,16,14,18,6,0,0,83,60,115,225,178,246,327,102,27,0,1286
LGA13910,28,32,64,51,63,43,20,0,0,302,35,38,76,64,71,64,30,21,0,387,521,630,1418,1461,1630,1621,616,133,17,8050
LGA14000,104,215,343,478,566,434,117,22,0,2282,73,210,536,800,672,474,143,41,12,2966,3410,6163,11647,18466,18142,12769,3650,518,42,74803
LGA14100,6,17,23,21,40,40,11,4,0,168,17,21,45,46,68,46,26,4,0,279,307,509,807,1235,1625,1124,488,110,15,6220
LGA14170,70,222,840,714,631,426,146,13,0,3063,53,307,1236,985,747,402,159,31,3,3906,2342,7892,28887,25368,20772,12832,3687,400,27,102207
LGA14220,22,31,66,45,52,43,20,3,0,289,18,37,56,54,40,47,33,14,5,306,490,590,1278,1277,1474,1338,464,132,20,7070
LGA14300,3,8,10,14,11,14,4,0,0,71,9,11,15,10,19,21,3,0,0,82,151,202,462,462,516,489,187,37,7,2514
LGA14350,20,29,71,67,71,70,28,3,0,359,31,34,62,81,108,93,38,17,0,458,701,820,1757,1873,2255,2405,717,121,14,10665
LGA14400,20,29,45,51,66,61,16,3,0,296,19,27,51,60,73,56,14,7,0,300,714,731,1623,2110,2255,2075,610,83,10,10213
LGA14500,62,144,234,267,326,254,105,18,3,1409,82,151,342,630,658,374,141,41,7,2426,2685,5063,7613,13397,15132,10308,3598,726,66,58583
LGA14550,10,7,28,22,25,13,10,0,0,106,14,13,19,26,35,43,12,16,0,184,209,196,448,568,743,908,370,62,13,3518
LGA14600,11,10,17,10,10,22,6,0,0,89,5,10,25,26,21,20,15,9,0,137,107,170,481,480,483,487,239,66,12,2526
LGA14650,271,452,862,798,858,579,187,36,4,4042,176,336,715,792,741,511,148,34,13,3468,6610,8805,19257,21020,21316,16179,3747,437,27,97411
LGA14700,19,50,158,156,121,85,31,5,0,624,20,51,231,246,142,108,38,9,0,836,637,1485,5509,5788,4362,2810,1055,184,10,21836
LGA14750,23,24,49,33,37,26,10,4,0,207,21,28,54,42,32,35,10,3,0,224,393,454,992,926,1021,964,270,43,5,5073
LGA14850,47,63,174,141,194,147,51,8,0,813,55,63,133,160,171,140,54,19,0,806,1344,1517,3437,3869,4370,4034,1274,178,25,20045
LGA14870,29,46,60,52,55,56,21,9,0,318,19,31,61,48,69,65,20,8,0,320,491,710,1560,1478,1793,1725,461,94,5,8304
LGA14900,114,273,691,673,630,420,103,13,0,2911,207,494,1204,1237,1048,742,137,18,8,5091,4460,9572,20881,21285,18508,12428,2592,211,21,89955
LGA14920,3,17,15,12,22,21,11,0,0,113,11,11,19,18,36,30,13,11,0,144,172,206,472,576,666,625,278,55,3,3044
LGA14950,0,3,9,3,13,4,0,0,0,37,4,5,9,9,12,3,5,0,0,51,81,100,186,235,291,339,133,44,6,1410
LGA15050,134,236,520,381,306,214,53,3,0,1845,89,202,425,367,289,206,53,16,0,1649,2975,4157,10327,9699,8616,6049,1314,133,19,43280
LGA15240,64,91,215,242,300,252,89,4,0,1267,104,113,213,256,319,305,138,40,15,1499,2284,2271,5211,5899,7582,7815,2509,400,43,34019
LGA15270,30,43,121,74,85,75,29,5,0,453,22,29,82,67,81,64,25,21,4,397,698,801,2258,2292,2461,2072,661,154,23,11426
LGA15300,12,33,52,38,48,28,13,0,0,222,17,16,49,36,43,59,21,10,0,240,255,445,1089,918,1015,990,385,85,12,5199
LGA15350,15,34,59,63,72,46,35,4,0,328,5,40,117,137,136,98,44,23,3,602,472,979,2514,2994,3302,2495,1081,293,26,14153
LGA15520,20,15,30,35,31,30,12,0,0,165,17,14,33,33,50,54,26,4,0,239,346,339,917,1032,1239,1214,454,94,11,5646
LGA15560,4,7,14,10,13,8,0,0,0,48,3,3,12,10,9,8,6,0,4,53,75,118,307,274,326,393,125,27,9,1644
LGA15650,26,36,84,60,55,34,8,0,0,302,17,32,68,42,43,34,19,12,0,272,494,628,1640,1533,1542,1157,296,63,4,7359
LGA15700,26,18,47,42,42,52,22,4,0,252,25,16,56,59,82,76,26,10,3,352,474,437,1071,1225,1568,1682,519,105,12,7085
LGA15750,20,23,49,51,31,52,12,0,0,235,20,25,49,37,63,52,17,12,0,275,337,487,1164,1076,1105,1128,406,64,14,5782
LGA15800,6,10,16,15,22,14,6,0,0,92,6,7,6,20,14,12,8,3,0,73,116,147,379,449,484,530,184,33,13,2334
LGA15850,9,9,27,17,14,20,7,0,0,101,12,12,19,14,22,26,14,6,0,132,145,196,504,476,511,545,231,47,4,2647
LGA15900,147,364,738,570,520,367,114,17,0,2833,134,374,754,568,517,359,97,28,6,2836,5057,10678,21785,17783,16105,11581,2728,328,25,86062
LGA15950,20,64,282,210,177,133,37,13,0,940,13,100,544,436,266,196,87,22,3,1663,630,2628,12780,10465,7119,4946,2132,459,27,41183
LGA15990,253,424,987,923,1009,763,235,42,0,4633,237,447,1295,1570,1526,990,276,89,16,6445,6969,10720,24201,29925,33393,22782,7017,1130,89,136223
LGA16100,5,8,12,12,11,13,3,0,0,63,11,14,11,26,31,35,15,14,0,164,132,172,373,418,535,506,258,57,0,2452
LGA16150,52,84,211,178,156,109,35,3,0,837,51,69,157,112,125,83,35,7,0,647,1332,1710,4741,4406,4034,3109,970,136,11,20446
LGA16200,28,29,62,37,40,35,16,3,0,253,22,18,55,33,39,30,14,4,7,228,415,562,1226,1142,1247,1138,366,76,16,6197
LGA16260,67,278,824,815,696,559,138,15,3,3400,100,532,2020,1816,927,655,162,38,5,6259,3275,10770,36095,33774,20829,14106,3754,405,31,123037
LGA16350,212,408,960,808,693,500,139,7,0,3734,230,514,1212,1147,1026,687,195,32,7,5051,5744,10282,24208,23952,19858,14371,3372,279,21,102094
LGA16380,77,139,271,298,326,277,73,0,0,1471,87,113,189,186,251,210,65,35,13,1156,2679,2813,5817,6870,8137,6997,1978,273,32,35597
LGA16400,83,125,260,255,274,258,72,5,0,1344,74,113,230,229,287,208,71,25,9,1250,2225,2609,5275,6095,7015,6044,1506,205,13,30986
LGA16490,76,146,278,246,236,171,56,13,0,1207,67,113,296,267,248,165,46,9,6,1224,1852,2823,7782,7762,7750,5282,1356,166,20,34789
LGA16550,58,170,571,453,392,287,78,17,5,2029,67,258,917,738,532,311,135,32,3,2994,2133,5853,19102,16281,13583,9008,2711,367,30,69077
LGA16610,32,43,76,50,62,61,12,3,0,339,35,40,74,79,81,74,34,21,5,434,641,827,1589,1637,1924,1809,567,116,20,9119
LGA16700,49,164,449,438,400,332,83,13,0,1928,43,218,944,830,484,368,109,15,4,3018,1935,5654,18547,16748,11638,8422,2351,246,20,65564
LGA16900,77,161,323,268,279,184,54,0,0,1354,70,120,331,241,234,176,55,13,0,1247,2354,3333,7532,7414,7372,5355,1071,76,8,34522
LGA16950,86,145,366,319,322,278,90,12,0,1618,122,128,303,284,348,287,98,31,11,1613,2770,3322,8003,8190,8855,8449,2368,313,29,42293
LGA17000,50,68,146,92,112,55,13,0,0,530,45,59,81,100,93,51,21,7,0,467,1000,1187,2512,2429,2595,1832,463,76,5,12105
LGA17040,23,31,81,54,66,47,21,4,0,329,29,39,99,74,74,73,26,12,5,438,663,900,2190,1918,2371,2122,715,169,16,11068
LGA17080,17,23,40,26,38,34,16,0,0,194,14,30,50,54,73,59,26,7,3,309,400,476,1065,1235,1365,1401,502,93,13,6549
LGA17100,10,53,149,127,88,86,25,6,0,549,18,173,508,306,147,123,24,6,0,1320,499,2887,7912,4841,3174,2558,790,129,21,22795
LGA17150,258,397,949,886,938,726,195,37,0,4390,172,351,915,1027,968,679,250,58,19,4436,6426,10348,22352,25972,26663,19374,5543,699,64,117444
LGA17200,43,277,1175,806,488,301,89,11,0,3200,70,653,2660,1392,642,411,116,33,5,5981,1758,12172,51616,30711,16456,10325,3319,482,40,126888
LGA17310,93,112,257,239,209,189,66,4,3,1173,92,101,224,178,201,151,64,33,11,1059,2090,2309,6061,5708,5742,4847,1616,248,24,28644
LGA17350,11,9,24,21,18,14,6,0,0,106,16,7,9,14,14,17,4,7,0,91,194,209,406,455,551,561,259,41,3,2685
LGA17400,11,4,8,18,13,11,3,5,0,73,19,5,14,16,23,40,17,6,3,134,138,132,308,349,501,601,311,75,9,2431
LGA17420,174,333,524,618,709,451,193,30,0,3034,126,314,729,1208,979,583,221,46,3,4218,4935,8496,15653,25614,22383,14251,4523,582,36,96477
LGA17550,81,141,303,366,320,259,83,8,0,1572,131,145,366,408,361,310,123,40,10,1891,2750,3008,6607,8490,9045,8122,2353,271,38,40678
LGA17620,17,30,62,48,31,38,8,4,0,239,18,26,43,39,49,47,16,8,8,239,403,521,1299,1389,1364,1214,480,100,21,6784
LGA17640,6,18,23,25,30,27,14,0,0,141,18,10,19,31,32,24,20,10,0,153,193,245,540,675,869,934,404,124,12,3997
LGA17650,8,9,11,14,22,16,3,0,0,85,11,5,16,13,18,19,0,0,4,91,155,166,410,487,616,581,209,45,8,2688
LGA17750,90,190,338,281,222,218,70,19,3,1427,74,162,298,265,210,175,60,31,8,1283,2588,3729,7627,6654,5994,4944,1500,221,24,33283
LGA17850,3,0,4,10,4,4,3,0,0,31,7,0,0,7,8,15,5,7,0,49,63,77,206,211,269,304,189,55,0,1379
LGA17900,3,4,3,11,8,7,3,0,0,36,4,4,13,5,4,9,13,0,0,52,61,114,334,280,318,355,169,33,3,1668
LGA17950,3,3,0,5,12,3,0,0,0,23,3,4,9,5,10,10,8,5,3,45,57,80,200,181,226,261,70,32,4,1106
LGA18020,9,10,12,8,24,8,10,4,0,92,8,7,14,30,25,33,16,4,3,143,163,184,563,555,705,772,338,103,18,3401
LGA18050,27,75,391,239,187,108,42,7,0,1065,43,117,838,534,326,166,46,29,7,2104,795,2283,13018,9348,6972,4076,1458,254,26,38229
LGA18100,3,4,6,10,4,14,0,0,0,42,0,0,11,5,12,15,8,5,0,48,91,78,222,259,308,329,154,42,3,1487
LGA18200,5,10,24,23,26,21,7,0,0,115,20,9,22,34,29,26,5,3,0,146,180,228,546,595,692,669,220,46,5,3174
LGA18250,33,77,187,257,196,161,52,5,0,974,33,108,344,465,343,215,69,21,5,1595,1153,2725,7495,10239,8405,5184,1801,267,30,37312
LGA18350,67,93,175,180,189,170,48,9,6,943,84,58,137,149,224,197,100,30,5,993,1499,1686,3812,4340,5416,4761,1998,411,32,23960
LGA18400,96,117,240,257,271,146,39,0,0,1168,76,118,224,239,284,206,54,13,0,1221,1878,2520,5223,5594,5937,4151,1100,126,6,26528
LGA18450,223,467,843,717,708,577,125,20,0,3676,146,412,845,760,682,515,116,31,7,3512,5681,10854,21809,20897,20337,14812,3270,340,28,98020
LGA18500,21,42,164,124,106,107,51,10,0,625,22,102,369,324,306,197,107,51,14,1492,613,2069,7138,5851,5327,4152,2328,675,78,28230
LGA18710,30,30,54,70,70,43,14,6,0,314,20,23,44,58,57,30,23,0,4,266,625,603,1353,1886,2302,1536,555,129,16,9001
LGA19399,0,0,0,3,0,0,0,0,0,6,0,0,5,5,6,4,0,0,0,17,16,24,89,122,119,118,64,15,3,556
LGA19499,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
