LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA10050,153,199,122,178,160,55,31,30,9,942,296,273,196,520,312,126,93,80,37,1946,769,314,2320,1063,830,424,487,565,97,6877,34,14,39,75,82,62,31,48,3,390,54,33,32,98,120,54,33,48,10,478,18,22,14,19,14,12,16,14,0,119,40,45,37,60,31,31,29,63,49,385,2344,4979,2968,2598,2115,953,847,1018,256,18080
LGA10180,112,104,30,74,67,20,6,25,6,441,121,112,62,181,128,42,15,58,12,731,383,127,768,346,299,160,143,280,26,2530,29,14,18,45,37,38,14,43,5,245,49,17,14,34,58,33,17,29,6,251,9,19,5,3,18,4,0,8,0,75,35,21,20,15,32,10,9,32,27,206,1481,2939,1099,1111,996,403,247,681,120,9071
LGA10250,187,213,72,161,146,47,20,40,15,902,245,234,148,396,218,121,17,80,16,1472,602,236,1685,725,551,355,278,446,57,4932,39,12,24,39,49,55,5,48,0,279,59,49,40,90,100,52,29,41,5,466,21,28,11,17,17,11,3,13,4,119,52,60,34,61,43,33,20,47,54,398,2181,4445,2231,2020,1604,825,412,856,196,14769
LGA10300,9,0,0,10,0,0,0,3,0,27,12,4,8,18,5,0,5,6,0,53,50,10,53,25,25,6,27,25,0,228,6,0,0,0,6,3,0,0,0,19,5,0,0,0,0,3,4,4,0,10,0,0,0,0,0,0,0,3,0,4,4,0,3,0,0,0,0,9,0,22,116,80,69,60,48,10,43,60,4,485
LGA10470,122,167,67,140,122,37,10,35,5,705,186,204,144,374,233,81,43,44,9,1321,623,233,1792,905,618,313,425,513,91,5520,31,26,33,49,79,50,25,56,4,353,57,26,36,87,107,44,25,41,7,436,7,19,10,17,23,15,5,16,0,101,33,25,35,50,33,23,22,44,34,301,1845,3649,2293,2094,1647,700,626,871,206,13931
LGA10500,679,703,526,499,706,337,209,314,68,4044,944,934,789,1128,1134,659,299,481,111,6474,1124,589,3737,1277,1314,603,754,834,190,10426,88,43,68,106,190,110,50,82,13,747,196,145,155,190,468,190,108,158,34,1644,100,171,80,82,128,87,42,94,18,795,127,252,160,144,206,112,101,169,248,1523,9290,21342,7491,6131,8805,4318,2564,3723,1257,64931
LGA10550,121,134,46,125,82,31,19,37,4,607,148,132,76,245,145,60,14,63,10,890,549,162,1368,621,376,270,269,498,64,4171,23,15,22,35,53,37,19,43,5,247,39,19,28,63,50,34,24,50,0,306,3,30,14,3,11,8,4,5,4,74,37,31,30,23,32,28,30,47,30,286,1457,2466,1723,1436,1033,574,401,850,148,10083
LGA10600,54,67,12,54,32,8,8,13,4,262,64,67,19,98,59,30,8,17,3,364,194,59,432,191,123,79,96,157,16,1340,12,0,11,14,16,12,0,7,0,76,12,12,5,16,27,14,7,13,0,110,4,5,6,4,3,0,4,4,0,33,18,16,21,21,12,6,11,12,14,127,567,1205,570,531,385,187,131,262,49,3884
LGA10650,41,16,8,24,22,3,3,7,0,126,43,28,20,48,31,14,3,11,0,184,161,21,280,156,82,38,102,121,14,979,12,4,4,3,16,7,3,10,0,65,9,0,5,13,15,11,3,11,0,63,5,5,4,0,3,0,0,4,0,18,18,10,4,9,8,5,6,16,6,91,420,396,335,296,225,83,129,198,28,2118
LGA10750,942,1161,792,894,1163,386,706,397,93,6536,1645,1825,1252,2500,2328,913,1214,733,232,12640,2486,1396,8059,3620,3521,1484,2858,2085,444,25957,161,103,152,223,518,220,250,241,24,1888,322,268,274,461,732,283,410,349,47,3147,154,385,123,161,238,110,190,130,42,1527,234,427,219,316,378,180,361,289,554,2962,15583,39003,14484,13509,18747,6518,9318,6559,2468,126197
