LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA18050,491,341,1381,14623,17453,5863,3259,12532,4053,57794
LGA18100,69,12,143,527,772,401,378,727,245,3050
LGA18200,80,17,136,1049,1427,818,602,1342,805,6027
LGA18250,949,184,1954,12928,18328,8299,5172,14203,2402,61331
LGA18350,705,314,1764,8205,12860,6934,4772,8602,2531,43908
LGA18400,277,194,766,8198,11703,6004,5064,8968,2288,42243
LGA18450,2716,874,5754,34902,49353,23330,16529,43607,9135,176857
LGA18500,616,420,1724,11608,14328,5134,2966,8835,2672,45542
LGA18710,185,39,338,2892,4497,2083,1357,2293,741,13862
LGA19399,11,4,20,172,224,123,93,150,74,840
LGA19499,23,19,49,1561,1512,614,402,2643,3376,10112
LGA19799,0,0,0,0,0,0,0,0,0,0
