LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA10050,10571,6809,7316,6881,6711,6839,6036,3539,1385,56093
LGA10180,5240,4661,3750,3182,3208,3574,2885,1918,713,29124
LGA10250,7539,4306,4262,5248,5901,6505,6722,3968,1834,46296
LGA10300,434,220,274,212,289,333,289,117,47,2208
LGA10470,8175,5785,5680,5124,5383,5338,4497,2528,1052,43567
LGA10500,26491,21488,36536,26551,20624,17495,13485,8707,3802,175184
LGA10550,5428,3044,3033,3344,4348,6337,6219,3104,1089,35942
LGA10600,2220,1104,1044,1300,1770,2263,2110,1054,395,13253
LGA10650,1332,730,732,793,968,1277,1595,899,334,8665
LGA10750,90124,50801,59261,67391,47563,37873,27022,12432,4304,396776
LGA10800,1088,542,582,627,642,791,681,411,176,5547
LGA10850,1524,776,794,777,1009,1106,877,477,165,7497
LGA10900,13628,8087,7126,9583,10957,11205,10517,5258,1763,78121
LGA10950,482,292,320,224,336,321,225,208,71,2467
LGA11150,515,260,311,273,303,315,211,106,34,2340
LGA11200,277,161,205,127,169,209,132,51,17,1356
LGA11250,2999,1874,2182,1883,2010,2570,2214,1272,590,17588
LGA11300,4802,6830,8805,5002,4503,4109,3028,1960,1177,40217
LGA11350,5812,3183,4871,5150,5197,5197,4488,1634,584,36116
LGA11400,2792,1499,1139,1539,1832,1987,1677,960,331,13766
LGA11450,30093,14488,19454,18834,14279,10328,7203,3432,1220,119325
LGA11500,38859,22208,25608,26597,20283,19501,14817,6689,1953,176519
LGA11520,14101,9496,14886,13677,11738,10252,8074,4743,2219,89177
LGA11570,73477,47782,55449,51070,45671,41923,29760,17504,8374,371006
LGA11600,567,298,472,337,371,390,251,126,56,2866
LGA11650,62348,38764,38119,41358,44183,44882,40693,25702,10545,346596
LGA11700,302,208,217,182,225,240,222,105,22,1725
LGA11720,12833,7585,9106,7898,7749,7635,6577,3083,1167,63632
LGA11730,8656,5098,5203,5404,6516,8407,8356,4719,1757,54115
LGA11750,831,458,592,508,444,552,390,211,75,4059
LGA11800,13964,8105,8788,9273,9821,10579,10183,5726,2320,78759
LGA12000,866,475,439,438,533,599,565,335,135,4385
LGA12150,811,390,460,395,435,511,404,240,85,3732
LGA12160,1982,1128,999,1096,1303,1674,1763,1086,382,11403
LGA12350,2155,1372,1285,1203,1560,1763,1869,1105,411,12724
LGA12380,46888,31305,43631,36083,25996,23165,16129,8806,3442,235439
LGA12390,11507,6236,8321,6671,6273,6424,5169,3131,1186,54922
LGA12700,1772,915,864,1120,1242,1529,1254,658,184,9541
LGA12730,1486,876,868,846,1022,1262,1136,676,286,8456
LGA12750,5617,3238,3172,3547,4767,6929,7823,4000,1498,40593
LGA12850,37247,29122,27047,24959,27188,27942,20373,10159,4440,208475
LGA12870,2021,1189,1135,1153,1525,1956,2169,1284,468,12899
LGA12900,1850,1023,1003,1003,1074,1217,1126,748,284,9319
LGA12930,24266,19595,23667,20681,19057,18651,13895,8224,4229,152274
LGA12950,818,379,444,435,531,650,555,353,129,4295
LGA13010,1367,854,849,840,1074,1416,1375,855,303,8931
LGA13310,5784,3474,4097,3740,3987,4284,3744,2121,825,32053
LGA13340,2250,1228,934,1253,1376,1669,1486,743,229,11157
LGA13450,5257,3270,4019,3396,3433,3221,2369,1431,689,27086
LGA13550,2895,1371,1747,1509,1394,1575,1264,851,332,12929
LGA13660,868,382,393,501,616,758,742,477,173,4910
LGA13800,12849,8641,8834,7916,9184,8650,6361,3560,1215,67207
LGA13850,463,312,314,259,333,522,331,255,90,2882
LGA13910,3642,1999,1969,1979,2293,2747,2587,1504,541,19254
LGA14000,28859,18119,14405,22239,22004,18731,14233,8902,4327,151811
LGA14100,2319,1725,996,1537,2017,1714,1498,1009,734,13559
LGA14170,26701,18706,35238,30530,26101,19845,14219,7906,3569,182818
LGA14220,3420,2028,1971,1832,2171,2366,2170,1424,471,17853
LGA14300,1051,693,890,840,844,868,719,391,125,6415
LGA14350,5071,3148,3062,3017,3570,4773,4743,2444,863,30688
LGA14400,3795,2236,1992,2485,2763,3436,3597,1988,777,23074
LGA14500,24148,16091,9330,16439,18833,15230,11713,8150,4138,124076
LGA14550,1483,793,710,907,1167,1811,1588,675,228,9359
LGA14600,1298,579,710,678,706,818,687,412,199,6094
LGA14650,38759,23988,24165,25799,26769,27279,25149,15618,6305,213845
LGA14700,7182,3980,6440,6953,5239,3990,3110,1824,725,39438
LGA14750,2419,1535,1366,1258,1385,1447,1065,710,284,11452
LGA14850,7580,4940,4751,5196,5986,6638,5537,2620,1081,44334
LGA14870,3412,2116,2273,2144,2613,3171,2910,1666,534,20842
LGA14900,51573,32697,33456,33975,29602,25169,15987,8048,2943,233446
LGA14920,1334,771,703,786,961,1136,1073,600,189,7551
LGA14950,690,338,265,309,389,527,433,248,125,3319
LGA15050,19266,11041,12943,12042,10990,9936,8181,4334,1494,90226
LGA15240,14067,8120,7601,8382,10914,15414,17646,10533,3884,96579
LGA15270,5114,2523,2945,2981,3329,3497,2935,1782,598,25713
LGA15300,2621,1474,1699,1508,1607,1723,1238,690,199,12751
LGA15350,4611,2963,2935,3649,4238,3727,3073,2216,916,28329
LGA15520,2167,1095,1194,1277,1533,1926,2034,1223,401,12850
LGA15560,568,342,406,353,418,545,436,214,76,3353
LGA15650,3462,1928,2309,2112,2116,1977,1451,746,256,16357
LGA15700,3214,1775,1675,1828,2313,3461,3471,1953,713,20407
LGA15750,2542,1403,1564,1388,1552,1822,1345,787,303,12703
LGA15800,1143,568,549,616,667,822,687,437,203,5698
LGA15850,1345,674,712,687,703,854,749,473,173,6360
LGA15900,27360,24150,26941,21852,20660,19267,15262,8967,4421,168873
LGA15950,8724,5505,14656,12343,8800,7436,6417,3848,1226,68950
LGA15990,48729,30004,28875,35504,40004,32479,24219,16501,7243,263554
LGA16100,959,522,539,609,742,828,846,429,107,5580
LGA16150,9377,5071,5893,5464,5108,4776,4256,2511,1049,43512
LGA16200,2935,1666,1631,1562,1672,1915,1551,995,438,14361
LGA16260,46643,28537,49933,45531,29102,24787,18185,9948,4067,256729
LGA16350,46117,28321,32976,31767,26855,23332,17418,8164,2713,217664
LGA16380,13860,8803,7637,8655,10452,12073,13187,8690,3417,86762
LGA16400,12890,7935,7049,7877,9271,10759,11058,6564,1860,75276
LGA16490,12359,6836,9347,9004,9200,8022,5281,2475,777,63304
LGA16550,20665,16173,24573,20345,17468,14085,10665,6904,3371,134252
LGA16610,4316,2571,2296,2336,2811,3330,3296,1857,765,23565
LGA16700,20967,14501,23722,21266,15232,13994,10500,5836,3111,129123
LGA16900,14618,9409,9585,9343,9674,9667,7827,4452,1695,76271
LGA16950,17341,10221,11029,11131,12301,16093,17085,9829,3504,108531
LGA17000,5076,3295,3219,3030,3337,3079,2153,1033,353,24577
LGA17040,3553,2353,2807,2473,3013,3182,2449,1349,483,21666
LGA17080,2745,1483,1465,1693,1837,2210,1915,1141,398,14891
LGA17100,6767,6662,11081,6639,4535,4388,2971,1717,826,45593
LGA17150,42528,26981,26420,30575,31902,28567,22941,13859,6435,230211
LGA17200,16033,26862,68112,39461,22838,17940,12378,5972,2037,211632
LGA17310,12705,7414,7984,7352,7452,7638,6768,4178,1579,63070
LGA17350,1100,643,520,562,710,862,866,530,236,6034
LGA17400,955,555,479,569,825,1194,1392,633,211,6810
LGA17420,40664,24508,19325,30834,27125,21006,16849,8724,2845,191876
LGA17550,16084,9217,8868,11161,12115,14018,13616,8467,3844,97392
LGA17620,2647,1499,1659,1707,1789,1934,1651,942,406,14229
LGA17640,1412,782,723,837,1123,1510,1229,667,229,8514
LGA17650,1057,605,547,602,821,952,845,422,118,5971
LGA17750,13755,9801,9689,8230,7554,7394,6105,3524,1567,67609
LGA17850,509,265,271,265,361,461,486,324,81,3016
LGA17900,973,504,633,520,644,834,711,353,83,5253
LGA17950,496,254,271,244,303,387,303,212,87,2550
LGA18020,1551,846,858,824,1099,1408,1425,873,345,9225
LGA18050,10813,6218,16114,11614,8858,6127,4621,2849,1381,68605
LGA18100,561,316,290,340,439,587,588,354,143,3608
LGA18200,1428,777,804,828,963,1098,942,464,136,7453
LGA18250,14285,8145,9375,12731,10832,8161,6527,3611,1954,75613
LGA18350,8797,5134,4747,5332,6753,7235,7778,5167,1764,52709
LGA18400,11725,6902,6537,6900,7346,6311,5005,2462,766,53961
LGA18450,37709,28813,28419,26758,26838,26064,20904,13310,5754,214564
