LGA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA10050,30,25,283,296,78,644,39,360,29,1788,109,267,552,586,219,337,130,309,48,2550,508,1398,1082,843,517,404,416,461,85,5711,809,1393,731,640,609,314,351,426,93,5369,798,1107,588,654,825,357,335,424,83,5174,596,811,487,475,735,291,384,450,70,4308,180,268,121,132,225,97,119,137,21,1307,30,25,8,9,17,10,8,13,14,134,0,0,0,0,0,0,0,0,3,12,3066,5299,3853,3634,3228,2462,1779,2589,435,26344
LGA10180,29,29,107,172,39,266,48,189,11,892,70,144,175,285,115,189,38,221,18,1261,303,637,388,391,261,162,101,348,35,2622,347,766,289,227,273,115,76,233,35,2357,466,685,194,255,304,138,66,211,39,2368,427,605,234,184,316,116,140,219,33,2273,237,213,58,52,81,43,37,69,15,809,94,24,5,4,7,4,5,11,21,166,12,0,0,0,3,0,0,0,0,16,1977,3094,1462,1574,1406,1034,521,1499,202,12765
LGA10250,26,19,179,260,32,504,44,334,28,1425,71,135,282,305,113,232,73,212,24,1444,303,826,628,484,304,263,112,335,45,3302,664,1175,632,508,452,284,127,306,66,4217,776,1218,540,605,601,303,189,339,71,4646,644,965,455,529,568,294,223,427,40,4148,296,306,137,105,191,100,86,119,18,1363,91,26,7,12,21,14,13,9,10,199,11,4,0,0,0,0,0,0,4,20,2889,4681,2859,2799,2284,1999,858,2083,316,20775
LGA10300,3,0,12,12,0,10,3,8,0,48,7,6,14,12,8,12,8,21,4,75,34,22,26,17,27,13,16,37,3,188,41,21,18,7,14,3,15,22,5,149,61,18,18,22,24,4,22,27,0,198,59,18,19,25,22,10,22,36,7,216,31,6,10,3,11,0,16,9,4,90,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,238,88,107,100,99,54,103,165,21,973
LGA10470,11,36,180,290,53,461,46,360,19,1464,87,210,378,597,160,273,99,242,37,2084,388,952,763,691,428,327,247,404,63,4260,570,906,597,468,527,233,262,301,76,3939,633,858,526,551,592,195,313,394,86,4150,490,713,358,377,521,189,293,392,33,3358,230,199,95,96,130,74,104,103,20,1040,58,26,12,4,10,5,10,14,7,150,4,3,0,0,0,0,0,0,7,16,2471,3898,2903,3068,2426,1755,1376,2211,349,20457
LGA10500,33,136,281,345,170,864,88,431,33,2388,413,1588,1062,1423,1016,1351,399,930,185,8360,2913,8973,3180,2592,3133,1870,1177,2085,622,26547,3558,6069,2089,1506,2828,1262,902,1192,418,19822,2627,3474,1491,1269,2750,1035,983,1026,277,14931,1317,1958,1162,957,1883,697,950,1020,164,10113,314,557,290,241,460,196,254,311,64,2691,26,48,32,17,33,25,18,36,13,255,7,4,0,0,0,0,0,0,0,17,11221,22811,9588,8345,12274,7301,4775,7045,1771,85131
LGA10550,16,18,160,176,23,255,18,232,16,910,44,55,237,170,58,116,42,195,15,938,213,439,476,339,205,171,107,324,37,2308,388,558,422,331,272,171,139,306,39,2625,500,611,448,458,398,280,223,371,43,3329,501,683,399,455,440,274,254,454,58,3513,279,221,112,109,143,89,70,107,27,1149,88,16,12,7,4,12,11,11,8,174,7,3,0,0,3,0,0,0,0,21,2051,2604,2258,2045,1554,1361,866,1994,247,14975
LGA10600,6,3,36,55,12,71,7,95,5,291,14,21,66,58,15,36,12,41,4,267,77,167,129,136,59,60,33,75,0,735,123,248,143,120,99,57,54,71,15,933,191,384,155,149,146,71,73,104,21,1290,209,312,154,159,170,83,73,147,18,1324,105,111,27,35,47,27,28,41,7,439,34,6,3,4,10,0,3,6,9,71,9,0,0,0,0,0,0,0,0,8,774,1263,722,720,543,401,283,585,87,5365
LGA10650,6,0,38,24,4,56,5,74,0,217,14,15,41,35,17,15,18,38,3,200,87,100,99,75,43,19,35,80,11,553,104,105,102,69,73,26,43,80,11,622,167,83,81,68,97,42,68,97,9,714,155,79,80,97,91,55,76,101,12,744,95,42,27,37,34,21,41,32,6,333,23,8,4,0,11,4,7,8,7,71,0,0,0,0,0,0,0,0,0,0,655,429,468,409,371,251,295,516,67,3454
LGA10750,132,308,875,865,443,2604,487,1521,156,7389,697,2434,2066,2380,2187,2431,2057,1762,382,16400,3806,11929,4529,4118,5557,2563,4578,2852,1026,40953,7260,15350,4615,4218,7766,2557,4463,2819,1043,50094,4597,7244,3515,3271,5792,1734,3964,2984,630,33731,2235,3461,2424,2170,3936,1177,3071,2449,381,21312,433,778,523,463,896,272,689,589,97,4736,26,68,35,22,36,27,27,28,22,298,3,0,3,0,5,0,0,7,0,21,19194,41583,18583,17512,26627,13373,19335,15007,3733,174929
