LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA10050,6117,593,44,22,10,6791,6716,337,13,7,6,7071,2981,2210,184,12,5,5401,509,177,20,0,0,699,87,91,11,0,0,188,739,233,6,3,3,985,105,33,3,14,6,159,27,20,7,0,0,55,4448,2766,226,29,13,7489,331,102,33,3,5,468,250,81,14,5,17,359,17855,3878,325,74,49,22182
LGA10180,3506,139,14,14,3,3680,2741,71,12,0,6,2824,1485,651,290,7,10,2444,214,48,56,0,3,324,97,51,61,0,0,205,469,64,26,5,5,569,103,12,0,9,0,133,13,8,0,0,0,17,2378,841,436,19,16,3696,223,35,3,0,4,262,116,23,10,19,10,174,8967,1108,468,55,33,10636
LGA10250,5964,1170,193,213,18,7553,4105,673,142,16,7,4944,1407,1032,349,14,5,2814,202,279,48,0,0,531,54,68,15,0,0,140,706,303,89,21,8,1126,88,16,6,84,24,221,19,10,0,0,0,33,2482,1716,512,121,39,4871,373,141,55,14,0,575,195,76,11,35,9,332,13126,3776,921,397,64,18281
LGA10300,288,0,0,7,10,309,178,0,0,0,7,186,27,7,7,0,0,38,16,11,0,0,0,28,9,0,3,0,0,13,54,10,0,0,0,63,32,0,5,0,0,35,3,0,0,0,0,3,140,25,11,0,4,176,41,0,0,4,0,50,12,0,0,0,3,15,660,25,12,10,26,733
LGA10470,5006,297,92,17,8,5419,5001,180,42,5,7,5232,2098,785,418,12,8,3313,325,119,52,0,4,500,51,54,7,0,0,116,623,110,39,0,3,778,62,18,5,0,0,91,21,9,0,0,0,32,3176,1097,523,17,15,4827,183,28,34,0,7,246,158,34,15,3,5,208,13526,1633,699,41,39,15942
LGA10500,10219,2449,4106,76,12,16862,7615,2672,8431,28,17,18766,2717,1588,16813,232,65,21412,174,524,1114,0,3,1812,66,97,249,3,0,415,809,319,1706,61,23,2917,107,84,412,26,13,640,20,13,89,5,0,117,3883,2618,20375,330,104,27318,318,118,454,12,4,901,334,113,508,9,24,987,22373,7970,33875,462,157,64833
LGA10550,6366,458,162,157,21,7164,3554,159,93,13,15,3846,947,320,316,4,7,1601,181,66,18,6,0,275,42,43,4,0,0,95,687,111,68,19,13,897,96,9,8,20,4,132,15,5,0,0,0,29,1961,555,421,54,19,3017,253,70,15,13,3,353,199,32,13,0,7,251,12340,1267,700,241,73,14630
LGA10600,2320,62,40,56,9,2489,1335,32,5,4,6,1388,447,54,67,5,3,572,48,15,19,0,0,78,18,12,0,0,0,31,350,15,20,0,4,398,34,3,4,15,0,56,6,0,0,0,0,6,904,95,109,23,5,1136,87,6,0,0,0,93,62,0,0,9,0,80,4721,198,157,87,22,5185
LGA10650,1484,52,8,15,7,1569,920,21,0,5,4,945,238,87,12,0,0,330,7,0,0,0,0,11,13,18,0,0,0,31,170,28,4,0,3,205,58,6,4,3,3,71,6,0,0,0,0,7,494,139,20,4,9,658,69,17,0,5,3,95,77,12,3,0,6,107,3041,239,34,24,30,3373
LGA10750,22689,1477,381,13,11,24568,44611,5445,1843,29,91,52012,19684,4312,4117,52,62,28223,4466,1742,860,0,5,7073,356,247,154,0,0,758,3561,471,403,6,22,4456,657,108,73,0,5,838,152,52,36,0,3,241,28871,6933,5640,55,90,41592,828,364,105,0,8,1301,1398,263,187,0,16,1862,98390,14480,8158,98,213,121337
