LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA17550,235,52,646,358,200,180,65,229,22,1988,0,3,0,3,3,7,0,5,0,23,47,72,52,45,40,19,14,38,15,347,107,83,154,111,75,61,63,134,139,929,3650,7417,4845,4054,2998,1540,980,1983,487,27960
LGA17620,23,4,76,37,20,16,26,31,6,242,0,5,0,0,0,0,0,8,0,7,9,7,4,4,8,0,18,10,0,64,41,11,16,12,11,6,29,28,21,157,681,775,865,414,389,167,450,448,66,4252
LGA17640,17,11,29,23,13,6,10,16,0,117,0,0,0,0,0,0,0,0,0,0,8,3,5,7,4,0,0,0,0,33,25,3,7,3,8,9,15,11,9,90,696,520,359,315,277,108,107,166,50,2601
LGA17650,12,3,31,20,9,9,7,9,0,98,0,0,0,5,0,0,0,0,0,5,3,4,6,0,9,0,0,6,0,17,8,0,3,6,4,4,5,12,3,53,354,435,293,238,242,81,78,156,22,1908
LGA17750,149,41,375,283,134,128,48,148,11,1319,5,3,5,12,10,7,0,13,0,61,50,49,34,42,26,17,17,29,6,278,62,49,91,78,52,41,59,82,101,608,2930,6452,3631,3253,2509,1137,822,1277,319,22327
LGA17850,8,0,9,8,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,15,0,5,0,3,5,0,8,0,37,297,135,93,87,89,42,39,85,12,873
LGA17900,8,0,14,9,10,6,3,7,0,57,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,15,6,0,4,9,0,3,9,7,10,50,228,209,104,190,101,32,57,72,18,1014
LGA17950,9,0,6,0,4,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,4,0,14,3,0,0,3,6,0,4,13,0,28,199,103,87,56,62,25,43,54,9,641
LGA18020,16,0,20,15,9,9,12,17,0,99,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,3,0,19,22,5,8,15,7,9,8,23,12,101,534,436,232,255,201,85,110,214,41,2107
LGA18050,152,58,278,117,82,60,11,46,7,811,3,3,0,0,0,6,0,3,0,19,132,233,32,40,55,33,14,15,19,570,104,143,66,40,57,46,20,35,164,670,7436,14916,2111,1786,2861,1805,370,666,652,32604
LGA18100,9,0,11,6,4,8,3,8,0,44,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,6,0,13,7,0,6,3,3,0,0,3,0,32,278,176,110,100,84,30,48,85,10,921
LGA18200,18,0,30,16,15,9,10,17,5,108,0,0,0,0,0,0,0,0,0,0,0,5,7,4,4,0,0,5,0,23,12,0,18,9,5,12,11,17,9,98,377,396,322,248,207,80,94,160,39,1917
LGA18250,128,45,242,104,85,69,15,44,6,737,0,0,0,4,3,0,0,0,0,18,123,151,23,24,68,33,13,13,15,464,61,82,46,40,47,33,15,15,99,437,6923,14554,1724,1686,3500,1659,391,604,537,31578
LGA18350,119,35,346,164,102,78,43,107,15,1005,4,3,0,0,0,0,3,0,0,18,53,64,33,25,33,30,21,24,7,288,62,42,69,39,46,46,44,56,54,453,2965,4827,2944,1822,1816,983,675,1022,248,17304
LGA18400,106,24,229,133,179,85,59,82,16,904,0,6,0,4,0,5,0,0,0,15,33,34,34,23,23,7,25,21,8,209,59,30,83,45,63,31,49,34,93,492,2713,3685,3782,1980,2326,856,1129,978,304,17755
LGA18450,379,106,938,592,447,267,170,319,32,3243,5,3,3,11,3,9,9,9,3,49,125,213,96,123,119,44,82,72,33,903,123,138,203,176,152,95,131,158,239,1413,9267,23137,10934,9045,8529,3284,3090,3392,1012,71697
LGA18500,109,47,147,67,60,40,4,18,0,504,4,6,3,0,3,0,0,0,0,19,129,156,20,30,52,30,4,3,12,423,90,95,19,20,37,26,6,8,92,390,6025,11682,853,915,2166,1360,121,229,612,23965
LGA18710,29,12,81,41,42,15,7,23,0,252,0,0,0,0,0,0,0,0,0,0,34,21,9,20,16,3,0,9,0,118,27,17,20,11,11,12,10,16,24,152,1468,1776,941,666,827,202,157,260,118,6416
LGA19399,3,0,15,3,5,3,0,13,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,0,12,119,42,35,18,29,17,8,41,5,324
LGA19499,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
