LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA12900,7,4,0,12,5,0,22,4,10,0,5,0,0,18,26,50,7,21,0,3,116,78,24,4,37,10,5,149,56,20,4,26,3,0,111,134,8,4,49,3,0,203,111,0,0,51,4,3,164,66,0,0,13,7,0,84,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,0,21,25,0,65,502,134,19,229,59,12,957
LGA12930,13,26,3,12,5,0,61,3,57,4,10,4,0,76,34,545,43,57,12,3,692,55,171,80,108,12,3,425,54,78,19,92,15,0,266,152,93,48,113,56,0,464,830,65,34,216,49,3,1200,3821,49,42,477,63,9,4466,4201,34,27,450,62,12,4782,2294,13,7,224,31,0,2571,894,5,3,86,0,4,986,363,0,0,54,3,0,423,143,0,0,21,3,0,168,211,0,0,39,7,0,254,249,68,12,189,51,37,598,13325,1207,329,2139,365,72,17438
LGA12950,0,3,0,5,0,0,14,0,0,0,3,0,0,7,13,7,3,14,4,0,43,40,18,9,26,12,0,98,25,10,0,18,0,0,55,57,6,0,23,3,5,94,23,0,0,7,0,0,34,0,0,0,3,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,9,0,27,156,53,17,117,32,12,382
LGA13010,0,0,0,8,4,0,19,6,0,0,5,0,0,7,25,9,19,24,0,4,73,111,19,16,57,5,0,207,79,10,9,35,4,0,128,175,8,6,38,8,0,240,101,0,0,32,0,0,135,20,0,0,4,0,0,28,6,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,14,12,0,37,531,43,55,216,37,9,889
LGA13310,5,17,0,6,4,0,20,0,38,3,8,0,0,53,21,186,17,34,7,0,270,70,101,58,43,12,0,287,75,25,4,57,12,0,178,224,30,12,71,9,0,343,597,63,5,133,23,5,827,841,16,10,154,18,4,1035,213,3,0,31,9,0,258,30,0,0,8,5,0,42,15,0,0,3,0,0,16,3,0,0,0,0,0,5,3,0,0,0,0,0,3,8,0,0,0,0,0,6,33,29,7,38,11,12,134,2138,514,119,586,102,20,3476
LGA13340,0,0,0,0,0,0,6,5,0,0,9,4,0,5,20,15,8,30,5,0,71,38,3,12,65,13,0,126,20,0,0,44,5,0,72,68,3,0,48,4,0,117,69,0,0,28,3,0,104,35,0,0,13,0,0,44,11,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,13,0,31,264,21,27,248,47,5,603
LGA13450,0,11,10,9,0,0,27,4,11,3,4,0,0,22,26,72,8,37,19,3,169,89,79,35,88,34,7,332,129,43,11,65,16,0,262,285,34,12,110,33,0,471,497,11,9,127,28,4,676,568,9,0,119,31,0,727,92,0,0,31,11,0,138,17,0,0,4,0,0,23,6,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,11,46,23,12,141,1744,288,90,646,201,34,2997
LGA13550,0,0,3,0,8,0,19,0,5,0,0,0,0,17,9,7,10,22,3,0,58,47,34,9,24,3,0,125,44,18,7,37,7,0,115,129,26,8,42,3,0,212,215,12,10,68,5,0,310,225,0,0,45,10,0,279,93,0,0,12,6,0,114,15,0,0,0,3,0,17,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,13,5,4,20,18,3,63,813,113,66,279,67,9,1343
LGA13660,0,4,0,6,6,0,18,0,0,4,0,0,0,6,10,3,6,27,4,0,55,17,0,6,24,4,0,50,24,0,0,28,5,0,52,52,0,0,30,10,0,90,19,0,0,7,0,0,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,11,23,0,36,123,8,10,134,59,7,344
LGA13800,5,0,3,7,3,0,18,0,12,8,6,0,0,29,7,91,16,21,7,0,143,13,146,78,36,5,0,293,30,46,26,50,15,0,158,83,60,35,77,82,3,341,435,53,34,121,33,3,684,1423,72,34,236,27,3,1794,917,21,6,136,19,0,1098,368,0,0,43,3,0,421,136,0,0,17,3,0,153,78,0,0,8,4,0,85,37,0,0,8,3,0,40,44,0,0,16,0,0,57,79,30,10,63,27,9,220,3645,536,264,840,233,24,5536
LGA13850,4,0,0,5,6,0,17,0,4,0,0,0,0,3,23,15,3,16,5,0,61,39,10,0,40,5,0,95,19,0,0,18,3,0,46,14,0,0,24,0,0,38,10,0,0,5,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,15,117,30,5,108,34,7,299
LGA13910,0,6,3,15,17,0,40,5,7,5,10,5,0,20,23,8,12,36,11,0,93,109,28,26,67,10,0,248,96,18,7,75,16,0,212,290,30,23,90,20,0,450,303,0,3,68,16,0,393,117,0,0,24,3,0,143,9,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,6,0,42,34,5,105,987,98,72,432,127,12,1733
LGA14000,9,9,11,9,0,0,34,0,17,8,10,0,0,43,14,79,60,28,13,3,198,18,126,96,42,12,0,299,28,44,51,72,12,9,206,73,41,93,85,27,12,326,269,44,50,175,21,0,562,1965,58,73,320,42,5,2459,2662,24,31,339,41,3,3098,1528,16,4,204,19,4,1777,1079,6,0,144,7,3,1240,611,0,0,47,3,0,659,332,0,0,34,4,0,370,244,0,0,41,0,0,291,140,46,29,116,36,27,394,8956,499,514,1674,233,68,11947
LGA14100,0,0,0,0,0,0,3,0,10,4,0,0,0,11,0,33,30,0,0,0,65,0,38,30,4,0,0,75,0,12,11,0,0,0,27,10,18,10,4,0,0,44,33,16,8,14,0,0,73,83,13,8,12,0,0,120,128,0,0,25,0,0,155,126,0,0,14,0,0,143,96,0,0,19,0,0,110,66,0,0,3,0,0,67,45,0,0,10,0,0,51,141,0,0,32,0,0,180,8,7,3,7,5,3,37,735,147,111,150,9,8,1163
LGA14170,18,56,14,12,0,0,89,8,95,18,8,3,0,136,42,759,143,70,8,9,1033,105,236,227,126,19,0,711,167,116,75,130,21,0,505,555,127,81,184,45,0,998,1757,82,76,340,49,0,2303,5343,92,96,670,74,11,6281,5192,39,26,652,39,0,5951,3738,26,9,468,24,0,4269,3164,5,12,379,17,0,3574,2044,8,0,252,14,3,2313,1250,0,0,156,3,5,1416,1852,0,0,277,10,4,2143,308,109,39,217,42,48,766,25538,1733,816,3923,370,92,32485
LGA14220,3,5,24,6,9,0,50,6,3,13,4,0,0,21,22,27,19,39,12,4,131,111,36,20,58,20,0,242,92,20,9,52,9,0,190,179,34,21,80,11,0,317,403,4,5,82,8,0,500,190,3,0,28,4,0,226,21,0,0,7,0,0,26,5,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,3,21,24,9,85,1038,134,124,377,103,24,1811
LGA14300,5,4,0,0,0,0,16,0,5,0,4,0,0,14,15,10,13,18,0,0,53,31,15,0,10,0,0,67,30,6,0,21,4,0,54,79,0,0,28,0,0,107,109,0,0,15,0,0,122,57,0,0,9,0,0,71,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,9,0,21,334,47,9,110,17,0,525
LGA14350,6,0,3,10,0,0,24,0,6,5,0,4,0,16,10,9,17,33,7,4,79,53,51,82,58,23,5,272,83,23,43,70,20,4,243,225,32,31,115,25,5,428,499,23,18,173,15,6,733,502,16,22,110,16,4,669,93,0,0,19,6,0,114,14,5,4,5,0,0,33,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,29,19,6,34,12,8,109,1528,186,236,625,130,26,2725
LGA14400,0,0,0,4,0,0,6,0,0,3,3,0,0,9,0,3,5,6,3,0,24,8,25,9,15,0,0,61,0,9,6,20,7,0,39,20,4,7,9,5,0,45,53,0,10,32,4,0,104,187,0,3,81,5,0,276,333,4,0,71,6,0,408,273,0,0,39,0,0,318,111,0,0,18,0,0,136,27,0,0,6,0,0,32,5,0,0,0,0,0,7,7,0,0,6,0,0,12,12,4,0,19,10,0,50,1042,62,45,342,37,11,1532
LGA14500,5,0,6,6,0,0,12,0,0,6,3,0,0,7,8,0,16,19,3,0,48,3,0,11,13,5,3,44,4,4,6,31,4,0,42,23,0,12,40,17,7,93,83,3,11,59,19,0,170,610,0,8,89,27,4,741,1202,4,3,161,14,0,1391,1437,0,3,143,13,0,1596,757,0,0,110,15,3,882,581,0,0,64,3,0,655,528,0,3,59,0,0,590,1533,0,0,204,7,3,1755,114,3,7,99,21,12,258,6895,23,88,1087,146,37,8275
LGA14550,0,0,0,9,8,0,23,0,0,0,3,0,0,3,4,7,6,25,0,0,43,26,10,0,61,0,0,101,27,3,0,52,5,0,79,68,3,0,60,0,0,136,110,0,0,56,5,0,181,66,0,0,31,0,0,93,9,0,0,4,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,21,4,0,43,310,39,16,324,31,4,721
LGA14600,7,13,3,7,22,0,51,0,4,3,3,3,0,22,10,16,17,27,10,0,82,32,37,42,42,9,8,164,26,10,7,33,6,4,87,26,3,0,36,0,0,61,14,0,0,23,8,0,45,4,0,0,10,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,9,5,15,19,9,52,119,100,81,197,86,19,601
LGA14650,9,64,10,23,9,0,111,3,111,7,8,7,0,142,26,1041,72,91,45,11,1285,104,640,214,166,69,14,1199,178,218,59,187,63,7,709,495,274,68,296,61,6,1200,1380,323,71,638,63,12,2484,4445,175,43,1032,84,12,5790,2845,24,11,459,28,4,3370,1045,3,0,131,8,0,1192,325,0,0,41,3,0,373,85,0,0,16,0,0,106,36,0,0,0,0,0,34,33,0,0,12,4,0,49,226,180,41,155,58,33,693,11227,3057,604,3255,488,97,18733
LGA14700,8,6,0,3,0,0,21,3,4,16,0,0,0,25,3,35,30,8,4,0,76,9,35,45,17,0,0,100,10,3,13,18,0,0,47,42,16,7,27,16,0,103,112,5,5,42,3,0,165,810,3,10,86,8,0,921,1237,0,3,153,18,0,1417,889,0,3,95,11,0,1003,493,0,0,63,8,0,569,404,0,0,38,13,0,452,210,0,0,19,0,0,232,436,0,0,49,0,0,484,63,5,10,30,11,13,129,4710,111,147,654,94,17,5736
LGA14750,0,4,0,4,0,0,8,0,4,0,7,5,0,18,24,37,0,30,12,0,109,60,27,0,48,12,3,154,96,13,0,35,14,0,158,148,15,0,67,8,0,240,190,0,0,55,16,0,258,61,0,0,21,9,0,93,5,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,15,11,5,50,606,99,8,295,81,14,1103
LGA14850,0,11,5,13,9,0,35,0,16,0,13,0,0,26,9,188,25,70,13,4,311,69,72,87,80,28,4,343,117,16,30,121,47,10,345,295,39,34,197,40,10,618,619,36,23,322,26,4,1027,759,15,12,350,17,5,1156,299,6,3,109,7,4,420,108,0,0,41,0,0,146,31,0,0,14,0,0,44,10,0,0,9,0,0,17,3,0,0,0,0,0,3,4,0,0,9,0,0,12,37,28,11,38,15,16,148,2361,429,239,1360,203,47,4652
LGA14870,0,15,0,0,5,0,27,0,27,0,8,3,0,38,13,158,11,32,5,4,224,42,68,8,46,14,0,179,82,26,5,57,4,0,164,245,30,12,72,10,0,363,437,41,5,82,5,3,574,256,4,0,40,3,0,310,37,0,0,3,0,0,45,7,0,0,0,0,0,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,18,25,5,22,10,5,75,1144,392,45,358,53,8,2008
LGA14900,18,127,14,7,13,3,180,4,260,15,3,7,6,293,20,1176,115,29,24,7,1380,64,665,149,67,32,9,973,103,310,72,89,24,3,598,652,381,125,139,380,8,1684,1864,293,117,297,184,14,2769,4851,281,96,689,206,22,6136,4550,148,34,573,138,10,5449,2547,15,7,223,48,0,2839,695,0,0,74,17,5,792,163,4,0,27,12,0,211,40,0,0,12,5,0,59,51,0,0,8,4,0,63,308,231,31,225,89,74,950,15920,3889,776,2463,1179,150,24377
LGA14920,0,0,0,3,6,0,11,3,0,0,0,0,0,8,12,3,6,23,4,4,52,40,13,42,34,10,0,138,27,9,11,47,10,0,95,73,6,5,40,11,0,134,101,7,5,31,6,0,151,25,0,0,4,3,0,31,7,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,30,0,49,300,37,65,198,81,3,691
LGA14950,0,0,0,5,4,0,12,0,0,6,0,0,0,9,3,0,0,6,6,0,15,7,0,4,23,4,0,34,7,0,0,20,0,0,25,22,0,0,21,4,0,46,5,0,0,11,0,0,18,4,0,0,0,0,0,9,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,13,57,3,10,91,17,4,180
LGA15050,0,10,3,12,0,0,26,0,12,3,5,8,0,29,21,114,36,26,22,5,221,83,266,133,57,24,5,575,105,110,37,87,10,0,350,299,164,69,113,241,4,891,961,186,90,300,60,0,1602,2859,144,43,404,29,12,3491,1648,12,9,108,18,0,1789,299,4,0,24,3,0,330,49,0,0,3,0,0,56,9,0,0,3,0,0,11,0,0,0,0,0,0,4,7,0,0,4,0,0,13,105,72,27,75,42,22,343,6447,1094,465,1229,462,45,9734
LGA15240,10,10,8,23,4,0,55,7,9,16,9,5,3,42,37,50,51,94,28,0,255,184,192,178,162,76,15,803,267,60,45,190,35,9,613,733,101,61,279,34,4,1215,1595,68,43,443,36,6,2197,1846,50,47,389,43,4,2386,634,10,7,123,8,3,777,129,0,0,25,0,0,160,25,0,5,5,0,0,39,9,0,0,0,0,0,6,0,0,0,0,0,0,3,12,0,0,7,6,0,19,83,45,42,103,41,28,333,5571,602,489,1848,322,75,8908
LGA15270,5,0,0,7,15,0,28,3,4,0,4,0,0,14,23,24,9,22,4,0,74,55,52,26,45,3,0,182,62,19,8,50,5,4,152,145,32,13,59,6,3,264,337,49,5,71,13,0,480,502,13,4,84,10,5,619,322,0,0,29,6,0,361,57,0,0,4,0,0,63,14,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,0,4,0,8,25,13,0,35,12,7,97,1556,210,69,415,86,20,2351
LGA15300,5,3,4,13,14,0,37,0,14,15,0,12,0,39,19,29,6,26,17,4,100,132,79,48,45,19,0,331,78,29,12,46,12,3,175,108,30,8,41,6,0,182,152,7,0,29,6,0,193,119,0,0,22,6,0,150,31,0,0,6,0,0,39,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,8,23,25,44,10,125,658,207,113,252,139,20,1388
LGA15350,0,0,0,3,0,0,6,0,4,0,0,0,0,3,5,0,3,3,0,0,16,3,18,22,10,0,4,47,8,8,4,10,0,0,29,15,4,10,11,0,0,37,44,0,3,26,0,0,70,464,4,0,73,0,0,542,680,0,0,95,6,0,779,548,0,0,77,4,0,626,362,0,0,53,0,0,412,240,0,0,32,0,0,277,163,3,0,32,0,0,194,562,0,0,95,4,0,665,55,4,4,34,4,3,104,3140,51,43,550,21,8,3822
LGA15520,0,4,12,3,11,0,35,0,3,0,3,5,0,12,21,7,14,36,8,0,83,35,0,9,56,24,0,126,41,0,0,33,6,0,78,84,3,0,25,8,0,120,102,0,0,35,6,0,145,110,6,0,27,5,0,145,63,0,0,5,0,0,71,8,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,13,4,0,5,20,38,4,79,470,23,41,259,119,12,911
LGA15560,0,4,3,4,5,0,21,3,0,0,3,3,0,11,10,5,6,16,8,0,37,9,6,3,29,8,0,61,5,0,0,25,9,0,43,10,0,0,27,10,0,44,9,0,0,16,3,0,30,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,12,20,3,35,57,17,12,134,64,5,296
LGA15650,0,0,0,0,6,0,15,0,4,0,4,0,0,8,9,27,12,15,5,0,68,76,80,25,34,9,0,220,79,27,9,38,7,0,153,188,30,13,58,10,0,299,308,45,15,80,15,0,468,520,9,0,62,5,0,605,88,3,0,12,0,0,98,10,0,0,4,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,27,13,0,23,27,3,88,1309,237,78,337,87,7,2051
LGA15700,7,0,0,10,0,0,24,0,0,3,5,6,0,15,5,12,24,27,18,0,90,29,43,95,49,19,4,241,75,11,32,50,12,0,172,106,20,26,65,7,6,226,276,10,16,110,12,0,421,364,11,10,79,3,6,467,103,0,6,19,3,0,125,17,0,0,4,0,0,22,8,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,15,30,7,6,85,1002,122,215,446,90,26,1902
LGA15750,0,3,0,7,28,0,39,0,8,0,3,4,0,18,19,28,14,34,12,3,107,77,38,22,43,20,3,209,73,32,12,49,14,0,184,67,41,17,51,4,0,179,118,14,8,56,11,0,210,174,4,0,51,23,4,258,24,0,0,3,4,0,32,0,0,0,3,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,24,32,9,88,572,174,84,340,158,15,1332
LGA15800,0,0,0,3,3,0,14,0,5,0,7,4,0,9,14,16,3,30,5,4,73,54,16,4,24,4,0,107,50,7,5,25,5,0,92,59,4,0,36,3,0,105,39,0,0,23,3,0,69,8,0,0,6,4,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,7,0,31,240,52,9,167,52,6,523
LGA15850,0,0,0,0,4,0,7,0,13,0,0,4,0,14,3,18,14,19,9,0,68,25,4,17,20,11,0,78,25,6,0,22,0,0,56,62,16,5,26,4,4,112,78,0,0,27,4,0,111,21,0,0,17,0,0,36,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,17,15,0,36,229,62,36,150,49,3,533
LGA15900,12,104,13,20,5,0,155,3,192,26,11,6,0,243,56,1381,86,136,17,12,1688,235,408,172,219,28,6,1068,253,166,76,226,25,4,743,610,213,105,324,67,6,1323,1838,157,79,646,74,6,2798,5337,122,71,1171,102,12,6813,4313,23,27,678,57,6,5103,1811,11,9,257,13,0,2097,654,0,0,88,10,0,755,283,0,0,50,5,0,333,120,5,0,26,0,0,151,156,0,0,44,6,3,208,210,170,36,195,59,51,717,15901,2947,696,4084,466,101,24204
LGA15950,13,12,0,8,0,0,34,0,9,5,7,0,0,21,13,75,42,17,0,0,149,23,110,92,22,0,0,255,16,36,18,35,7,0,103,65,29,16,48,20,0,180,372,23,6,113,9,0,523,2058,9,11,234,3,6,2324,2924,3,7,350,18,5,3302,2823,0,0,340,4,7,3175,2016,0,0,237,5,3,2263,1349,0,0,153,8,0,1514,807,0,0,99,4,0,910,1459,0,0,221,4,0,1680,207,26,11,93,24,19,379,14147,328,212,1979,106,43,16824
LGA15990,12,28,15,20,0,0,81,4,25,50,11,0,3,88,13,148,126,35,31,14,362,23,292,145,52,23,7,550,21,103,87,93,22,5,327,69,86,75,138,23,3,396,241,45,61,241,45,7,633,1162,52,32,478,73,15,1814,3206,23,17,730,52,13,4040,3759,13,8,794,45,11,4631,2883,8,4,516,23,10,3435,1874,8,7,400,9,3,2302,1385,0,0,267,19,0,1679,3561,6,0,645,32,14,4247,314,62,38,260,58,52,784,18512,911,659,4675,452,154,25365
LGA16100,4,0,0,4,0,0,6,0,0,6,0,0,0,8,17,9,9,9,0,0,45,22,3,3,7,4,0,38,17,3,0,11,4,0,40,37,5,0,15,0,0,54,89,0,0,24,4,0,118,55,0,0,14,0,0,69,8,0,0,4,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,15,0,34,251,21,14,97,33,4,419
LGA16150,0,21,4,7,0,0,28,0,39,10,0,5,0,52,26,219,26,26,6,0,300,70,167,43,41,8,8,337,122,52,21,70,10,0,278,389,77,22,102,14,0,606,847,70,24,159,27,5,1128,1233,26,13,151,11,9,1442,615,4,0,54,10,0,684,120,0,0,15,0,0,144,15,0,0,6,0,0,19,3,0,0,9,0,0,7,0,0,0,0,0,0,3,12,0,0,8,3,0,20,65,74,10,39,17,15,224,3528,738,176,675,114,28,5269
LGA16200,0,8,0,6,7,0,23,3,10,0,7,5,3,32,16,78,16,33,13,3,162,74,41,29,67,15,4,224,61,23,6,73,8,3,171,132,16,5,84,16,0,250,200,5,3,103,8,0,318,142,0,3,42,4,0,195,24,0,0,11,0,0,35,3,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,9,9,8,36,7,4,69,670,190,70,465,82,16,1490
LGA16260,22,110,10,10,0,0,154,4,254,20,3,8,0,291,56,1303,97,61,27,3,1549,115,450,150,160,22,6,901,130,218,118,157,22,4,644,433,214,103,186,238,9,1189,2298,177,88,379,123,16,3082,9719,159,122,927,148,17,11103,11564,97,39,978,140,15,12833,5177,27,10,444,66,10,5742,1720,8,3,176,33,4,1944,815,5,4,80,12,0,908,340,0,0,48,3,0,397,230,0,0,49,15,0,298,510,174,42,294,64,88,1178,33136,3202,808,3970,912,183,42206
LGA16350,16,71,14,18,4,0,121,0,148,17,10,0,0,179,28,776,61,42,14,6,925,78,418,199,91,19,3,810,137,178,85,100,7,3,511,702,197,106,181,77,0,1263,2432,183,161,447,46,12,3275,7872,211,91,902,88,16,9185,4307,48,9,472,39,7,4884,1664,9,0,139,10,0,1828,383,4,3,39,0,0,432,116,3,0,14,0,0,143,34,0,0,18,0,0,57,62,0,0,13,6,0,74,334,147,35,169,57,59,805,18169,2394,785,2672,369,115,24497
