SED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED10052,0,0,0,4,8,6,8,3,4,35,0,0,0,3,3,6,3,4,0,18,0,0,7,22,3,3,0,0,0,35,0,0,0,6,10,11,12,17,11,74,0,24,46,209,136,89,46,26,15,599,0,0,0,6,5,3,10,3,3,25,0,3,3,13,3,3,0,0,0,25,0,0,0,7,8,5,3,0,0,30,4,9,18,150,74,52,27,6,0,339,0,0,0,28,17,23,12,12,0,98,0,4,4,24,29,43,40,15,9,170,0,3,4,17,4,15,8,3,0,60,0,9,22,66,37,30,25,14,3,198,0,0,0,3,12,11,4,4,3,39,0,0,0,12,5,11,0,0,0,29,0,0,3,19,3,3,8,0,4,32,0,0,9,77,21,3,3,0,0,123,0,0,6,40,46,46,34,11,0,185,0,0,0,4,14,7,3,0,0,29,3,3,21,48,18,12,11,0,0,125
SED10053,0,0,0,6,0,0,0,0,0,10,0,0,0,8,0,3,4,0,0,15,0,4,16,47,0,0,0,0,0,69,0,0,0,9,16,25,32,13,7,106,3,17,38,158,111,106,53,16,3,490,0,0,4,10,4,3,8,0,0,25,0,3,3,21,3,6,0,0,0,38,0,0,0,21,23,6,0,0,0,49,0,32,27,118,55,64,14,7,0,315,0,0,0,22,3,18,13,3,11,70,0,4,0,20,23,38,35,20,6,150,0,3,0,3,13,12,0,0,0,35,0,4,18,43,32,17,0,4,0,122,0,0,0,5,16,6,17,13,3,56,0,3,5,24,14,7,5,0,0,63,0,0,11,32,0,3,0,0,0,47,0,5,11,54,15,12,8,0,0,97,0,3,16,55,54,63,30,16,10,248,0,0,0,3,11,0,0,0,0,18,3,25,12,63,29,36,19,8,0,182
SED10054,0,0,6,22,22,33,19,6,5,111,0,0,4,27,19,7,8,0,0,63,0,0,14,64,9,6,0,0,0,93,0,0,0,3,3,7,16,4,7,50,35,177,289,522,131,80,29,12,3,1286,0,0,0,3,0,3,7,3,3,23,34,131,131,539,137,54,23,5,0,1056,0,0,0,3,9,0,0,0,0,13,22,206,467,1857,1104,930,340,95,68,5079,0,0,7,10,14,23,24,14,8,97,0,0,0,3,19,34,20,17,8,105,0,4,3,11,3,15,8,3,0,44,0,6,10,44,34,33,14,7,4,157,0,0,0,6,15,7,9,10,6,56,0,14,18,120,29,43,23,10,6,270,0,3,0,14,3,3,0,0,0,21,0,4,15,58,20,11,5,0,0,114,0,0,0,4,4,10,6,0,0,37,3,3,14,57,59,32,28,11,0,213,3,14,5,23,4,3,3,0,0,52
SED10055,0,0,0,9,8,19,8,3,3,52,0,6,0,0,4,4,0,0,0,12,0,0,0,20,13,3,0,0,0,34,0,0,3,3,6,15,21,7,4,53,8,65,109,226,93,72,15,9,3,600,0,3,0,3,13,15,12,4,0,45,0,11,17,57,20,8,5,3,0,126,0,0,0,5,3,3,3,0,0,13,3,25,56,355,236,231,95,11,12,1033,0,0,0,9,9,23,12,8,3,64,0,0,8,26,36,57,29,11,3,168,0,3,7,6,5,8,7,0,0,38,0,3,16,54,45,26,16,3,0,169,0,0,5,20,17,26,12,11,0,83,0,0,10,41,31,52,17,3,4,151,0,0,0,15,3,5,0,0,0,27,0,0,3,54,19,8,0,0,0,90,0,0,0,12,19,12,10,6,0,64,0,0,4,23,38,16,4,0,0,91,0,4,12,24,10,5,8,0,0,60
SED10056,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,8,3,0,0,0,0,10,0,0,0,8,6,13,28,9,6,73,4,58,68,142,76,54,34,13,5,454,0,0,0,0,0,0,6,0,0,10,0,14,7,36,0,0,0,0,0,57,0,0,0,5,3,0,0,0,0,14,12,29,28,124,50,55,22,9,5,319,0,0,0,0,3,0,0,0,3,6,0,0,3,9,14,15,35,21,7,108,0,0,0,0,5,3,3,0,0,9,3,17,16,43,22,8,7,0,0,123,0,0,0,0,0,3,3,6,0,12,0,7,3,24,7,3,3,3,0,40,0,0,19,109,0,0,0,0,0,134,0,0,9,29,22,5,0,0,0,61,0,0,0,0,0,0,3,0,0,4,0,5,4,21,10,6,4,0,0,45,0,6,7,13,5,12,4,4,0,52
SED10057,0,0,0,4,0,5,3,0,0,12,0,0,3,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,3,5,16,64,22,10,131,0,8,7,60,42,106,80,29,17,353,0,0,0,0,3,7,8,8,0,26,0,0,0,3,0,0,0,0,0,3,0,0,0,4,9,4,4,3,0,22,0,3,9,62,38,50,23,3,0,204,0,0,0,7,0,8,6,10,0,28,0,3,0,3,18,29,36,27,10,122,0,0,0,0,0,3,3,0,0,6,0,0,3,13,16,8,26,4,0,68,0,0,0,0,0,0,5,5,0,15,0,0,0,8,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,6,3,23,10,5,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,14,14,16,3,0,71
SED10058,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,7,9,3,0,0,0,0,18,0,4,0,10,9,5,20,0,3,58,7,18,35,166,92,85,41,21,0,462,0,0,0,6,5,5,0,6,0,25,0,0,0,13,0,0,0,0,0,16,0,0,0,17,10,4,0,0,0,31,3,20,15,79,55,47,28,7,0,253,0,0,0,8,7,9,5,12,11,51,0,7,0,26,16,37,39,11,17,151,0,4,3,5,5,3,3,0,0,29,0,0,18,60,16,22,3,3,0,124,0,0,0,0,8,5,3,7,0,32,0,0,3,24,3,0,0,3,0,32,0,3,3,14,0,0,0,0,0,21,0,3,5,38,22,7,0,0,0,78,0,0,0,6,17,25,25,30,3,104,0,0,0,0,0,0,0,0,0,0,3,13,29,94,20,24,9,6,0,197
SED10059,0,0,0,9,0,0,3,0,0,18,0,0,12,22,5,4,3,0,0,46,0,0,17,49,0,0,0,0,0,69,0,3,15,49,12,3,4,7,0,85,3,12,133,467,197,132,48,14,4,1010,0,0,0,24,10,6,7,3,0,49,0,0,10,10,0,0,0,0,0,19,0,0,7,16,10,7,3,3,0,49,0,0,28,213,38,40,40,9,0,364,0,0,4,56,5,18,12,6,7,104,0,0,11,83,32,24,8,6,0,169,0,3,94,108,18,9,3,0,0,235,0,3,38,132,15,14,10,8,0,217,0,0,0,9,5,4,13,8,0,39,0,0,18,42,4,9,3,0,5,76,0,0,26,136,15,6,3,0,0,187,3,7,59,465,47,20,11,5,0,618,0,0,0,16,10,11,10,13,0,54,0,3,4,28,5,13,8,8,0,70,12,17,117,319,43,28,13,7,0,548
SED10060,0,0,0,17,7,5,0,0,0,30,0,0,0,6,3,3,0,0,0,11,0,4,25,93,0,5,0,0,0,129,4,3,6,35,20,11,24,12,3,127,6,36,73,439,248,196,126,50,18,1191,0,0,0,29,5,9,14,3,0,62,0,6,3,19,0,8,0,0,0,34,0,0,3,8,31,12,0,4,0,63,8,15,23,243,59,42,32,5,0,423,0,3,3,89,6,22,12,12,8,153,0,12,10,77,52,46,39,19,8,264,4,27,34,67,21,29,12,6,0,205,6,17,30,271,106,97,60,27,3,627,0,0,0,11,5,13,6,7,0,36,0,0,3,73,30,14,12,4,5,142,3,3,4,93,24,19,8,0,0,153,4,9,21,206,41,19,4,3,0,308,0,0,0,3,10,6,3,0,0,22,0,3,0,23,13,3,5,3,0,54,31,96,73,272,110,81,49,8,0,725
SED10061,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,0,11,0,0,22,71,0,0,0,0,0,97,0,0,0,6,5,19,17,9,10,66,0,21,33,73,65,65,49,16,11,325,0,0,0,4,0,0,5,0,0,12,0,0,0,5,0,0,0,0,0,11,0,0,0,14,11,10,0,0,0,36,4,23,48,110,51,30,5,0,0,266,0,0,0,4,0,3,0,0,0,6,0,9,7,14,15,18,25,20,8,100,0,8,0,4,0,4,3,3,0,22,0,4,17,35,20,10,7,0,0,98,0,0,0,0,0,0,4,0,0,9,0,5,3,21,3,4,0,0,0,41,0,0,7,29,0,3,3,0,0,43,0,0,5,31,3,5,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,18,20,57,19,26,13,6,0,163
