SED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SED10001,3,12,7,0,5,7,0,108,0,27,52,18,3,0,0,0,0,0,3,0,4,0,4,111,0,0,0,0,0,3,3,8,0,3,0,0,0,3,0,29,0,0,0,0,0,3,7,11,0,0,3,0,16,5,0,51,0,0,0,8,0,0,8,3,0,0,0,0,0,0,0,22,0,0,0,6,3,5,4,9,3,0,0,0,4,5,10,55,0,10,9,3,0,0,0,0,0,0,0,0,0,0,3,31,0,112,94,27,19,4,10,3,0,0,0,4,0,3,10,298,0,7,30,93,163,133,131,81,27,34,14,25,10,12,44,792,0,0,0,0,0,0,6,14,0,3,0,8,5,0,4,42,0,0,0,0,40,55,56,84,22,19,20,12,15,13,11,362,0,10,8,3,5,0,3,0,0,0,0,0,0,0,4,46,0,0,0,3,8,3,3,0,0,0,0,0,3,3,0,28
SED10002,4,8,9,0,3,0,3,118,0,65,155,116,19,4,9,15,0,10,9,7,0,0,20,430,0,0,0,0,5,31,30,18,0,0,4,6,9,3,15,120,0,0,0,19,259,745,1583,1195,195,271,270,250,292,197,215,5491,0,21,77,815,770,795,662,288,56,41,50,46,44,24,232,3920,0,0,4,15,72,140,141,76,16,27,34,32,48,55,54,709,0,44,33,15,6,0,0,0,3,0,0,0,0,0,3,112,0,9,7,0,0,0,3,10,3,4,0,0,0,0,0,39,0,7,7,32,114,148,289,110,33,38,40,32,47,13,88,999,0,0,0,5,53,189,379,447,146,354,437,367,362,179,57,2985,0,3,4,37,177,579,279,235,76,66,62,56,58,28,51,1724,0,17,11,5,28,25,8,7,0,0,6,0,0,0,4,124,0,0,0,3,26,35,43,23,7,3,4,20,11,16,0,195
SED10003,0,0,0,0,0,4,4,151,0,48,40,11,11,14,19,21,8,8,11,11,4,3,12,222,0,5,4,3,11,24,46,48,7,8,11,6,15,9,12,201,0,0,0,0,5,7,4,7,3,0,0,0,4,3,3,39,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,4,6,21,11,11,6,9,0,0,0,0,0,0,8,77,0,18,9,6,0,7,3,0,0,0,0,0,0,0,0,41,0,78,64,17,37,11,35,13,3,4,3,0,0,3,13,299,8,6,69,186,324,203,227,152,24,44,19,28,15,24,86,1411,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,23,28,30,24,10,7,0,5,8,3,10,163,0,3,4,0,12,3,4,0,0,0,0,3,3,0,5,51,0,0,4,18,7,7,3,3,0,0,0,0,3,0,0,44
SED10004,46,37,40,30,21,6,11,747,0,111,276,205,56,28,49,42,21,39,43,86,56,23,53,1084,0,0,6,5,25,58,108,52,18,18,16,14,34,28,33,406,0,0,0,4,39,53,80,87,24,28,28,31,30,44,34,489,0,3,9,30,30,28,5,3,0,0,7,3,0,3,11,136,0,0,8,48,95,113,95,64,12,19,26,30,32,24,17,582,0,35,48,26,0,3,0,0,0,0,0,0,0,0,0,114,0,18,21,14,13,8,44,37,7,16,8,15,12,4,8,224,4,11,66,205,385,349,513,282,76,78,59,66,57,40,62,2253,0,0,0,0,3,5,4,12,0,0,0,8,6,0,0,45,0,0,3,22,76,133,55,61,15,10,20,21,30,24,17,497,0,5,14,8,61,27,20,19,3,8,10,9,3,7,4,199,0,0,13,21,35,39,51,55,7,7,13,27,22,14,15,323
SED10005,0,0,3,0,0,0,4,82,4,139,246,177,25,8,7,0,3,0,3,4,5,0,26,642,0,0,0,3,7,16,16,0,0,0,3,0,0,0,3,50,0,0,0,13,75,80,181,89,19,25,19,16,8,7,14,550,4,26,117,1087,1169,1234,993,521,86,102,105,134,77,43,220,5916,0,0,4,6,49,73,57,16,9,7,11,16,13,12,34,313,0,60,42,10,3,0,0,0,0,0,0,0,0,0,15,122,0,18,17,3,0,3,8,3,0,0,0,0,0,0,6,57,0,0,4,24,109,163,271,154,52,32,64,50,46,12,118,1123,0,0,0,0,9,85,238,232,74,108,115,172,184,95,49,1365,0,0,3,18,70,266,187,102,18,30,32,22,32,10,26,809,0,40,42,23,58,35,23,0,0,0,5,3,0,0,12,245,0,0,0,14,7,14,14,7,0,0,0,3,4,0,0,69
SED10006,5,5,3,0,0,0,0,67,3,16,20,9,0,0,0,0,0,0,0,0,0,0,6,59,0,0,0,0,0,0,4,3,0,0,0,0,0,0,9,16,0,0,0,0,0,7,3,3,0,0,0,0,0,0,3,19,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,17,0,0,3,5,4,4,3,8,0,0,0,0,0,0,4,31,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,37,26,9,8,3,5,3,3,0,0,3,0,0,3,103,3,0,11,58,96,92,106,50,16,8,7,12,3,3,26,490,0,0,0,0,3,0,0,24,8,0,0,3,3,0,0,47,0,0,0,3,21,50,35,54,19,30,34,25,19,11,16,319,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,13,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,13
SED10007,3,10,7,0,0,0,8,116,5,27,44,24,3,3,0,0,0,0,0,0,0,0,12,115,0,0,3,3,0,5,13,0,0,0,0,4,3,0,0,34,0,0,0,0,4,4,7,11,0,0,0,0,0,3,14,39,0,0,3,18,7,6,13,0,0,0,0,0,0,0,18,60,0,0,6,17,8,9,17,3,3,0,0,0,0,0,7,76,0,12,15,9,0,0,3,0,0,0,0,0,0,0,3,45,0,73,62,29,25,13,6,0,0,0,0,0,0,0,3,212,0,6,14,117,179,140,134,84,7,30,20,11,16,11,81,848,0,0,0,0,0,5,0,18,3,0,0,4,3,0,0,35,0,0,0,0,25,50,52,43,12,13,12,15,21,4,22,274,0,16,16,3,15,3,0,0,0,3,0,0,0,0,8,59,0,0,5,5,3,3,8,3,0,0,0,0,0,0,3,30
SED10008,14,20,11,3,9,0,6,255,4,86,163,92,18,3,9,7,0,0,0,9,5,0,21,425,0,0,3,7,6,22,30,23,3,0,0,8,3,0,0,120,0,0,0,17,131,400,512,319,49,64,34,35,32,10,37,1629,0,18,52,94,73,93,32,16,4,0,0,0,0,7,10,402,0,0,16,97,194,317,161,121,16,23,22,31,15,14,5,1033,0,54,48,25,11,12,6,0,0,0,0,0,0,0,3,159,0,53,38,18,11,13,10,18,3,0,0,4,3,3,3,165,3,11,32,94,177,197,276,129,38,34,17,28,13,7,27,1086,0,0,0,6,20,59,73,28,12,26,8,17,16,22,9,301,0,0,9,62,201,315,161,68,9,12,8,20,28,11,19,919,0,8,10,10,104,54,18,10,0,3,5,0,4,0,4,226,0,0,3,19,51,79,69,44,11,10,18,13,15,4,9,347
SED10009,0,3,0,0,0,0,4,137,0,40,56,40,8,3,4,4,0,0,0,0,0,0,7,160,0,4,0,0,0,0,3,8,0,3,0,0,0,0,3,33,0,0,0,0,3,3,10,3,0,0,0,0,0,0,0,25,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,12,0,0,16,11,12,4,3,3,0,0,0,0,0,0,0,58,3,35,39,6,3,0,0,0,0,0,0,0,0,0,0,87,3,162,120,36,32,9,11,3,0,0,4,0,0,0,12,389,4,9,51,188,232,133,89,47,8,3,3,3,8,5,37,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,22,48,32,29,12,10,21,12,6,4,12,219,0,17,15,6,11,3,0,0,0,5,0,0,0,0,0,57,0,0,3,4,5,3,3,3,0,0,0,4,3,0,3,29
SED10010,4,7,3,0,0,7,6,129,6,75,172,130,19,3,9,4,4,0,3,3,5,0,21,448,0,0,0,3,0,10,17,6,3,3,0,0,0,0,0,38,0,0,0,8,66,132,171,61,11,7,4,12,13,0,12,492,0,5,24,133,95,147,104,34,14,3,3,3,3,3,25,600,0,0,6,18,42,68,67,28,6,4,8,11,3,3,13,276,0,153,234,171,45,30,12,0,0,0,0,0,0,0,18,654,0,54,73,22,7,0,6,0,0,0,0,0,0,0,6,169,0,4,14,49,172,310,608,285,54,115,66,57,52,35,95,1924,0,0,0,6,30,80,163,142,40,65,62,53,62,23,25,757,0,0,0,114,570,2003,1252,1027,225,243,173,237,203,103,116,6267,0,104,37,25,81,95,32,6,0,6,3,0,0,3,21,408,0,0,0,11,4,22,26,15,0,5,0,5,9,3,3,104
