SED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED10001,1932,10626,10821,3491,1713,28591,1243,29834
SED10002,3550,12123,8995,2651,1433,28752,1415,30167
SED10003,1309,10162,10570,2967,1390,26399,1170,27570
SED10004,6775,15437,7494,1171,410,31290,1135,32423
SED10005,3012,9349,7902,2694,1413,24365,1075,25442
SED10006,2407,9844,9233,3430,1943,26855,1688,28544
SED10007,1860,9172,9854,3759,2178,26824,1253,28077
SED10008,574,6303,11395,3978,2098,24345,415,24758
SED10009,1322,10862,10263,3076,1260,26778,1318,28095
SED10010,2629,10107,9264,3077,1522,26600,1120,27720
SED10011,1771,10103,9615,2985,1563,26045,704,26747
SED10012,2331,7331,7241,3395,1884,22185,882,23064
SED10013,624,5874,11833,4642,3196,26160,733,26886
SED10014,2118,8975,8523,3150,1681,24445,929,25380
SED10015,3680,11715,8638,2623,1299,27961,1078,29040
SED10016,455,5179,10855,4118,2752,23358,449,23802
SED10017,1245,8215,10155,3692,2059,25362,1065,26431
SED10018,1760,9041,10527,3243,1518,26083,783,26868
SED10019,1689,10607,9954,3134,1494,26873,1298,28171
SED10020,1643,10188,9812,2862,1395,25910,1134,27042
SED10021,5553,14987,8013,1484,465,30507,1071,31577
SED10022,1558,8895,9378,3539,2049,25421,1362,26786
SED10023,1545,8550,10541,3205,1923,25760,749,26511
SED10024,922,7380,11315,3510,1586,24709,538,25247
SED10025,2822,12627,9942,2312,1081,28776,741,29520
SED10026,1598,8700,9955,3618,1853,25733,1245,26979
SED10027,1887,7866,9024,3306,1723,23806,789,24595
SED10028,1447,8615,10520,3171,1430,25186,530,25718
SED10029,3181,9035,7519,2953,1536,24224,1180,25404
SED10030,3001,11895,8997,2569,1315,27776,1247,29021
SED10031,1307,8339,10274,4216,2582,26714,1071,27789
SED10032,3581,11236,8174,2560,1489,27040,1212,28254
SED10033,859,5905,8840,4098,3577,23279,725,24002
SED10034,1151,7846,10725,3545,2080,25340,578,25916
SED10035,9269,18845,7964,1455,519,38054,1428,39483
SED10036,1286,6601,10098,3744,2078,23812,810,24620
SED10037,1636,9368,9832,3051,1821,25711,584,26292
SED10038,2200,9687,10477,3225,1656,27246,887,28130
SED10039,1014,7992,9774,3440,2043,24265,835,25098
SED10040,4376,13112,8207,2247,1085,29025,959,29993
