SED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED10001,172,194,232,306,542,868,612,2085,85,5097,263,432,631,820,1042,1107,608,887,58,5849,145,245,241,347,1080,1348,675,820,82,4978,176,721,662,806,692,363,206,243,76,3944,196,515,579,751,1045,608,287,204,31,4225,134,959,498,520,452,327,207,268,44,3407,102,138,162,197,510,459,330,581,51,2515,167,875,483,534,642,685,281,299,99,4068,25,43,29,25,69,65,35,81,143,522,1389,4121,3512,4313,6074,5832,3228,5466,674,34606
SED10002,89,146,210,246,853,1181,442,882,64,4110,215,546,552,614,2135,2499,703,940,111,8317,108,498,766,668,1434,1654,673,607,244,6660,94,621,842,614,721,509,220,288,106,4010,141,432,515,456,1659,1275,330,333,84,5219,101,772,847,467,701,537,180,203,74,3874,47,217,345,321,800,606,252,370,117,3073,96,793,1216,614,1170,793,308,289,157,5432,32,109,113,83,198,183,45,59,489,1306,919,4126,5403,4077,9669,9242,3158,3966,1444,42006
SED10003,120,273,294,449,595,824,434,1285,45,4325,287,808,1023,1188,1098,1228,522,958,83,7199,142,333,414,573,869,946,336,616,87,4307,148,759,724,927,541,264,159,185,63,3763,115,517,514,608,790,394,170,187,35,3316,115,847,498,530,441,291,151,231,50,3159,47,128,139,184,222,188,110,222,18,1263,114,869,525,476,474,305,112,187,78,3141,29,66,36,40,47,50,17,44,193,516,1119,4594,4163,4971,5085,4481,2007,3913,657,30988
SED10004,252,216,348,457,988,2024,1308,3050,60,8691,600,1270,1385,1453,2553,4243,2382,4165,136,18192,68,186,271,224,465,734,334,593,47,2928,101,772,677,563,420,372,190,232,54,3374,159,475,562,492,1149,1134,539,620,36,5163,89,571,458,353,430,468,266,402,39,3083,23,70,83,47,118,118,65,101,12,636,32,291,322,140,202,156,93,114,29,1371,16,56,47,50,77,146,45,104,177,721,1331,3898,4159,3774,6405,9398,5226,9381,590,44167
SED10005,57,79,125,140,560,694,256,531,49,2492,140,398,355,405,1305,1395,427,544,90,5047,101,340,366,384,1032,1107,419,459,165,4367,100,518,615,606,574,433,194,292,96,3425,118,397,469,408,1372,941,290,275,61,4332,94,768,525,380,506,344,126,169,84,2997,66,242,227,287,879,638,281,402,91,3112,80,560,515,456,916,563,181,204,110,3578,34,67,64,48,131,109,25,36,332,844,784,3360,3247,3111,7279,6210,2206,2921,1076,30201
SED10006,181,246,189,346,498,932,492,3231,130,6246,221,253,321,448,777,894,389,804,51,4153,135,202,221,286,776,848,462,835,74,3844,194,490,489,791,715,398,182,260,80,3601,113,319,342,459,775,465,176,226,51,2929,66,512,306,351,340,235,128,200,55,2190,139,149,160,173,392,443,394,1040,73,2955,148,680,459,430,561,611,239,554,115,3800,46,37,23,39,71,51,24,84,236,619,1240,2894,2511,3314,4906,4869,2495,7235,853,30324
SED10007,112,197,207,284,506,700,459,1517,49,4023,212,446,604,581,1000,1032,457,844,50,5223,134,237,234,352,1139,1153,638,968,79,4943,207,795,605,749,726,490,197,240,70,4088,178,446,494,634,1129,520,257,212,25,3896,144,790,425,398,490,227,152,215,52,2892,103,129,137,148,562,586,402,770,57,2902,158,826,481,406,726,570,247,359,74,3852,36,39,37,26,67,76,35,57,192,573,1298,3907,3227,3579,6345,5357,2838,5188,654,32393
SED10008,126,196,241,332,908,1735,830,2139,53,6558,360,956,1125,1110,2337,3472,1261,1979,86,12680,81,222,225,299,798,1122,450,687,46,3924,108,815,530,454,443,308,146,168,35,3001,178,772,898,785,1475,1378,411,517,53,6474,112,981,585,383,459,568,214,297,39,3635,27,115,98,90,238,250,113,186,19,1136,57,483,273,208,275,220,84,137,34,1774,26,59,35,52,103,130,29,69,212,699,1078,4602,4008,3703,7024,9181,3542,6180,569,39879
SED10009,124,200,190,350,443,560,358,1055,55,3342,228,452,559,656,695,677,299,534,48,4141,131,341,316,439,877,924,402,568,85,4079,156,681,579,746,510,218,153,207,50,3307,162,437,430,582,738,332,155,159,33,3026,138,802,432,487,436,244,135,196,45,2917,69,111,128,124,267,259,180,305,17,1464,138,828,464,444,511,395,190,224,70,3263,35,49,31,36,46,60,12,27,135,422,1175,3897,3129,3858,4525,3670,1876,3283,547,25959
SED10010,73,87,102,171,822,935,389,671,38,3309,245,356,478,505,1963,2068,598,649,98,6960,102,249,308,359,1436,1463,603,640,122,5274,170,545,628,710,906,566,200,248,84,4064,177,375,549,601,2332,1411,431,356,85,6326,115,820,610,462,691,481,145,151,64,3536,91,221,358,348,1336,1037,473,639,116,4615,122,631,688,536,1176,727,285,275,127,4560,32,57,33,39,160,136,40,59,291,862,1133,3346,3753,3732,10821,8829,3170,3697,1028,39504
