SED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,1333,1682,3268,3473,3993,3189,696,75,9,17721,938,472,916,887,858,1876,3328,2229,1075,12581,140,182,317,300,304,376,321,350,208,2495,2412,2330,4500,4661,5159,5447,4344,2654,1291,32797,585,1769,4263,4306,5040,3797,740,83,13,20601,1484,1176,1830,2123,2198,2175,809,130,22,11947,88,83,332,200,243,317,109,18,3,1389,74,87,103,100,113,109,58,24,9,674,2232,3111,6531,6733,7591,6397,1720,249,42,34606,157,248,276,212,263,183,15,0,0,1355,229,146,125,127,112,129,30,0,0,896,386,392,400,341,373,310,49,0,0,2252,2621,3502,6932,7067,7967,6701,1768,253,45,36857,1967,758,1310,1361,1521,3179,6202,4050,1730,22077,284,383,650,603,653,738,663,589,339,4899,4869,4641,8894,9036,10143,10625,8629,4889,2118,63838
SED10002,791,2360,6300,3644,3302,2031,280,18,6,18728,1858,1406,3600,2492,2177,2522,2117,1301,678,18148,147,287,729,428,352,298,170,132,84,2624,2797,4055,10629,6567,5837,4849,2566,1449,766,39497,205,2002,9545,6128,4798,2971,381,13,0,26032,947,2472,4295,2298,1884,1388,294,26,3,13611,45,120,334,186,122,97,23,0,0,919,66,229,493,272,220,130,18,5,7,1444,1264,4813,14665,8880,7024,4588,717,43,13,42006,104,411,912,478,375,247,14,5,0,2541,331,506,544,236,210,167,16,0,0,2007,431,916,1454,718,586,412,31,5,0,4553,1698,5727,16120,9596,7607,5003,748,50,15,46565,3805,2890,6215,4022,3513,4131,4163,2474,1036,32252,301,628,1712,960,747,603,368,249,124,5697,5795,9244,24041,14581,11872,9737,5278,2777,1176,84507
SED10003,977,1007,2538,3521,4211,3421,671,65,15,16428,794,251,753,897,960,2192,3358,2099,1229,12540,139,134,342,420,493,565,392,307,299,3087,1904,1397,3634,4838,5662,6176,4418,2476,1554,32059,263,858,2647,3560,4390,3158,530,79,12,15494,1250,849,1921,2679,2915,2989,1000,108,16,13727,77,63,196,210,204,281,87,4,4,1119,61,46,88,148,118,116,53,15,16,657,1641,1817,4856,6590,7619,6538,1666,206,45,30988,94,132,216,196,252,202,18,4,0,1107,214,86,119,150,160,171,24,3,0,921,299,214,336,347,412,366,36,7,0,2026,1944,2033,5190,6940,8033,6912,1704,216,47,33019,1739,468,1076,1288,1614,3854,6368,3735,1925,22065,300,265,699,814,987,1141,789,525,465,5990,3988,2766,6967,9041,10633,11907,8859,4473,2442,61065
SED10004,668,2271,6674,5861,4427,2795,807,53,0,23557,930,1456,1104,981,813,1379,2080,1136,541,10426,114,345,817,615,432,379,262,128,86,3184,1714,4069,8594,7466,5670,4559,3145,1324,630,37161,107,1651,9452,8618,6370,3446,713,41,7,30408,743,1954,2443,2416,1790,1542,855,92,3,11831,34,76,436,432,154,130,64,0,0,1331,27,89,182,128,77,59,25,5,0,590,918,3767,12511,11596,8388,5174,1663,136,9,44167,24,126,310,233,305,153,16,0,0,1174,195,371,219,132,112,115,29,4,0,1171,217,498,527,367,419,270,50,4,3,2348,1139,4259,13041,11965,8800,5442,1708,139,12,46514,1781,2503,1770,1396,1356,2256,3696,1997,836,17598,236,660,1645,1273,907,733,494,242,114,6314,3148,7422,16456,14637,11064,8433,5901,2384,968,70420
SED10005,857,1891,3557,3079,2973,1858,254,18,0,14487,1808,1013,2632,2159,1934,2395,2432,1720,1018,17116,149,229,445,361,351,269,204,169,96,2271,2806,3133,6633,5596,5263,4522,2895,1907,1113,33874,264,1639,5104,4415,4167,2637,375,19,0,18622,912,1521,2085,1908,1710,1221,326,30,0,9715,52,93,238,147,106,128,18,0,0,784,66,175,306,204,194,107,13,4,3,1076,1290,3433,7735,6677,6177,4089,739,52,9,30201,126,296,499,351,336,222,7,3,0,1841,341,275,245,235,236,204,18,3,0,1558,464,567,744,581,576,423,23,10,0,3397,1759,4000,8480,7260,6748,4513,760,60,6,33591,3655,1870,3713,3090,2977,3958,4605,3088,1627,28597,295,424,911,715,710,571,427,290,154,4499,5712,6293,13102,11064,10441,9049,5800,3440,1788,66687
SED10006,778,1207,2980,2900,3507,2864,773,151,35,15201,1030,581,1185,896,1106,1826,2859,2090,982,12559,169,226,461,419,535,490,452,370,207,3314,1978,2009,4628,4218,5150,5179,4086,2609,1225,31072,424,1500,3888,3748,4687,3932,1071,240,36,19514,773,654,1435,1523,1743,1673,730,166,26,8726,44,88,285,163,210,306,101,31,11,1240,76,74,146,154,135,151,70,31,21,853,1310,2312,5753,5584,6777,6058,1977,460,91,30324,181,249,355,291,344,233,5,3,3,1669,136,125,155,134,130,132,29,0,0,835,318,377,505,428,476,368,28,7,3,2503,1629,2693,6261,6010,7246,6423,2006,471,94,32830,2152,920,1716,1475,1994,3391,5595,3798,1519,22558,361,443,940,848,1114,1117,976,678,326,6798,4135,4056,8921,8332,10354,10931,8578,4944,1939,62184
SED10007,1171,1601,2954,3346,3832,2888,691,83,22,16575,1110,548,948,869,988,1887,3185,1992,926,12446,205,212,268,298,382,393,405,290,186,2647,2489,2360,4160,4512,5202,5170,4274,2364,1129,31658,476,1629,3962,4215,5027,3582,729,103,18,19728,1266,1136,1662,1847,1991,1880,767,139,22,10709,89,124,292,191,217,274,90,15,0,1298,71,80,126,108,113,91,38,21,7,654,1905,2969,6041,6358,7342,5818,1619,285,54,32393,144,251,269,260,273,181,11,0,3,1397,242,164,122,107,118,98,20,3,0,873,384,414,395,364,383,284,33,5,3,2271,2289,3382,6435,6719,7734,6107,1651,286,55,34661,2449,1153,1809,1619,1838,3416,6175,3571,1431,23479,398,460,600,619,802,799,844,520,268,5304,5143,4995,8849,8962,10367,10323,8666,4381,1758,63447
SED10008,1176,1930,3543,4744,4625,3060,753,49,3,19886,1298,357,782,1248,948,1908,2974,1500,572,11589,41,45,130,137,134,127,96,91,79,881,2520,2341,4460,6124,5710,5093,3831,1638,649,32360,268,1779,5183,6956,6626,4279,792,37,3,25921,1565,1723,1456,2331,2268,1868,976,115,9,12312,85,103,278,223,152,172,59,9,0,1078,38,54,127,123,117,68,31,9,0,569,1961,3651,7041,9623,9164,6394,1863,166,12,39879,43,97,202,234,230,163,19,0,0,996,329,211,124,153,111,92,32,0,0,1051,370,309,321,387,342,254,52,3,0,2046,2331,3963,7357,10011,9507,6650,1916,170,14,41920,2848,843,1031,1469,1274,2831,5358,2867,922,19451,88,107,244,263,266,243,193,154,117,1672,5263,4911,8641,11748,11043,9728,7472,3187,1046,63044
SED10009,958,829,1781,2487,3529,3300,653,63,10,13610,690,267,612,716,970,2948,4621,2588,1189,14595,114,93,188,229,330,441,449,354,261,2446,1760,1182,2579,3434,4821,6688,5727,3001,1459,30649,369,867,2035,2650,3789,3018,546,66,12,13356,1101,631,1216,1760,2379,2823,859,96,16,10883,72,56,166,146,230,381,107,20,0,1175,61,63,64,78,97,110,48,22,7,547,1607,1617,3485,4631,6495,6334,1554,198,32,25959,102,161,208,154,194,204,12,3,3,1037,118,72,88,95,110,170,29,3,0,684,222,232,291,242,310,376,40,3,3,1716,1826,1847,3780,4877,6804,6708,1596,203,32,27674,1513,417,903,1137,1744,5273,9101,5026,1950,27070,227,184,373,469,697,883,898,673,391,4795,3562,2452,5062,6484,9247,12864,11590,5904,2382,59543
SED10010,1106,2115,5257,4298,3568,2446,377,28,0,19198,1441,656,2082,1608,1364,2118,2460,1661,691,14081,101,128,350,269,220,218,203,163,87,1747,2650,2897,7685,6170,5155,4785,3044,1846,780,35026,410,2080,7846,6758,5387,3523,501,16,3,26519,1153,1756,2536,2152,1615,1238,345,38,3,10830,70,88,354,229,164,165,51,4,0,1133,64,130,301,233,172,103,21,8,4,1028,1699,4056,11031,9374,7342,5025,915,59,12,39504,135,303,522,383,278,241,17,3,3,1888,386,268,248,203,153,178,21,5,0,1449,520,568,772,585,435,417,37,7,3,3337,2214,4621,11804,9952,7772,5440,950,63,14,42838,3076,1256,2725,2183,2139,3450,4560,2882,1092,23362,213,280,717,570,455,427,375,278,162,3475,5507,6159,15246,12711,10371,9324,5884,3220,1264,69680
