SED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED10001,942,500,2118,12948,16609,8046,6295,13191,6760,63838
SED10002,662,183,1176,17067,15546,6394,6380,30121,9006,84507
SED10003,964,623,2442,12441,16921,8263,5853,10276,7311,61065
SED10004,461,159,968,20659,19865,6138,3378,13348,7038,70420
SED10005,989,221,1788,12542,12280,5696,5907,23924,6341,66687
SED10006,895,465,1939,10191,14143,7119,6765,14891,9075,62184
SED10007,743,385,1758,11999,16119,7947,6717,12163,8499,63447
SED10008,482,151,1046,15707,17414,8442,6459,12713,2302,63044
SED10009,988,565,2382,9844,15834,9143,7073,10974,6672,59543
SED10010,619,221,1264,14630,16149,6833,6428,20819,4827,69680
SED10011,765,197,1545,12841,17958,8432,6140,9285,3662,58322
SED10012,951,122,1407,13061,11848,5524,5472,26122,4389,66428
SED10013,599,268,1199,16134,18163,8030,6345,14180,4588,67436
SED10014,348,191,799,13187,14694,6520,5851,16446,5241,61936
SED10015,998,175,1857,16118,15967,6973,5757,22403,5400,72622
SED10016,473,104,974,15848,16976,8114,6036,12533,2636,62144
SED10017,687,316,1424,11270,15183,7484,6923,13398,6258,60520
SED10018,840,381,2032,12760,16579,7958,5859,11385,3641,58181
SED10019,1087,406,2258,10021,14971,8245,7716,12881,6996,60827
SED10020,762,610,2070,11585,16085,7931,6131,11856,6001,59595
SED10021,921,452,2009,21427,18391,5844,3529,13143,7545,69886
SED10022,999,491,2270,10079,13388,7413,7039,12434,7854,58213
SED10023,768,226,1893,15767,16923,7336,5004,11264,3816,60112
SED10024,993,388,2461,15637,17418,8949,5835,11198,2928,61968
SED10025,1035,216,1946,17075,17437,6891,4864,16073,4614,66955
SED10026,794,295,1650,11509,15501,7528,6291,12211,7524,60563
SED10027,1066,292,2125,13595,14357,6727,5663,17544,4067,61955
SED10028,1087,637,2749,16047,17508,8705,6114,14309,2919,65597
SED10029,1038,200,1726,12543,12005,5432,5511,28669,5326,69487
SED10030,1038,577,2479,13210,16387,7391,5973,12848,5693,61505
SED10031,628,501,1755,11943,16842,8424,6658,10981,6901,61744
SED10032,729,198,1391,14150,14222,6354,6322,25047,5834,71932
SED10033,523,199,1128,13510,15847,7537,6255,11315,4715,59170
SED10034,945,165,1606,14899,17807,8230,5552,11441,2840,60767
SED10035,469,161,1064,26530,21479,5971,3854,26698,8071,92602
SED10036,727,168,1211,14302,15130,6633,5855,18664,4578,65161
SED10037,572,192,1397,15400,18522,8778,6124,11414,2943,63185
SED10038,1034,279,2162,14450,17688,8407,6070,12926,3776,63315
SED10039,814,501,2044,11830,15724,8217,6243,10841,5660,58513
SED10040,1070,444,2176,16970,16897,7329,5699,25274,5045,77202
SED10041,1203,497,2887,16006,17838,8612,6151,12203,3381,64187
SED10042,1029,497,2273,11820,15732,8231,6358,12624,4154,58914
SED10043,853,256,1668,13309,12905,5834,6751,25949,6197,70941
SED10044,1259,273,2405,18014,18790,7721,4919,13266,4145,66850
SED10045,854,544,2065,11423,16106,8501,6993,10813,7132,60968
SED10046,439,125,801,13590,13048,5543,5742,25133,7617,70672
SED10047,363,186,820,14081,16162,7088,6663,19237,7967,71191
SED10048,387,298,941,14360,16333,7117,6477,18271,5140,67692
SED10049,567,258,1271,12710,16337,8024,6583,12397,4241,60289
SED10050,528,344,1583,18812,18250,6966,4572,10829,4974,64405
SED10051,873,431,2026,16074,16221,6527,4553,16809,7549,67729
SED10052,1373,298,2520,14664,16260,7311,5359,13339,3237,60172
SED10053,485,232,1139,14089,18104,7620,5234,10437,6149,61638
SED10054,633,94,933,13596,14257,6097,6313,22448,5039,67753
SED10055,240,84,506,15031,16195,6950,5863,15550,3935,63519
SED10056,956,567,2187,12520,15949,7989,6740,14914,8793,66906
SED10057,1176,734,2812,9783,14648,8520,7278,13107,6437,59773
SED10058,563,578,1790,15776,17545,6812,4270,11125,5492,61027
SED10059,375,159,784,24975,19044,4617,2271,16575,9054,76543
SED10060,699,308,1732,20874,19367,6182,3610,10825,5920,66774
SED10061,781,362,1786,12058,16140,7826,6597,13557,7876,64047
SED10062,1110,315,2269,14999,15733,7404,5451,15559,3638,62773
SED10063,946,376,1919,12117,15978,7666,6414,13024,6364,61566
SED10064,1017,564,2285,9755,14632,8519,7467,12237,7546,60162
SED10065,845,272,1620,18634,19595,8115,6862,23685,6927,83812
SED10066,784,165,1389,14213,16816,7280,5891,13879,4764,62846
SED10067,1166,553,2602,14716,17106,7694,4882,10068,4114,58589
SED10068,1284,547,2785,11155,16497,8675,6674,12666,5843,61524
SED10069,845,369,1840,10761,15263,8263,6634,12066,5825,58816
SED10070,833,244,1437,13221,14393,6650,5952,20496,4507,65220
SED10071,259,57,475,16194,18521,7856,6220,14630,4275,67699
SED10072,988,428,2111,16836,16613,6392,5019,21750,6120,72732
SED10073,1006,315,2181,19212,19474,8310,6052,21083,4334,78469
SED10074,853,219,1637,14637,17419,8024,6414,16419,4410,67319
SED10075,723,296,1582,13412,16675,8469,6917,15024,4764,65263
SED10076,937,623,2298,9910,14877,8164,6807,12196,6227,58179
SED10077,1059,209,1985,19066,17388,7268,5491,25290,5994,80499
SED10078,1087,220,1880,18619,18312,6462,4126,16194,5526,69245
SED10079,720,479,1930,11699,15514,7994,6298,12999,4399,58910
SED10080,484,366,1212,27010,18929,4490,2473,24428,15008,92326
SED10081,880,415,1901,11687,15709,7970,6625,12516,6980,61489
SED10082,996,449,2383,13365,16823,8363,5935,11091,3922,59499
SED10083,1047,627,2489,12719,15726,7511,5879,12626,4915,59384
SED10084,1423,738,3070,12348,16256,8155,6073,14300,6481,63611
SED10085,657,301,1452,11210,15522,7813,7395,11679,6503,60124
SED10086,791,357,1968,20976,16338,5539,3521,13232,7344,66945
SED10087,832,369,1818,12899,16421,7557,6002,12609,5648,61134
SED10088,819,403,2072,16362,17682,7577,4868,12797,4009,63300
SED10089,800,702,2234,15082,17767,8035,5967,14804,4489,66150
SED10090,901,257,1910,18635,19063,7747,5113,14010,4188,68762
SED10091,656,373,1600,12748,16190,8121,6682,10817,4991,59534
SED10092,1079,440,2265,15749,17242,7402,5685,17716,6335,70133
SED10093,983,647,2202,12438,15110,7398,6461,14407,5923,61729
SED19494,41,26,78,1976,1606,620,412,3500,3428,11545
SED19797,5,0,10,23,36,19,40,163,93,374
