SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10001,11,10,22,73,85,157,7,3,8,3,5,10,22,24,42,12958,11437,24392,767,791,1562,306,8,316,147,23,168,206,53,256,146,66,212,674,665,1338,15317,13162,28478,3,0,3,0,0,0,0,0,0,6,4,11,0,0,0,4,0,4,11,11,17,0,0,0,0,0,0,8,0,5,5,7,13,0,3,4,8,10,20,134,76,206,154,97,252,8,0,11,0,0,0,12,7,12,18,9,24,990,1017,2003,1268,2203,3470,195,181,381,17944,16665,34606
SED10002,4238,3707,7943,270,348,614,63,41,104,11,15,28,86,24,116,14415,7068,21481,965,1182,2147,338,8,354,104,5,110,124,34,152,160,79,243,560,523,1077,21328,13036,34361,873,894,1774,21,11,35,18,20,40,376,241,610,107,170,276,49,20,67,1444,1355,2803,6,11,18,0,0,0,13,13,31,9,26,33,9,0,10,38,47,83,177,75,252,1665,1475,3143,200,190,383,5,3,14,5,0,8,211,192,398,406,649,1050,1099,1377,2482,360,212,572,25064,16942,42006
SED10003,18,6,25,91,80,167,7,0,5,3,3,7,16,9,24,10207,9768,19971,558,703,1264,321,12,334,176,21,199,353,196,550,159,95,250,515,596,1111,12407,11496,23901,4,3,3,0,0,0,0,0,0,9,4,10,0,0,0,3,0,4,14,12,24,0,0,0,0,0,0,3,0,4,9,13,21,6,0,5,20,14,37,117,84,202,145,114,256,5,4,8,3,0,3,11,4,16,17,13,28,1399,1719,3120,1249,1973,3225,244,207,446,15468,15523,30988
SED10004,623,552,1170,3648,4586,8236,423,310,730,475,470,945,129,164,294,7928,6997,14921,392,884,1278,117,3,114,550,101,648,1025,333,1359,152,123,279,2147,2384,4531,17598,16913,34508,787,889,1674,40,35,76,63,65,128,49,47,98,13,29,40,41,16,63,1002,1084,2080,76,67,138,59,64,123,43,61,103,29,62,93,76,61,134,281,319,599,204,123,325,1483,1518,3004,170,124,295,39,37,72,16,8,31,228,167,396,1121,1449,2570,1184,2182,3368,182,132,318,21798,22368,44167
SED10005,1764,1646,3410,206,346,555,4,4,9,3,4,8,68,19,87,11434,6941,18378,645,979,1616,381,6,389,75,3,74,56,6,60,136,58,193,289,368,657,15055,10375,25431,298,335,633,3,3,4,14,11,26,243,166,406,55,95,151,20,7,31,631,614,1245,0,0,0,0,0,0,16,16,30,7,27,39,4,8,8,23,53,73,136,69,209,787,737,1523,89,92,177,0,3,5,3,0,3,92,97,191,239,533,777,801,1037,1835,262,175,444,17249,12953,30201
SED10006,4,0,10,160,71,238,4,3,6,3,0,6,6,10,17,9843,8678,18518,789,784,1576,466,20,480,197,41,239,102,34,135,226,100,327,1160,1159,2321,12966,10898,23865,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,15,3,15,3,0,3,3,0,7,23,9,29,127,49,176,148,55,207,0,4,7,0,0,0,30,9,38,33,10,42,1554,1350,2903,1182,1628,2816,275,217,494,16168,14162,30324
SED10007,51,32,78,60,45,100,8,0,6,0,0,3,36,32,67,11842,10601,22446,727,820,1544,430,16,451,104,7,108,100,20,118,112,53,163,717,612,1334,14179,12244,26422,9,7,17,0,0,0,0,0,0,17,5,24,0,0,3,0,0,0,30,15,43,0,0,0,0,0,0,4,3,8,4,7,11,3,3,8,9,16,28,104,60,164,141,89,229,6,7,15,0,0,3,7,3,15,17,11,33,828,964,1794,1396,2108,3506,221,191,415,16786,15608,32393
SED10008,326,259,586,2849,2430,5280,3,0,3,3,4,7,27,15,41,13174,10637,23809,495,884,1385,238,0,238,151,10,158,88,12,97,112,61,174,215,218,435,17678,14536,32212,323,279,604,0,0,0,0,0,0,269,164,431,22,52,70,5,0,4,614,499,1117,0,0,3,0,0,0,234,219,454,41,84,123,23,3,22,293,315,607,112,66,180,1025,872,1899,103,101,211,17,6,22,5,0,5,123,109,238,881,1224,2109,1132,2063,3200,124,100,228,20964,18912,39879
SED10009,3,7,11,63,61,121,0,0,0,0,3,3,5,8,19,8817,8339,17163,535,643,1183,372,16,386,101,14,118,100,42,136,132,70,204,539,571,1114,10675,9777,20452,4,3,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,5,7,18,0,0,0,0,0,0,0,0,3,5,10,22,0,6,6,7,14,25,96,43,135,110,67,178,0,0,3,0,0,0,6,4,14,11,7,12,811,946,1760,1310,1888,3196,173,184,353,13091,12863,25959
SED10010,2429,2350,4784,404,586,992,3,3,5,4,4,3,73,18,86,13943,8991,22932,811,1163,1981,401,5,402,158,13,172,64,10,82,135,49,177,243,322,559,18668,13510,32174,679,818,1493,3,0,7,13,9,21,405,308,710,80,231,310,42,21,62,1220,1383,2602,3,0,3,0,3,3,36,32,63,23,43,66,6,4,8,65,84,145,159,59,218,1438,1528,2963,184,215,398,3,0,5,3,3,3,190,221,411,284,466,754,1109,1665,2778,266,159,422,21959,17544,39504
