SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10001,31042,32797,63838,13546,7054,20601,3454,8493,11947,946,1117,2063,1198,1053,2252,19139,17721,36857,9495,12581,22077,6.3,5.9,6.1,61.7,54,57.7,57.8,50.8,54.2,564,740,1306,375,721,1091,2355,3993,6352,2005,3185,5189,8525,4245,12775,300,654,957,488,902,1384,9308,5801,15112,29007,30060,59064,5399,5845,11244,19918,20272,40188,12910,14264,27176
SED10002,45009,39497,84507,16677,9357,26032,7024,6584,13611,1358,1002,2367,2774,1781,4553,27832,18728,46565,14107,18148,32252,10,9.5,9.8,61.8,47.4,55.1,55.7,42.9,49.7,2904,2429,5331,365,514,878,7004,7065,14068,3273,3616,6883,4162,2071,6235,243,370,618,561,672,1233,4975,3110,8088,38652,36691,75339,9761,7596,17356,22646,22568,45221,23179,19227,42408
SED10003,29014,32059,61065,9621,5871,15494,4997,8732,13727,856,917,1771,1119,911,2026,16588,16428,33019,9525,12540,22065,6.7,5.5,6.1,57.2,51.2,54.1,53.3,48.4,50.8,986,1188,2180,501,841,1339,3794,5451,9248,2189,3913,6105,7207,3267,10473,217,450,667,546,1010,1557,7966,4728,12692,26068,27719,53790,5114,5945,11054,17219,18197,35410,12735,14328,27066
SED10004,33257,37161,70420,16863,13549,30408,4167,7668,11831,772,1151,1922,1159,1190,2348,22960,23557,46514,7171,10426,17598,5,5.1,5,69,63.4,66.1,65.6,60.2,62.7,4389,5293,9676,840,1421,2261,9506,11465,20975,2620,3412,6025,3018,1533,4555,145,244,389,384,596,977,3543,2374,5922,26355,28835,55189,8311,9334,17643,15051,16817,31866,18395,20212,38611
SED10005,32811,33874,66687,11849,6777,18622,4360,5360,9715,1041,820,1863,1861,1533,3397,19108,14487,33591,11480,17116,28597,9.7,10.6,10.1,58.2,42.8,50.4,52.6,38.3,45.3,1201,1055,2262,193,313,515,3742,4131,7868,2313,3081,5390,4849,2448,7293,228,436,663,473,741,1215,5548,3631,9178,32809,33879,66691,5289,5185,10470,22149,22780,44937,13666,13996,27669
SED10006,31112,31072,62184,12459,7053,19514,2671,6058,8726,1037,1053,2094,1461,1040,2503,17627,15201,32830,10002,12559,22558,8.3,6.8,7.6,56.7,48.9,52.8,52,45.6,48.8,284,406,693,164,413,575,1355,2880,4236,1233,2266,3505,7034,3399,10434,340,622,962,441,730,1172,7812,4760,12566,29467,29264,58731,3976,4283,8255,21831,21226,43062,9778,10554,20334
SED10007,31782,31658,63447,12723,7008,19728,3172,7534,10709,891,1061,1950,1303,967,2271,18094,16575,34661,11030,12446,23479,7.2,5.8,6.6,56.9,52.4,54.6,52.8,49.3,51,656,732,1387,341,646,991,2122,3749,5869,1784,2891,4673,8767,3866,12632,325,696,1018,522,1016,1542,9614,5580,15197,28831,29267,58099,4943,5243,10193,19721,19608,39329,12513,13434,25948
SED10008,30685,32360,63044,16234,9689,25921,4038,8276,12312,691,948,1646,1068,976,2046,22031,19886,41920,7857,11589,19451,4.8,4.9,4.9,71.8,61.5,66.5,68.3,58.4,63.3,3437,2907,6348,600,880,1483,7186,8037,15221,2986,3944,6924,4854,2000,6861,160,355,518,593,965,1557,5604,3326,8933,32289,33491,65778,4590,4727,9315,22444,23183,45626,12949,13497,26443
SED10009,28890,30649,59543,8413,4939,13356,3850,7039,10883,825,888,1719,977,745,1716,14067,13610,27674,12477,14595,27070,6.9,5.5,6.2,48.7,44.4,46.5,45.3,42,43.6,648,694,1348,415,788,1203,2325,3530,5856,1920,3043,4956,8307,3587,11896,295,577,878,557,1065,1622,9158,5233,14391,26526,27594,54114,4358,4663,9023,18477,18864,37341,11403,12418,23824
SED10010,34650,35026,69680,16582,9937,26519,4287,6545,10830,1087,1065,2154,1682,1655,3337,23641,19198,42838,9284,14081,23362,7.1,8.6,7.8,68.2,54.8,61.5,63.4,50.1,56.7,1956,1924,3883,317,415,731,4793,6044,10832,2963,3197,6157,6215,3217,9433,289,504,788,555,769,1330,7062,4489,11547,34392,34574,68964,5950,5698,11651,22372,22822,45193,15864,15340,31202
SED10011,27676,30648,58322,12027,7233,19252,3949,8243,12195,717,888,1600,888,797,1684,17580,17160,34740,8777,12075,20852,5.1,4.6,4.8,63.5,56,59.6,60.3,53.4,56.7,1747,2074,3821,640,1224,1869,4066,5976,10041,2791,4040,6833,6718,3270,9986,255,414,668,632,987,1617,7605,4665,12277,27789,29989,57780,3856,4067,7920,19657,21200,40859,10933,11968,22902
SED10012,32215,34212,66428,12021,6992,19015,4064,5698,9764,926,754,1684,1987,1835,3826,18992,15286,34278,11701,17366,29069,10.5,12,11.2,59,44.7,51.6,52.8,39.3,45.9,466,499,962,108,184,292,2882,3277,6156,1995,2597,4596,4347,2344,6694,262,470,736,499,638,1130,5109,3455,8561,33256,34816,68066,4115,4152,8276,24794,25846,50639,10971,11440,22409
SED10013,32738,34706,67436,19163,10711,29873,3371,8963,12337,1034,1394,2425,914,1003,1923,24486,22071,46561,6583,10872,17452,3.7,4.5,4.1,74.8,63.6,69,72,60.7,66.2,865,1098,1961,304,629,929,2922,4717,7636,2708,4027,6736,9741,4082,13823,236,622,863,575,975,1550,10551,5684,16232,33098,34339,67436,6620,6973,13590,19585,20152,39736,17878,18961,36835
SED10014,29798,32143,61936,13866,8297,22160,3238,6415,9651,858,885,1743,1422,1501,2921,19387,17096,36477,8566,13000,21571,7.3,8.8,8,65.1,53.2,58.9,60.3,48.5,54.2,733,768,1503,219,359,574,2290,3215,5503,2053,3102,5160,7093,3920,11018,288,611,904,558,926,1480,7935,5456,13391,29844,31207,61055,4974,5251,10228,20997,21919,42917,12149,13032,25175
SED10015,35552,37063,72622,15034,9386,24419,5230,7624,12856,1017,1018,2035,1535,1394,2928,22811,19429,42243,10647,15496,26145,6.7,7.2,6.9,64.2,52.4,58.2,59.9,48.6,54.1,2050,2075,4128,378,580,959,5411,6378,11788,3014,3585,6601,5014,2410,7428,215,372,585,593,911,1502,5817,3690,9509,33924,34979,68903,5887,5849,11737,23181,24284,47473,15046,14973,30013
SED10016,30272,31869,62144,16965,9845,26815,3915,8677,12591,669,886,1549,997,920,1916,22544,20332,42871,6768,10557,17326,4.4,4.5,4.5,74.5,63.8,69,71.2,60.9,65.9,2725,2133,4857,495,787,1278,6247,7412,13664,3067,3993,7057,5443,2327,7767,157,382,535,588,984,1576,6189,3695,9880,32092,33173,65262,4943,5048,9989,21276,21946,43221,14386,14886,29267
SED10017,29786,30733,60520,12490,6291,18780,3116,7606,10716,842,1006,1852,1482,1186,2673,17925,16087,34013,9902,12563,22467,8.3,7.4,7.9,60.2,52.3,56.2,55.2,48.5,51.8,344,418,757,160,332,485,1317,2471,3781,1508,2541,4052,9575,4739,14315,295,704,1000,444,904,1349,10319,6344,16662,28855,29907,58767,4785,5143,9923,19426,19605,39025,12333,13574,25911
SED10018,27814,30361,58181,12250,6905,19149,3578,8350,11927,678,925,1601,1218,914,2130,17725,17091,34811,8867,11976,20839,6.9,5.3,6.1,63.7,56.3,59.8,59.3,53.3,56.2,1083,1126,2207,402,720,1126,3600,5088,8689,2326,3199,5523,7846,3352,11204,242,489,728,493,977,1473,8586,4817,13397,28265,30105,58375,4141,4358,8500,20244,21568,41812,10818,11671,22483
SED10019,29876,30949,60827,8943,5014,13953,3639,6576,10218,806,862,1663,1380,1061,2438,14767,13507,28275,12738,15140,27877,9.3,7.9,8.6,49.4,43.6,46.5,44.8,40.2,42.5,367,371,740,249,399,649,1545,2661,4200,1488,2623,4108,8163,4237,12398,329,651,983,545,1023,1574,9042,5915,14958,28007,28673,56682,4591,4833,9427,19918,20181,40100,11226,11976,23196
SED10020,28551,31045,59595,10122,6188,16313,4008,7719,11722,738,844,1587,1304,1035,2347,16171,15794,31971,10132,12872,23007,8.1,6.6,7.3,56.6,50.9,53.6,52.1,47.5,49.7,600,650,1250,341,596,938,2641,3982,6628,1971,3464,5433,7837,3862,11703,334,690,1021,516,1007,1519,8683,5561,14244,26447,28010,54451,5292,5843,11139,17280,18028,35309,13272,14725,27995
SED10021,33056,36833,69886,17526,14019,31542,4008,7852,11864,729,1192,1922,928,880,1806,23200,23939,47137,6492,9431,15924,4,3.7,3.8,70.2,65,67.4,67.3,62.6,64.9,3990,4453,8449,759,1222,1973,9198,11565,20767,2505,3671,6171,3938,1609,5546,120,238,358,465,715,1178,4518,2565,7081,27472,30149,57618,7095,8051,15144,15757,17459,33211,17565,19436,37001
