SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED10001,290,1157,385,408,59,2618,273,235,1317,782,1173,142,3921,11,9,36,29,94,14,184,23,11,69,136,738,41,1012,23,8,91,81,378,117,695,1056,842,5011,3664,10639,1053,22259
SED10002,111,720,198,192,30,1778,552,145,1744,667,583,124,3814,30,6,126,51,60,18,294,97,17,234,189,348,29,919,177,26,535,299,341,308,1677,4156,681,10456,4619,5114,1386,26414
SED10003,329,1353,396,360,68,2967,453,228,1558,812,1040,160,4251,29,15,159,80,105,10,398,15,12,123,145,556,19,862,47,29,240,165,331,123,932,1553,920,6461,3699,8197,999,21827
SED10004,342,1514,297,178,72,4137,1065,234,1875,422,313,94,4003,187,42,484,147,130,23,1011,123,37,316,159,293,35,965,200,36,563,182,161,130,1282,7934,1821,16462,4453,4184,890,35741
SED10005,84,669,223,208,33,1578,245,94,952,607,619,101,2613,14,7,59,43,81,12,207,33,12,127,163,501,47,886,59,17,242,188,378,222,1108,1673,396,5676,3451,5613,1013,17831
SED10006,174,1084,302,418,82,2267,144,117,762,642,1020,161,2849,7,0,23,15,70,7,131,16,10,44,55,605,31,757,7,7,56,60,306,146,588,591,488,3524,2681,8873,1296,17458
SED10007,258,1199,363,480,66,2730,213,178,983,672,1070,118,3230,17,4,51,47,106,10,241,17,6,75,110,654,22,879,15,10,75,91,405,120,713,1009,732,4493,3201,10597,1006,21029
SED10008,269,1520,356,265,56,3192,779,202,1828,676,547,140,4179,28,3,112,45,78,8,268,116,32,250,196,463,42,1092,187,36,388,184,290,117,1198,5200,1114,11825,4802,6114,1010,30071
SED10009,255,732,252,281,39,1750,223,164,963,624,1089,118,3180,17,8,65,45,136,8,287,23,3,49,71,572,22,740,19,4,66,65,276,113,537,748,671,3404,2615,8522,914,16881
SED10010,110,751,228,263,49,1828,461,135,1743,748,1010,164,4262,16,3,70,46,80,7,231,70,17,168,164,593,43,1055,104,16,299,219,463,218,1322,3119,587,8323,4492,8073,1259,25853
SED10011,462,1861,514,431,68,4435,556,303,1504,843,892,123,4214,69,33,156,104,176,15,554,57,21,130,125,534,21,892,69,14,156,112,288,90,728,2783,1290,7052,4376,8218,802,24522
SED10012,53,513,161,174,43,1139,126,46,739,444,591,103,2048,0,4,48,39,51,9,155,8,0,93,180,554,45,884,37,4,204,163,379,189,977,752,225,4711,3059,5578,932,15252
SED10013,270,1629,449,485,64,3554,309,190,1208,817,905,122,3552,14,7,72,70,137,18,320,16,10,104,187,1003,54,1382,44,15,186,174,611,174,1197,1697,773,6450,5444,12771,1196,28328
SED10014,137,748,282,429,58,2003,212,115,1013,695,1056,164,3260,10,4,46,57,103,7,223,21,11,80,109,598,40,856,24,5,109,119,472,173,903,1148,458,4159,3585,9188,1127,19679
SED10015,181,1078,287,234,59,2501,504,144,1447,622,679,131,3525,43,10,150,69,103,21,406,71,22,235,197,586,46,1151,113,9,373,262,360,244,1361,3401,784,9240,4827,6584,1275,26105
SED10016,243,1592,369,273,77,3227,623,203,1691,690,572,141,3917,30,10,103,75,92,19,322,79,16,219,178,666,32,1192,134,14,385,231,331,133,1235,4046,1020,10923,5234,7350,1096,29679
SED10017,104,625,193,400,36,1500,139,108,796,741,1360,135,3274,5,3,21,33,101,15,177,18,5,49,113,998,29,1213,11,3,51,76,438,115,694,603,370,2874,2884,11636,906,19275
SED10018,245,1366,346,362,54,2875,516,245,1845,861,1149,155,4768,14,10,70,43,98,11,236,26,11,104,126,604,20,885,30,16,107,88,323,101,672,1782,864,6789,3862,8744,752,22792
SED10019,131,767,313,379,49,1769,143,108,772,630,1349,136,3146,5,3,23,35,94,22,188,16,8,51,94,581,21,762,3,6,28,46,312,108,506,508,402,2844,2353,8831,978,15919
SED10020,196,1123,360,380,53,2350,313,184,1446,844,1293,147,4217,15,5,44,50,123,9,247,15,9,85,116,621,36,885,16,4,84,87,355,99,645,904,641,4786,3438,8988,857,19609
SED10021,317,1541,298,195,69,3967,1096,271,2520,607,363,129,4985,128,34,436,151,165,27,945,99,21,311,201,361,39,1035,217,40,564,174,193,135,1314,7086,1597,17277,4641,5088,1130,36814
SED10022,186,948,300,344,62,1992,92,69,636,578,983,109,2465,0,4,20,11,94,7,137,7,0,47,88,621,20,791,10,3,58,49,301,146,564,436,409,3241,2550,9065,1175,16879
SED10023,282,1509,413,312,83,3123,483,191,1350,676,567,146,3411,29,9,157,112,170,25,497,48,16,160,198,690,28,1144,65,15,260,233,410,143,1131,2416,996,8456,5503,9420,1101,27894
SED10024,259,1265,325,159,61,2881,896,194,1774,457,310,135,3761,61,12,148,55,54,21,353,113,20,244,145,373,35,926,211,33,479,171,193,112,1201,5953,1272,12747,3921,3685,918,28500
SED10025,286,1399,301,250,65,3167,780,194,1754,484,380,123,3715,67,20,183,96,104,19,491,102,13,230,180,493,31,1060,194,27,430,194,238,139,1224,5749,1275,12928,4681,5624,1093,31352
SED10026,248,1199,309,482,51,2521,221,166,1145,787,1176,139,3641,9,10,53,30,175,10,290,15,4,84,112,897,42,1160,15,5,66,57,335,119,590,892,672,4721,3192,10787,1120,21381
SED10027,152,1035,312,336,85,2401,300,100,1032,571,631,121,2759,19,7,82,49,106,10,277,45,12,140,176,625,40,1044,55,10,201,156,389,157,965,2007,570,6646,4130,7705,1057,22118
SED10028,270,1458,343,229,66,3419,855,235,1975,587,447,121,4219,43,12,115,50,50,8,276,139,37,259,137,267,25,864,239,41,475,145,160,117,1183,6800,1373,13027,3863,3898,923,29876
SED10029,43,434,169,183,46,1108,165,51,698,531,616,96,2160,5,0,47,36,51,10,148,22,6,101,174,461,39,803,28,5,203,153,394,199,988,938,219,4476,3070,5450,1006,15159
SED10030,149,796,289,308,49,1920,307,161,1303,822,1337,160,4096,11,8,82,49,130,14,299,39,22,97,157,654,40,999,43,7,118,113,346,149,775,1352,592,4926,3857,9068,1015,20812
SED10031,237,988,374,387,48,2393,251,151,955,742,1134,135,3362,22,14,76,53,112,20,291,30,21,85,129,713,35,1004,33,17,108,112,383,112,763,1537,868,4965,3819,10098,1096,22380
SED10032,92,756,192,193,55,1740,495,139,1500,714,754,160,3752,24,7,73,53,77,12,232,63,16,181,184,461,41,942,154,14,307,219,381,250,1321,3624,560,8363,4251,6137,1340,24284
SED10033,221,1070,397,465,64,2725,217,131,889,645,885,81,2837,13,7,52,60,204,24,361,19,14,94,168,1009,35,1337,36,7,104,128,611,159,1039,1270,607,4560,4192,12127,1010,23766
SED10034,318,1652,511,431,77,3663,442,190,1430,800,876,131,3867,32,12,127,80,167,14,433,36,26,144,182,824,36,1246,59,17,174,127,448,111,930,2444,1018,7898,5361,10795,1018,28542
SED10035,252,1563,294,234,58,3976,895,246,2102,562,458,138,4398,144,36,433,139,174,18,935,122,21,341,208,518,53,1262,281,37,628,202,272,182,1605,8186,1516,17913,5711,6604,1202,41127
