SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10001,9573,544,93,117,26,10353,9075,350,35,18,29,9499,3063,1960,411,26,20,5471,556,172,35,0,10,766,1437,266,61,10,20,1794,72,77,8,0,3,169,283,29,24,28,3,367,170,16,5,3,0,197,5575,2520,547,75,53,8769,269,28,4,7,5,313,679,138,49,10,14,901,25173,3575,730,222,127,29834
SED10002,4937,613,1077,29,16,6674,4346,1281,2869,34,21,8552,1986,963,6050,76,35,9109,555,595,500,7,0,1662,981,225,771,28,17,2020,47,119,104,0,0,264,202,61,115,3,4,383,91,13,47,0,3,156,3855,1979,7583,114,62,13591,83,25,61,0,3,170,523,153,446,10,46,1184,13749,4051,12029,191,142,30167
SED10003,8713,1210,275,491,91,10779,6471,758,203,38,51,7521,2131,1285,588,35,35,4075,262,333,117,0,3,720,1799,403,228,103,35,2565,89,77,25,0,0,184,115,35,8,136,6,300,145,36,16,7,0,200,4529,2168,982,284,82,8044,208,111,8,4,3,332,549,182,57,55,49,887,20470,4427,1526,873,276,27570
SED10004,1407,4298,1499,31,33,7273,1493,5083,2118,44,27,8767,616,3214,6187,143,61,10226,74,1009,1057,0,9,2143,143,884,1194,54,34,2308,11,48,242,0,0,300,8,61,126,8,4,211,6,53,80,3,0,147,865,5264,8891,215,112,15341,22,73,65,0,3,162,97,333,394,18,45,885,3881,15046,12971,303,223,32423
SED10005,5558,602,792,16,9,6970,4498,1139,1513,24,13,7190,1691,620,2514,46,22,4893,1135,516,1376,0,6,3036,858,238,388,24,19,1526,62,75,150,0,0,286,215,38,73,11,6,335,98,21,36,3,0,157,4066,1509,4537,77,57,10246,86,32,51,3,0,172,492,105,249,5,21,870,14694,3385,7133,128,101,25442
SED10006,10860,57,44,226,108,11298,6776,34,18,39,76,6939,1642,179,302,8,20,2153,973,46,130,0,15,1165,2379,63,154,38,33,2672,553,21,107,0,12,692,1231,45,166,44,32,1526,446,9,33,11,7,504,7224,372,892,103,123,8716,291,16,15,28,3,349,1031,32,75,65,36,1240,26182,505,1042,465,356,28544
SED10007,9623,392,73,192,73,10359,8497,205,46,141,59,8942,3016,920,488,29,29,4479,733,213,92,0,0,1035,1344,146,70,30,21,1609,57,26,17,0,54,152,192,22,13,17,7,247,153,12,12,13,7,195,5493,1337,690,87,115,7723,156,34,3,3,11,211,623,83,34,17,76,833,24397,2047,847,440,341,28077
SED10008,8441,697,161,3,11,9316,9345,1108,289,4,11,10751,1821,875,487,4,17,3204,26,40,0,0,0,75,441,111,52,0,7,616,20,56,22,0,0,100,36,38,0,0,0,80,31,8,4,0,5,44,2376,1135,580,7,26,4121,73,29,99,0,0,203,284,49,24,0,13,367,20525,3018,1153,12,52,24758
SED10009,11337,952,342,331,77,13030,6687,239,126,49,65,7166,2086,644,544,41,15,3334,430,168,137,5,3,736,1495,195,162,39,21,1914,94,54,56,0,0,207,151,27,17,63,12,274,156,22,16,10,9,204,4403,1117,932,149,68,6666,148,124,38,11,4,330,671,102,78,38,20,908,23237,2530,1515,576,231,28095
SED10010,6266,304,100,8,3,6674,8303,1083,352,8,14,9758,3865,806,1300,24,36,6024,1425,459,447,0,3,2330,1120,176,140,6,20,1466,47,39,40,0,0,127,125,15,22,4,0,167,90,11,19,3,0,121,6674,1508,1965,37,61,10234,116,36,13,0,0,162,659,110,99,0,23,888,22011,3027,2532,44,100,27720
SED10011,9900,392,47,10,22,10372,10330,126,45,10,18,10532,2495,311,251,10,17,3087,161,144,87,0,0,391,1032,86,44,4,17,1174,55,78,49,0,4,192,57,8,7,5,12,92,81,10,3,0,4,94,3888,627,450,24,45,5033,111,135,4,0,0,251,469,47,33,5,17,564,24696,1322,569,55,107,26747
SED10012,6510,501,456,5,7,7480,5886,685,425,10,9,7018,2011,624,1282,26,27,3973,819,859,131,0,0,1810,880,199,225,6,11,1320,64,68,28,6,0,163,191,37,52,5,0,284,61,17,32,0,0,111,4037,1799,1744,48,44,7670,90,33,23,0,0,158,510,109,121,5,9,749,17030,3127,2769,64,75,23064
SED10013,6445,307,40,43,20,6858,13136,351,20,6,17,13536,3528,401,65,10,26,4031,244,80,31,0,0,353,838,67,10,10,4,940,36,22,0,0,3,60,145,4,0,10,6,169,89,5,3,0,5,107,4878,587,106,29,46,5650,113,121,13,0,0,251,440,81,19,4,57,605,25015,1442,200,83,147,26886
SED10014,5421,414,259,15,3,6103,8318,528,242,14,7,9117,3173,721,906,19,11,4841,1599,1181,104,0,0,2891,782,136,61,3,7,994,69,94,29,0,0,196,70,11,13,0,3,98,73,16,8,0,0,96,5775,2156,1124,30,21,9111,138,103,134,0,0,368,475,130,60,3,8,676,20122,3334,1822,54,40,25380
SED10015,7201,756,1204,33,9,9202,4907,1179,2031,38,19,8172,1612,774,5035,102,33,7561,198,293,422,0,0,914,592,177,709,32,11,1519,51,62,86,0,0,200,81,24,121,7,5,234,72,29,61,0,5,162,2610,1362,6428,140,52,10588,87,32,65,7,3,190,439,113,303,11,17,882,15240,3441,10037,220,105,29040
SED10016,6672,627,394,0,8,7702,9879,1093,310,0,17,11298,2015,532,608,7,14,3167,15,27,5,0,4,55,457,105,100,0,8,662,10,11,14,0,0,40,89,33,10,0,4,136,44,12,5,0,0,69,2628,722,738,7,32,4120,98,155,12,0,0,270,319,52,36,0,7,416,19592,2647,1488,13,63,23802
SED10017,7953,324,14,19,30,8336,10045,101,21,11,32,10209,3445,735,169,15,29,4395,470,239,86,0,3,791,1180,78,29,8,12,1306,44,72,0,0,0,120,124,26,3,3,3,164,111,12,0,3,0,126,5369,1158,298,32,46,6902,151,78,5,0,0,231,603,118,17,3,12,751,24118,1778,341,70,128,26431
SED10018,8710,1137,145,83,5,10081,8853,456,125,15,8,9455,2078,867,414,4,15,3381,942,457,186,4,0,1590,919,247,84,5,4,1260,33,47,34,3,0,115,89,45,7,16,3,158,64,19,3,0,0,86,4126,1678,732,29,18,6591,76,60,3,3,0,148,442,103,36,3,10,595,22210,3438,1041,138,48,26868
SED10019,10676,447,287,472,59,11929,7314,149,89,73,37,7662,2608,477,689,38,19,3834,420,99,105,0,0,635,1635,180,217,43,25,2098,162,95,55,0,0,310,214,28,23,118,13,388,161,23,8,6,3,210,5191,911,1095,213,66,7475,136,14,25,13,9,200,701,55,88,48,13,906,24015,1575,1586,813,179,28171
SED10020,8056,870,479,381,61,9850,6956,451,268,24,43,7751,2424,1061,1245,14,51,4793,516,310,267,0,3,1103,1182,261,230,33,36,1739,82,83,37,3,3,207,134,37,30,111,15,333,99,16,15,9,7,138,4436,1772,1822,164,115,8316,182,80,32,8,5,312,458,141,122,50,43,816,20092,3315,2729,631,280,27042
