SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED10001,171,22,511,230,127,165,64,163,15,1473,8,6,0,9,6,3,3,7,0,43,42,37,21,26,22,17,27,24,6,223,100,41,120,70,50,62,85,137,64,727,3380,5431,3910,2726,2595,1231,1153,1559,278,22259
SED10002,104,21,492,170,116,100,64,111,12,1187,5,0,15,6,6,11,9,29,3,88,31,78,42,40,44,35,27,38,20,346,55,70,151,69,75,53,67,120,216,874,3036,7541,3590,2731,3490,1955,1329,2074,676,26414
SED10003,163,41,546,244,110,143,47,137,20,1436,9,3,3,3,4,5,0,3,4,31,50,71,37,35,36,17,11,23,10,294,74,67,116,90,63,84,38,97,79,707,3096,6691,3402,2789,2173,1326,579,1433,339,21827
SED10004,175,59,379,142,90,70,18,42,12,983,8,3,8,7,3,7,0,4,0,37,144,261,35,41,83,32,6,14,21,635,69,119,34,39,49,38,20,26,99,501,7429,16683,2320,2160,3762,1813,334,695,537,35741
SED10005,96,13,312,188,105,106,72,84,12,975,3,0,10,0,5,7,3,12,3,44,16,29,35,23,32,12,30,25,10,217,32,37,90,79,46,39,69,109,132,645,1690,4522,2818,2193,2526,1302,1191,1189,398,17831
SED10006,114,18,301,162,89,51,57,100,8,900,3,5,0,3,0,4,4,6,3,32,26,31,24,21,17,7,26,17,9,184,186,68,120,110,92,85,128,187,108,1073,3326,3784,2862,2363,1709,725,1127,1261,298,17458
SED10007,140,33,448,197,135,89,77,134,19,1270,0,3,3,3,3,4,6,7,0,34,25,33,22,29,35,9,33,12,17,216,92,38,116,65,68,60,84,131,71,718,2787,4862,3922,2726,2446,1102,1381,1498,306,21029
SED10008,121,48,266,123,139,97,27,39,17,885,3,3,0,3,6,5,0,0,0,22,80,108,29,33,76,37,12,7,9,399,49,81,58,28,71,42,18,23,110,476,5352,11626,3097,1951,4409,1752,608,773,497,30071
SED10009,144,28,492,183,108,146,44,171,16,1332,0,0,0,0,0,0,0,3,0,13,36,31,25,23,25,10,13,30,3,207,78,55,111,76,54,84,37,115,63,667,2273,3871,3197,2284,1812,1150,644,1394,249,16881
SED10010,106,35,412,176,132,106,155,146,15,1288,9,3,0,3,9,4,14,14,0,56,33,60,43,54,65,46,80,72,17,470,45,54,103,77,77,47,104,109,131,742,2444,6318,3978,2939,3988,1617,2110,1961,506,25853
