SED_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SED10001,1044,193,23,12,923,266,2461,864,386,61,32,726,245,2313,1437,1271,253,121,874,437,4397,1272,1436,368,170,698,428,4372,1377,1620,405,168,930,477,4977,1329,1519,474,226,1155,478,5173,701,1049,476,320,1219,519,4280,268,385,223,206,748,404,2235,91,107,45,38,340,211,830,8368,7969,2335,1292,7611,3467,31042,1100,303,46,20,697,248,2412,708,692,183,130,410,213,2330,730,1371,761,894,408,344,4500,390,1422,1079,1026,396,347,4661,555,1772,1190,752,513,377,5159,514,1705,1179,854,750,453,5447,304,854,863,887,942,493,4344,179,378,347,353,863,525,2654,99,142,75,83,605,286,1291,4576,8640,5710,5005,5576,3297,32797,2137,495,70,29,1623,512,4869,1574,1080,239,162,1130,454,4641,2163,2644,1013,1012,1281,784,8894,1659,2862,1447,1194,1094,776,9036,1935,3396,1598,922,1437,854,10143,1838,3224,1652,1074,1901,934,10625,1004,1900,1342,1208,2159,1016,8629,445,766,578,562,1610,934,4889,192,248,117,121
SED10002,858,216,29,11,1593,290,3002,1309,521,78,61,2580,640,5195,3389,2077,390,211,5585,1768,13419,1946,1635,372,213,2808,1047,8022,1424,1190,320,157,2232,709,6035,1105,1054,296,173,1801,465,4886,492,577,221,142,1003,287,2717,205,271,112,58,537,157,1326,56,34,20,9,232,62,407,10779,7569,1840,1043,18363,5415,45009,860,352,58,26,1263,241,2797,1052,737,211,168,1474,408,4055,1976,2300,968,1479,2915,985,10629,719,1349,958,1346,1582,608,6567,662,1301,923,977,1518,455,5837,524,1139,774,754,1282,372,4849,270,495,444,402,729,224,2566,148,241,172,156,558,175,1449,75,70,38,27,433,117,766,6290,7976,4550,5337,11759,3592,39497,1721,563,87,43,2856,531,5795,2359,1257,292,231,4059,1047,9244,5361,4372,1362,1692,8498,2755,24041,2669,2983,1330,1560,4390,1655,14581,2087,2495,1242,1136,3748,1159,11872,1625,2188,1070,933,3084,834,9737,757,1073,659,542,1728,515,5278,356,510,282,212,1092,324,2777,128,109,60,35
SED10003,910,143,11,10,721,283,2083,537,197,36,22,425,153,1373,1200,906,184,72,568,402,3333,1166,1432,401,185,578,446,4209,1267,1684,502,224,718,574,4966,1291,1875,580,319,1014,650,5724,716,1283,639,349,942,510,4446,231,419,246,201,575,315,1997,87,124,76,60,315,218,889,7412,8061,2681,1439,5856,3564,29014,898,170,25,10,548,260,1904,519,342,88,60,247,145,1397,846,1054,477,576,324,357,3634,605,1500,1020,962,277,467,4838,774,2043,1159,713,421,544,5662,771,2094,1311,752,622,629,6176,294,1054,1003,836,710,511,4418,171,446,402,408,615,435,2476,152,159,97,90,652,400,1554,5026,8858,5589,4414,4419,3751,32059,1804,315,36,19,1269,544,3988,1056,531,125,78,677,301,2766,2051,1960,659,649,888,753,6967,1772,2936,1426,1147,858,917,9041,2044,3731,1663,933,1140,1115,10633,2055,3963,1892,1071,1643,1283,11907,1012,2335,1643,1186,1656,1027,8859,409,859,653,611,1189,757,4473,237,286,175,155
SED10004,588,88,17,5,583,154,1435,1214,441,33,14,1286,354,3352,3238,1774,206,56,1701,899,7868,2579,2319,490,128,959,697,7172,1705,1870,377,138,797,513,5397,1093,1297,295,114,675,400,3874,616,815,294,110,638,278,2760,177,227,86,38,376,161,1063,45,54,13,15,164,50,340,11265,8878,1814,615,7183,3510,33257,721,176,8,6,649,158,1714,1510,693,64,25,1415,368,4069,3016,2399,507,468,1339,863,8594,1615,2478,1178,1015,540,640,7466,1111,2122,1065,464,441,462,5670,791,1764,716,337,529,426,4559,411,983,557,313,555,320,3145,147,288,195,120,401,172,1324,70,92,36,18,294,113,630,9393,10983,4322,2767,6163,3530,37161,1316,261,27,14,1227,308,3148,2731,1136,98,37,2701,726,7422,6259,4174,712,522,3040,1759,16456,4195,4791,1671,1141,1499,1342,14637,2814,3994,1443,594,1239,977,11064,1886,3057,1009,446,1204,825,8433,1029,1799,853,422,1198,605,5901,322,513,280,161,782,335,2384,115,147,50,34
SED10005,828,244,36,21,1509,266,2900,878,332,58,35,1547,310,3164,1710,1095,179,107,2649,732,6466,1380,1070,259,167,2037,545,5465,1179,1046,272,163,1974,540,5174,933,1017,302,175,1689,405,4527,476,584,262,139,1144,302,2902,223,226,136,103,669,183,1532,72,77,51,37,349,103,681,7684,5684,1544,939,13573,3386,32811,904,374,67,27,1164,272,2806,857,555,154,172,1099,295,3133,1020,1328,703,1219,1837,528,6633,525,1137,838,1225,1413,458,5596,509,1233,836,923,1321,451,5263,488,995,763,720,1227,335,4522,252,568,466,450,882,268,2895,194,291,240,198,762,234,1907,108,120,73,47,644,120,1113,4854,6588,4146,4970,10349,2954,33874,1734,619,105,41,2674,538,5712,1737,884,210,203,2652,612,6293,2733,2419,881,1330,4482,1263,13102,1912,2208,1097,1388,3457,999,11064,1688,2279,1111,1084,3293,989,10441,1424,2015,1069,890,2914,738,9049,734,1156,729,591,2026,566,5800,414,514,373,297,1426,413,3440,180,197,122,80
SED10006,661,193,34,25,864,382,2162,575,354,77,43,687,307,2045,1170,1149,283,136,955,612,4291,1033,1144,338,210,848,545,4111,1215,1364,386,225,1304,713,5204,1180,1381,454,299,1643,803,5753,640,881,457,397,1383,736,4492,289,343,176,217,815,490,2338,73,79,33,33,305,183,715,6823,6894,2236,1588,8797,4769,31112,625,279,50,22,667,331,1978,417,508,184,221,434,243,2009,529,1295,691,994,579,532,4628,336,1169,830,935,461,481,4218,470,1476,1037,796,747,614,5150,430,1351,1002,881,880,628,5179,260,707,690,867,935,640,4086,191,352,308,396,793,561,2609,105,104,84,65,593,280,1225,3366,7246,4880,5176,6098,4310,31072,1287,477,84,50,1527,715,4135,991,867,262,263,1121,549,4056,1697,2442,976,1134,1527,1147,8921,1362,2315,1169,1145,1309,1028,8332,1687,2845,1425,1020,2054,1330,10354,1605,2733,1458,1180,2520,1431,10931,896,1587,1146,1264,2310,1373,8578,480,700,484,618,1615,1054,4944,176,184,119,103
SED10007,1076,188,19,18,990,370,2656,871,426,57,42,707,546,2638,1400,1189,255,139,772,928,4685,1057,1394,408,213,664,711,4444,1220,1643,467,227,934,681,5171,1153,1572,506,292,1036,591,5151,642,1010,539,399,1168,638,4391,244,370,203,199,607,390,2014,69,98,45,38,238,144,625,7728,7878,2505,1561,7114,5004,31782,1053,271,38,32,726,360,2489,730,592,175,184,435,243,2360,588,1264,700,953,341,317,4160,338,1374,1026,1061,358,349,4512,513,1802,1167,780,477,463,5202,503,1562,1077,857,676,490,5170,262,839,866,874,877,548,4274,174,403,312,344,647,482,2364,113,123,75,65,507,247,1129,4271,8242,5443,5157,5045,3498,31658,2127,455,61,49,1720,729,5143,1599,1018,228,225,1142,791,4995,1987,2457,953,1089,1115,1246,8849,1391,2772,1437,1275,1021,1062,8962,1730,3442,1642,1004,1408,1145,10367,1660,3133,1580,1150,1716,1084,10323,906,1850,1411,1273,2050,1189,8666,416,781,520,540,1256,866,4381,182,221,116,104
SED10008,1324,182,10,0,1139,94,2748,1144,283,24,10,1031,83,2572,1676,980,136,46,1182,156,4177,1830,2054,460,165,940,177,5621,1669,1964,479,164,889,171,5336,1311,1684,466,203,831,148,4638,708,1165,537,279,801,141,3644,241,389,199,161,454,111,1551,36,65,31,22,190,52,396,9931,8776,2349,1053,7448,1122,30685,1286,246,18,4,878,86,2520,1114,418,45,20,682,61,2341,1228,1191,559,619,695,166,4460,609,1818,1421,1529,593,152,6124,555,2000,1446,1043,504,167,5710,483,1640,1301,957,561,150,5093,278,933,958,900,612,148,3831,153,311,294,296,449,144,1638,77,94,52,32,297,97,649,5777,8642,6096,5408,5264,1178,32360,2611,422,26,7,2019,177,5263,2258,694,77,25,1710,150,4911,2901,2173,698,667,1871,321,8641,2444,3871,1884,1700,1536,327,11748,2220,3962,1924,1213,1390,336,11043,1791,3329,1771,1155,1388,301,9728,985,2100,1495,1181,1415,293,7472,389,699,485,456,906,254,3187,119,160,84,61
SED10009,727,134,20,18,642,268,1804,472,218,42,27,378,122,1267,701,729,194,102,513,245,2481,768,976,332,181,508,288,3048,1055,1446,475,229,767,450,4425,1228,2016,788,448,1123,570,6174,784,1602,977,671,1175,650,5861,325,581,385,310,796,515,2902,104,119,84,66,349,208,924,6163,7821,3298,2045,6244,3315,28890,786,195,36,12,487,242,1760,331,326,111,108,191,106,1182,396,737,438,563,226,219,2579,310,1059,791,753,247,270,3434,585,1730,1049,634,441,385,4821,642,2104,1567,1052,789,538,6688,331,1248,1312,1260,923,656,5727,186,465,427,540,784,589,3001,119,147,107,93,639,353,1459,3686,8011,5840,5025,4727,3364,30649,1518,328,54,30,1127,509,3562,807,546,157,131,577,233,2452,1096,1467,634,664,740,463,5062,1082,2028,1119,938,757,552,6484,1641,3178,1531,863,1208,839,9247,1869,4126,2358,1503,1909,1106,12864,1110,2851,2293,1930,2097,1305,11590,514,1046,810,856,1576,1107,5904,223,267,189,159
SED10010,1075,277,33,13,1259,202,2852,1050,473,69,32,1427,209,3254,2269,1694,314,134,2681,471,7558,1737,1897,453,232,1834,391,6537,1337,1446,367,172,1555,329,5210,1072,1146,356,191,1475,300,4535,452,605,277,178,1064,264,2836,186,233,131,112,530,174,1374,50,46,34,25,229,100,483,9224,7817,2035,1083,12055,2433,34650,961,410,59,28,997,192,2650,889,697,181,106,864,163,2897,1307,1948,949,1365,1701,429,7685,659,1584,1120,1397,1084,329,6170,569,1507,907,831,1053,296,5155,509,1198,855,792,1135,300,4785,239,615,455,536,905,295,3044,185,288,218,252,642,259,1846,81,92,58,37,388,125,780,5399,8330,4802,5344,8763,2390,35026,2036,685,95,41,2261,393,5507,1932,1162,252,139,2289,374,6159,3572,3641,1262,1495,4378,902,15246,2397,3486,1568,1627,2913,718,12711,1910,2951,1279,999,2610,623,10371,1579,2349,1212,983,2605,603,9324,693,1218,729,717,1968,562,5884,373,527,355,356,1174,438,3220,132,136,88,60
