SED_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SED10001,421,1133,2861,2923,3142,2447,544,64,9,13546,602,397,438,389,454,668,402,93,18,3454,35,29,92,70,108,146,64,13,3,562,35,46,75,56,56,60,36,14,7,388,1098,1607,3462,3435,3760,3331,1046,175,30,17944,93,159,172,134,171,127,10,0,0,853,99,58,33,30,42,61,16,0,0,338,187,211,207,162,205,184,31,0,0,1198,1283,1822,3668,3600,3974,3511,1071,177,32,19139,1028,291,397,469,663,1300,2869,1819,659,9495,151,203,334,303,343,362,338,244,135,2407,2461,2313,4397,4372,4977,5173,4280,2235,830,31042,159,635,1405,1387,1898,1345,199,23,3,7054,885,780,1391,1735,1743,1508,406,39,8,8493,52,49,241,125,137,167,52,3,0,827,42,37,33,45,52,51,20,4,3,284,1136,1501,3073,3293,3826,3068,677,75,9,16665,63,90,109,81,98,58,5,0,0,498,130,91,90,94,69,66,14,0,0,557,196,180,192,179,167,124,14,0,0,1053
SED10002,145,1213,6063,4145,2920,1928,256,5,0,16677,468,1356,2376,1103,860,682,165,18,3,7024,19,58,111,81,54,61,17,0,0,403,40,144,346,184,137,85,17,3,3,961,668,2771,8894,5516,3972,2749,449,33,7,25064,62,301,634,346,255,157,7,3,0,1775,172,298,282,97,77,61,11,0,0,996,235,598,918,442,329,222,16,3,0,2774,900,3370,9817,5955,4305,2969,471,35,9,27832,1947,1480,2618,1528,1341,1613,2044,1173,361,14107,157,337,980,535,392,307,204,121,43,3071,3002,5195,13419,8022,6035,4886,2717,1326,407,45009,58,788,3483,1984,1876,1041,122,3,0,9357,483,1122,1920,1192,1021,708,134,9,0,6584,26,55,223,100,67,38,6,0,0,521,30,79,145,89,86,47,3,0,6,489,592,2040,5773,3366,3049,1840,263,14,6,16942,35,110,277,132,118,91,5,0,0,774,164,206,254,148,135,100,4,0,0,1014,204,315,530,276,257,189,14,0,0,1781
SED10003,177,511,1660,2293,2586,1953,384,57,7,9621,558,331,686,782,858,1136,563,71,12,4997,22,22,72,77,108,136,49,3,4,490,33,34,52,82,61,61,26,9,8,363,791,900,2466,3228,3617,3282,1016,144,31,15468,66,81,137,141,150,121,8,4,0,722,113,37,49,53,54,80,8,0,0,400,184,119,183,190,206,204,18,5,0,1119,972,1023,2649,3420,3820,3489,1035,147,34,16588,946,216,316,392,651,1657,3010,1630,695,9525,163,133,364,396,496,580,402,215,162,2902,2083,1373,3333,4209,4966,5724,4446,1997,889,29014,84,345,982,1270,1804,1204,152,23,5,5871,690,518,1238,1902,2051,1858,436,39,7,8732,49,34,129,132,90,144,37,3,0,625,32,14,38,66,58,53,27,3,7,293,857,914,2388,3364,4002,3262,650,63,15,15523,25,44,81,59,102,79,3,0,0,387,96,47,72,101,104,88,12,0,0,521,117,91,146,156,203,166,19,0,0,911
SED10004,59,799,4912,5180,3576,1864,443,22,5,16863,300,865,969,563,494,526,391,52,3,4167,14,32,114,115,63,70,28,0,0,438,12,43,105,82,45,32,17,3,0,332,385,1738,6095,5931,4184,2491,879,88,8,21798,13,79,180,139,170,99,10,0,0,691,75,170,95,33,29,55,14,3,0,468,84,250,276,171,197,155,26,3,0,1159,468,1987,6369,6102,4379,2650,908,85,14,22960,846,1045,665,413,543,873,1619,866,299,7171,117,317,828,656,470,359,233,115,32,3131,1435,3352,7868,7172,5397,3874,2760,1063,340,33257,55,849,4545,3442,2793,1578,271,15,0,13549,444,1085,1476,1855,1289,1018,467,35,0,7668,24,44,326,316,87,63,36,0,0,895,17,43,77,51,32,31,12,3,0,255,536,2025,6417,5664,4199,2682,784,56,3,22368,6,47,133,94,138,52,4,0,0,484,123,200,120,102,85,65,12,0,0,707,130,250,252,195,221,113,18,0,0,1190
SED10005,193,900,3225,2868,2620,1738,283,13,0,11849,406,705,985,805,713,538,181,21,0,4360,22,38,82,73,47,80,10,0,0,354,29,107,199,138,119,69,11,3,0,680,655,1752,4496,3883,3501,2430,486,37,3,17249,82,191,319,231,208,131,9,0,0,1180,164,164,102,67,68,96,10,5,0,684,250,353,427,301,275,232,23,3,0,1861,907,2110,4922,4181,3777,2657,508,41,4,19108,1852,856,1076,930,1045,1563,2175,1371,616,11480,146,194,468,349,357,300,224,127,59,2228,2900,3164,6466,5465,5174,4527,2902,1532,681,32811,71,734,1877,1539,1546,897,94,5,0,6777,502,817,1101,1105,997,681,142,14,0,5360,23,58,155,73,59,48,7,0,0,425,39,70,101,74,68,33,6,0,0,390,634,1678,3241,2792,2672,1664,252,16,0,12953,43,100,175,116,128,93,0,0,0,657,172,110,142,166,172,101,4,0,0,876,217,213,320,283,306,194,3,0,0,1533
SED10006,295,929,2483,2433,2850,2524,750,173,22,12459,313,234,337,294,463,552,356,101,12,2671,24,36,81,70,103,155,61,17,8,552,38,47,89,80,76,88,45,21,8,486,666,1245,2986,2885,3481,3316,1210,315,52,16168,117,175,233,180,200,167,3,4,3,1086,61,61,62,46,57,77,18,0,0,375,181,239,294,227,255,242,24,4,3,1461,848,1486,3275,3105,3741,3558,1229,323,59,17627,1123,335,536,577,888,1564,2739,1705,535,10002,195,217,484,435,577,624,525,311,115,3476,2162,2045,4291,4111,5204,5753,4492,2338,715,31112,129,565,1404,1310,1839,1409,322,67,8,7053,458,417,1097,1221,1286,1119,375,56,13,6058,18,58,206,90,108,149,43,11,6,683,33,25,64,75,62,61,24,13,13,368,640,1066,2765,2697,3295,2738,768,144,35,14162,66,76,122,114,138,72,0,0,0,587,73,64,96,86,72,54,3,0,0,456,141,138,214,199,219,121,10,5,0,1040
SED10007,353,1028,2701,2705,3084,2270,498,74,10,12723,492,408,435,338,440,578,379,101,14,3172,39,51,72,78,100,140,51,14,0,538,32,40,77,56,67,43,18,10,6,351,907,1522,3282,3186,3688,3033,941,202,32,16786,85,176,172,170,182,138,5,0,3,927,127,92,31,28,36,51,14,3,0,370,212,263,204,193,216,181,22,5,3,1303,1120,1788,3488,3376,3905,3216,961,203,35,18094,1343,613,864,746,852,1538,2994,1583,510,11030,194,244,332,316,415,403,437,228,86,2658,2656,2638,4685,4444,5171,5151,4391,2014,625,31782,127,605,1259,1510,1945,1309,230,22,6,7008,779,725,1230,1507,1552,1299,392,41,9,7534,54,74,221,111,118,139,46,4,0,763,40,45,50,54,47,47,14,14,4,303,999,1446,2764,3172,3657,2789,682,83,22,15608,58,74,96,91,94,50,3,0,0,464,116,78,95,81,80,51,4,0,0,499,175,150,193,167,171,103,12,0,0,967
SED10008,200,966,3073,4574,4085,2732,564,28,0,16234,694,815,452,407,493,580,510,76,4,4038,41,46,66,64,53,73,32,10,0,391,27,26,68,69,65,33,13,9,0,304,963,1854,3661,5114,4696,3419,1122,118,5,20964,28,65,108,132,159,131,17,0,0,637,166,112,43,23,30,41,21,0,0,433,188,172,154,152,184,173,44,3,0,1068,1151,2029,3816,5267,4881,3591,1165,118,9,22031,1548,485,249,227,323,922,2382,1369,349,7857,42,60,112,126,127,122,97,65,37,795,2748,2572,4177,5621,5336,4638,3644,1551,396,30685,67,808,2107,2374,2541,1545,229,6,0,9689,868,906,1000,1923,1776,1291,470,41,0,8276,43,56,214,156,93,98,27,0,0,690,12,23,58,54,60,34,16,0,0,263,996,1799,3375,4509,4462,2970,747,49,3,18912,19,37,89,104,73,34,3,0,0,358,160,99,81,133,85,52,5,0,0,613,179,130,174,235,158,86,14,0,0,976
SED10009,242,546,1357,1681,2260,1881,387,52,5,8413,445,266,379,477,686,1067,452,67,12,3850,29,25,49,59,107,183,56,16,0,535,31,36,48,45,55,50,20,14,0,296,748,881,1828,2270,3110,3180,916,141,22,13091,64,113,154,93,122,137,5,0,3,690,60,30,22,24,46,86,16,3,0,287,124,140,169,124,168,219,24,5,3,977,864,1019,2001,2392,3278,3404,939,144,24,14067,824,150,291,420,780,2324,4478,2440,763,12477,110,98,188,241,372,450,443,323,132,2348,1804,1267,2481,3048,4425,6174,5861,2902,924,28890,126,320,683,964,1533,1140,161,16,0,4939,664,359,845,1277,1696,1754,413,30,0,7039,42,37,115,82,114,197,52,7,0,643,33,21,22,38,46,56,20,6,3,245,859,739,1655,2365,3387,3147,641,61,7,12863,38,49,59,57,72,74,3,0,3,343,65,46,68,68,68,85,10,0,0,398,101,87,121,121,138,151,13,0,3,745
SED10010,245,1175,4934,4458,3271,2162,325,10,3,16582,525,894,979,673,554,447,190,23,0,4287,36,39,90,99,78,83,21,4,0,455,30,92,187,143,107,61,9,3,3,637,834,2202,6194,5380,4003,2754,549,35,8,21959,79,176,276,233,159,154,16,3,0,1082,199,129,81,51,41,82,10,0,0,598,274,308,357,279,200,241,24,0,0,1682,1111,2509,6544,5659,4205,2997,572,41,7,23641,1637,601,652,580,771,1337,2095,1224,400,9284,111,153,369,299,235,209,172,115,73,1730,2852,3254,7558,6537,5210,4535,2836,1374,483,34650,168,906,2912,2302,2117,1359,176,3,0,9937,631,858,1557,1477,1061,790,158,17,0,6545,37,53,263,131,91,81,24,3,0,678,32,33,114,92,69,39,11,4,0,387,862,1851,4841,3992,3334,2268,367,25,0,17544,55,130,247,152,125,84,0,0,0,801,189,131,169,149,106,90,7,3,0,849,243,265,419,302,230,177,11,3,0,1655
