SED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10001,125,209,340,113,130,242,137,590,729,170,927,1097,663,1925,2591,643,1012,1655,1781,881,2663,1427,999,2426,1828,820,2648,1876,585,2460,1344,365,1712,1328,256,1589,2388,329,2714,1484,58,1542,880,25,906,467,135,604,817,12,833,1923,164,2092,428,578,1007,19835,9993,29834
SED10002,438,385,819,137,111,252,289,435,731,253,579,836,749,843,1587,805,439,1246,1563,411,1969,1556,489,2051,1948,586,2534,1865,438,2308,1513,413,1925,1321,304,1622,2668,585,3247,1754,165,1922,1131,106,1236,840,221,1058,1446,176,1619,2176,396,2571,337,300,632,22778,7382,30167
SED10003,108,153,262,79,113,189,135,450,584,143,798,942,538,1846,2381,633,1033,1664,1664,856,2520,1346,776,2122,1884,722,2607,1748,448,2196,1174,304,1485,1230,254,1483,2038,327,2364,1232,74,1307,719,40,767,457,139,595,1022,30,1049,1946,358,2307,288,454,744,18383,9185,27570
SED10004,194,799,989,66,177,243,112,511,623,88,823,910,229,1067,1295,242,663,904,500,666,1166,515,832,1350,696,957,1656,745,781,1530,663,824,1486,746,717,1459,1812,1461,3271,1553,259,1806,1385,183,1566,1671,1199,2875,5998,369,6369,1851,576,2429,132,351,485,19218,13207,32423
SED10005,318,245,563,117,106,223,310,554,863,254,828,1079,821,1117,1941,889,458,1350,1632,431,2067,1512,431,1945,1786,432,2212,1630,290,1925,1302,185,1482,1208,143,1348,2018,156,2175,1300,39,1336,762,25,792,522,48,569,917,14,932,1847,130,1975,324,332,660,19464,5980,25442
SED10006,199,206,406,124,127,249,191,706,892,222,1132,1354,831,2076,2906,723,827,1556,1932,699,2632,1410,782,2195,1678,730,2407,1494,414,1908,1050,354,1404,1073,303,1370,1910,368,2275,1187,21,1203,705,17,725,402,164,570,748,14,759,2181,115,2303,639,782,1422,18697,9844,28544
SED10007,121,222,346,110,130,246,191,613,797,178,880,1058,614,1971,2591,663,818,1476,1684,742,2427,1279,705,1989,1632,710,2347,1597,471,2067,1209,349,1557,1201,274,1483,2237,311,2553,1492,33,1531,993,19,1015,590,112,697,995,18,1011,1863,145,2004,365,517,884,19030,9049,28077
SED10008,168,114,278,81,50,128,104,107,209,70,179,253,242,459,702,289,326,612,714,255,968,765,276,1039,1133,300,1430,1169,255,1424,1008,208,1221,1120,167,1289,2550,283,2832,2169,35,2204,1779,26,1809,1554,127,1682,4241,23,4267,2024,86,2117,177,112,286,21366,3392,24758
SED10009,142,198,336,124,149,277,184,551,734,159,1003,1168,813,2256,3064,714,1085,1796,2328,830,3157,1692,855,2549,2220,640,2855,1998,381,2377,1098,221,1322,1116,158,1278,1755,178,1927,934,16,953,499,13,514,260,111,365,475,11,487,1907,118,2024,358,555,913,18772,9319,28095
SED10010,231,190,426,101,81,185,183,397,580,145,677,822,553,948,1505,583,361,938,1360,412,1769,1229,524,1748,1761,517,2276,1760,354,2108,1548,275,1827,1634,194,1825,3157,259,3414,2130,68,2193,1331,32,1358,760,61,818,1277,28,1305,1807,143,1949,325,346,668,21852,5862,27720
