SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED10001,22,52,110,142,252,539,868,833,507,3330,3,4,33,53,61,47,60,54,22,343,299,403,755,765,819,967,934,926,556,6428,2156,4617,8894,9033,10134,10620,8625,4885,2119,61076
SED10002,24,156,591,674,877,1068,899,600,267,5164,14,196,638,554,674,620,441,360,167,3658,361,920,2496,1557,1100,823,535,370,210,8372,2818,9150,23951,14528,11826,9693,5258,2759,1169,81168
SED10003,17,20,45,65,127,316,505,525,519,2136,7,3,12,19,21,24,23,23,11,148,311,286,733,926,1133,1327,994,744,533,6998,1505,2763,6961,9037,10629,11898,8862,4472,2440,58557
SED10004,16,31,33,58,98,202,374,418,202,1434,0,8,42,22,32,49,71,103,68,390,241,692,1710,1342,979,841,673,341,213,7038,1673,7408,16451,14628,11063,8427,5899,2383,968,68893
SED10005,14,56,205,435,706,1023,1031,911,550,4919,8,38,151,220,425,500,419,373,187,2320,339,512,1127,906,898,709,609,438,279,5813,2659,6244,13054,11006,10393,9011,5788,3428,1788,63369
SED10006,39,72,160,235,457,1131,1360,1011,439,4908,0,4,10,12,34,65,81,47,21,277,425,515,1118,1027,1356,1409,1379,1099,548,8876,2063,4048,8914,8323,10344,10923,8578,4943,1939,60057
SED10007,24,39,87,119,270,621,907,690,396,3161,0,0,14,21,26,37,48,31,4,183,454,739,1179,1043,1126,1059,1200,766,370,7941,2361,4997,8846,8949,10362,10318,8666,4373,1756,60629
SED10008,9,4,31,46,90,196,346,295,166,1193,5,3,30,33,53,65,64,69,44,369,106,121,281,292,317,333,334,285,212,2271,2075,4900,8631,11738,11037,9713,7461,3186,1046,59783
SED10009,19,14,81,143,245,589,926,760,409,3184,3,4,9,12,12,24,27,35,16,138,234,210,429,536,817,1149,1235,1054,661,6337,1527,2446,5052,6476,9240,12856,11589,5897,2376,57458
SED10010,9,47,175,237,408,756,874,696,389,3584,3,25,92,131,154,194,170,155,54,978,248,308,794,649,630,648,609,446,251,4589,2538,6120,15220,12668,10335,9298,5871,3219,1262,66537
SED10011,12,13,34,45,113,230,308,283,202,1250,3,3,9,19,19,20,23,22,12,128,164,139,322,413,541,655,707,487,268,3691,1796,3310,6550,8926,10148,10938,8677,3827,1541,55722
SED10012,27,60,272,621,1291,1532,1268,985,474,6527,17,60,261,441,1032,1298,751,607,346,4820,261,339,592,517,652,666,490,332,215,4055,2748,6503,11137,9919,11426,10504,5969,3208,1405,62822
SED10013,9,29,70,113,233,553,739,474,289,2501,0,7,19,38,41,70,95,106,56,432,252,315,708,683,617,490,553,429,384,4429,2772,5545,12992,13293,11226,8511,5901,2703,1203,64135
SED10014,25,43,135,193,347,681,730,400,159,2713,8,3,36,70,80,142,116,92,24,571,337,431,762,733,640,705,762,383,194,4948,2756,5995,11483,10169,9462,9082,6651,2658,799,59058
SED10015,8,27,102,174,482,936,1664,1539,548,5478,4,32,99,101,195,380,474,562,261,2105,260,373,937,837,780,663,588,465,233,5137,2291,5958,14269,12506,12043,9328,6703,4647,1857,69595
SED10016,6,10,18,31,84,165,324,288,183,1109,0,0,32,31,30,58,54,66,71,334,150,139,295,406,432,326,329,206,102,2380,2262,4912,8067,12120,11771,9119,6352,2664,974,58243
SED10017,33,57,129,162,318,762,885,633,377,3375,4,7,12,14,23,27,26,28,13,151,289,420,996,860,807,851,926,644,388,6183,2308,4608,10155,9897,9576,9465,7277,3328,1421,58047
SED10018,30,27,75,81,183,347,511,593,408,2245,5,4,12,19,26,29,27,31,31,190,127,142,357,419,496,476,571,576,422,3586,1819,4058,8417,9322,9625,8679,7110,4539,2027,55604
SED10019,37,43,131,178,338,717,1115,1048,658,4259,10,3,12,15,18,38,35,51,19,192,345,287,586,763,895,1119,1169,940,431,6536,2086,3159,6136,7620,9645,11649,10207,5663,2257,58426
SED10020,32,46,148,177,284,508,659,607,408,2858,4,22,48,57,70,53,41,30,24,347,249,313,613,592,742,929,828,845,629,5740,1910,3665,7643,8215,9625,10692,8510,4782,2070,57102
SED10021,6,21,27,30,49,117,238,344,273,1104,3,3,21,22,20,27,43,65,39,237,266,616,1920,1265,990,749,693,613,575,7697,1404,5281,18134,14396,10633,7460,5450,3234,2000,67989
SED10022,25,32,91,161,284,744,1107,947,638,4040,0,14,22,18,38,41,41,28,22,215,370,395,865,964,1005,1164,1188,975,460,7390,1963,3424,6734,7804,9291,10132,9095,5292,2265,55993
SED10023,9,0,33,49,63,176,282,313,281,1194,0,3,10,14,24,28,45,20,10,165,145,217,599,539,487,550,450,367,240,3595,1773,4251,9316,9985,10203,9502,6669,3892,1893,57481
SED10024,6,4,6,18,39,99,168,250,171,761,0,5,16,25,48,33,33,50,36,242,122,125,209,334,413,336,417,456,538,2940,1903,4154,5871,10290,12174,8771,7469,4876,2464,57985
SED10025,8,28,41,50,94,268,749,973,553,2757,3,12,71,30,44,91,138,217,113,722,157,278,959,755,593,579,544,388,304,4553,1601,5286,14124,12259,10461,8736,6593,3844,1944,64847
SED10026,30,36,114,123,294,650,834,686,400,3168,4,0,6,12,24,45,52,45,18,201,377,519,1157,924,1014,1088,1030,718,319,7143,2168,4403,9710,8901,9910,9601,7511,4220,1653,58082
SED10027,8,21,85,145,318,608,804,712,508,3218,11,12,55,69,138,201,213,202,81,983,214,265,508,498,528,526,507,504,492,4041,2186,5150,10020,10431,9994,9088,6230,3861,2122,59082
SED10028,9,6,22,25,54,148,204,248,212,930,0,8,45,40,57,81,54,57,51,396,91,144,292,310,300,277,325,517,816,3076,2138,5697,8538,10277,11607,10069,6464,4250,2743,61783
SED10029,48,129,533,921,1233,1454,1252,974,534,7086,21,84,374,540,944,1059,698,623,287,4633,257,346,804,649,758,728,594,565,371,5069,2841,6530,12369,10993,11482,9983,6248,3809,1721,65972
SED10030,19,22,61,101,226,490,639,532,445,2540,3,3,19,19,35,28,40,42,20,213,248,312,564,625,751,795,883,780,579,5531,1857,4036,8397,9128,10066,9821,8560,4962,2477,59297
SED10031,25,26,56,107,246,516,787,647,318,2723,0,9,17,23,26,53,42,47,19,238,292,347,735,848,964,947,1066,794,561,6545,1964,3560,7490,8920,10817,10720,9278,4568,1755,59074
SED10032,26,115,391,453,569,836,1030,788,384,4593,18,124,368,325,356,379,370,317,139,2396,264,491,1280,855,677,650,545,426,276,5466,2416,6833,18045,13225,10111,8330,5492,3157,1383,69008
SED10033,25,24,68,94,227,493,625,502,273,2326,0,4,10,16,24,35,48,55,32,221,297,311,551,537,785,630,630,410,212,4362,2639,4915,8822,9241,11025,9071,6577,3061,1128,56485
SED10034,7,9,26,49,73,194,344,310,254,1271,0,0,15,14,27,17,33,31,19,143,146,146,319,376,408,380,406,413,394,2985,2052,4425,9032,10914,10743,9248,6786,3172,1606,57988
