SED_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED10043,..,2739,836,3575,50,3624,..,5548,684,6235,39,6273,..,851,57,905,8,915,..,204,22,221,7,228,..,34,3,39,0,39,..,3496,402,3899,36,3938,..,571,51,619,7,631,..,10700,1220,11925,102,12022,..,993,183,1179,17,1198,..,65,11,81,0,81,..,576,449,1026,9,1035,..,312,79,385,3,386,..,62,3,60,0,60,..,84,25,106,7,112,..,96,24,115,3,123,..,63,12,75,0,76,..,393,45,440,4,445,..,93,13,105,0,107,..,280,10,289,3,292,..,1665,322,1985,18,2001,..,503,16,522,12,531,..,162,29,190,3,196,..,2614,378,2996,28,3026,..,471,113,586,18,599,..,244,45,288,3,290,..,206,54,254,3,264,..,174,50,226,3,227,..,2724,1555,4280,27,4299,..,3346,1306,4659,142,4798,..,51005,13485,64488,686,65180,..,305,165,465,5281,5750,20692,51305,13649,64961,5974,91623
SED10044,..,969,117,1087,13,1097,..,166,9,183,0,182,..,730,22,755,3,757,..,143,11,152,3,151,..,129,3,137,0,137,..,140,10,146,0,148,..,818,42,863,9,873,..,2127,100,2230,13,2245,..,1349,128,1478,19,1500,..,672,181,852,8,859,..,691,253,949,10,957,..,102,15,113,0,116,..,41,9,48,0,45,..,647,98,744,6,750,..,273,18,291,0,296,..,289,75,363,0,368,..,6,0,6,0,6,..,195,21,217,4,222,..,256,0,255,3,261,..,315,23,341,5,343,..,365,0,366,3,368,..,79,0,79,0,79,..,1015,32,1046,9,1054,..,865,71,936,3,942,..,167,4,170,0,170,..,273,96,365,5,367,..,123,14,140,0,136,..,328,42,371,3,373,..,2052,326,2372,47,2418,..,19684,3145,22830,209,23038,..,229,22,255,3761,4010,54855,19911,3171,23080,3969,81907
SED10045,..,34,0,35,0,35,..,25,0,25,0,25,..,46,0,50,0,50,..,185,33,217,7,217,..,14,0,16,0,14,..,32,4,35,0,35,..,28,0,29,0,29,..,325,40,365,6,369,..,337,36,369,7,378,..,91,14,108,0,107,..,20,7,27,0,27,..,3,0,3,0,3,..,11,0,11,0,11,..,4,3,10,0,10,..,21,0,23,0,23,..,13,0,20,0,20,..,5,0,5,0,5,..,0,0,0,0,0,..,50,3,50,0,50,..,41,5,44,0,44,..,92,3,95,0,97,..,21,0,23,0,24,..,197,7,208,0,211,..,135,10,146,0,146,..,5,0,5,0,5,..,76,4,78,0,76,..,6,0,3,0,3,..,44,19,64,0,64,..,422,86,511,21,531,..,2597,306,2907,49,2955,..,265,25,296,5980,6269,64720,2865,336,3201,6025,73944
SED10046,..,557,94,655,8,663,..,294,32,325,3,327,..,3989,234,4227,43,4274,..,431,44,480,6,483,..,96,3,95,0,97,..,776,58,828,9,843,..,871,88,962,6,971,..,6465,456,6918,70,6995,..,1323,175,1496,15,1515,..,26,3,28,0,28,..,47,39,88,0,88,..,747,144,899,7,904,..,176,7,186,0,188,..,274,126,393,3,398,..,287,64,355,0,351,..,67,21,89,0,87,..,1116,107,1218,24,1246,..,2410,870,3282,57,3336,..,482,22,504,5,505,..,189,26,219,0,219,..,1105,32,1135,6,1146,..,138,30,171,3,170,..,1915,110,2024,13,2041,..,2366,503,2868,30,2899,..,387,43,436,0,436,..,196,66,259,3,263,..,501,99,599,5,608,..,4089,2204,6296,36,6334,..,7467,2093,9558,156,9714,..,41558,11164,52724,582,53304,..,287,125,410,6958,7370,30459,41850,11291,53138,7537,91136
SED10047,..,496,94,592,6,601,..,429,26,449,3,453,..,1310,79,1390,28,1425,..,701,83,779,5,783,..,220,8,228,0,228,..,546,76,618,6,629,..,729,94,825,14,837,..,3933,363,4298,63,4354,..,441,64,507,0,509,..,35,0,41,0,41,..,105,75,183,4,186,..,50,16,70,0,70,..,733,62,791,6,802,..,109,26,135,0,135,..,150,27,173,5,182,..,99,10,108,0,108,..,1459,151,1611,35,1644,..,107,20,121,0,121,..,621,17,641,9,651,..,184,21,204,0,204,..,1451,50,1502,20,1522,..,117,5,121,0,121,..,2378,98,2475,23,2507,..,461,75,531,7,536,..,314,26,335,3,340,..,103,23,119,0,122,..,231,63,291,0,293,..,196,66,263,0,264,..,3229,587,3821,100,3918,..,17491,2452,19940,304,20244,..,291,57,349,7056,7409,64162,17780,2509,20287,7368,91815
SED10048,..,577,85,663,10,665,..,3878,323,4198,27,4229,..,3015,132,3141,35,3179,..,749,78,833,9,837,..,235,7,243,0,243,..,957,59,1011,12,1029,..,2145,218,2361,18,2374,..,10979,815,11793,99,11891,..,508,61,573,4,579,..,43,4,50,0,52,..,98,33,134,0,134,..,248,26,278,0,277,..,82,9,95,3,95,..,66,12,80,0,77,..,301,48,351,0,347,..,149,33,185,0,185,..,1635,163,1795,32,1831,..,276,59,329,3,331,..,679,14,693,0,699,..,365,43,405,11,408,..,1498,60,1558,10,1563,..,113,7,120,0,120,..,2652,122,2778,22,2795,..,1285,160,1443,12,1458,..,431,34,465,3,471,..,232,79,315,4,321,..,162,17,174,3,184,..,543,223,765,6,771,..,3733,725,4456,122,4581,..,29329,3895,33228,387,33614,..,241,63,306,4545,4847,47900,29572,3960,33528,4931,86360
SED10049,..,60,4,57,0,59,..,42,10,52,0,52,..,84,8,87,0,87,..,109,6,124,0,124,..,22,0,21,0,21,..,62,3,67,0,67,..,61,7,65,0,65,..,387,34,419,0,421,..,85,14,94,3,98,..,28,0,24,0,24,..,23,12,37,3,38,..,17,0,17,0,17,..,13,0,12,0,12,..,3,0,3,0,3,..,83,11,93,0,91,..,33,4,40,0,40,..,42,0,40,0,40,..,18,3,22,0,18,..,82,0,82,0,82,..,29,3,34,0,34,..,158,3,160,7,163,..,22,3,23,0,23,..,287,10,302,7,305,..,119,6,121,0,121,..,37,0,38,0,38,..,41,16,60,0,61,..,7,3,9,0,9,..,58,19,73,0,73,..,586,114,703,17,723,..,2608,403,3007,45,3054,..,152,12,166,3694,3855,70262,2760,415,3170,3739,77172
SED10050,..,376,30,409,9,418,..,45,0,50,0,52,..,126,5,132,0,132,..,95,15,112,0,112,..,10,0,10,0,10,..,12,3,19,0,19,..,185,10,197,0,200,..,478,31,514,4,514,..,832,97,925,13,934,..,308,30,336,6,346,..,187,84,268,3,266,..,47,4,49,0,49,..,15,0,15,0,15,..,106,11,110,0,114,..,140,13,153,0,154,..,201,32,230,0,230,..,20,0,18,0,18,..,168,21,191,4,196,..,90,0,91,0,91,..,129,13,135,0,137,..,166,4,176,3,182,..,28,3,27,0,27,..,415,23,433,3,440,..,869,46,909,11,922,..,12,0,12,0,12,..,163,36,205,0,204,..,68,7,69,0,69,..,124,15,131,0,131,..,2608,278,2883,41,2930,..,10643,1104,11744,131,11874,..,152,24,173,4737,4914,63530,10795,1123,11922,4874,80327
SED10051,..,2830,398,3228,32,3256,..,651,64,716,5,727,..,332,15,351,4,357,..,92,9,104,0,104,..,73,0,77,0,77,..,89,4,92,0,94,..,140,8,148,0,148,..,1389,107,1495,12,1504,..,971,108,1082,27,1104,..,205,30,233,3,238,..,214,88,301,3,301,..,65,13,77,0,77,..,214,19,232,11,242,..,179,19,204,6,208,..,322,36,357,3,360,..,835,220,1050,12,1057,..,37,4,40,0,43,..,278,48,325,5,325,..,205,13,218,0,216,..,1559,171,1728,13,1741,..,391,14,408,3,408,..,108,8,111,0,111,..,2255,203,2459,16,2477,..,1423,202,1623,20,1643,..,72,0,72,0,72,..,261,53,312,4,319,..,243,49,292,0,296,..,288,74,361,0,361,..,2970,439,3411,56,3468,..,23159,3868,27032,271,27299,..,237,41,271,6578,6851,47565,23391,3911,27305,6845,81713
SED10052,..,2280,214,2492,20,2510,..,56,3,63,0,63,..,208,7,215,4,221,..,98,5,100,0,106,..,29,0,28,0,32,..,51,0,51,0,51,..,179,17,191,0,193,..,627,33,657,5,663,..,750,50,803,4,804,..,139,29,160,0,164,..,80,29,103,0,103,..,585,67,651,8,661,..,85,11,91,3,94,..,57,7,68,0,68,..,180,22,199,3,202,..,331,63,393,0,393,..,30,0,26,0,30,..,147,18,162,0,169,..,134,4,140,0,140,..,156,17,176,3,175,..,186,5,191,0,189,..,41,0,44,0,43,..,521,31,546,3,549,..,589,72,653,12,666,..,23,0,23,0,23,..,123,36,162,3,165,..,63,13,71,0,71,..,176,35,211,0,214,..,1140,165,1302,40,1342,..,12506,1798,14310,142,14450,..,168,24,187,2669,2860,56857,12672,1817,14493,2812,74163
SED10053,..,218,34,249,0,249,..,164,17,180,0,187,..,240,15,253,0,253,..,394,50,446,6,449,..,80,0,80,0,80,..,130,6,136,0,140,..,237,14,251,0,251,..,1240,104,1349,15,1358,..,654,68,724,9,730,..,52,3,53,9,61,..,54,21,74,0,74,..,748,151,899,10,912,..,42,3,44,0,46,..,29,6,37,0,36,..,110,6,117,3,123,..,76,11,84,0,86,..,63,0,68,0,64,..,248,34,280,8,285,..,123,0,122,0,122,..,81,13,95,0,95,..,223,4,231,0,233,..,31,4,30,0,30,..,465,20,483,3,483,..,197,20,212,4,215,..,55,3,63,0,65,..,93,20,116,0,112,..,44,3,47,0,48,..,82,31,115,0,115,..,954,154,1108,41,1146,..,6859,875,7734,121,7854,..,174,27,199,5627,5823,62337,7029,902,7936,5745,76014
SED10054,..,302,65,365,4,367,..,976,116,1090,4,1099,..,3274,186,3458,30,3487,..,1298,185,1482,12,1494,..,178,6,182,0,182,..,2765,367,3132,53,3179,..,933,116,1050,11,1063,..,9423,971,10395,120,10508,..,256,35,294,0,298,..,16,12,25,0,25,..,116,53,169,3,172,..,78,12,92,0,90,..,489,40,525,6,535,..,248,92,336,3,342,..,168,25,194,3,193,..,62,12,72,0,70,..,1709,170,1878,34,1915,..,135,45,184,0,184,..,2568,72,2639,22,2664,..,286,51,341,0,343,..,5934,229,6163,61,6227,..,217,20,238,0,241,..,9008,372,9385,90,9473,..,777,193,975,10,981,..,502,63,568,0,567,..,100,16,118,0,118,..,604,179,782,6,787,..,359,150,508,18,523,..,5080,1228,6306,124,6425,..,34039,4952,38991,468,39459,..,315,74,390,4479,4865,44388,34353,5028,39383,4945,88713
SED10055,..,447,56,501,3,502,..,71,8,83,0,84,..,968,36,999,3,1008,..,575,52,623,10,631,..,161,7,169,0,169,..,347,26,369,6,379,..,212,12,225,3,227,..,2326,142,2469,23,2491,..,1692,184,1874,17,1893,..,24,3,26,0,26,..,96,35,129,4,136,..,261,24,283,0,283,..,815,50,870,7,877,..,227,26,257,3,254,..,156,13,172,0,172,..,93,13,112,0,114,..,299,20,313,4,313,..,565,68,637,6,642,..,519,11,534,7,534,..,79,7,79,0,79,..,955,32,988,12,1002,..,71,0,71,0,71,..,1623,54,1672,16,1691,..,1050,112,1159,13,1171,..,134,9,144,0,144,..,95,26,121,0,120,..,422,56,481,3,483,..,891,275,1163,3,1168,..,4245,783,5025,67,5098,..,20053,2706,22760,220,22978,..,195,30,223,3558,3781,54648,20249,2734,22984,3777,81415
SED10056,..,59,6,65,0,63,..,26,0,26,0,26,..,89,20,113,0,114,..,708,216,923,12,936,..,42,0,41,0,41,..,85,18,96,0,98,..,243,65,302,6,309,..,1184,321,1506,19,1524,..,2115,383,2498,35,2537,..,19,7,26,0,26,..,30,22,59,0,58,..,8,0,8,0,8,..,18,3,16,0,16,..,17,9,26,0,26,..,4,0,10,0,8,..,15,0,14,0,14,..,234,32,269,14,278,..,5,0,5,0,5,..,141,3,147,3,149,..,12,0,12,0,12,..,176,7,182,0,183,..,65,19,78,3,79,..,398,25,427,9,433,..,107,17,122,5,133,..,56,6,58,0,59,..,54,17,68,0,68,..,72,61,129,0,129,..,21,0,20,0,22,..,1006,252,1258,33,1294,..,6094,1479,7567,134,7705,..,235,23,264,7501,7760,67446,6331,1503,7827,7635,82908
SED10057,..,51,3,51,0,53,..,15,0,15,0,15,..,20,0,26,0,26,..,39,3,43,0,46,..,13,0,14,0,14,..,13,0,13,0,13,..,29,3,34,0,34,..,131,6,139,0,139,..,105,8,110,3,114,..,34,3,39,0,39,..,26,19,38,0,38,..,0,0,0,0,0,..,28,0,28,0,28,..,8,3,9,0,9,..,33,0,32,0,32,..,17,0,22,0,22,..,0,0,0,0,0,..,10,3,13,0,13,..,44,0,44,0,44,..,35,4,35,0,35,..,77,0,77,0,77,..,6,0,9,0,9,..,168,7,173,0,173,..,83,10,95,0,95,..,6,0,6,0,6,..,48,10,55,3,61,..,5,0,5,0,5,..,24,3,34,3,35,..,305,51,357,20,378,..,1709,183,1891,54,1947,..,182,11,189,4833,5024,64095,1892,188,2079,4894,71063
SED10058,..,420,100,519,8,527,..,38,3,44,0,44,..,97,8,105,0,105,..,59,0,61,0,57,..,31,5,32,0,32,..,67,6,72,0,72,..,72,9,79,0,80,..,367,25,393,4,393,..,392,78,466,6,473,..,58,9,69,0,69,..,64,25,83,0,86,..,315,71,379,3,386,..,10,0,10,0,10,..,56,7,66,0,66,..,88,3,94,0,94,..,50,0,51,0,51,..,34,3,37,0,37,..,48,18,68,0,68,..,70,0,70,0,70,..,29,3,31,0,37,..,160,7,163,0,169,..,46,0,45,0,46,..,302,8,309,3,316,..,247,24,266,4,268,..,30,0,30,0,30,..,78,24,99,0,99,..,14,0,14,0,14,..,126,60,186,0,193,..,797,158,956,19,979,..,4695,768,5464,65,5526,..,151,10,164,4540,4703,61439,4842,780,5629,4600,71665
SED10059,..,1020,366,1386,10,1399,..,155,14,172,5,180,..,280,0,281,6,290,..,48,0,48,0,48,..,67,0,68,0,73,..,61,0,64,0,64,..,232,12,244,0,244,..,853,31,884,7,889,..,812,100,913,3,916,..,399,67,466,3,466,..,388,110,506,3,507,..,113,27,140,0,140,..,49,5,55,0,52,..,161,17,185,0,183,..,159,16,176,4,184,..,409,244,654,3,658,..,20,3,23,0,22,..,182,22,198,4,201,..,125,3,130,0,127,..,707,46,753,3,752,..,225,3,229,4,230,..,150,0,150,0,152,..,1196,50,1247,13,1257,..,1277,103,1377,19,1397,..,89,0,89,0,89,..,704,286,991,11,999,..,133,36,176,3,177,..,713,224,945,10,950,..,1983,394,2375,33,2409,..,18694,3762,22457,178,22636,..,192,27,213,8485,8693,52692,18883,3790,22674,8663,84026
SED10060,..,302,7,313,3,319,..,91,3,88,0,88,..,502,13,513,0,518,..,58,3,61,0,61,..,78,0,79,0,80,..,78,3,79,0,82,..,449,8,455,4,458,..,1248,35,1280,5,1289,..,576,39,613,3,616,..,869,192,1061,3,1065,..,339,87,429,5,435,..,62,4,63,0,68,..,9,0,9,0,9,..,319,10,330,0,331,..,237,13,251,0,250,..,381,30,415,3,413,..,9,0,9,0,9,..,94,11,109,0,108,..,155,0,155,0,155,..,169,12,180,0,185,..,271,8,276,7,282,..,45,0,46,0,43,..,635,18,653,8,664,..,954,64,1018,9,1027,..,139,3,143,0,143,..,349,70,415,4,425,..,86,16,102,0,102,..,198,25,216,0,220,..,1669,173,1842,36,1882,..,14107,1536,15646,128,15772,..,162,16,181,5786,5966,55532,14267,1556,15827,5911,77272
SED10061,..,54,3,60,0,60,..,57,5,67,0,67,..,82,4,88,0,88,..,60,3,65,0,65,..,51,3,55,0,55,..,32,0,36,0,36,..,189,9,199,3,206,..,475,29,509,3,506,..,84,6,87,0,94,..,57,8,68,0,71,..,26,18,44,0,44,..,0,0,0,0,0,..,0,0,0,0,3,..,43,5,48,0,48,..,11,3,14,0,14,..,30,3,28,0,28,..,6,0,9,0,9,..,27,5,40,0,40,..,105,0,104,3,109,..,31,0,38,0,38,..,182,6,189,8,195,..,34,0,32,0,32,..,350,12,362,13,375,..,85,8,89,0,89,..,41,5,44,0,44,..,63,13,82,0,77,..,7,0,8,0,8,..,78,27,98,0,98,..,593,95,684,15,703,..,3115,491,3611,50,3661,..,225,21,243,6775,7022,68561,3346,513,3856,6826,79240
SED10062,..,3512,364,3873,30,3903,..,279,29,306,0,306,..,414,18,427,4,432,..,86,12,105,0,105,..,62,4,69,0,69,..,174,16,191,0,194,..,1511,112,1625,13,1632,..,2534,185,2724,12,2732,..,888,79,961,10,973,..,190,26,212,0,215,..,195,69,257,3,268,..,1476,198,1669,19,1690,..,51,0,53,3,54,..,56,7,68,0,68,..,89,5,92,3,95,..,128,31,154,3,156,..,101,3,104,0,104,..,156,36,189,0,192,..,265,10,271,0,271,..,578,45,627,4,631,..,496,23,521,0,518,..,41,3,40,0,40,..,1382,81,1461,3,1460,..,693,93,783,9,796,..,61,0,63,0,63,..,207,42,251,3,253,..,99,9,111,0,111,..,405,83,492,6,496,..,1315,257,1567,64,1632,..,25705,5639,31347,282,31626,..,151,34,186,2807,2994,41693,25859,5674,31532,3089,76318
SED10063,..,62,8,69,4,67,..,23,3,28,0,28,..,68,7,71,0,71,..,75,14,88,0,85,..,16,0,16,0,16,..,46,3,50,0,50,..,142,11,152,3,155,..,366,33,402,5,403,..,163,27,185,0,191,..,35,0,34,0,34,..,55,28,82,0,82,..,10,0,10,0,7,..,10,0,10,0,10,..,37,3,38,0,36,..,40,0,36,0,36,..,78,11,90,0,90,..,10,0,10,0,10,..,18,3,17,0,17,..,87,3,87,0,88,..,42,3,43,0,43,..,110,0,112,5,114,..,28,0,34,0,36,..,264,8,274,9,286,..,66,8,76,0,78,..,44,9,52,0,49,..,37,15,57,0,56,..,16,0,23,0,23,..,51,14,72,4,70,..,700,130,832,27,855,..,2779,452,3234,61,3293,..,202,17,217,5346,5561,69044,2983,465,3450,5405,77898
SED10064,..,30,3,33,3,34,..,8,0,14,0,14,..,26,0,23,0,24,..,28,4,35,0,35,..,9,0,16,0,16,..,9,0,9,0,9,..,12,5,16,0,16,..,104,13,115,0,116,..,60,5,61,3,65,..,28,0,31,0,31,..,9,4,10,0,10,..,3,0,3,0,3,..,10,3,16,0,16,..,0,0,0,0,0,..,23,4,19,0,19,..,20,0,18,0,20,..,4,0,4,0,4,..,3,0,3,0,3,..,35,0,35,0,35,..,27,0,27,0,27,..,71,0,71,0,71,..,14,0,14,0,14,..,148,0,153,0,155,..,118,13,125,0,125,..,0,0,0,0,0,..,54,11,59,4,64,..,0,0,0,0,0,..,19,3,19,0,23,..,291,41,330,11,339,..,1517,166,1681,37,1719,..,214,13,223,5950,6171,64952,1728,175,1908,5985,72842
SED10065,..,576,116,692,11,704,..,813,59,871,8,882,..,4381,239,4614,32,4654,..,1592,138,1726,8,1739,..,519,25,538,3,543,..,785,54,837,16,854,..,3926,452,4375,36,4413,..,12011,957,12975,104,13081,..,495,66,561,5,565,..,210,54,263,0,263,..,2899,1616,4519,29,4545,..,28,3,33,0,36,..,37,5,42,0,42,..,1236,495,1733,13,1747,..,227,33,258,3,265,..,281,36,311,0,311,..,126,25,149,0,153,..,244,30,278,0,281,..,516,26,539,0,540,..,536,56,591,4,599,..,916,25,938,3,948,..,92,4,96,0,96,..,2059,108,2170,13,2180,..,839,108,946,7,954,..,1691,140,1833,11,1841,..,260,56,318,5,322,..,343,65,409,3,416,..,437,85,519,4,524,..,5278,959,6244,139,6379,..,45969,10887,56855,470,57329,..,230,91,327,6212,6539,38606,46201,10985,57181,6687,102466
SED10066,..,333,40,374,3,379,..,104,3,106,0,106,..,335,11,351,3,352,..,432,75,510,3,511,..,156,9,165,0,165,..,190,19,210,0,209,..,299,44,344,10,352,..,1519,160,1682,11,1694,..,294,31,326,4,328,..,48,3,50,0,50,..,72,29,99,0,100,..,48,16,61,0,61,..,179,16,199,3,201,..,122,41,162,0,162,..,173,25,197,3,197,..,93,17,111,0,111,..,209,11,219,6,227,..,153,24,178,0,178,..,204,3,206,6,213,..,68,8,77,0,77,..,391,6,399,7,408,..,60,0,60,0,60,..,725,24,748,10,759,..,365,49,413,0,413,..,92,9,104,0,104,..,146,53,195,0,193,..,81,16,96,7,101,..,118,28,148,0,148,..,1409,255,1668,40,1705,..,8030,1154,9182,113,9297,..,168,14,183,4179,4366,65132,8197,1175,9371,4290,78786
SED10067,..,115,10,123,3,123,..,15,0,15,0,15,..,56,0,57,0,57,..,80,11,85,0,85,..,5,0,5,0,5,..,14,0,14,0,14,..,70,0,70,0,77,..,238,10,248,0,253,..,469,39,507,6,513,..,137,7,144,0,149,..,67,23,87,0,87,..,8,7,12,0,12,..,11,0,11,0,11,..,86,7,88,0,90,..,96,9,99,0,99,..,121,26,141,0,141,..,15,0,15,0,14,..,279,43,320,0,320,..,64,0,61,0,61,..,59,6,63,0,63,..,74,0,75,0,75,..,14,0,17,0,17,..,208,9,221,0,221,..,369,15,383,3,383,..,12,0,12,0,12,..,89,23,112,0,108,..,28,5,37,0,38,..,67,15,84,3,87,..,1280,109,1393,19,1411,..,5777,503,6281,57,6342,..,174,15,190,3483,3676,62071,5947,518,6467,3544,72088
SED10068,..,54,3,55,0,58,..,10,0,10,0,10,..,44,3,46,0,46,..,25,4,26,0,26,..,7,0,7,0,7,..,5,0,5,0,5,..,68,7,70,0,72,..,153,13,163,0,168,..,117,8,126,3,129,..,50,3,52,0,52,..,18,12,31,0,31,..,6,0,6,0,6,..,14,0,20,0,20,..,7,0,9,0,9,..,29,0,29,0,34,..,20,3,21,0,21,..,8,0,8,0,8,..,19,0,20,0,20,..,64,4,61,0,62,..,19,0,19,0,19,..,69,0,70,0,69,..,7,0,7,0,7,..,156,4,156,0,158,..,124,10,138,0,138,..,6,0,10,0,10,..,66,3,69,0,69,..,17,0,17,0,17,..,55,15,68,0,68,..,378,56,431,24,455,..,2025,225,2249,53,2302,..,186,6,189,4272,4456,66370,2210,230,2439,4322,73131
