SED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10080,0,4,4,39,35,13,8,4,0,106,3,13,78,545,115,87,26,7,4,872,0,0,14,173,22,36,28,14,9,284,0,0,21,249,76,62,52,30,11,514,11,9,47,260,49,40,21,7,3,455,0,3,33,382,106,99,64,20,5,717,0,0,0,26,15,17,14,15,3,79,0,0,14,91,15,15,8,6,0,154,7,8,110,525,22,26,22,0,0,719,16,24,639,4227,198,60,13,3,0,5182,0,0,3,22,8,12,4,3,0,55,3,0,9,114,27,13,9,3,0,183,39,61,121,792,191,115,88,16,5,1419,0,8,216,421,90,71,27,9,3,856,0,0,11,86,26,7,10,3,3,151,0,0,4,34,15,11,4,0,0,70,29,39,670,3367,440,320,319,169,90,5440,338,369,2393,7301,1658,1209,788,390,202,14650,2983,3221,13668,49996,10737,8304,5827,2583,1212,98538
SED10081,0,0,6,16,12,12,3,0,0,47,7,62,61,206,60,38,22,0,0,472,0,0,0,5,0,7,3,0,5,24,0,3,5,11,19,28,38,20,10,138,0,6,12,9,14,7,3,0,0,58,6,22,27,66,43,14,7,3,0,192,0,0,0,0,3,4,0,3,0,9,0,9,4,29,8,3,0,0,0,52,6,3,26,93,0,0,0,0,0,129,3,5,4,23,13,6,0,0,0,55,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,5,7,28,29,27,17,9,0,137,0,3,15,43,10,3,0,0,0,73,0,0,5,0,8,3,7,8,0,33,0,0,3,9,17,4,0,0,0,31,3,24,18,103,51,45,33,34,8,310,329,639,658,1547,912,1020,881,633,295,6908,5111,10435,8779,18028,9829,10051,8132,4766,1901,77029
SED10082,0,0,9,20,22,23,0,7,0,72,3,12,9,66,35,37,21,4,0,205,0,0,0,23,8,12,18,10,0,73,3,27,19,55,92,68,104,58,28,456,3,14,7,9,17,12,7,0,0,60,0,39,84,168,150,106,78,36,3,657,0,0,0,4,6,3,4,10,3,35,0,0,0,6,12,5,16,5,0,42,0,5,3,16,0,7,0,0,0,39,3,4,14,54,27,7,0,0,0,117,0,0,0,0,0,3,0,0,0,5,0,0,0,3,15,3,4,0,0,29,6,49,34,81,67,36,35,8,5,323,0,3,3,23,18,11,0,0,0,59,3,10,5,34,13,40,33,21,4,157,0,0,3,15,19,11,7,0,0,54,7,47,40,276,174,158,181,133,44,1058,157,332,281,765,497,521,511,467,359,3899,4083,9556,8212,15578,10027,9862,8464,4969,2383,73140
SED10083,0,0,5,16,21,8,0,0,0,61,5,20,36,148,71,68,24,6,3,388,0,4,0,14,8,18,20,0,8,76,0,5,3,42,55,108,111,61,21,410,0,0,0,8,6,8,3,0,4,33,0,16,18,87,52,26,34,14,9,256,0,0,0,4,4,9,9,3,0,22,0,0,0,19,8,5,4,4,3,50,0,0,4,10,0,3,0,0,0,20,3,4,12,52,14,7,0,0,0,88,0,0,0,0,0,0,5,5,0,10,0,0,0,0,3,3,0,5,0,11,3,19,12,56,36,30,16,4,0,182,0,10,3,28,8,8,0,0,0,62,0,3,0,18,10,19,27,16,6,97,0,0,3,16,5,0,0,0,0,30,8,29,37,222,163,157,183,93,30,931,173,414,426,994,657,622,546,390,301,4518,4320,9332,8587,17188,9644,9398,7640,4434,2489,73036
SED10084,0,0,5,30,35,23,5,6,0,104,8,40,35,160,78,72,30,7,0,421,0,0,0,17,3,6,13,11,5,59,4,7,0,23,51,74,134,118,54,468,0,3,3,9,10,7,7,0,0,45,0,12,22,76,53,41,31,20,3,257,0,0,0,3,6,10,15,13,4,48,0,3,0,7,3,3,6,0,0,28,0,0,0,20,0,0,3,0,0,29,6,8,24,67,27,22,3,0,0,155,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,3,0,0,11,8,29,22,59,52,50,44,12,8,280,0,3,3,16,4,0,0,0,0,28,0,3,3,16,10,27,35,23,10,135,0,0,3,13,10,14,10,3,0,58,13,34,35,312,125,98,148,100,44,917,219,469,422,1151,766,954,939,680,401,6013,3983,8566,7442,15541,9735,11016,10238,6567,3070,76156
SED10085,0,0,0,17,14,7,0,0,0,37,11,47,25,174,52,36,16,0,3,366,0,0,0,4,0,4,3,0,3,16,0,3,3,16,32,38,32,20,13,159,0,0,0,8,8,3,0,0,0,20,0,30,32,79,50,22,15,0,0,235,0,0,0,0,0,5,4,3,0,13,0,3,0,29,3,3,3,0,0,45,0,3,0,19,0,0,0,0,0,29,4,0,7,30,5,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,15,11,35,20,12,18,4,0,127,3,9,5,45,11,7,0,0,0,80,0,0,0,6,7,7,11,3,3,40,0,0,11,20,21,9,0,0,0,61,0,25,24,139,69,61,56,32,10,426,292,728,571,1532,989,1032,790,438,154,6524,4862,10544,8797,18016,10693,9917,7381,3872,1452,75527
SED10086,0,5,6,34,15,3,7,3,0,70,7,27,37,249,69,45,20,5,0,465,0,3,6,110,10,57,92,52,93,419,0,3,17,171,52,43,36,24,10,361,12,62,31,75,26,41,40,22,6,311,16,75,288,1365,827,806,514,270,94,4256,0,0,0,17,15,23,10,16,0,81,0,3,5,39,18,4,7,7,3,92,6,3,3,49,17,12,4,0,0,95,3,7,19,75,24,7,13,0,0,152,0,0,0,18,7,3,3,0,0,36,0,0,0,45,24,5,12,9,4,94,43,152,119,543,158,105,56,13,9,1206,0,4,12,55,30,9,7,0,0,121,6,0,3,93,15,9,3,7,0,136,0,0,9,25,43,26,17,9,4,132,47,167,502,2804,697,680,959,467,323,6651,337,521,672,3162,904,726,699,444,264,7736,4454,8392,7998,28952,9837,7810,6725,3651,1968,79795
SED10087,3,5,4,13,10,9,0,0,0,45,15,74,37,243,49,35,14,3,0,471,0,0,0,10,3,4,3,3,10,32,0,3,15,18,36,31,54,10,10,178,0,4,4,6,6,3,3,0,0,31,0,43,62,106,61,22,16,7,3,321,0,0,0,3,4,7,3,6,3,32,3,16,11,76,20,3,3,0,0,131,0,0,14,47,7,0,0,0,0,71,0,5,9,33,14,0,3,0,0,64,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,10,3,5,8,36,29,17,18,3,0,121,0,3,5,44,3,4,0,0,0,65,0,0,0,7,5,6,7,0,3,31,0,8,15,29,18,15,6,0,0,92,7,71,98,319,83,79,81,44,33,823,236,474,660,1271,753,804,630,461,246,5536,5027,10374,10738,19034,9443,9306,6843,3957,1818,76536
SED10088,0,0,0,24,33,14,4,3,0,83,4,40,88,389,196,123,42,23,3,908,0,0,5,64,27,47,25,3,11,178,3,26,14,118,106,79,73,66,20,512,3,26,8,34,24,17,7,3,3,136,6,64,75,363,177,123,74,25,8,914,0,0,6,61,48,57,28,34,13,242,0,3,5,26,10,8,7,5,0,72,0,3,6,32,13,13,16,0,0,78,6,8,52,144,76,35,5,3,0,332,0,0,4,11,13,8,3,0,0,34,0,0,0,23,25,10,6,4,3,79,13,66,65,141,116,54,31,9,3,495,0,4,19,87,44,43,11,0,0,201,0,0,3,66,40,15,20,12,5,166,0,0,3,39,30,14,5,0,0,90,31,149,212,1547,572,347,268,156,74,3348,173,314,377,968,556,438,379,322,224,3746,5009,10798,9117,21277,11821,8467,6335,4212,2072,79107
SED10089,0,0,3,14,14,7,3,0,0,45,6,29,44,185,88,75,26,11,0,463,0,3,0,35,22,28,33,33,46,209,0,5,8,41,24,49,62,41,22,249,0,0,68,28,10,7,6,3,0,131,3,7,37,55,32,9,3,8,0,166,0,0,0,4,21,24,23,24,9,103,4,15,29,83,34,16,4,3,0,177,0,4,26,103,3,0,0,3,0,134,0,8,28,66,11,7,0,0,0,132,0,0,5,24,67,98,102,59,5,365,0,0,0,4,5,0,3,0,0,16,5,24,33,78,26,19,16,3,0,199,9,20,38,106,22,21,7,3,3,226,0,0,4,7,16,10,15,11,4,70,0,9,44,46,3,6,0,0,0,108,50,175,272,595,159,136,119,71,46,1621,136,238,425,840,406,417,390,325,203,3372,5129,9509,12843,21446,9609,8967,6929,4127,2234,80787
