SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10080,60,42,229,9,44,122,511,4,51,11,10,4,0,77,35,513,42,35,8,8,644,67,127,74,46,3,0,326,82,78,98,22,6,3,286,237,45,138,33,22,8,482,1059,62,248,31,19,10,1426,2143,41,442,38,46,14,2719,2492,25,474,16,25,8,3037,2903,7,433,3,13,10,3372,2540,13,373,3,15,9,2952,2130,6,343,5,13,7,2498,1367,3,195,3,17,5,1589,2625,0,505,3,25,9,3162,381,54,194,35,48,35,754,18114,1067,3787,300,300,248,23818
SED10081,12,47,204,7,170,188,626,12,52,26,9,10,6,124,118,265,170,18,62,14,643,516,249,246,56,50,18,1134,416,80,247,19,37,12,812,922,120,275,24,44,8,1395,1575,46,387,3,40,17,2069,1014,16,174,3,23,7,1227,188,0,40,0,5,0,234,23,0,10,0,0,0,37,4,0,4,0,0,0,12,3,0,0,0,0,0,7,3,0,0,0,0,0,3,6,0,10,0,0,0,14,76,60,87,9,77,17,336,4896,941,1879,156,522,283,8673
SED10082,5,20,78,9,9,72,188,0,17,4,0,0,0,24,9,152,21,23,25,5,234,20,75,52,24,51,3,216,38,41,53,3,13,3,155,109,34,90,7,31,0,272,344,65,170,6,21,6,607,994,21,257,0,11,7,1291,784,3,151,3,7,3,945,404,0,64,0,3,3,474,189,0,14,0,0,0,206,78,0,10,0,0,0,94,24,0,8,0,0,0,31,26,0,3,0,3,0,39,40,26,40,6,7,5,123,3069,442,1021,84,181,103,4901
SED10083,3,36,91,6,12,63,215,3,45,4,21,8,4,78,17,388,31,20,4,5,471,78,168,80,39,20,10,393,113,93,91,11,9,3,318,286,69,139,14,21,4,534,1069,120,332,3,32,14,1568,2009,38,369,6,27,10,2462,673,5,106,3,8,3,804,140,0,27,0,0,0,169,42,0,8,0,0,0,53,11,0,4,0,0,0,15,0,0,0,0,0,0,3,6,0,0,0,0,0,14,53,59,46,16,17,8,201,4522,1020,1333,137,164,126,7302
SED10084,3,27,94,3,12,100,236,0,24,5,9,3,3,48,8,320,67,6,33,4,438,64,148,115,43,72,10,449,56,66,143,8,43,4,319,288,41,206,13,56,8,616,1122,48,474,14,52,8,1718,1626,27,553,17,73,14,2307,785,3,225,0,12,3,1026,253,0,59,0,3,0,317,100,0,28,0,0,0,130,35,0,12,0,0,0,51,18,0,0,0,0,0,18,7,0,7,0,3,0,21,66,52,94,9,19,17,248,4429,749,2081,138,372,171,7935
SED10085,15,39,212,12,230,229,739,14,54,20,7,4,3,106,158,195,168,40,38,7,612,493,255,209,32,66,16,1071,387,75,196,7,27,8,704,989,119,281,13,97,6,1508,1412,49,260,0,51,7,1777,617,4,110,3,13,4,750,115,0,31,0,7,0,156,14,0,6,0,0,0,24,6,0,0,0,0,0,7,0,0,3,0,0,0,3,0,0,3,0,0,0,8,3,0,5,0,3,0,16,79,45,95,11,110,13,354,4305,835,1612,133,650,293,7835
SED10086,15,10,203,7,18,125,386,0,5,3,8,0,0,16,10,131,22,4,0,0,167,15,30,33,11,5,0,95,20,15,38,0,4,0,80,53,8,38,4,5,0,105,177,12,90,3,11,0,299,716,12,176,13,14,0,935,1369,3,304,7,6,10,1692,2014,4,356,4,5,9,2392,1688,0,317,7,11,15,2039,1009,0,257,0,9,7,1287,679,0,159,0,9,4,864,1564,0,442,0,22,3,2031,186,10,115,7,19,15,363,9525,242,2562,79,152,185,12749
SED10087,18,70,137,22,69,108,418,17,69,17,27,7,4,141,100,436,139,35,24,15,754,709,267,239,38,42,18,1312,396,109,191,11,34,4,740,864,107,279,11,196,3,1466,1686,42,382,4,80,7,2202,954,13,167,3,21,3,1156,187,3,37,0,4,0,238,20,0,11,0,6,0,34,4,0,8,0,3,0,16,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,9,0,3,0,16,69,52,62,16,37,11,254,5026,1175,1687,165,518,177,8738
SED10088,7,30,92,28,7,73,237,0,22,12,52,6,5,103,3,249,11,34,3,7,309,13,76,22,43,4,4,160,7,32,25,22,3,0,90,19,36,50,22,13,0,132,83,23,91,10,21,0,223,589,20,191,9,18,3,836,1321,9,276,0,14,5,1638,878,6,145,0,6,3,1038,513,12,105,0,8,0,631,440,3,93,0,3,0,539,299,0,61,0,0,0,365,378,0,47,0,0,0,429,80,39,59,15,15,8,214,4641,550,1279,238,126,106,6945
SED10089,4,77,84,30,9,62,268,6,77,16,18,7,0,123,50,574,84,15,16,6,743,193,245,145,55,16,7,664,169,128,142,24,13,0,469,350,122,196,20,32,10,727,1291,116,480,13,38,3,1940,2218,33,534,6,39,10,2847,718,9,118,0,10,0,859,127,0,41,0,0,0,167,30,6,22,0,0,3,55,19,0,16,3,0,0,30,7,0,8,0,0,0,18,22,0,18,0,0,0,39,68,81,71,25,17,5,269,5275,1469,1967,200,200,107,9225
SED10090,20,13,177,7,24,91,334,0,22,0,0,3,0,30,12,119,23,12,0,4,159,14,48,37,25,6,4,128,19,18,41,7,5,0,86,36,11,53,4,13,0,116,144,14,91,6,17,0,278,745,12,188,12,7,6,972,1903,6,313,3,17,0,2246,2106,4,300,5,18,5,2442,1232,0,191,0,5,3,1432,900,0,141,0,14,3,1053,535,0,89,0,10,3,637,1005,0,191,0,20,0,1218,155,18,101,16,28,8,325,8840,281,1924,99,169,134,11450
SED10091,9,3,98,8,29,86,236,3,11,7,3,4,0,20,12,18,31,7,26,0,88,27,125,51,27,33,4,275,73,44,64,26,14,0,222,130,34,97,15,8,0,283,406,42,156,8,13,7,629,964,25,180,7,18,7,1204,549,0,85,3,3,0,644,259,0,43,0,0,0,303,79,0,20,0,0,0,103,47,0,4,0,0,0,49,8,0,3,0,0,0,20,24,0,5,0,0,0,33,54,24,45,7,24,6,164,2645,335,901,106,171,117,4267
SED10092,17,195,116,14,16,72,430,4,123,13,13,3,0,151,52,1183,78,31,40,18,1402,232,467,154,31,25,12,919,236,209,123,14,16,10,607,680,121,240,8,40,4,1093,1719,194,351,15,39,9,2324,2304,121,412,10,29,6,2885,1107,10,174,5,18,3,1309,397,0,60,3,5,0,466,132,3,21,0,3,3,156,36,0,15,0,0,0,57,18,0,8,0,0,0,28,15,0,5,0,0,0,18,94,152,64,17,14,17,368,7043,2759,1836,165,246,160,12216
SED10093,7,34,78,11,16,66,214,3,26,3,6,0,0,48,12,279,36,15,23,3,370,86,202,92,66,112,6,560,121,104,88,26,45,5,387,288,73,178,49,33,3,630,1310,89,380,24,25,11,1830,2018,27,337,3,29,8,2427,978,3,107,0,12,0,1096,122,3,22,0,3,0,154,23,0,0,0,4,0,28,7,0,0,0,0,0,11,8,0,4,0,0,0,10,5,0,3,0,0,0,9,61,56,57,20,19,13,223,5057,891,1389,230,312,118,7998
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
