SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10011,7,16,87,5,14,79,209,3,10,6,7,0,0,32,13,38,55,14,7,0,133,68,141,82,53,11,0,354,76,37,70,20,6,0,211,214,46,153,41,14,6,465,636,35,245,17,11,4,951,1324,36,306,18,10,3,1691,538,4,80,3,3,0,633,134,0,26,0,0,0,165,22,0,8,3,0,0,31,5,0,4,0,0,0,9,4,0,0,0,0,0,4,0,0,7,0,0,0,4,41,21,54,10,13,8,152,3087,391,1174,192,92,94,5033
SED10012,24,85,139,9,13,45,310,4,68,4,0,0,0,76,11,416,33,9,8,6,488,41,329,41,46,14,3,475,53,199,76,10,10,0,349,212,211,104,28,17,5,575,1181,150,256,20,54,18,1675,1286,207,380,22,89,4,1985,829,51,152,10,42,3,1089,216,9,42,0,7,0,270,31,0,14,0,3,0,44,17,0,3,0,0,0,21,3,0,3,0,0,0,7,11,0,3,0,0,0,15,70,89,72,9,26,21,286,3973,1810,1320,163,284,111,7670
SED10013,6,20,75,5,9,77,192,5,5,7,4,0,0,21,4,132,7,9,18,5,179,15,42,36,7,8,0,115,15,37,33,3,4,0,95,52,30,55,4,52,0,191,212,14,120,4,13,7,362,1011,50,227,5,18,6,1314,1670,4,223,0,15,5,1917,783,0,57,0,5,0,842,114,0,17,0,4,0,135,46,0,3,0,0,0,46,8,0,0,0,0,0,14,9,0,3,0,0,0,13,79,22,57,11,17,6,197,4031,353,940,60,169,107,5650
SED10014,13,104,63,9,3,42,227,5,99,0,11,0,0,115,3,801,13,24,14,3,861,23,551,44,42,11,8,681,31,329,50,29,3,0,438,170,285,64,26,4,3,547,891,292,229,30,11,3,1461,2739,258,349,22,27,13,3399,728,20,93,0,11,7,860,137,0,17,0,4,0,157,16,3,8,0,0,0,28,3,0,7,0,0,0,9,9,0,3,0,0,0,11,8,0,0,0,0,0,5,60,158,51,8,11,16,297,4841,2891,994,196,98,96,9111
SED10015,35,34,144,14,7,101,325,3,41,7,10,0,0,59,14,296,37,22,5,3,376,52,201,49,57,8,0,370,91,82,57,15,6,0,254,136,69,66,20,11,3,310,949,51,182,13,27,7,1230,2955,65,375,20,77,13,3500,1670,18,255,8,30,10,1996,950,11,161,3,20,5,1150,366,3,45,0,4,0,417,110,0,18,0,5,0,132,66,0,14,0,0,0,76,46,0,10,0,0,0,61,116,56,101,24,27,15,328,7561,914,1519,200,234,162,10588
SED10016,6,0,72,0,12,40,136,0,6,0,0,0,0,7,3,14,7,8,0,0,33,0,11,23,4,0,0,38,0,4,21,5,0,4,34,15,4,14,5,37,0,81,45,6,33,0,39,0,120,137,3,80,4,13,0,238,664,3,119,0,11,3,798,1047,0,117,3,5,3,1183,699,0,72,0,0,0,769,263,0,46,0,0,0,306,137,0,14,0,0,0,154,104,0,14,0,0,0,121,53,0,34,8,5,6,113,3167,55,662,40,136,69,4120
SED10017,4,32,127,9,13,84,277,3,25,8,12,7,0,61,32,290,54,20,13,5,420,161,190,124,32,24,5,525,156,81,129,8,15,3,396,705,68,204,16,25,8,1014,1596,48,332,10,34,3,2022,1202,4,198,4,10,4,1423,413,3,53,0,3,3,478,42,0,13,0,0,0,51,12,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,13,59,44,56,13,17,12,200,4395,791,1306,120,164,126,6902
SED10018,5,67,76,3,16,54,220,0,49,7,0,0,0,56,18,551,34,16,5,0,624,62,337,71,33,12,0,521,63,130,78,13,6,3,292,169,116,107,13,33,0,436,818,191,297,3,40,6,1366,1437,50,378,3,30,7,1890,546,0,114,0,7,0,669,150,0,34,0,0,0,188,55,0,10,0,0,0,62,21,0,3,0,0,0,25,3,0,0,0,0,0,3,3,0,3,0,0,0,7,42,92,51,22,9,9,230,3381,1590,1260,115,158,86,6591
SED10019,5,23,191,40,48,129,431,3,26,29,15,17,0,92,72,199,156,52,67,16,560,350,145,299,100,66,15,969,340,74,273,24,35,9,756,923,74,460,14,61,12,1543,1388,37,460,27,51,11,1981,590,5,123,10,12,10,753,93,0,15,3,3,0,113,13,0,6,0,0,0,28,13,0,0,0,0,0,13,3,0,0,0,0,0,6,0,0,0,0,0,0,3,4,0,3,0,0,0,11,43,41,79,22,19,16,226,3834,635,2098,310,388,210,7475
SED10020,12,44,95,19,14,78,250,3,32,3,8,0,0,47,20,415,99,36,47,8,624,114,219,107,53,50,11,561,186,97,169,16,32,3,504,659,89,234,20,52,8,1062,1256,115,436,15,44,16,1883,1774,33,420,7,39,14,2285,555,3,95,5,13,3,677,100,0,19,0,3,0,118,22,3,5,0,0,0,33,5,0,4,0,0,0,15,0,0,0,0,3,0,3,4,0,8,0,0,0,13,85,57,51,32,20,8,249,4793,1103,1739,207,333,138,8316
