SED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED10001,14340,8715,8266,8605,9544,9864,7714,4425,1990,73466,22,16,11,16,17,7,14,20,8,136,273,453,335,218,266,307,216,133,71,2266,79,231,242,177,236,250,245,86,25,1580,9,16,26,9,28,38,20,7,0,161,0,3,5,12,17,16,21,4,0,81,4,12,21,9,10,20,17,6,0,94,4,8,0,0,4,9,13,4,0,37,0,3,0,3,0,0,0,0,0,8,3,13,10,8,12,8,0,0,0,61,0,0,0,0,0,0,0,0,0,0,378,734,652,433,569,654,529,230,100,4288,404,753,666,450,591,667,547,256,107,4423,14746,9466,8930,9056,10135,10529,8263,4676,2092,77892
SED10002,18888,14675,23286,14179,11551,9471,5089,2681,1120,100929,28,16,40,29,19,4,9,4,0,152,231,380,518,329,254,219,143,68,41,2188,3,43,46,68,60,30,14,3,0,255,7,43,30,41,36,15,11,3,0,176,0,12,6,14,25,16,4,0,0,64,3,17,23,18,18,16,3,0,0,96,0,0,7,0,3,0,0,0,0,12,3,0,4,0,0,0,0,0,0,3,0,54,19,7,8,13,0,0,0,103,0,0,0,0,0,0,0,0,0,0,238,540,655,477,395,305,171,78,41,2903,271,558,698,500,414,312,183,80,38,3051,19154,15228,23978,14683,11965,9786,5268,2761,1163,103983
SED10003,11866,6330,6412,8547,10050,11061,8237,4225,2329,69055,12,17,22,11,19,16,11,11,3,128,263,316,435,353,402,529,482,177,101,3058,75,50,79,101,64,201,303,93,15,985,62,102,165,129,116,184,154,27,9,952,13,4,16,5,25,36,58,14,5,175,7,11,14,11,8,19,15,3,0,90,0,5,4,8,10,27,46,12,0,122,3,3,3,3,3,3,4,0,0,20,3,6,4,9,4,16,19,9,0,65,0,0,0,0,0,0,0,0,0,0,423,497,717,612,640,1018,1076,341,135,5462,435,511,740,626,656,1038,1095,360,142,5588,12301,6840,7148,9174,10710,12098,9332,4584,2467,74645
SED10004,12063,10123,15612,13993,10508,7974,5519,2228,910,78930,0,10,13,6,3,3,7,9,3,50,135,384,526,304,270,245,163,85,53,2171,3,16,25,35,28,34,17,8,0,166,4,11,18,22,27,31,42,3,0,147,0,3,9,6,7,17,7,6,0,52,0,12,6,8,9,9,13,4,0,58,0,0,6,0,3,10,6,4,0,22,0,0,0,6,0,0,0,0,0,9,3,13,10,3,10,11,16,4,0,67,0,0,0,0,0,0,0,0,0,0,142,437,598,378,353,346,254,110,60,2684,148,448,610,383,351,349,261,122,61,2736,12205,10578,16218,14380,10868,8324,5778,2348,969,81671
SED10005,18518,11678,12614,10753,10165,8780,5608,3323,1683,83128,25,19,24,17,18,17,8,3,9,141,284,303,492,296,229,233,188,112,125,2259,0,14,10,13,14,24,10,4,0,92,4,10,12,19,37,15,8,0,0,111,0,0,7,0,10,4,3,0,0,26,0,6,4,0,7,0,0,3,0,21,0,0,4,0,4,0,0,0,0,11,0,0,0,4,0,0,0,0,0,4,4,4,0,7,0,4,9,0,0,30,0,0,0,0,0,0,0,0,0,0,296,330,534,353,304,272,214,122,123,2558,328,350,556,370,327,293,224,128,130,2696,18843,12035,13178,11119,10490,9067,5828,3446,1817,85829
SED10006,14509,7145,8203,7806,9598,10124,7854,4628,1807,71671,61,48,46,32,36,38,30,26,7,318,359,660,741,514,697,797,688,256,75,4791,26,23,59,33,92,256,374,95,6,956,26,44,66,77,116,120,115,12,3,581,9,29,48,50,63,104,183,23,4,519,8,3,0,22,11,27,61,0,0,139,0,0,4,3,10,14,23,6,0,57,0,3,6,0,5,0,0,0,0,17,4,10,12,10,13,19,5,12,0,80,0,0,0,0,0,0,0,0,0,0,426,773,944,705,1012,1341,1454,409,86,7146,488,822,984,741,1047,1379,1483,432,88,7463,14997,7969,9188,8547,10646,11507,9335,5057,1900,79138
SED10007,14242,9392,8323,8537,9834,9604,7989,4111,1680,73708,24,23,27,19,18,21,10,14,3,156,279,988,438,274,325,343,242,143,59,3086,8,15,12,9,6,25,3,3,4,85,8,20,17,11,16,33,24,0,0,130,0,0,0,3,4,3,5,0,0,18,0,0,3,6,0,3,4,3,0,21,3,0,0,0,4,5,9,0,0,21,3,3,3,0,0,0,0,0,0,19,0,16,6,3,5,4,9,0,0,48,0,0,0,0,0,0,0,0,0,0,301,1040,485,315,358,421,298,151,66,3426,323,1067,508,330,377,443,306,165,69,3583,14568,10464,8829,8869,10212,10045,8301,4272,1743,77291
SED10008,15929,9905,8287,11483,10782,9443,7180,3047,1003,77063,3,3,3,7,0,0,0,4,3,28,172,224,260,161,152,132,177,109,61,1451,0,0,25,13,17,19,7,0,3,89,5,7,10,24,17,21,16,4,0,113,3,0,3,0,3,9,5,0,0,20,3,7,3,3,4,0,3,0,0,26,0,4,0,0,4,5,6,0,0,15,4,0,0,3,3,0,0,0,0,11,0,0,3,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,190,243,308,203,207,185,216,116,65,1723,189,247,309,209,207,185,211,121,68,1752,16115,10150,8595,11694,10987,9631,7392,3168,1071,78809
SED10009,10161,5471,4608,6073,8537,11667,10434,5431,2246,64640,24,27,12,20,16,22,18,8,5,157,220,287,314,276,336,515,404,167,73,2587,26,30,47,77,83,205,325,243,45,1091,8,0,9,9,28,23,34,8,0,126,0,0,8,4,9,6,17,5,0,56,3,4,8,3,7,11,5,0,0,38,6,0,0,6,3,17,24,6,0,68,3,0,3,0,3,11,5,0,0,24,42,36,50,53,74,134,128,66,4,601,0,0,0,0,0,0,0,0,0,0,312,372,436,431,544,923,947,499,131,4592,335,391,450,445,564,946,973,509,139,4747,10496,5867,5061,6519,9099,12614,11407,5943,2380,69387
SED10010,17762,11255,14751,12360,10102,9065,5698,3089,1208,85291,10,22,23,16,18,15,8,9,0,122,209,281,329,228,187,160,120,83,52,1651,0,3,10,5,3,3,8,0,0,28,3,6,5,9,8,8,5,0,0,44,3,4,4,3,0,0,0,0,0,20,4,5,0,7,3,0,0,0,0,16,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,218,297,356,248,205,176,139,83,49,1766,230,319,377,266,223,196,144,94,49,1893,17992,11576,15123,12633,10326,9253,5838,3184,1260,87186
