SED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED10001,50,43,357,323,82,789,51,498,34,2232,144,280,735,599,257,463,156,426,55,3111,678,1454,1239,794,655,536,433,682,66,6531,1121,1358,924,717,904,462,496,653,99,6733,1291,1302,907,794,1177,553,630,824,114,7591,1166,1128,674,593,926,475,578,778,83,6397,492,257,138,118,206,121,154,186,50,1720,127,23,10,6,20,11,13,23,16,249,28,7,0,0,3,0,0,3,3,42,5097,5849,4978,3944,4225,3407,2515,4068,522,34606
SED10002,12,64,166,184,85,459,32,205,59,1264,193,682,730,661,537,830,219,783,172,4813,1309,3646,2345,1420,1814,1296,770,1601,469,14665,1232,2039,1451,749,1120,528,663,855,256,8880,836,1087,1138,603,948,425,734,1056,197,7024,454,661,737,341,593,269,582,829,123,4588,76,128,88,65,126,51,68,99,22,717,0,10,0,5,5,5,5,9,7,43,0,0,0,0,0,0,0,0,6,13,4110,8317,6660,4010,5219,3874,3073,5432,1306,42006
SED10003,20,28,168,273,48,653,33,402,23,1641,85,142,369,390,136,344,82,245,21,1817,521,1108,919,698,398,461,181,506,64,4856,1027,1821,1004,728,707,468,203,539,100,6590,1203,1977,937,884,943,586,320,671,107,7619,985,1684,748,685,861,517,334,622,110,6538,387,413,148,92,199,131,102,143,47,1666,87,34,6,9,20,7,6,25,15,206,15,5,0,0,0,3,0,0,20,45,4325,7199,4307,3763,3316,3159,1263,3141,516,30988
SED10004,16,60,49,280,69,317,6,91,20,918,205,943,327,816,549,599,59,201,58,3767,1999,5540,1000,1001,1403,819,156,403,210,12511,2974,5102,655,549,1243,565,114,211,188,11596,2157,3461,482,375,1004,428,135,202,147,8388,1056,2214,322,265,678,268,122,185,65,5174,258,799,81,91,212,90,39,78,20,1663,22,69,9,0,16,9,5,6,10,136,3,3,0,0,0,0,0,0,5,9,8691,18192,2928,3374,5163,3083,636,1371,721,44167
SED10005,22,46,179,191,95,485,44,172,51,1290,153,544,461,547,501,626,154,331,120,3433,683,1851,1077,868,1119,626,609,665,224,7735,686,1182,999,791,953,500,718,680,160,6677,559,812,925,606,923,440,864,889,162,6177,303,495,626,362,606,265,621,728,81,4089,77,102,89,64,130,49,94,113,26,739,5,9,10,0,13,0,9,9,3,52,0,0,0,0,0,0,0,0,0,9,2492,5047,4367,3425,4332,2997,3112,3578,844,30201
SED10006,35,28,204,160,51,425,45,324,40,1310,155,250,483,403,172,257,187,381,33,2312,695,1150,910,773,547,379,561,627,110,5753,1067,886,737,716,573,325,575,606,99,5584,1481,917,731,821,763,356,743,850,110,6777,1624,715,622,599,629,348,644,761,124,6058,841,170,131,114,174,83,182,222,49,1977,303,21,14,11,22,13,15,22,34,460,48,3,9,3,5,0,4,3,15,91,6246,4153,3844,3601,2929,2190,2955,3800,619,30324
SED10007,33,37,296,335,67,596,49,465,37,1905,114,246,637,648,241,488,138,419,37,2969,548,1087,1261,796,667,523,470,598,92,6041,782,1196,980,711,844,419,660,644,123,6358,991,1256,959,876,1087,431,800,829,113,7342,919,1124,656,591,782,326,619,698,102,5818,486,237,130,124,187,99,150,161,45,1619,128,38,21,3,21,11,19,25,24,285,24,6,3,0,3,3,0,5,8,54,4023,5223,4943,4088,3896,2892,2902,3852,573,32393
SED10008,27,136,207,417,150,680,54,272,26,1961,190,823,446,580,550,677,82,233,69,3651,971,2806,725,469,1007,544,156,228,134,7041,1932,3629,901,493,1474,586,203,225,170,9623,1923,2762,874,575,1602,558,302,393,168,9164,1179,1909,596,358,1304,414,246,302,84,6394,311,550,158,98,364,161,85,108,32,1863,25,52,9,11,32,18,4,9,6,166,3,0,0,0,0,0,0,0,3,12,6558,12680,3924,3001,6474,3635,1136,1774,699,39879
SED10009,27,20,238,268,62,593,26,340,29,1607,78,84,417,285,138,245,74,257,30,1617,314,549,765,490,351,345,173,473,35,3485,646,827,746,570,573,404,290,499,71,4631,891,1114,954,823,879,612,365,768,87,6495,941,1226,812,749,820,550,400,729,113,6334,362,279,123,117,184,148,119,178,39,1554,75,44,13,6,13,14,10,14,16,198,11,3,3,0,0,0,4,0,7,32,3342,4141,4079,3307,3026,2917,1464,3263,422,25959
SED10010,29,49,227,213,111,614,78,350,29,1699,195,470,587,498,587,703,378,532,99,4056,984,2514,1399,1067,1697,874,1246,1017,241,11031,1005,1968,1251,951,1505,546,1055,878,200,9374,658,1106,1031,717,1326,404,1042,895,161,7342,375,705,649,521,918,322,695,750,90,5025,64,131,118,91,173,66,121,129,23,915,0,9,15,5,7,4,3,9,7,59,0,3,0,0,0,0,0,0,4,12,3309,6960,5274,4064,6326,3536,4615,4560,862,39504
