SED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED10001,37,153,154,148,261,233,142,210,17,1354,52,133,96,91,189,200,74,175,289,1302,1389,4121,3512,4313,6074,5832,3228,5466,674,34606
SED10002,19,152,189,150,329,294,117,119,12,1382,72,339,425,280,595,586,187,211,850,3546,919,4126,5403,4077,9669,9242,3158,3966,1444,42006
SED10003,36,167,137,139,191,175,79,138,16,1078,65,224,144,182,178,178,52,151,314,1492,1119,4594,4163,4971,5085,4481,2007,3913,657,30988
SED10004,29,153,125,134,199,221,128,214,12,1223,34,149,155,129,170,363,146,313,281,1739,1331,3898,4159,3774,6405,9398,5226,9381,590,44167
SED10005,23,197,187,138,264,262,125,147,30,1381,64,230,208,198,492,361,100,128,587,2373,784,3360,3247,3111,7279,6210,2206,2921,1076,30201
SED10006,41,113,82,92,195,265,104,167,11,1074,78,101,75,91,134,169,76,169,378,1274,1240,2894,2511,3314,4906,4869,2495,7235,853,30324
SED10007,25,165,114,125,243,204,124,198,8,1212,68,128,89,92,215,188,66,159,279,1294,1298,3907,3227,3579,6345,5357,2838,5188,654,32393
SED10008,23,176,157,156,225,281,119,205,16,1369,29,157,133,126,257,400,113,220,309,1744,1078,4602,4008,3703,7024,9181,3542,6180,569,39879
SED10009,23,157,103,120,164,167,77,147,15,979,44,135,84,97,120,122,44,106,242,985,1175,3897,3129,3858,4525,3670,1876,3283,547,25959
SED10010,29,126,136,137,388,294,133,162,19,1434,50,184,200,165,529,444,135,174,516,2389,1133,3346,3753,3732,10821,8829,3170,3697,1028,39504
SED10011,36,153,121,152,181,192,102,164,10,1112,48,146,90,90,166,217,70,143,168,1135,1157,4290,3930,3981,5743,5667,3048,4797,444,33051
SED10012,29,272,223,157,312,271,120,137,21,1535,37,298,247,220,665,388,113,137,601,2712,676,3589,3157,3017,8024,6027,2141,2824,1006,30461
SED10013,40,191,141,156,375,389,212,298,19,1815,84,169,153,131,349,440,143,316,434,2214,1539,4201,3991,4141,8594,9193,4449,7639,884,44637
SED10014,20,128,98,92,265,274,154,161,20,1216,44,148,115,131,428,393,128,180,377,1944,990,3240,2911,3499,8115,6933,3065,4046,757,33554
SED10015,33,202,191,158,339,356,142,200,32,1655,68,224,257,192,425,421,119,163,554,2419,1040,3998,4674,4186,8583,8332,3172,4328,995,39307
