SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10011,24696,62712,754,1235,576,945,1322,2179,421,631,128,179,9,9,10,18,569,834,9,10,3,6,7,23,32,62,55,95,107,202,26747,66024,4098,..,30848,66024
SED10012,17030,61501,605,1625,2521,7816,3127,9436,803,2206,1696,4314,225,541,42,108,2769,7170,0,0,3,10,3,6,63,164,64,183,75,211,23064,78490,1126,..,24191,78490
SED10013,25015,79860,846,1558,594,1382,1442,2942,154,225,30,40,0,6,9,14,200,292,14,25,37,50,18,46,14,45,83,167,147,287,26886,83545,1337,..,28223,83545
SED10014,20122,62602,1485,3249,1846,4677,3334,7921,754,1340,284,537,766,1510,9,19,1822,3410,0,0,0,0,3,7,49,157,54,164,40,86,25380,74185,1513,..,26888,74185
SED10015,15240,47819,1115,2963,2325,7152,3441,10114,4996,12309,3239,8111,1780,4487,16,37,10037,24946,0,0,0,3,0,0,219,583,220,589,105,279,29040,83747,2168,..,31209,83747
SED10016,19592,66560,494,852,2147,6629,2647,7481,331,735,522,1195,624,1378,10,18,1488,3330,3,3,0,0,0,0,10,28,13,32,63,197,23802,77595,1336,..,25136,77595
SED10017,24118,65980,1525,2595,255,408,1778,3004,318,475,16,27,4,4,4,5,341,514,20,39,9,22,9,19,33,65,70,149,128,296,26431,69931,2654,..,29082,69931
SED10018,22210,59912,2102,3411,1334,2709,3438,6119,730,1179,103,149,187,318,29,50,1041,1699,3,14,99,126,7,7,24,76,138,225,48,98,26868,68054,2157,..,29024,68054
SED10019,24015,59757,1042,1633,529,1028,1575,2652,1488,2332,77,136,10,9,3,12,1586,2489,422,696,200,308,85,184,96,208,813,1393,179,378,28171,66673,3924,..,32092,66673
SED10020,20092,53983,1958,3588,1354,2779,3315,6362,2095,3703,320,622,301,493,9,20,2729,4833,199,309,344,548,47,79,36,85,631,1020,280,583,27042,66776,2931,..,29974,66776
SED10021,5261,16579,2641,7101,3123,9008,5772,16109,4124,8668,10754,21483,4917,9485,71,154,19868,39787,0,0,3,3,0,0,566,1195,566,1197,111,292,31577,73957,3347,..,34926,73957
SED10022,24642,59824,790,1265,36,70,826,1336,870,1188,21,23,0,0,3,3,892,1217,64,96,15,31,14,20,104,242,200,390,224,512,26786,63286,4255,..,31043,63286
SED10023,15277,47397,773,1446,2698,6225,3471,7669,2015,3383,3691,6991,1905,3542,3,3,7605,13916,0,3,0,6,0,0,90,184,88,199,63,154,26511,69329,2103,..,28611,69329
SED10024,19948,64035,481,717,1093,2362,1573,3082,826,1464,549,1167,2271,5290,3,7,3647,7936,0,6,0,5,3,13,21,59,26,78,58,128,25247,75262,1729,..,26980,75262
SED10025,11680,35491,1026,2566,1743,4513,2770,7080,3209,6392,2869,5943,8559,19630,18,25,14649,31997,0,0,6,12,0,0,272,611,272,621,147,335,29520,75522,2530,..,32053,75522
SED10026,23445,61489,1336,2270,75,118,1411,2392,1467,2276,22,29,8,11,0,0,1496,2316,94,169,50,80,19,42,306,768,466,1050,154,343,26979,67592,3608,..,30584,67592
SED10027,17452,54092,1241,2875,4653,14579,5898,17453,702,1031,168,365,126,254,45,96,1038,1749,0,0,0,0,0,0,115,282,115,283,90,262,24595,73836,1657,..,26251,73836
SED10028,18334,59357,872,1820,2335,6901,3208,8726,844,1239,1573,3702,1657,4344,21,42,4098,9319,3,11,0,0,0,0,15,47,17,57,57,163,25718,77624,1529,..,27248,77624
SED10029,16093,57018,885,2365,3115,10855,3998,13219,1845,4033,1238,2935,1845,4743,22,51,4944,11766,3,9,0,0,23,65,191,633,221,710,149,401,25404,83117,1692,..,27101,83117
SED10030,19200,51028,3101,5432,2029,4098,5125,9529,2418,3849,716,1252,906,1697,21,26,4054,6822,21,26,385,649,3,5,48,90,454,773,185,315,29021,68468,4135,..,33155,68468
SED10031,25284,63940,1303,2052,174,339,1477,2395,458,693,71,91,0,0,9,13,536,798,98,143,48,94,54,119,81,151,279,508,205,455,27789,68092,5547,..,33332,68092
SED10032,14186,48082,1502,3516,3013,10139,4512,13654,2079,5387,4595,11955,2598,6890,30,69,9309,24301,0,5,3,7,11,37,80,299,95,349,156,412,28254,86803,1932,..,30185,86803
SED10033,20919,62728,1652,3169,542,1184,2193,4352,410,659,77,131,3,7,10,18,500,819,74,107,66,102,21,71,42,101,204,381,186,413,24002,68699,1693,..,25695,68699
SED10034,18726,57567,583,1152,1931,4777,2507,5928,928,1764,2620,5025,892,1760,12,22,4448,8576,18,33,91,146,0,0,44,89,151,266,81,201,25916,72535,1705,..,27625,72535
SED10035,6923,21175,2366,5853,2743,7329,5108,13178,2631,6164,5526,12025,18782,40763,62,139,26997,59096,0,0,3,12,7,19,203,538,213,563,243,468,39483,94478,3527,..,43011,94478
SED10036,20505,69399,547,1136,2914,8113,3461,9248,210,315,255,477,43,101,39,100,544,999,0,5,0,4,0,4,50,143,51,161,63,141,24620,79950,1116,..,25735,79950
SED10037,20205,61958,418,884,1272,3413,1695,4302,627,1273,2867,6368,646,1570,24,50,4167,9258,18,31,49,95,0,0,46,110,108,241,119,238,26292,75993,1806,..,28100,75993
SED10038,20207,58050,1889,3633,2865,6083,4754,9716,2227,4038,503,902,160,303,5,16,2900,5261,27,65,5,12,4,3,110,254,151,336,112,279,28130,73635,2294,..,30425,73635
SED10039,20860,56943,1563,2689,954,1930,2523,4622,744,1213,84,135,192,263,6,4,1023,1615,95,157,331,490,10,12,39,94,464,760,229,477,25098,64402,3565,..,28663,64402
SED10040,13066,42741,1742,4459,1645,5144,3393,9600,1399,3326,3540,9222,8167,22522,97,219,13201,35278,0,3,0,0,3,3,208,501,209,505,119,261,29993,88385,2020,..,32010,88385
SED10041,17087,54089,266,539,1125,2534,1392,3072,1049,1936,1374,2712,5744,13950,0,0,8163,18605,0,0,3,4,0,0,23,54,25,59,64,145,26732,75962,1864,..,28591,75962
SED10042,23203,60811,1530,2458,540,1017,2074,3473,481,766,78,141,43,90,17,32,622,1032,38,85,239,348,18,38,26,58,316,523,71,142,26282,65985,3140,..,29427,65985
SED10043,13404,48098,899,2276,3360,10966,4262,13246,5216,14224,2973,7988,1045,2458,20,45,9246,24711,0,5,3,9,0,0,181,596,185,606,106,322,27208,86981,1854,..,29060,86981
SED10044,14348,44393,911,2130,1882,4557,2797,6689,1881,3552,4902,9760,5579,11227,49,106,12414,24645,8,17,0,0,0,0,29,62,43,80,120,272,29721,76084,2652,..,32375,76084
SED10045,24101,60208,1327,2099,527,901,1851,3001,1148,1776,113,161,0,0,3,3,1261,1938,245,339,108,191,60,129,184,484,598,1143,177,391,27995,66679,3237,..,31232,66679
SED10046,16991,61388,570,1476,1563,4618,2135,6095,1283,2499,3584,8327,2302,6163,24,48,7191,17038,0,0,0,0,0,0,26,55,26,56,70,140,26405,84719,1368,..,27772,84719
SED10047,23810,73388,980,2125,2093,5670,3074,7794,716,1339,597,1097,326,634,28,59,1660,3137,26,46,126,202,32,74,47,123,229,435,157,409,28936,85167,2058,..,30992,85167
SED10048,20956,67898,2469,5695,2786,7518,5252,13211,270,557,74,155,36,107,15,31,395,858,27,33,3,3,5,18,18,42,55,105,175,373,26838,82442,1407,..,28245,82442
SED10049,23793,66556,1904,3392,533,881,2435,4270,569,815,0,0,32,49,3,5,607,871,41,67,3,3,11,28,54,113,108,210,379,535,27320,72450,2073,..,29386,72450
