SED_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED10001,6813,541,375,74,15,6,62,7879
SED10002,11766,448,224,229,15,11,43,12739
SED10003,6109,456,259,60,5,3,47,6945
SED10004,7215,444,128,37,4,0,9,7837
SED10005,10039,450,263,232,16,8,56,11073
SED10006,5742,392,368,113,18,14,112,6751
SED10007,6615,575,437,79,9,9,83,7811
SED10008,12362,517,240,138,11,3,17,13291
SED10009,4707,494,307,65,11,4,66,5665
SED10010,10814,596,399,240,20,13,54,12130
SED10011,7241,645,352,72,8,0,48,8365
SED10012,9500,518,300,276,27,15,55,10685
SED10013,11488,841,597,148,22,15,60,13170
SED10014,7885,642,504,198,31,14,84,9352
SED10015,10477,491,247,153,14,9,29,11416
SED10016,12430,597,358,148,17,9,20,13575
SED10017,7153,733,526,132,27,16,109,8694
SED10018,7695,564,333,78,12,8,49,8741
SED10019,5333,515,403,124,22,5,82,6485
SED10020,6050,575,343,103,8,6,57,7141
SED10021,8023,397,126,42,5,0,15,8611
SED10022,5839,439,339,72,12,5,75,6783
SED10023,9102,552,246,55,3,5,24,9982
SED10024,11786,478,200,96,0,8,20,12590
SED10025,9357,418,131,52,4,0,22,9990
SED10026,6706,505,393,106,15,11,95,7832
SED10027,9831,456,302,178,19,3,31,10829
SED10028,12094,427,161,160,8,0,17,12861
SED10029,10043,440,278,266,22,16,38,11107
SED10030,6482,587,357,69,8,4,57,7559
SED10031,6903,603,412,77,11,6,53,8062
SED10032,11214,441,243,184,13,12,27,12134
SED10033,8329,699,493,129,17,4,53,9724
SED10034,10213,608,341,79,9,3,26,11275
SED10035,7571,399,140,97,6,6,26,8246
SED10036,11741,551,389,173,12,5,33,12910
SED10037,11207,517,251,109,13,3,29,12125
SED10038,8901,502,309,64,7,3,42,9826
SED10039,6915,620,378,101,15,5,78,8110
SED10040,10658,452,221,188,14,6,36,11572
SED10041,11565,411,162,85,4,3,17,12245
SED10042,6465,679,400,109,21,13,68,7750
SED10043,11472,428,256,206,15,6,37,12414
SED10044,10199,396,142,68,0,0,23,10833
SED10045,5654,508,318,80,10,6,57,6643
SED10046,11074,509,391,234,15,22,52,12301
SED10047,8933,787,574,221,28,23,82,10652
SED10048,10823,665,444,244,22,17,55,12266
SED10049,8045,728,541,100,18,9,69,9517
SED10050,9751,468,179,44,3,0,18,10473
SED10051,9112,457,245,95,9,4,46,9964
SED10052,9590,511,273,91,0,0,24,10490
SED10053,7875,627,418,74,4,4,50,9047
SED10054,11041,570,489,312,25,10,61,12505
SED10055,11440,676,454,168,22,8,51,12817
SED10056,7417,447,353,89,4,9,100,8423
SED10057,4812,486,326,93,13,10,90,5830
SED10058,5764,466,208,44,8,3,33,6527
SED10059,4414,269,77,42,3,3,16,4819
SED10060,6921,380,96,22,3,4,11,7434
SED10061,6236,491,340,93,11,13,89,7274
SED10062,9996,418,215,150,9,3,17,10804
SED10063,7115,524,432,70,17,3,75,8229
SED10064,5117,497,369,95,9,8,61,6158
SED10065,12592,513,200,152,6,4,34,13512
SED10066,8075,687,462,108,22,11,67,9434
SED10067,8721,559,265,87,9,3,19,9665
SED10068,5547,541,301,76,11,4,61,6533
SED10069,6121,573,384,94,16,3,72,7267
SED10070,11230,434,250,198,5,7,47,12172
SED10071,13847,741,389,238,14,9,39,15282
SED10072,9121,466,192,130,4,3,30,9942
SED10073,10878,425,167,125,12,4,23,11627
SED10074,11140,539,252,157,19,5,29,12147
SED10075,8377,818,532,121,25,6,82,9965
SED10076,4924,534,348,91,18,11,82,6015
SED10077,10370,414,158,156,7,4,29,11136
SED10078,7916,389,127,96,6,0,22,8556
SED10079,6569,651,387,93,17,4,58,7776
SED10080,3793,265,68,21,4,0,21,4166
SED10081,6602,584,383,92,16,11,65,7758
SED10082,8059,620,310,67,7,10,49,9124
SED10083,6935,655,433,87,17,3,51,8174
SED10084,6317,552,330,77,6,3,58,7342
SED10085,7189,567,419,95,16,8,68,8362
SED10086,7759,382,137,34,0,0,3,8322
SED10087,7026,489,406,69,14,5,46,8057
SED10088,10329,574,257,84,6,5,34,11286
SED10089,7728,645,397,91,19,5,50,8935
SED10090,10609,425,175,73,5,0,28,11319
SED10091,8263,627,461,124,8,8,63,9550
SED10092,7253,537,297,74,8,6,45,8213
SED10093,6867,793,558,122,23,17,83,8455
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
