SED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SED10001,0,3,3,20,3,0,11,9,0,59,0,0,0,4,3,14,19,15,4,64,0,0,0,0,0,0,0,0,0,8,0,0,8,15,0,0,0,0,0,25,0,0,0,7,4,0,0,0,0,12,0,0,4,10,0,3,0,0,0,17,0,0,0,0,0,8,12,4,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,31,44,24,3,0,0,0,0,105,0,3,3,8,5,23,66,35,5,154,3,21,37,116,91,73,54,22,8,428,0,0,0,6,0,0,4,3,0,20,0,4,0,16,4,0,0,0,0,23,0,0,0,6,5,4,3,0,0,18,3,23,10,57,18,8,6,0,0,120,0,0,0,0,0,3,9,0,6,19,0,0,3,9,22,29,34,22,0,122,0,0,0,0,3,0,0,0,0,12,0,4,15,25,13,12,4,0,0,79
SED10002,0,0,3,36,3,10,8,9,3,75,0,3,0,23,24,42,46,57,19,219,0,0,4,16,8,0,3,3,0,38,36,89,324,1497,384,273,122,46,4,2782,4,31,93,674,452,383,302,104,17,2066,4,10,44,184,37,50,16,9,3,355,0,0,0,0,3,7,25,18,0,61,0,0,3,16,5,11,0,0,0,39,0,4,27,138,74,43,15,6,0,316,4,34,469,1311,27,11,3,0,0,1866,0,0,4,5,0,0,4,6,0,18,12,57,85,213,75,61,31,0,0,542,0,0,0,3,3,0,0,0,0,12,41,137,451,1228,139,60,14,3,0,2082,0,0,0,7,0,0,0,0,0,12,8,31,43,338,137,94,54,16,3,714,0,0,0,17,3,14,8,3,3,54,0,0,0,13,5,10,9,8,4,56,0,14,6,30,11,9,3,0,0,77,0,3,8,57,17,9,7,0,0,117
SED10003,0,0,0,29,12,10,17,4,3,77,0,0,3,44,19,17,24,24,13,139,0,14,5,23,11,6,3,0,0,54,0,0,5,13,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,8,0,0,0,5,8,7,4,3,0,31,0,0,0,0,0,3,9,3,0,20,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,7,0,16,11,27,49,14,15,132,7,23,24,203,137,160,80,26,13,681,0,0,3,4,3,5,3,0,3,19,0,0,0,0,0,0,0,0,0,4,0,0,3,17,11,11,0,4,0,47,0,4,9,8,5,7,0,0,0,35,0,0,0,6,0,3,0,0,0,19,0,3,6,18,23,33,29,21,8,141,0,0,0,3,0,6,3,3,0,16,0,5,12,43,38,44,46,8,3,203
SED10004,3,10,12,248,68,43,20,13,0,412,0,9,29,186,55,53,90,98,56,565,3,7,30,52,27,3,6,0,0,128,0,5,54,132,8,7,4,6,0,223,0,0,3,29,18,10,9,4,0,67,0,7,52,133,30,32,19,0,3,277,0,0,0,0,3,17,20,8,8,58,0,0,3,10,4,4,0,0,0,30,0,0,11,13,4,4,3,0,0,33,0,0,4,26,0,0,0,0,0,32,5,3,7,51,21,7,20,6,0,121,7,25,57,452,246,162,99,24,9,1076,0,0,0,22,14,7,7,0,0,47,0,0,8,24,0,0,0,0,0,36,0,0,3,12,5,3,0,0,0,30,0,6,12,111,17,15,11,3,3,179,0,0,0,42,4,12,12,3,0,77,0,3,11,107,53,49,30,14,0,271,6,14,9,70,15,12,3,3,0,125,3,0,20,141,42,34,20,0,0,262
SED10005,0,0,0,6,6,9,9,7,0,48,0,0,5,11,27,42,83,102,58,328,0,3,0,7,0,4,0,0,0,11,3,9,30,90,44,37,17,23,3,254,13,57,137,1100,679,574,377,126,27,3085,3,10,26,67,13,22,12,0,0,148,0,0,0,0,0,12,20,13,8,54,0,0,0,15,15,21,10,7,7,75,0,3,11,55,24,15,3,4,0,115,0,0,9,56,0,3,0,0,0,70,0,0,4,0,0,4,8,4,8,29,17,75,105,202,72,58,17,5,3,561,0,0,0,0,0,0,4,0,0,4,32,79,103,483,82,29,7,0,0,811,0,0,3,0,4,3,3,0,0,11,0,19,50,126,53,46,17,6,0,324,0,3,3,15,16,28,22,11,14,105,0,0,0,3,0,16,17,3,10,45,3,5,0,11,4,6,7,0,0,34,0,0,0,9,7,9,8,4,0,45
SED10006,0,3,0,21,3,7,3,5,0,39,0,3,0,0,0,8,12,13,7,37,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,13,0,0,0,0,3,4,0,0,0,7,0,0,0,4,4,0,3,0,0,16,0,0,0,0,0,4,7,3,0,18,0,0,0,0,5,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,20,0,0,0,0,0,24,0,0,3,3,3,9,28,8,3,51,0,12,11,65,49,43,38,10,0,228,0,0,0,3,5,5,3,4,0,24,0,0,0,18,7,0,0,0,0,30,0,6,0,8,3,0,0,0,0,18,0,23,9,50,11,3,0,0,0,104,0,0,0,0,0,3,0,0,0,6,0,0,0,7,6,10,14,9,0,45,0,0,0,0,0,0,0,0,0,4,0,0,3,16,14,7,4,0,0,49
SED10007,0,5,0,18,12,10,12,6,0,68,0,0,0,0,10,19,26,7,3,67,0,3,3,0,3,0,0,0,0,13,0,3,9,14,3,0,0,0,0,28,0,0,4,12,10,7,3,0,0,45,0,4,3,14,10,4,0,0,0,35,0,0,0,0,3,8,11,0,0,26,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,5,18,3,0,0,0,0,30,0,0,0,5,12,17,35,27,4,100,5,19,47,119,93,72,62,16,7,438,0,0,0,0,8,5,3,0,0,14,0,0,0,16,0,0,0,0,0,19,0,0,0,8,6,0,0,0,0,20,3,20,21,30,4,5,3,0,0,93,0,0,0,3,0,10,10,4,6,32,0,5,4,13,24,34,48,18,3,155,0,0,0,5,0,0,3,0,0,10,0,6,8,24,17,6,8,4,0,83
SED10008,3,15,4,47,26,20,23,4,3,136,0,0,5,18,19,51,86,41,9,235,3,7,10,5,6,3,4,3,0,38,8,63,83,285,167,101,45,20,4,770,0,0,10,43,58,41,44,14,0,201,7,19,29,128,57,85,106,20,7,464,0,0,0,3,5,17,21,21,3,74,0,3,0,9,14,11,7,0,0,49,0,0,3,17,10,13,4,3,0,48,0,0,3,30,10,0,0,0,0,43,0,5,3,12,8,12,28,18,8,88,6,43,88,147,115,88,56,19,0,562,0,0,0,7,11,5,10,6,0,33,6,17,14,67,26,19,4,0,3,144,0,0,5,10,4,8,9,0,0,39,0,11,28,121,58,86,51,10,3,376,0,0,0,25,14,30,19,3,0,95,0,9,3,14,22,26,27,12,0,115,0,29,25,42,19,21,25,4,0,164,5,41,66,155,83,58,35,5,4,458
SED10009,0,3,0,8,5,10,26,8,4,71,0,0,0,3,16,27,36,28,7,112,0,6,3,0,0,3,0,0,0,11,0,0,5,6,0,0,0,0,0,8,0,0,0,0,0,3,3,3,0,9,0,0,0,3,6,4,8,0,0,20,0,0,0,4,0,8,27,13,0,50,0,0,0,3,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,8,0,0,0,3,10,33,88,46,17,199,0,10,9,54,59,128,96,38,10,410,0,0,0,4,0,6,6,9,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,16,3,13,6,11,3,0,0,0,0,39,0,0,0,3,0,3,10,3,5,26,0,0,3,10,22,49,74,31,18,202,3,0,0,3,3,3,0,0,0,17,3,4,3,21,14,22,31,11,3,109
SED10010,0,4,3,23,12,9,12,4,0,73,0,0,5,7,19,28,67,66,24,226,0,0,0,3,0,0,0,0,0,9,0,3,25,68,45,42,30,14,5,238,0,3,10,86,61,61,53,17,0,297,0,0,17,45,10,31,14,4,0,130,0,0,0,9,22,81,150,75,6,345,0,6,3,11,12,14,11,8,0,57,3,4,22,60,50,18,17,3,0,178,4,24,39,167,23,3,0,3,0,266,0,0,3,0,3,17,31,22,12,83,16,121,202,372,141,103,35,3,3,986,0,0,0,3,5,7,9,3,0,24,11,34,65,195,58,32,7,3,0,404,0,0,3,10,3,3,0,0,0,18,29,142,282,1081,500,454,225,52,13,2787,0,0,3,36,11,36,28,17,35,165,0,0,0,11,17,13,29,19,5,93,3,12,0,13,5,12,5,0,0,58,0,0,13,40,27,21,13,3,3,122
