SED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10001,84,152,308,265,260,216,57,14,3,1354,88,131,204,202,286,236,108,28,3,1302,2232,3111,6531,6733,7591,6397,1720,249,42,34606
SED10002,36,130,422,307,253,200,34,0,0,1382,104,432,1290,672,602,375,60,8,7,3546,1264,4813,14665,8880,7024,4588,717,43,13,42006
SED10003,42,91,175,239,272,201,54,8,0,1078,71,83,245,345,316,270,102,30,17,1492,1641,1817,4856,6590,7619,6538,1666,206,45,30988
SED10004,29,108,354,292,219,174,37,3,0,1223,26,164,494,433,351,185,69,15,0,1739,918,3767,12511,11596,8388,5174,1663,136,9,44167
SED10005,52,151,330,355,271,180,37,0,0,1381,91,277,590,532,512,304,47,3,4,2373,1290,3433,7735,6677,6177,4089,739,52,9,30201
SED10006,67,114,213,203,214,190,63,11,3,1074,74,111,233,206,242,241,100,43,15,1274,1310,2312,5753,5584,6777,6058,1977,460,91,30324
SED10007,71,147,259,265,235,161,54,4,0,1212,94,115,217,244,258,222,95,33,5,1294,1905,2969,6041,6358,7342,5818,1619,285,54,32393
SED10008,56,132,221,305,327,247,74,11,0,1369,65,148,336,424,418,248,91,15,0,1744,1961,3651,7041,9623,9164,6394,1863,166,12,39879
SED10009,68,80,154,192,216,218,47,3,0,979,77,80,110,162,220,234,71,21,5,985,1607,1617,3485,4631,6495,6334,1554,198,32,25959
SED10010,57,156,387,323,272,189,48,7,0,1434,88,278,653,524,470,296,65,7,6,2389,1699,4056,11031,9374,7342,5025,915,59,12,39504
SED10011,58,112,163,228,265,209,63,7,0,1112,62,109,187,213,269,197,79,16,3,1135,1758,2410,5026,7060,8068,6789,1762,154,25,33051
SED10012,28,192,394,410,307,168,30,3,0,1535,86,317,597,529,696,411,61,4,0,2712,1245,3899,7292,6055,6694,4501,723,49,3,30461
SED10013,126,218,457,390,348,222,53,4,0,1815,131,251,492,506,458,264,100,12,7,2214,2864,4311,10514,10928,9176,5470,1234,103,29,44637
SED10014,66,182,284,235,219,169,56,6,0,1216,109,239,463,410,371,283,65,4,3,1944,1873,3892,7897,6999,6629,5127,1066,65,9,33554
SED10015,41,137,377,414,385,235,54,4,0,1655,74,236,604,571,535,316,73,11,3,2419,1421,3655,10323,9210,8546,5011,1046,89,10,39307
SED10016,83,163,269,343,372,244,71,7,0,1550,80,163,276,450,449,283,110,11,0,1822,2468,3840,6540,9986,9867,6320,1784,153,7,40961
SED10017,91,238,431,351,323,171,42,3,0,1645,72,141,245,274,295,206,40,20,3,1304,1993,2963,7054,7102,6678,4586,855,89,22,31340
SED10018,79,123,265,255,235,182,35,9,0,1184,52,105,232,208,234,146,45,13,0,1045,2023,2965,6703,7445,7452,5035,947,109,5,32681
SED10019,59,124,183,194,245,165,50,4,0,1033,68,80,135,186,225,199,89,39,7,1031,1678,1910,3760,5044,6218,5575,1370,249,40,25834
SED10020,60,117,247,205,263,188,59,4,0,1156,59,100,205,236,247,179,57,18,3,1113,1898,2385,5375,6077,6916,5645,1197,109,14,29620
SED10021,33,96,413,305,225,131,51,5,3,1260,46,127,602,444,326,183,72,12,5,1823,996,3278,14628,11558,8294,4803,1531,202,39,45331
SED10022,73,145,197,206,196,169,66,12,0,1059,80,110,181,197,234,232,96,48,17,1198,1631,2231,4523,5434,6576,5681,1922,445,65,28514
SED10023,81,154,343,286,297,207,68,6,0,1446,67,164,319,386,328,300,99,18,4,1693,2135,3504,7848,8343,8524,6473,1663,185,33,38712
SED10024,74,125,154,238,309,203,80,6,3,1189,69,95,189,389,444,228,114,33,6,1567,1999,3020,4724,8360,9871,5904,2116,351,41,36393
SED10025,43,111,313,281,308,201,75,10,0,1336,41,133,504,393,366,218,91,19,3,1769,1188,3017,10763,9866,8263,5520,1683,193,28,40522
SED10026,72,202,331,283,281,231,77,12,0,1497,89,106,209,178,228,172,88,38,14,1119,1951,2805,6817,6528,7242,5709,1710,329,56,33152
SED10027,55,159,315,397,268,242,45,10,0,1483,61,185,395,377,407,287,67,12,5,1808,1589,3460,7378,7913,7450,5303,1106,107,10,34310
SED10028,46,102,167,203,280,225,59,3,3,1084,61,135,359,339,394,259,74,14,4,1638,1794,3724,6575,8138,9383,6588,1606,190,33,38034
SED10029,42,148,341,367,280,127,22,0,0,1332,119,307,609,535,595,379,58,12,3,2617,1222,3621,7230,6010,6105,3988,657,52,4,28883
SED10030,59,138,295,274,278,215,68,6,0,1327,64,133,238,303,294,213,85,15,5,1343,1612,2682,6134,6685,7312,5467,1327,172,23,31413
SED10031,80,147,282,249,262,206,77,13,3,1313,90,118,196,236,324,232,113,40,9,1355,2081,2528,5502,6794,8227,6358,2174,413,80,34166
SED10032,37,126,373,294,259,146,29,3,3,1269,93,318,769,541,439,270,53,10,6,2494,1393,3937,11421,8715,6268,4040,794,65,8,36628
SED10033,117,225,348,380,361,245,65,5,0,1750,138,192,348,384,475,275,109,29,3,1955,2447,3808,6865,7415,8721,5885,1622,218,14,36988
SED10034,106,225,326,371,344,240,66,7,0,1684,81,140,280,356,348,206,71,12,0,1485,2359,3656,7691,9390,9169,6300,1380,100,16,40061
SED10035,33,146,596,386,275,177,42,4,0,1662,46,232,972,468,342,183,60,18,0,2326,1284,5979,21100,12462,7761,4314,1088,136,15,54140
SED10036,65,122,308,366,315,173,46,8,0,1401,99,246,466,461,489,281,61,10,0,2112,1938,3887,8259,9104,8492,4910,998,74,4,37674
SED10037,70,152,269,304,355,245,59,6,3,1464,70,127,311,375,400,257,72,17,0,1634,2053,3421,6798,9702,9812,6494,1731,189,19,40230
