region_id,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW_,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW_,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW_,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW_,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW_,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW_,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW_,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW_,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW_,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW_,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW_,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW_,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW_,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW_,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW_,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW_,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW_,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW_,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW_,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW_,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW_,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW_,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW_,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW_,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW_,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW_,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW_,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW_,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED101,1658,272,27,10,2231,546,4744,1741,577,67,34,2522,405,5346,3469,2151,387,160,3645,725,10537,2986,2730,648,254,2394,543,9555,2877,2987,673,270,2669,655,10131,1951,2245,667,306,2144,541,7854,863,1244,636,377,1573,485,5178,395,633,400,318,1225,465,3436,115,169,97,102,552,226,1261,16055,13008,3602,1831,18955,4591,58042,1762,458,61,20,1684,427,4412,1846,927,190,132,1825,313,5233,2415,2845,1231,1452,2543,622,11108,1222,2906,2108,2284,1629,566,10715,1203,3169,2329,1775,1732,619,10827,834,2349,1783,1396,1489,513,8364,425,1147,1102,1085,1306,535,5600,362,745,665,645,1414,658,4489,242,237,146,124,1342,397,2488,10311,14783,9615,8913,14964,4650,63236,3420,730,88,30,3915,973,9156,3587,1504,257,166,4347,718,10579,5884,4996,1618,1612,6188,1347,21645,4208,5636,2756,2538,4023,1109,20270,4080,6156,3002,2045,4401,1274,20958,2785,4594,2450,1702,3633,1054,16218,1288,2391,1738,1462,2879,1020,10778,757,1378,1065,963,2639,1123,7925,357,406,243,226
CED102,1234,202,26,12,1905,476,3855,1376,498,72,35,2242,482,4705,3794,2278,426,164,3857,1038,11557,3339,2835,640,278,2715,828,10635,2573,2429,587,248,2513,688,9038,1822,1926,527,245,2280,618,7418,905,1165,526,330,1646,530,5102,494,686,357,284,1323,509,3653,153,154,75,66,576,196,1220,15690,12173,3236,1662,19057,5365,57183,1346,377,38,9,1467,444,3681,1474,876,203,134,1416,377,4480,2438,3093,1289,1455,2251,831,11357,1390,3068,2007,2152,1553,730,10900,1164,2908,1795,1349,1568,582,9366,939,2166,1477,1200,1449,569,7800,500,1231,1051,1023,1367,578,5750,420,720,540,558,1369,600,4207,228,294,170,120,1148,379,2339,9899,14733,8570,8000,13588,5090,59880,2580,579,64,21,3372,920,7536,2850,1374,275,169,3658,859,9185,6232,5371,1715,1619,6108,1869,22914,4729,5903,2647,2430,4268,1558,21535,3737,5337,2382,1597,4081,1270,18404,2761,4092,2004,1445,3729,1187,15218,1405,2396,1577,1353,3013,1108,10852,914,1406,897,842,2692,1109,7860,381,448,245,186
CED103,1932,249,27,17,1913,405,4543,2162,664,77,37,2717,438,6095,4059,2667,455,135,3158,663,11137,3216,3470,749,258,1997,516,10206,3050,3440,846,302,2004,489,10131,2178,2537,757,326,1701,405,7904,836,1319,648,340,1245,346,4734,418,751,440,313,1042,376,3340,151,161,95,93,491,190,1181,18002,15258,4094,1821,16268,3828,59271,1990,411,44,9,1555,319,4328,2282,1067,171,102,2287,411,6320,2803,3241,1233,1298,2092,545,11212,1433,3262,2325,2522,1210,457,11209,1102,3464,2622,1850,1252,450,10740,937,2550,1953,1332,1149,388,8309,411,1262,1248,1082,1078,371,5452,389,773,670,703,1272,551,4358,237,300,175,150,1042,371,2275,11584,16330,10441,9048,12937,3863,64203,3922,660,71,26,3468,724,8871,4444,1731,248,139,5004,849,12415,6862,5908,1688,1433,5250,1208,22349,4649,6732,3074,2780,3207,973,21415,4152,6904,3468,2152,3256,939,20871,3115,5087,2710,1658,2850,793,16213,1247,2581,1896,1422,2323,717,10186,807,1524,1110,1016,2314,927,7698,388,461,270,243
CED104,2485,294,20,15,2121,334,5269,1990,445,42,19,1719,164,4379,2203,1458,278,91,1415,192,5637,2828,3174,748,269,1214,264,8497,3290,4003,911,312,1408,391,10315,2354,3217,994,387,1441,331,8724,963,1690,824,480,1055,294,5306,337,589,392,275,630,206,2429,91,145,70,61,322,88,777,16541,15015,4279,1909,11325,2264,51333,2556,401,37,12,1613,289,4908,2018,678,93,58,1043,118,4008,1457,1685,824,989,682,161,5798,846,2821,2431,2820,570,273,9761,934,3937,3115,2196,660,296,11138,761,2963,2396,1751,670,298,8839,317,1250,1388,1304,693,261,5213,250,516,532,533,665,294,2790,174,175,117,91,719,177,1453,9313,14426,10933,9754,7315,2167,53908,5041,695,57,27,3734,623,10177,4008,1123,135,77,2762,282,8387,3660,3143,1102,1080,2097,353,11435,3674,5995,3179,3089,1784,537,18258,4224,7940,4026,2508,2068,687,21453,3115,6180,3390,2138,2111,629,17563,1280,2940,2212,1784,1748,555,10519,587,1105,924,808,1295,500,5219,265,320,187,152
CED105,1537,372,48,21,2947,872,5797,1532,600,85,48,2795,663,5723,3103,1854,369,196,4616,1289,11427,2421,2135,519,283,3803,1086,10247,2295,2122,539,321,3809,1011,10097,1697,1748,561,324,2842,859,8031,727,956,437,313,1813,627,4873,320,406,298,259,1294,486,3063,106,111,66,58,526,191,1058,13738,10304,2922,1823,24445,7084,60316,1586,669,125,59,2222,673,5334,1557,1033,370,360,1999,548,5867,1806,2538,1340,2217,3109,1132,12142,1003,2244,1539,2188,2613,1011,10598,983,2346,1697,1708,2455,862,10051,785,1762,1345,1327,1884,694,7797,367,836,747,864,1353,615,4782,351,523,419,440,1590,630,3953,181,186,107,99,1097,322,1992,8619,12137,7689,9262,18322,6487,62516,3123,1041,173,80,5169,1545,11131,3089,1633,455,408,4794,1211,11590,4909,4392,1709,2413,7725,2421,23569,3424,4379,2058,2471,6416,2097,20845,3278,4468,2236,2029,6264,1873,20148,2482,3510,1906,1651,4726,1553,15828,1094,1792,1184,1177,3166,1242,9655,671,929,717,699,2884,1116,7016,287,297,173,157
CED106,2327,261,23,4,2178,460,5253,1890,439,42,12,1571,236,4190,2664,1576,273,94,1514,376,6497,3134,3331,706,245,1381,415,9212,3431,3857,894,260,1477,450,10369,2363,2811,741,322,1278,370,7885,1211,1786,795,315,942,316,5365,546,967,517,336,830,303,3499,189,287,135,114,518,247,1490,17755,15315,4126,1702,11689,3173,53760,2641,370,25,8,1949,386,5379,2047,684,102,40,1078,182,4133,1828,2082,848,1010,1049,326,7143,1083,2910,2491,3056,716,407,10663,1054,3743,3055,2385,768,404,11409,852,2848,2257,1468,651,341,8417,436,1515,1588,1327,692,301,5859,374,913,881,841,952,517,4478,259,363,226,215,1354,575,2992,10574,15428,11473,10350,9209,3439,60473,4968,631,48,12,4127,846,10632,3937,1123,144,52,2649,418,8323,4492,3658,1121,1104,2563,702,13640,4217,6241,3197,3301,2097,822,19875,4485,7600,3949,2645,2245,854,21778,3215,5659,2998,1790,1929,711,16302,1647,3301,2383,1642,1634,617,11224,920,1880,1398,1177,1782,820,7977,448,650,361,329
CED107,1970,392,47,35,2106,665,5215,1665,833,144,58,1431,595,4726,2502,2238,524,239,1482,918,7903,2566,2924,802,351,1517,880,9040,2715,3122,867,426,1970,758,9858,2224,2606,851,483,2206,762,9132,966,1452,753,617,1807,725,6320,401,655,339,342,1168,591,3496,82,104,52,53,421,155,867,15091,14326,4379,2604,14108,6049,56557,2114,648,111,58,1530,549,5010,1261,1283,430,427,717,284,4402,998,2371,1432,2138,617,441,7997,728,2783,2272,2340,678,514,9315,831,3442,2409,1743,941,494,9860,695,2493,2022,1869,1186,578,8843,357,1154,1206,1551,1379,669,6316,297,627,591,722,1262,745,4244,156,210,121,112,1038,328,1965,7437,15011,10594,10960,9348,4602,57952,4084,1040,158,93,3636,1214,10225,2926,2116,574,485,2148,879,9128,3500,4609,1956,2377,2099,1359,15900,3294,5707,3074,2691,2195,1394,18355,3546,6564,3276,2169,2911,1252,19718,2919,5099,2873,2352,3392,1340,17975,1323,2606,1959,2168,3186,1394,12636,698,1282,930,1064,2430,1336,7740,238,314,173,165
CED108,1863,309,41,17,1989,491,4710,1590,576,88,48,1504,218,4024,2519,2082,447,188,1500,335,7071,2456,2903,760,336,1411,431,8297,2616,2916,748,325,1692,431,8728,1934,2555,819,479,1970,438,8195,797,1404,916,634,1420,490,5661,326,580,394,367,1107,461,3235,106,120,89,80,593,187,1175,14207,13445,4302,2474,13186,3482,51096,1986,493,76,26,1407,351,4339,1417,939,275,230,843,165,3869,1200,2481,1335,1544,683,272,7515,799,2854,2085,2094,611,317,8760,887,3231,2282,1615,879,379,9273,686,2505,2100,1853,1198,428,8770,348,1120,1261,1520,1204,596,6049,293,631,534,651,1388,627,4124,163,191,138,115,1171,364,2142,7779,14445,10086,9648,9384,3499,54841,3849,802,117,43,3396,842,9049,3007,1515,363,278,2347,383,7893,3719,4563,1782,1732,2183,607,14586,3255,5757,2845,2430,2022,748,17057,3503,6147,3030,1940,2571,810,18001,2620,5060,2919,2332,3168,866,16965,1145,2524,2177,2154,2624,1086,11710,619,1211,928,1018,2495,1088,7359,269,311,227,195
CED109,2060,645,89,50,3005,945,6794,1802,757,123,73,2681,576,6012,3382,2545,542,281,3794,927,11471,2847,2933,745,473,3320,870,11188,2584,2819,756,436,3303,813,10711,1762,1922,571,399,2745,716,8115,677,840,413,351,1628,550,4459,221,279,155,147,814,341,1957,48,40,28,18,276,97,507,15383,12780,3422,2228,21566,5835,61214,2157,898,149,97,2378,799,6478,1711,1276,367,398,1713,466,5931,1812,3023,1745,2543,2469,774,12366,1087,2982,2099,2715,2298,826,12007,1112,2951,2042,1920,2262,789,11076,749,1969,1384,1618,2076,724,8520,429,808,695,870,1383,631,4816,272,370,267,250,1063,438,2660,88,73,35,38,726,206,1166,9417,14350,8783,10449,16368,5653,65020,4217,1543,238,147,5383,1744,13272,3513,2033,490,471,4394,1042,11943,5194,5568,2287,2824,6263,1701,23837,3934,5915,2844,3188,5618,1696,23195,3696,5770,2798,2356,5565,1602,21787,2511,3891,1955,2017,4821,1440,16635,1106,1648,1108,1221,3011,1181,9275,493,649,422,397,1877,779,4617,136,113,63,56
CED110,1537,163,13,6,1789,364,3872,1735,404,42,22,1726,251,4180,3809,2319,351,126,1874,598,9077,3561,3289,752,272,1448,563,9885,3020,3125,715,249,1535,517,9161,2212,2549,733,268,1629,454,7845,939,1463,754,442,1219,416,5233,443,774,491,408,948,451,3515,136,189,94,84,472,264,1239,17392,14275,3945,1877,12640,3878,54007,1860,274,38,7,1409,314,3902,1885,860,128,82,1045,220,4220,2572,2995,1109,1285,861,479,9301,1156,3285,2382,2504,621,386,10334,1043,3534,2355,1483,727,402,9544,881,2668,1947,1393,836,379,8104,389,1331,1445,1282,962,464,5873,378,804,807,803,1243,717,4752,249,290,165,125,1080,485,2394,10413,16041,10376,8964,8784,3846,58424,3397,437,51,13,3198,678,7774,3620,1264,170,104,2771,471,8400,6381,5314,1460,1411,2735,1077,18378,4717,6574,3134,2776,2069,949,20219,4063,6659,3070,1732,2262,919,18705,3093,5217,2680,1661,2465,833,15949,1328,2794,2199,1724,2181,880,11106,821,1578,1298,1211,2191,1168,8267,385,479,259,209
