region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED118,9248,3001,2339,58,10,14656,7518,4774,5032,54,26,17404,2783,3313,10125,257,46,16524,192,321,1056,5,0,1574,1085,897,1608,143,14,3747,145,96,320,0,0,561,79,64,127,25,0,295,110,54,106,9,0,279,4394,4745,13342,439,60,22980,105,62,129,7,3,306,520,240,543,18,5,1326,21785,12822,21385,576,104,56672
CED119,11482,623,190,34,22,12351,19720,2632,835,8,12,23207,4661,1376,1551,43,13,7644,946,660,576,9,0,2191,1642,310,205,15,6,2178,99,112,93,4,0,308,246,24,25,49,3,347,132,25,21,0,0,178,7726,2507,2471,120,22,12846,183,56,40,0,0,279,776,157,132,6,3,1074,39887,5975,3668,168,59,49757
CED120,14035,1074,561,21,0,15691,16421,1926,1258,8,6,19619,2436,822,2182,24,4,5468,772,437,733,0,3,1945,883,200,255,25,7,1370,58,51,69,0,0,178,542,50,43,27,5,667,100,22,28,3,0,153,4791,1582,3310,79,19,9781,130,36,33,0,0,199,535,152,209,3,0,899,35912,4770,5371,111,25,46189
CED121,18589,458,160,232,21,19460,18026,180,80,86,17,18389,3789,506,639,47,6,4987,1065,61,143,0,0,1269,2743,138,139,69,3,3092,147,79,87,0,0,313,645,21,32,104,5,807,441,13,17,19,3,493,8830,818,1057,239,17,10961,308,73,29,10,0,420,1148,84,65,53,11,1361,46901,1613,1391,620,66,50591
CED122,15406,391,201,169,6,16173,17476,270,142,46,4,17938,5548,1131,872,32,18,7601,1462,207,386,0,0,2055,2206,123,128,29,3,2489,119,57,58,0,0,234,696,48,37,161,4,946,378,22,18,10,0,428,10409,1588,1499,232,25,13753,254,55,35,0,0,344,1055,94,94,32,7,1282,44600,2398,1971,479,42,49490
CED123,9266,2380,4279,40,3,15968,6011,2776,5924,25,19,14755,1744,1480,12197,130,35,15586,419,843,3209,0,3,4474,766,468,2615,54,15,3918,83,65,247,0,3,398,100,171,221,13,4,509,91,38,199,3,3,334,3203,3065,18688,200,63,25219,87,62,203,4,3,359,485,214,794,5,0,1498,19052,8497,29888,274,88,57799
CED124,11902,976,429,93,8,13408,18687,1681,818,14,4,21204,4682,2095,1682,20,6,8485,1234,754,564,3,0,2555,1913,400,248,25,6,2592,89,123,69,0,11,292,262,22,23,10,0,317,159,32,29,3,3,226,8339,3426,2615,61,26,14467,145,41,26,3,32,247,814,171,165,10,12,1172,39887,6295,4053,181,82,50498
CED125,18448,1533,856,601,6,21444,12760,556,373,56,3,13748,4475,1179,1720,86,9,7469,831,288,400,6,0,1525,2227,317,348,54,12,2958,177,104,93,4,0,378,251,46,62,208,4,571,239,30,49,23,0,341,8200,1964,2672,381,25,13242,279,237,93,51,0,660,930,185,242,54,5,1416,40617,4475,4236,1143,39,50510
CED126,10511,620,261,71,10,11473,19718,969,207,11,14,20919,4523,848,524,9,7,5911,1871,673,283,0,0,2827,1546,190,108,16,4,1864,103,61,51,0,5,220,199,15,19,9,0,242,131,11,16,8,0,166,8373,1798,1001,42,16,11230,158,136,115,3,0,412,726,118,69,5,0,918,39486,3641,1653,132,40,44952
CED127,13871,1466,2689,73,6,18105,14167,1140,3110,26,5,18448,2411,492,3692,67,8,6670,153,136,335,0,0,624,1402,289,1032,43,5,2771,40,80,157,0,0,277,124,74,81,21,3,303,156,35,75,0,4,270,4286,1106,5372,131,20,10915,189,239,339,4,0,771,538,179,375,14,0,1106,33051,4130,11885,248,31,49345
