region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED101,462,80,138,0,3,683,170,39,51,0,0,260,147,20,57,0,0,224,257,45,91,0,0,393,326,64,155,3,3,551,969,194,517,4,0,1684,990,207,706,3,3,1909,1885,484,1227,3,0,3599,1453,393,517,0,0,2363,1857,400,255,3,0,2515,1420,152,123,0,0,1695,601,89,149,3,0,842,10537,2167,3986,19,9,16718
CED102,361,62,113,6,4,546,129,28,55,3,0,215,109,30,53,0,0,192,183,36,89,0,0,308,238,79,137,3,3,460,784,161,428,3,0,1376,800,187,713,5,0,1705,1395,353,1376,6,12,3142,1175,287,687,0,4,2153,1866,371,333,6,6,2582,1460,155,167,3,0,1785,615,84,164,3,0,866,9115,1833,4315,38,29,15330
CED103,541,81,113,0,0,735,167,33,44,3,0,247,152,20,25,0,0,197,272,40,65,0,0,377,347,55,111,0,0,513,924,202,345,0,0,1471,907,233,483,0,0,1623,1608,478,907,3,0,2996,1232,422,491,0,0,2145,2187,484,328,0,0,2999,2222,248,126,0,3,2599,588,74,113,0,0,775,11147,2370,3151,6,3,16677
CED104,757,38,11,0,0,806,235,9,0,0,0,244,226,6,3,0,0,235,340,16,7,4,0,367,476,19,6,0,0,501,1331,74,18,5,0,1428,1421,93,58,0,0,1572,2600,198,85,0,5,2888,2147,188,44,0,0,2379,3607,237,22,4,3,3873,2960,77,15,0,0,3052,914,32,13,5,0,964,17014,987,282,18,8,18309
CED105,392,70,70,3,0,535,155,28,27,0,0,210,179,22,40,0,5,246,290,55,81,3,0,429,431,79,98,0,0,608,1217,276,468,8,5,1974,1285,396,693,7,8,2389,2496,685,551,3,3,3738,1553,327,103,3,0,1986,1060,227,79,0,0,1366,512,104,37,0,0,653,628,114,94,0,0,836,10198,2383,2341,27,21,14970
CED106,684,23,78,0,0,785,166,8,33,0,0,207,157,8,33,0,0,198,188,13,56,0,0,257,234,20,67,0,0,321,762,54,242,0,0,1058,757,59,382,0,0,1198,1610,109,840,5,0,2564,1169,95,617,3,3,1887,2347,142,498,0,0,2987,4664,88,231,0,6,4989,773,24,104,0,0,901,13511,643,3181,8,9,17352
CED107,704,12,6,0,0,722,428,12,3,5,0,448,454,17,8,0,0,479,894,28,18,3,0,943,1290,47,17,0,0,1354,3245,76,35,10,7,3373,3062,60,30,7,0,3159,3236,39,11,7,0,3293,1309,5,3,4,3,1324,855,0,3,0,0,858,485,6,3,6,0,500,897,12,4,5,6,924,16859,314,141,47,16,17377
CED108,672,24,10,0,0,706,371,3,4,0,0,378,369,12,7,6,0,394,739,15,6,0,0,760,954,22,12,3,0,991,2672,57,32,5,0,2766,3082,78,35,0,0,3195,4446,75,25,0,0,4546,1923,25,7,0,3,1958,1135,22,5,0,4,1166,565,7,3,0,0,575,866,12,8,0,0,886,17794,352,154,14,7,18321
CED109,525,36,15,0,0,576,231,30,4,0,0,265,259,20,3,3,0,285,546,37,14,0,0,597,715,54,30,0,0,799,2199,257,111,3,0,2570,2818,439,56,3,0,3316,5031,715,20,3,0,5769,2536,212,5,0,0,2753,1489,103,6,0,0,1598,557,49,3,0,0,609,848,87,17,3,0,955,17754,2039,284,15,0,20092
CED110,479,65,91,0,0,635,148,18,46,0,0,212,145,16,38,0,0,199,260,44,86,3,0,393,345,59,109,0,0,513,918,148,322,0,0,1388,994,176,573,0,3,1746,1853,334,1184,3,0,3374,1592,387,630,3,0,2612,2712,418,342,0,0,3472,2529,152,157,0,0,2838,748,104,139,3,0,994,12723,1921,3717,12,3,18376
