region_id,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED101,1836,890,971,1861,767,889,1656,852,859,1711,735,816,1551,4125,4490,8615,791,789,1580,746,801,1547,761,794,1555,730,763,1493,701,727,1428,3729,3874,7603,642,696,1338,639,624,1263,607,615,1222,539,524,1063,490,523,1013,2917,2982,5899,479,542,1021,465,504,969,461,556,1017,414,514,928,445,498,943,2264,2614,4878,446,511,957,397,449,846,396,490,886,357,452,809,347,452,799,1943,2354,4297,1490,2140,3630,914,1561,2475,278,721,999,62,186,248,5,22,27,71756,76004,147760
CED102,1616,729,864,1593,762,833,1595,724,754,1478,691,737,1428,3712,3998,7710,727,814,1541,759,769,1528,734,734,1468,724,747,1471,757,738,1495,3701,3802,7503,622,689,1311,574,647,1221,595,610,1205,492,540,1032,493,550,1043,2776,3036,5812,474,529,1003,511,560,1071,471,550,1021,432,548,980,438,525,963,2326,2712,5038,444,535,979,465,504,969,428,454,882,394,439,833,339,371,710,2070,2303,4373,1585,1906,3491,843,1490,2333,308,645,953,64,173,237,3,27,30,70048,72020,142068
CED103,1917,845,907,1752,845,842,1687,824,904,1728,772,877,1649,4226,4507,8733,796,795,1591,768,764,1532,698,732,1430,681,737,1418,735,776,1511,3678,3804,7482,587,595,1182,526,568,1094,519,599,1118,459,543,1002,499,530,1029,2590,2835,5425,460,524,984,438,507,945,435,512,947,420,504,924,393,572,965,2146,2619,4765,421,483,904,376,425,801,332,461,793,399,449,848,330,447,777,1858,2265,4123,1482,2094,3576,839,1519,2358,273,563,836,58,174,232,12,22,34,72395,76313,148708
CED104,1935,989,980,1969,874,924,1798,929,949,1878,816,884,1700,4593,4687,9280,836,837,1673,824,829,1653,813,817,1630,812,783,1595,846,886,1732,4131,4152,8283,748,714,1462,654,663,1317,681,599,1280,574,548,1122,517,501,1018,3174,3025,6199,459,492,951,469,460,929,440,419,859,375,440,815,389,378,767,2132,2189,4321,308,330,638,295,351,646,286,306,592,246,244,490,243,277,520,1378,1508,2886,1053,1280,2333,564,901,1465,185,421,606,25,110,135,4,19,23,64820,66550,131370
CED105,1818,891,922,1813,885,874,1759,854,829,1683,776,767,1543,4345,4271,8616,761,753,1514,765,738,1503,690,689,1379,753,690,1443,713,656,1369,3682,3526,7208,661,560,1221,593,551,1144,579,515,1094,494,471,965,460,462,922,2787,2559,5346,466,456,922,462,453,915,395,439,834,373,435,808,391,440,831,2087,2223,4310,373,409,782,305,426,731,368,375,743,323,396,719,310,403,713,1679,2009,3688,1387,1943,3330,787,1350,2137,227,517,744,39,109,148,6,18,24,78767,79641,158408
CED106,1863,880,953,1833,835,823,1658,798,865,1663,709,788,1497,4131,4383,8514,734,838,1572,781,878,1659,740,718,1458,747,764,1511,750,841,1591,3752,4039,7791,683,703,1386,639,722,1361,621,673,1294,535,570,1105,556,555,1111,3034,3223,6257,471,595,1066,511,561,1072,452,516,968,465,476,941,433,489,922,2332,2637,4969,412,496,908,433,481,914,372,429,801,354,414,768,356,408,764,1927,2228,4155,1574,2248,3822,1036,1792,2828,365,920,1285,82,246,328,3,35,38,68427,74660,143087
CED107,1809,975,898,1873,903,911,1814,903,879,1782,944,895,1839,4652,4465,9117,910,890,1800,918,892,1810,884,856,1740,858,813,1671,910,929,1839,4480,4380,8860,804,736,1540,782,729,1511,727,705,1432,659,690,1349,674,678,1352,3646,3538,7184,576,547,1123,544,588,1132,506,573,1079,509,517,1026,539,552,1091,2674,2777,5451,459,548,1007,461,487,948,379,467,846,376,405,781,378,447,825,2053,2354,4407,1444,1888,3332,639,1280,1919,187,543,730,37,115,152,3,29,32,72472,72841,145313
CED108,1717,851,923,1774,860,869,1729,823,910,1733,772,857,1629,4144,4438,8582,792,853,1645,795,926,1721,785,793,1578,813,867,1680,866,890,1756,4051,4329,8380,744,770,1514,708,749,1457,709,669,1378,592,610,1202,579,584,1163,3332,3382,6714,532,572,1104,475,518,993,446,554,1000,464,525,989,418,500,918,2335,2669,5004,417,503,920,373,438,811,374,412,786,342,411,753,323,406,729,1829,2170,3999,1408,1951,3359,838,1387,2225,287,605,892,50,135,185,3,15,18,64014,67022,131036
CED109,1947,928,946,1874,826,837,1663,796,886,1682,831,856,1687,4302,4551,8853,784,829,1613,829,848,1677,734,795,1529,751,756,1507,717,740,1457,3815,3968,7783,664,646,1310,582,608,1190,564,525,1089,481,501,982,406,487,893,2697,2767,5464,410,462,872,354,382,736,355,438,793,335,407,742,304,362,666,1758,2051,3809,327,346,673,237,311,548,221,288,509,209,288,497,193,286,479,1187,1519,2706,769,1140,1909,382,772,1154,96,307,403,25,81,106,0,12,12,82101,84207,166308
CED110,1816,810,834,1644,823,839,1662,776,811,1587,695,775,1470,4021,4158,8179,743,794,1537,811,792,1603,707,783,1490,750,714,1464,810,864,1674,3821,3947,7768,646,735,1381,631,713,1344,630,713,1343,548,581,1129,539,563,1102,2994,3305,6299,481,512,993,489,528,1017,434,491,925,412,502,914,426,537,963,2242,2570,4812,411,505,916,358,463,821,344,465,809,375,484,859,378,442,820,1866,2359,4225,1655,2390,4045,906,1522,2428,279,684,963,49,158,207,7,28,35,66964,70692,137656
