region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED140,227,346,491,452,471,343,88,16,0,2434,130,171,251,278,293,248,125,43,18,1557,4788,6472,12205,14046,15465,10424,2582,508,75,66565
CED141,141,277,411,517,549,387,79,6,0,2367,95,120,239,295,308,206,66,28,12,1369,3600,5353,9999,13159,14680,9538,1894,194,29,58446
CED142,209,276,422,439,442,297,60,5,0,2150,104,115,192,252,230,165,46,17,9,1130,4103,5055,9542,12330,13261,8146,1312,142,22,53913
CED143,52,283,981,633,388,257,52,12,0,2658,60,291,863,398,260,152,75,13,3,2115,1661,10188,38385,22622,13352,8266,1883,202,27,96586
CED144,172,339,506,547,518,263,60,4,0,2409,101,106,211,240,249,168,57,22,7,1161,3555,5115,10035,12465,13609,8184,1628,205,26,54822
CED145,124,250,601,541,487,297,92,11,3,2406,75,131,439,421,317,233,93,37,10,1756,2414,5633,19411,20249,16046,10020,3020,452,62,77307
CED146,91,274,711,666,561,311,72,9,0,2695,107,325,670,495,457,254,59,14,0,2381,2348,6971,16683,14312,13670,7448,1440,147,17,63036
CED147,57,221,732,526,404,285,102,18,3,2348,46,200,643,489,319,244,134,44,21,2140,1369,6610,28243,20685,14153,9985,3385,606,115,85151
CED148,164,322,543,560,503,304,41,3,0,2440,133,241,460,410,410,212,50,15,3,1934,3389,6713,14403,15132,14965,8337,1078,91,9,64117
CED194,3,22,40,22,23,6,3,0,0,119,7,22,57,28,30,15,6,0,0,165,181,561,1184,709,587,372,55,0,3,3652
CED197,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,6,3,6,9,12,0,0,0,36
