"region_id",Age_0_C01_M,Age_0_C01_F,Age_0_C01_P,Age_0_C06_M,Age_0_C06_F,Age_0_C06_P,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_1_C01_M,Age_1_C01_F,Age_1_C01_P,Age_1_C06_M,Age_1_C06_F,Age_1_C06_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_2_C01_M,Age_2_C01_F,Age_2_C01_P,Age_2_C06_M,Age_2_C06_F,Age_2_C06_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_3_C01_M,Age_3_C01_F,Age_3_C01_P,Age_3_C06_M,Age_3_C06_F,Age_3_C06_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_4_C01_M,Age_4_C01_F,Age_4_C01_P,Age_4_C06_M,Age_4_C06_F,Age_4_C06_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_0_4_C01_M,Age_0_4_C01_F,Age_0_4_C01_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_5_C01_M,Age_5_C01_F,Age_5_C01_P,Age_5_C06_M,Age_5_C06_F,Age_5_C06_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_6_C01_M,Age_6_C01_F,Age_6_C01_P,Age_6_C06_M,Age_6_C06_F,Age_6_C06_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_7_C01_M,Age_7_C01_F,Age_7_C01_P,Age_7_C06_M,Age_7_C06_F,Age_7_C06_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_8_C01_M,Age_8_C01_F,Age_8_C01_P,Age_8_C06_M,Age_8_C06_F,Age_8_C06_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_9_C01_M,Age_9_C01_F,Age_9_C01_P,Age_9_C06_M,Age_9_C06_F,Age_9_C06_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_5_9_C01_M,Age_5_9_C01_F,Age_5_9_C01_P,Age_5_9_C06_M,Age_5_9_C06_F,Age_5_9_C06_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_10_C01_M,Age_10_C01_F,Age_10_C01_P,Age_10_C06_M,Age_10_C06_F,Age_10_C06_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_11_C01_M,Age_11_C01_F,Age_11_C01_P,Age_11_C06_M,Age_11_C06_F,Age_11_C06_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_12_C01_M,Age_12_C01_F,Age_12_C01_P,Age_12_C06_M,Age_12_C06_F,Age_12_C06_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_13_C01_M,Age_13_C01_F,Age_13_C01_P,Age_13_C06_M,Age_13_C06_F,Age_13_C06_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_14_C01_M,Age_14_C01_F,Age_14_C01_P,Age_14_C06_M,Age_14_C06_F,Age_14_C06_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_10_14_C01_M,Age_10_14_C01_F,Age_10_14_C01_P,Age_10_14_C06_M,Age_10_14_C06_F,Age_10_14_C06_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_15_C01_M,Age_15_C01_F,Age_15_C01_P,Age_15_C06_M,Age_15_C06_F,Age_15_C06_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_16_C01_M,Age_16_C01_F,Age_16_C01_P,Age_16_C06_M,Age_16_C06_F,Age_16_C06_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_17_C01_M,Age_17_C01_F,Age_17_C01_P,Age_17_C06_M,Age_17_C06_F,Age_17_C06_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_18_C01_M,Age_18_C01_F,Age_18_C01_P,Age_18_C06_M,Age_18_C06_F,Age_18_C06_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_19_C01_M,Age_19_C01_F
"1RNSW",14695,13759,28454,15373,14710,30083,15505,14538,30043,15779,14943,30722,15275,14197,29472,16088,15452,31540,16358,15849,32207,15057,14275,29332,16564,15671,32235,16825,15864,32689,15434,14683,30117,16590,16037,32627,17049,16025,33074,15781,14948,30729,17160,16361,33521,80706,76440,157146,76920,72813,149733,81907,78059,159966,17185,16524,33709,16567,15540,32107,16881,15965,32846,17699,17062,34761,16769,16103,32872,16412,15481,31893,18178,17253,35431,16974,16336,33310,16259,15220,31479,18367,17559,35926,17235,16366,33601,16184,15467,31651,18749,17483,36232,17521,16500,34021,16384,15672,32056,90178,85881,176059,85066,80845,165911,82120,77805,159925,18878,17932,36810,17503,16937,34440,17170,16080,33250,19049,17821,36870,18299,17690,35989,17102,16402,33504,18675,17837,36512,18554,17681,36235,17534,16880,34414,17933,17366,35299,18505,17680,36185,17588,16673,34261,18440,17261,35701,18833,17537,36370,17761,16591,34352,92975,88217,181192,91694,87525,179219,87155,82626,169781,18357,17259,35616,18745,17746,36491,17610,16820,34430,18147,17116,35263,18685,17326,36011,18092,17159,35251,17350,16572,33922,17514,16754,34268,17764,16916,34680,16377,15186,31563,15995,15082,31077,16845,15659,32504,15308,13866
"1GSYD",25957,24509,50466,29310,27681,56991,30393,28819,59212,27347,25946,53293,28092,26174,54266,31308,29741,61049,27762,26234,53996,27542,25809,53351,30375,28909,59284,27518,26219,53737,27616,25856,53472,30639,28956,59595,27575,26108,53683,26763,25323,52086,30630,28747,59377,136159,129016,265175,139323,130843,270166,153345,145172,298517,27958,26255,54213,27602,25887,53489,29593,27871,57464,27774,26539,54313,27820,26275,54095,28863,26873,55736,27613,26098,53711,27080,25483,52563,27934,26260,54194,27529,26094,53623,26775,25672,52447,27911,26361,54272,27701,26348,54049,27235,25857,53092,27136,25617,52753,138575,131334,269909,136512,129174,265686,141437,132982,274419,27785,26266,54051,27280,25476,52756,27618,26092,53710,27269,25782,53051,27321,25988,53309,27749,26408,54157,27145,25841,52986,27315,25823,53138,27607,25908,53515,26817,25370,52187,27599,26103,53702,27409,26053,53462,26215,25252,51467,27719,25750,53469,27944,26379,54323,135231,128511,263742,137234,129140,266374,138327,130840,269167,27318,25715,53033,27806,26375,54181,27939,25988,53927,27417,26137,53554,28093,26443,54536,28222,26636,54858,27427,26105,53532,27900,26456,54356,28206,26820,55026,27798,27204,55002,27366,26114,53480,28421,26732,55153,28281,27597
"19799",3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,5,8,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,4,3,7,15,3,18,0,0,0,7,12,19,3,0,3,0,0,0,10,3,13,3,0,3,0,0,0,5,3,8,3,3,6,0,0,0,0,6,6,3,0,3,0,3,3,8,8,16,0,0,0,0,0,0,9,7,16,12,3,15,0,3,3,32,27,59,0,0,0,0,0,0,8,7,15,17,16,33,0,0,0,7,0,7,27,25,52,0,0,0,9,15,24,3,0,3,0,0,0,4,5,9,3,0,3,0,0,0,0,9,9,50,41,91,0,0,0,28,36,64,0,0,0,0,0,0,3,6,9,3,0,3,15,15,30,5,4,9,6,4,10,5,8,13,3,0,3,15,12,27,0,0,0,0,0,0,26,23
