"region_id",Ag_forest_fish_C01_M,Ag_forest_fish_C01_F,Ag_forest_fish_C01_P,Ag_forest_fish_C06_M,Ag_forest_fish_C06_F,Ag_forest_fish_C06_P,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Mining_C01_M,Mining_C01_F,Mining_C01_P,Mining_C06_M,Mining_C06_F,Mining_C06_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Manuf_C01_M,Manuf_C01_F,Manuf_C01_P,Manuf_C06_M,Manuf_C06_F,Manuf_C06_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Ele_gas_wat_was_ser_01_Cen_M,Ele_gas_wat_was_ser_01_Cen_F,Ele_gas_wat_was_ser_01_Cen_P,Ele_gas_wat_was_ser_06_Cen_M,Ele_gas_wat_was_ser_06_Cen_F,Ele_gas_wat_was_ser_06_Cen_P,Ele_gas_wat_was_ser_11_Cen_M,Ele_gas_wat_was_ser_11_Cen_F,Ele_gas_wat_was_ser_11_Cen_P,Constr_C01_M,Constr_C01_F,Constr_C01_P,Constr_C06_M,Constr_C06_F,Constr_C06_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Whlesale_tde_C01_M,Whlesale_tde_C01_F,Whlesale_tde_C01_P,Whlesale_tde_C06_M,Whlesale_tde_C06_F,Whlesale_tde_C06_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Retail_tde_C01_M,Retail_tde_C01_F,Retail_tde_C01_P,Retail_tde_C06_M,Retail_tde_C06_F,Retail_tde_C06_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Accom_food_S_C01_M,Accom_food_S_C01_F,Accom_food_S_C01_P,Accom_food_S_C06_M,Accom_food_S_C06_F,Accom_food_S_C06_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Tpt_post_ware_C01_M,Tpt_post_ware_C01_F,Tpt_post_ware_C01_P,Tpt_post_ware_C06_M,Tpt_post_ware_C06_F,Tpt_post_ware_C06_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Inf_Medi_Tele_C01_M,Inf_Medi_Tele_C01_F,Inf_Medi_Tele_C01_P,Inf_Medi_Tele_C06_M,Inf_Medi_Tele_C06_F,Inf_Medi_Tele_C06_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Finan_Insu_S_C01_M,Finan_Insu_S_C01_F,Finan_Insu_S_C01_P,Finan_Insu_S_C06_M,Finan_Insu_S_C06_F,Finan_Insu_S_C06_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Rent_hir_re_est_S_01_Cen_M,Rent_hir_re_est_S_01_Cen_F,Rent_hir_re_est_S_01_Cen_P,Rent_hir_re_est_S_06_Cen_M,Rent_hir_re_est_S_06_Cen_F,Rent_hir_re_est_S_06_Cen_P,Rent_hir_re_est_S_11_Cen_M,Rent_hir_re_est_S_11_Cen_F,Rent_hir_re_est_S_11_Cen_P,Prof_scie_tech_S_01_Cens_M,Prof_scie_tech_S_01_Cens_F,Prof_scie_tech_S_01_Cens_P,Prof_scie_tech_S_06_Cens_M,Prof_scie_tech_S_06_Cens_F,Prof_scie_tech_S_06_Cens_P,Prof_scie_tech_S_11_Cens_M,Prof_scie_tech_S_11_Cens_F,Prof_scie_tech_S_11_Cens_P,Admin_supp_S_C01_M,Admin_supp_S_C01_F,Admin_supp_S_C01_P,Admin_supp_S_C06_M,Admin_supp_S_C06_F,Admin_supp_S_C06_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Pub_admin_safet_C01_M,Pub_admin_safet_C01_F,Pub_admin_safet_C01_P,Pub_admin_safet_C06_M,Pub_admin_safet_C06_F,Pub_admin_safet_C06_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Educ_trn_C01_M,Educ_trn_C01_F,Educ_trn_C01_P,Educ_trn_C06_M,Educ_trn_C06_F,Educ_trn_C06_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Hea_car_soc_assist_01_Cens_M,Hea_car_soc_assist_01_Cens_F,Hea_car_soc_assist_01_Cens_P,Hea_car_soc_assist_06_Cens_M,Hea_car_soc_assist_06_Cens_F,Hea_car_soc_assist_06_Cens_P,Hea_car_soc_assist_11_Cens_M,Hea_car_soc_assist_11_Cens_F,Hea_car_soc_assist_11_Cens_P,Arts_rec_S_C01_M,Arts_rec_S_C01_F,Arts_rec_S_C01_P,Arts_rec_S_C06_M,Arts_rec_S_C06_F,Arts_rec_S_C06_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Oth_services_C01_M,Oth_services_C01_F,Oth_services_C01_P,Oth_services_C06_M,Oth_services_C06_F,Oth_services_C06_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Inad_descr_Ns_C01_M,Inad_descr_Ns_C01_F,Inad_descr_Ns_C01_P,Inad_descr_Ns_C06_M,Inad_descr_Ns_C06_F,Inad_descr_Ns_C06_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
"1RNSW",58710,22492,81202,49930,19510,69440,44261,16899,61160,11895,771,12666,15555,1340,16895,23772,2741,26513,72589,21463,94052,73701,19307,93008,70642,19053,89695,9347,1886,11233,10782,2504,13286,12543,3099,15642,55613,7422,63035,68665,9470,78135,74933,9736,84669,29567,11138,40705,22095,9171,31266,21764,8979,30743,47318,63542,110860,50403,73170,123573,48539,73255,121794,28277,44049,72326,29157,46364,75521,32106,50454,82560,31153,8221,39374,34072,8783,42855,36317,9165,45482,7767,5912,13679,6967,5297,12264,5831,4958,10789,7208,13386,20594,8068,14953,23021,8025,15154,23179,7046,7181,14227,7246,8270,15516,7090,8327,15417,19888,18392,38280,22789,21572,44361,25264,24253,49517,12103,13670,25773,12123,13456,25579,14320,15808,30128,35047,20254,55301,41791,27370,69161,44985,31962,76947,24568,49826,74394,25504,57343,82847,27607,64466,92073,19275,75447,94722,23174,92157,115331,27182,112101,139283,5781,4097,9878,6616,5586,12202,7250,6242,13492,22470,14921,37391,22343,16447,38790,24673,17545,42218,11574,9962,21536,14006,9510,23516,13689,9265,22954,517196,414032,931228,544987,461580,1006567,570793,503462,1074255
"1GSYD",6793,4358,11151,5236,3424,8660,4710,3130,7840,1791,365,2156,2493,633,3126,3470,808,4278,143603,63890,207493,128537,56112,184649,121216,53450,174666,11681,3326,15007,12288,3604,15892,14353,4155,18508,105313,16160,121473,114392,19192,133584,123942,20233,144175,67201,37871,105072,64782,40029,104811,66473,41066,107539,83990,102048,186038,89460,110172,199632,90818,111634,202452,54805,56395,111200,57168,57552,114720,64384,63213,127597,72641,23765,96406,77409,24731,102140,83021,25817,108838,40111,28564,68675,33047,23468,56515,36181,25342,61523,52114,59245,111359,59922,61457,121379,68941,66047,134988,18326,16641,34967,18038,16915,34953,18701,17382,36083,90224,74960,165184,92073,75885,167958,109633,87007,196640,31211,35540,66751,31044,33683,64727,35455,36520,71975,52874,34761,87635,61594,43797,105391,65851,49571,115422,38897,83125,122022,41569,94839,136408,48235,108275,156510,37374,122278,159652,44563,143791,188354,51686,172337,224023,13820,11775,25595,14647,12667,27314,17692,15105,32797,45504,29033,74537,40727,30369,71096,42088,33172,75260,23771,20081,43852,31716,21633,53349,31404,22724,54128,992044,824181,1816225,1020705,873953,1894658,1098254,956988,2055242
"19799",3,3,6,0,0,0,9,6,15,0,0,0,0,0,0,15,3,18,15,3,18,22,0,22,35,11,46,3,0,3,0,0,0,6,3,9,0,0,0,5,0,5,40,7,47,4,0,4,0,0,0,10,9,19,4,3,7,7,11,18,25,44,69,3,6,9,4,4,8,9,19,28,194,8,202,162,10,172,116,15,131,0,0,0,0,0,0,7,0,7,3,3,6,0,0,0,4,6,10,0,0,0,0,0,0,3,8,11,0,3,3,4,0,4,19,20,39,0,0,0,0,3,3,9,8,17,548,121,669,4,0,4,24,33,57,3,3,6,3,0,3,10,39,49,3,4,7,0,0,0,16,83,99,0,0,0,0,4,4,4,7,11,0,3,3,4,0,4,11,10,21,4,0,4,8,0,8,14,5,19,787,160,947,223,32,255,386,336,722
