"region_id",C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
"1RNSW",664765,255339,29799,47759,997662
"1GSYD",1112635,343808,64950,80136,1601529
"19799",0,0,0,0,0
