"region_id",Age_37_C06_F,Age_37_C06_P,Age_37_C11_M,Age_37_C11_F,Age_37_C11_P,Age_38_C01_M,Age_38_C01_F,Age_38_C01_P,Age_38_C06_M,Age_38_C06_F,Age_38_C06_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_39_C01_M,Age_39_C01_F,Age_39_C01_P,Age_39_C06_M,Age_39_C06_F,Age_39_C06_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_35_39_C01_M,Age_35_39_C01_F,Age_35_39_C01_P,Age_35_39_C06_M,Age_35_39_C06_F,Age_35_39_C06_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_40_C01_M,Age_40_C01_F,Age_40_C01_P,Age_40_C06_M,Age_40_C06_F,Age_40_C06_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_41_C01_M,Age_41_C01_F,Age_41_C01_P,Age_41_C06_M,Age_41_C06_F,Age_41_C06_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_42_C01_M,Age_42_C01_F,Age_42_C01_P,Age_42_C06_M,Age_42_C06_F,Age_42_C06_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_43_C01_M,Age_43_C01_F,Age_43_C01_P,Age_43_C06_M,Age_43_C06_F,Age_43_C06_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_44_C01_M,Age_44_C01_F,Age_44_C01_P,Age_44_C06_M,Age_44_C06_F,Age_44_C06_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_40_44_C01_M,Age_40_44_C01_F,Age_40_44_C01_P,Age_40_44_C06_M,Age_40_44_C06_F,Age_40_44_C06_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_45_C01_M,Age_45_C01_F,Age_45_C01_P,Age_45_C06_M,Age_45_C06_F,Age_45_C06_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_46_C01_M,Age_46_C01_F,Age_46_C01_P,Age_46_C06_M,Age_46_C06_F,Age_46_C06_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_47_C01_M,Age_47_C01_F,Age_47_C01_P,Age_47_C06_M,Age_47_C06_F,Age_47_C06_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_48_C01_M,Age_48_C01_F,Age_48_C01_P,Age_48_C06_M,Age_48_C06_F,Age_48_C06_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_49_C01_M,Age_49_C01_F,Age_49_C01_P,Age_49_C06_M,Age_49_C06_F,Age_49_C06_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_45_49_C01_M,Age_45_49_C01_F,Age_45_49_C01_P,Age_45_49_C06_M,Age_45_49_C06_F,Age_45_49_C06_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_50_C01_M,Age_50_C01_F,Age_50_C01_P,Age_50_C06_M,Age_50_C06_F,Age_50_C06_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_51_C01_M,Age_51_C01_F,Age_51_C01_P,Age_51_C06_M,Age_51_C06_F,Age_51_C06_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_52_C01_M,Age_52_C01_F,Age_52_C01_P,Age_52_C06_M,Age_52_C06_F,Age_52_C06_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_53_C01_M,Age_53_C01_F,Age_53_C01_P,Age_53_C06_M,Age_53_C06_F,Age_53_C06_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_54_C01_M,Age_54_C01_F,Age_54_C01_P,Age_54_C06_M,Age_54_C06_F,Age_54_C06_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_50_54_C01_M,Age_50_54_C01_F,Age_50_54_C01_P,Age_50_54_C06_M,Age_50_54_C06_F,Age_50_54_C06_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_55_C01_M,Age_55_C01_F,Age_55_C01_P,Age_55_C06_M,Age_55_C06_F,Age_55_C06_P
"1RNSW",16247,31318,14806,15639,30445,17277,17933,35210,14806,15599,30405,15486,16564,32050,17605,18182,35787,14734,16117,30851,16658,17512,34170,81412,85084,166496,75635,80817,156452,74528,78692,153220,18416,19009,37425,15265,16231,31496,16929,18007,34936,17152,17822,34974,15615,16514,32129,15751,16694,32445,17998,18567,36565,17045,17638,34683,15926,17054,32980,17530,18030,35560,17409,18484,35893,15296,16180,31476,17045,17108,34153,18073,18647,36720,15517,16538,32055,88141,90536,178677,83407,87514,170921,79419,84473,163892,17040,16913,33953,18280,18670,36950,15640,16385,32025,16701,16871,33572,17626,18626,36252,16129,16574,32703,16610,16336,32946,17661,18336,35997,17317,17749,35066,16534,16259,32793,17418,17893,35311,17612,18548,36160,16177,15820,31997,17484,17474,34958,18226,18650,36876,83062,82199,165261,88469,90999,179468,84924,87906,172830,16427,15891,32318,17037,17079,34116,18233,18821,37054,15429,14885,30314,16807,16881,33688,17818,18424,36242,15546,15152,30698,16506,16514,33020,17818,18404,36222,15715,15008,30723,16633,16711,33344,17438,18094,35532,16318,15821,32139,16094,16010,32104,17361,17604,34965,79435,76757,156192,83077,83195,166272,88668,91347,180015,13797,13522,27319,16225,15853,32078
"1GSYD",32237,62762,32493,33937,66430,32300,32478,64778,29732,31117,60849,32895,34530,67425,31939,32144,64083,29531,30289,59820,33905,35607,69512,157453,158927,316380,154763,162239,317002,163637,170141,333778,32567,33465,66032,29929,30311,60240,33745,35961,69706,29684,30272,59956,30085,30829,60914,31472,33317,64789,30134,30553,60687,31077,31950,63027,30593,32741,63334,29211,30867,60078,31531,32262,63793,29661,31434,61095,27993,28812,56805,31221,31834,63055,29081,30272,59353,149589,153969,303558,153843,157186,311029,154552,163725,318277,28034,29108,57142,30424,31574,61998,29547,30214,59761,27454,28737,56191,29623,30723,60346,29498,30983,60481,26575,27335,53910,28653,29279,57932,30494,31680,62174,26483,27186,53669,28260,29531,57791,30913,31957,62870,25567,26481,52048,27622,28525,56147,30371,31111,61482,134113,138847,272960,144582,149632,294214,150823,155945,306768,26520,27541,54061,27000,28026,55026,30105,31299,61404,25276,25374,50650,25934,27444,53378,28633,29849,58482,25170,25095,50265,25388,26459,51847,27862,28655,56517,25341,25022,50363,25066,26212,51278,27249,28859,56108,25731,25649,51380,24171,25232,49403,26629,27840,54469,128038,128681,256719,127559,133373,260932,140478,146502,286980,22207,21835,44042,23846,24762,48608
"19799",3,10,3,13,16,22,3,25,6,0,6,9,10,19,27,0,27,6,3,9,6,13,19,119,8,127,32,6,38,29,42,71,10,3,13,5,3,8,18,14,32,20,3,23,7,3,10,12,8,20,16,3,19,10,0,10,16,12,28,12,4,16,8,0,8,8,4,12,13,0,13,4,0,4,12,12,24,71,13,84,34,6,40,66,50,116,11,0,11,11,0,11,20,10,30,10,0,10,9,0,9,14,5,19,11,3,14,5,3,8,18,18,36,7,3,10,14,0,14,17,15,32,6,3,9,7,0,7,11,19,30,45,9,54,46,3,49,80,67,147,12,0,12,5,3,8,9,11,20,14,0,14,8,0,8,12,20,32,7,3,10,9,0,9,13,23,36,9,0,9,3,3,6,19,17,36,7,3,10,4,0,4,21,10,31,49,6,55,29,6,35,74,81,155,9,0,9,4,3,7
