"region_id",C01_0_4_Indig_M,C01_0_4_Indig_F,C01_0_4_Indig_P,C01_0_4_NonInd_M,C01_0_4_NonInd_F,C01_0_4_NonInd_P,C01_0_4_Indig_st_ns_M,C01_0_4_Indig_st_ns_F,C01_0_4_Indig_st_ns_P,C01_0_4_T_M,C01_0_4_T_F,C01_0_4_T_P,C01_5_9_Indig_M,C01_5_9_Indig_F,C01_5_9_Indig_P,C01_5_9_NonInd_M,C01_5_9_NonInd_F,C01_5_9_NonInd_P,C01_5_9_Indig_st_ns_M,C01_5_9_Indig_st_ns_F,C01_5_9_Indig_st_ns_P,C01_5_9_T_M,C01_5_9_T_F,C01_5_9_T_P,C01_10_14_Indigen_M,C01_10_14_Indigen_F,C01_10_14_Indigen_P,C01_10_14_NonInd_M,C01_10_14_NonInd_F,C01_10_14_NonInd_P,C01_10_14_Ind_st_ns_M,C01_10_14_Ind_st_ns_F,C01_10_14_Ind_st_ns_P,C01_10_14_T_M,C01_10_14_T_F,C01_10_14_T_P,C01_15_19_Indigen_M,C01_15_19_Indigen_F,C01_15_19_Indigen_P,C01_15_19_NonInd_M,C01_15_19_NonInd_F,C01_15_19_NonInd_P,C01_15_19_Ind_st_ns_M,C01_15_19_Ind_st_ns_F,C01_15_19_Ind_st_ns_P,C01_15_19_T_M,C01_15_19_T_F,C01_15_19_T_P,C01_20_24_Indigen_M,C01_20_24_Indigen_F,C01_20_24_Indigen_P,C01_20_24_NonInd_M,C01_20_24_NonInd_F,C01_20_24_NonInd_P,C01_20_24_Ind_st_ns_M,C01_20_24_Ind_st_ns_F,C01_20_24_Ind_st_ns_P,C01_20_24_T_M,C01_20_24_T_F,C01_20_24_T_P,C01_25_29_Indigen_M,C01_25_29_Indigen_F,C01_25_29_Indigen_P,C01_25_29_NonInd_M,C01_25_29_NonInd_F,C01_25_29_NonInd_P,C01_25_29_Ind_st_ns_M,C01_25_29_Ind_st_ns_F,C01_25_29_Ind_st_ns_P,C01_25_29_T_M,C01_25_29_T_F,C01_25_29_T_P,C01_30_34_Indigen_M,C01_30_34_Indigen_F,C01_30_34_Indigen_P,C01_30_34_NonInd_M,C01_30_34_NonInd_F,C01_30_34_NonInd_P,C01_30_34_Ind_st_ns_M,C01_30_34_Ind_st_ns_F,C01_30_34_Ind_st_ns_P,C01_30_34_T_M,C01_30_34_T_F,C01_30_34_T_P,C01_35_39_Indigen_M,C01_35_39_Indigen_F,C01_35_39_Indigen_P,C01_35_39_NonInd_M,C01_35_39_NonInd_F,C01_35_39_NonInd_P,C01_35_39_Ind_st_ns_M,C01_35_39_Ind_st_ns_F,C01_35_39_Ind_st_ns_P,C01_35_39_T_M,C01_35_39_T_F,C01_35_39_T_P,C01_40_44_Indigen_M,C01_40_44_Indigen_F,C01_40_44_Indigen_P,C01_40_44_NonInd_M,C01_40_44_NonInd_F,C01_40_44_NonInd_P,C01_40_44_Ind_st_ns_M,C01_40_44_Ind_st_ns_F,C01_40_44_Ind_st_ns_P,C01_40_44_T_M,C01_40_44_T_F,C01_40_44_T_P,C01_45_49_Indigen_M,C01_45_49_Indigen_F,C01_45_49_Indigen_P,C01_45_49_NonInd_M,C01_45_49_NonInd_F,C01_45_49_NonInd_P,C01_45_49_Ind_st_ns_M,C01_45_49_Ind_st_ns_F,C01_45_49_Ind_st_ns_P,C01_45_49_T_M,C01_45_49_T_F,C01_45_49_T_P,C01_50_54_Indigen_M,C01_50_54_Indigen_F,C01_50_54_Indigen_P,C01_50_54_NonInd_M,C01_50_54_NonInd_F,C01_50_54_NonInd_P,C01_50_54_Ind_st_ns_M,C01_50_54_Ind_st_ns_F,C01_50_54_Ind_st_ns_P,C01_50_54_T_M,C01_50_54_T_F,C01_50_54_T_P,C01_55_59_Indigen_M,C01_55_59_Indigen_F,C01_55_59_Indigen_P,C01_55_59_NonInd_M,C01_55_59_NonInd_F,C01_55_59_NonInd_P,C01_55_59_Ind_st_ns_M,C01_55_59_Ind_st_ns_F,C01_55_59_Ind_st_ns_P,C01_55_59_T_M,C01_55_59_T_F,C01_55_59_T_P,C01_60_64_Indigen_M,C01_60_64_Indigen_F,C01_60_64_Indigen_P,C01_60_64_NonInd_M,C01_60_64_NonInd_F,C01_60_64_NonInd_P,C01_60_64_Ind_st_ns_M,C01_60_64_Ind_st_ns_F,C01_60_64_Ind_st_ns_P,C01_60_64_T_M,C01_60_64_T_F,C01_60_64_T_P,C01_65_over_Indigen_M,C01_65_over_Indigen_F,C01_65_over_Indigen_P,C01_65ove_NonInd_M,C01_65ove_NonInd_F,C01_65ove_NonInd_P,C01_65ove_Indig_st_ns_M,C01_65ove_Indig_st_ns_F,C01_65ove_Indig_st_ns_P,C01_65_over_T_M,C01_65_over_T_F,C01_65_over_T_P,C01_Tot_Indig_M,C01_Tot_Indig_F,C01_Tot_Indig_P,C01_Tot_NonInd_M,C01_Tot_NonInd_F,C01_Tot_NonInd_P,C01_Tot_Indig_st_ns_M,C01_Tot_Indig_st_ns_F,C01_Tot_Indig_st_ns_P,C01_Tot_T_M,C01_Tot_T_F,C01_Tot_T_P,C06_0_4_Indig_M,C06_0_4_Indig_F,C06_0_4_Indig_P,C06_0_4_NonInd_M,C06_0_4_NonInd_F,C06_0_4_NonInd_P,C06_0_4_Indig_st_ns_M,C06_0_4_Indig_st_ns_F,C06_0_4_Indig_st_ns_P,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_9_Indig_M,C06_5_9_Indig_F,C06_5_9_Indig_P,C06_5_9_NonInd_M,C06_5_9_NonInd_F,C06_5_9_NonInd_P,C06_5_9_Indig_st_ns_M,C06_5_9_Indig_st_ns_F
"1RNSW",5639,5427,11066,71030,67374,138404,4037,3639,7676,80706,76440,157146,6078,5624,11702,81282,77656,158938,2818,2601,5419,90178,85881,176059,5475,5206,10681,84825,80577,165402,2675,2434,5109,92975,88217,181192,4270,4010,8280,78602,73806,152408,2667,2183,4850,85539,79999,165538,2944,2775,5719,60987,57116,118103,2401,1960,4361,66332,61851,128183,2726,2963,5689,61659,62132,123791,2489,2129,4618,66874,67224,134098,2620,3042,5662,67256,70843,138099,2612,2148,4760,72488,76033,148521,2567,2814,5381,76222,79949,156171,2623,2321,4944,81412,85084,166496,2247,2400,4647,83291,85960,169251,2603,2176,4779,88141,90536,178677,1822,1853,3675,78711,78135,156846,2529,2211,4740,83062,82199,165261,1421,1378,2799,75772,73391,149163,2242,1988,4230,79435,76757,156192,1036,1017,2053,62632,61924,124556,1852,1846,3698,65520,64787,130307,713,765,1478,54478,55074,109552,1842,1999,3841,57033,57838,114871,983,1271,2254,152645,183234,335879,8091,12931,21022,161719,197436,359155,40541,40545,81086,1089392,1107171,2196563,41481,42566,84047,1171414,1190282,2361696,6145,5911,12056,67174,63333,130507,3600,3570,7170,76919,72814,149733,6396,6099,12495,74626,70772,145398,4044,3974
"1GSYD",2454,2336,4790,124323,118011,242334,9382,8669,18051,136159,129016,265175,2604,2567,5171,128670,121799,250469,7301,6968,14269,138575,131334,269909,2447,2209,4656,125850,119975,245825,6934,6327,13261,135231,128511,263742,1964,2014,3978,129450,124513,253963,6827,6231,13058,138241,132758,270999,1590,1553,3143,132087,131600,263687,7122,6275,13397,140799,139428,280227,1523,1705,3228,145060,149741,294801,7413,6785,14198,153996,158231,312227,1399,1593,2992,148140,154411,302551,7446,6851,14297,156985,162855,319840,1148,1410,2558,149107,150570,299677,7198,6947,14145,157453,158927,316380,1100,1179,2279,141556,146363,287919,6933,6427,13360,149589,153969,303558,877,937,1814,126668,131871,258539,6568,6039,12607,134113,138847,272960,637,826,1463,121961,122666,244627,5440,5189,10629,128038,128681,256719,469,453,922,93840,91178,185018,4610,4418,9028,98919,96049,194968,338,321,659,71614,71713,143327,4040,4109,8149,75992,76143,152135,458,638,1096,185033,245793,430826,14613,22641,37254,200104,269072,469176,19008,19741,38749,1823359,1880204,3703563,101827,103876,205703,1944194,2003821,3948015,2723,2438,5161,126778,119221,245999,9823,9184,19007,139324,130843,270167,2694,2475,5169,124802,118165,242967,9017,8533
"19799",3,0,3,0,0,0,11,3,14,14,3,17,0,0,0,0,0,0,9,3,12,9,3,12,0,0,0,38,41,79,11,3,14,49,44,93,0,0,0,43,36,79,7,3,10,50,39,89,5,3,8,208,76,284,14,5,19,227,84,311,4,0,4,139,34,173,10,0,10,153,34,187,4,3,7,127,19,146,10,0,10,141,22,163,3,0,3,102,6,108,14,3,17,119,9,128,0,0,0,61,11,72,8,3,11,69,14,83,0,0,0,32,7,39,13,4,17,45,11,56,0,0,0,37,6,43,12,0,12,49,6,55,0,0,0,37,5,42,10,3,13,47,8,55,0,0,0,30,14,44,10,4,14,40,18,58,0,3,3,26,29,55,68,18,86,94,50,144,19,9,28,880,284,1164,207,52,259,1106,345,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
