"region_id",C11_Tot_res_Bo_par_bo_os,C11_Tot_res_Fa_onl_bo_os,C11_Tot_res_Mo_onl_bo_os,C11_Tot_res_Bo_pa_bo_Aus,C11_Tot_resp_Bplace_ns,C11_Tot_resp_Tot_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp
"1RNSW",413086,234902,164207,2332246,181650,3326091,350395,144128,100323,1754545,166774,2516165
"1GSYD",2239318,461725,313627,2152916,332006,5499592,2008887,288651,193548,1575150,312223,4378459
"19799",595,226,124,1370,385,2700,530,138,81,972,372,2093
