"region_id",C01_P_FoodHos_PS_15_19,C01_P_FoodHos_PS_20_24,C01_P_FoodHos_PS_25_34,C01_P_FoodHos_PS_35_44,C01_P_FoodHos_PS_45_54,C01_P_FoodHos_PS_55_64,C01_P_FoodHos_PS_65_74,C01_P_FoodHos_PS_75_84,C01_P_FoodHos_PS_85o,C01_P_Foo_hos_pers_S_Tot,C01_P_MixFld_pr_15_19,C01_P_MixFld_pr_20_24,C01_P_MixFld_pr_25_34,C01_P_MixFld_pr_35_44,C01_P_MixFld_pr_45_54,C01_P_MixFld_pr_55_64,C01_P_MixFld_pr_65_74,C01_P_MixFld_pr_75_84,C01_P_MixFld_pr_85_ov,C01_P_MixFld_pr_Tot,C01_P_FldStu_ID_15_19,C01_P_FldStu_ID_20_24,C01_P_FldStu_ID_25_34,C01_P_FldStu_ID_35_44,C01_P_FldStu_ID_45_54,C01_P_FldStu_ID_55_64,C01_P_FldStu_ID_65_74,C01_P_FldStu_ID_75_84,C01_P_FldStu_ID_85o,C01_P_FldStu_ID_Tot,C01_P_FldStu_NS_15_19,C01_P_FldStu_NS_20_24,C01_P_FldStu_NS_25_34,C01_P_FldStu_NS_35_44,C01_P_FldStu_NS_45_54,C01_P_FldStu_NS_55_64,C01_P_FldStu_NS_65_74,C01_P_FldStu_NS_75_84,C01_P_FldStu_NS_85o,C01_P_FldStu_NS_T,C01_P_Tot_15_19,C01_P_Tot_20_24,C01_P_Tot_25_34,C01_P_Tot_35_44,C01_P_Tot_45_54,C01_P_Tot_55_64,C01_P_Tot_65_74,C01_P_Tot_75_84,C01_P_Tot_85o,C01_P_T_T,C06_P_NatPhy_sci_15_19,C06_P_NatPhy_sci_20_24,C06_P_NatPhy_sci_25_34,C06_P_NatPhy_sci_35_44,C06_P_NatPhy_sci_45_54,C06_P_NatPhy_sci_55_64,C06_P_NatPhy_sci_65_74,C06_P_NatPhy_sci_75_84,C06_P_NatPhy_sci_85_ov,C06_P_NatPhy_sci_Tot,C06_P_InfTec_15_19,C06_P_InfTec_20_24,C06_P_InfTec_25_34,C06_P_InfTec_35_44,C06_P_InfTec_45_54,C06_P_InfTec_55_64,C06_P_InfTec_65_74,C06_P_InfTec_75_84,C06_P_InfTec_85_ov,C06_P_InfTec_Tot,C06_P_EngRT_15_19,C06_P_EngRT_20_24,C06_P_EngRT_25_34,C06_P_EngRT_35_44,C06_P_EngRT_45_54,C06_P_EngRT_55_64,C06_P_EngRT_65_74,C06_P_EngRT_75_84,C06_P_EngRT_85_ov,C06_P_EngRT_Tot,C06_P_ArchBuild_15_19,C06_P_ArchBuild_20_24,C06_P_ArchBuild_25_34,C06_P_ArchBuild_35_44,C06_P_ArchBuild_45_54,C06_P_ArchBuild_55_64,C06_P_ArchBuild_65_74,C06_P_ArchBuild_75_84,C06_P_ArchBuild_85o,C06_P_Arch_building_Tot,C06_P_AgEnv_RS_15_19,C06_P_AgEnv_RS_20_24,C06_P_AgEnv_RS_25_34,C06_P_AgEnv_RS_35_44,C06_P_AgEnv_RS_45_54,C06_P_AgEnv_RS_55_64,C06_P_AgEnv_RS_65_74,C06_P_AgEnv_RS_75_84,C06_P_AgEnv_RS_85o,C06_P_AgEnv_RS_Tot,C06_P_Health_15_19,C06_P_Health_20_24,C06_P_Health_25_34,C06_P_Health_35_44,C06_P_Health_45_54,C06_P_Health_55_64,C06_P_Health_65_74,C06_P_Health_75_84,C06_P_Health_85o,C06_P_Healt_To,C06_P_Educ_15_19,C06_P_Educ_20_24,C06_P_Educ_25_34,C06_P_Educ_35_44,C06_P_Educ_45_54,C06_P_Educ_55_64,C06_P_Educ_65_74,C06_P_Educ_75_84,C06_P_Educ_85o,C06_P_Educ_Tot,C06_P_MngtCom_15_19,C06_P_MngtCom_20_24,C06_P_MngtCom_25_34,C06_P_MngtCom_35_44,C06_P_MngtCom_45_54,C06_P_MngtCom_55_64,C06_P_MngtCom_65_74,C06_P_MngtCom_75_84,C06_P_MngtCom_85o,C06_P_MngtCom_T,C06_P_Soc_cult_15_19,C06_P_Soc_cult_20_24,C06_P_Soc_cult_25_34,C06_P_Soc_cult_35_44,C06_P_Soc_cult_45_54,C06_P_Soc_cult_55_64,C06_P_Soc_cult_65_74,C06_P_Soc_cult_75_84,C06_P_Soc_cult_85o,C06_P_Soc_cult_T,C06_P_Creative_art_15_19,C06_P_Creative_art_20_24,C06_P_Creative_art_25_34,C06_P_Creative_art_35_44,C06_P_Creative_art_45_54,C06_P_Creative_art_55_64,C06_P_Creative_art_65_74,C06_P_Creative_art_75_84,C06_P_Creative_arts_85o,C06_P_Creative_arts_Tot,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_FoodHos_PS_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_T,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T
"1RNSW",1667,5339,11332,8736,6172,3688,1946,826,173,39879,45,58,80,127,93,79,58,41,10,591,107,467,1237,1548,1528,922,607,310,83,6809,15331,9034,19647,22922,21133,19896,27930,26488,9166,171547,23919,52018,148488,181529,161963,102287,76785,48513,13440,808942,49,1056,3477,3800,4003,3046,1284,635,102,17452,476,2225,3663,3424,2770,1248,263,46,10,14125,1502,8478,26483,36846,37595,30294,19743,10861,1963,173765,689,3771,10571,13270,13682,9731,6680,3222,547,62163,621,2702,7300,7986,6550,4276,2058,866,184,32543,466,3696,13482,19988,25292,14573,7909,3993,1013,90412,146,2276,11309,14476,23745,15518,7210,3010,702,78392,2758,12530,28062,30908,28437,19758,8795,4671,1049,136968,977,5643,15152,16469,16065,10631,4097,1691,314,71039,336,2404,4905,4538,4045,2778,1353,722,194,21275,2120,6654,12623,10866,7629,5400,2409,1272,288,49261,90,147,101,161,205,134,92,85,38,1053,190,542,1636,2071,2076,1451,783,471,133,9353,19094,11288,21011,26497,26564,25633,28791,31680,11982,202540,29514,63412,159775,191300,198658,144471,91467,63225,18519,960341
"1GSYD",2025,8562,19533,13170,9223,5052,2378,1201,339,61483,74,86,133,185,177,77,48,35,16,831,225,1356,4783,4218,3333,1792,968,619,202,17496,31767,22953,47949,51152,44313,34361,37330,36407,14792,321024,44169,129127,399854,375483,296150,168807,106820,72464,23678,1616552,140,4237,14291,14370,11404,7185,2779,1391,287,56084,838,9809,27655,17382,8561,2549,419,83,28,67324,1433,12089,49129,62413,57123,42323,23946,14508,3218,266182,888,6410,21649,21812,16464,12002,6941,3522,767,90455,258,1900,6080,5279,3833,2086,1053,481,137,21107,525,7361,29573,32029,31525,18757,9695,5600,1639,136704,199,4368,22732,25547,32501,21459,9272,4190,1355,121623,4204,37418,109122,96114,69184,42348,15510,9203,2612,385715,1524,14931,49003,42646,34665,21741,7959,3742,888,177099,936,10242,24332,16317,9699,5267,2277,1328,452,70850,2676,9801,20971,16747,10163,7021,2702,1516,483,72080,366,530,393,495,486,373,237,179,69,3128,314,1878,5739,5792,4640,2853,1254,797,297,23564,35195,34468,68071,63208,54362,44485,37013,39329,18692,394823,49496,155442,448740,420151,344610,230449,121057,85869,30924,1886738
"19799",3,17,16,7,8,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,10,5,5,3,0,0,0,0,26,13,24,36,32,35,27,29,29,36,261,26,163,241,145,80,70,39,32,36,832,0,0,4,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,6,0,5,13,22,21,20,3,0,0,84,0,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,0,0,16,0,0,5,3,0,0,0,0,0,8,0,3,0,0,0,3,0,0,0,6,0,0,6,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,14,8,17,17,3,0,0,62,0,14,46,49,50,47,6,0,0,212
