"region_id",Age_19_C01_P,Age_19_C06_M,Age_19_C06_F,Age_19_C06_P,Age_19_C11_M,Age_19_C11_F,Age_19_C11_P,Age_15_19_C01_M,Age_15_19_C01_F,Age_15_19_C01_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_20_C01_M,Age_20_C01_F,Age_20_C01_P,Age_20_C06_M,Age_20_C06_F,Age_20_C06_P,Age_20_C11_M,Age_20_C11_F,Age_20_C11_P,Age_21_C01_M,Age_21_C01_F,Age_21_C01_P,Age_21_C06_M,Age_21_C06_F,Age_21_C06_P,Age_21_C11_M,Age_21_C11_F,Age_21_C11_P,Age_22_C01_M,Age_22_C01_F,Age_22_C01_P,Age_22_C06_M,Age_22_C06_F,Age_22_C06_P,Age_22_C11_M,Age_22_C11_F,Age_22_C11_P,Age_23_C01_M,Age_23_C01_F,Age_23_C01_P,Age_23_C06_M,Age_23_C06_F,Age_23_C06_P,Age_23_C11_M,Age_23_C11_F,Age_23_C11_P,Age_24_C01_M,Age_24_C01_F,Age_24_C01_P,Age_24_C06_M,Age_24_C06_F,Age_24_C06_P,Age_24_C11_M,Age_24_C11_F,Age_24_C11_P,Age_20_24_C01_M,Age_20_24_C01_F,Age_20_24_C01_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_25_C01_M,Age_25_C01_F,Age_25_C01_P,Age_25_C06_M,Age_25_C06_F,Age_25_C06_P,Age_25_C11_M,Age_25_C11_F,Age_25_C11_P,Age_26_C01_M,Age_26_C01_F,Age_26_C01_P,Age_26_C06_M,Age_26_C06_F,Age_26_C06_P,Age_26_C11_M,Age_26_C11_F,Age_26_C11_P,Age_27_C01_M,Age_27_C01_F,Age_27_C01_P,Age_27_C06_M,Age_27_C06_F,Age_27_C06_P,Age_27_C11_M,Age_27_C11_F,Age_27_C11_P,Age_28_C01_M,Age_28_C01_F,Age_28_C01_P,Age_28_C06_M,Age_28_C06_F,Age_28_C06_P,Age_28_C11_M,Age_28_C11_F,Age_28_C11_P,Age_29_C01_M,Age_29_C01_F,Age_29_C01_P,Age_29_C06_M,Age_29_C06_F,Age_29_C06_P,Age_29_C11_M,Age_29_C11_F,Age_29_C11_P,Age_25_29_C01_M,Age_25_29_C01_F,Age_25_29_C01_P,Age_25_29_C06_M,Age_25_29_C06_F,Age_25_29_C06_P,Age_25_29_C11_M,Age_25_29_C11_F,Age_25_29_C11_P,Age_30_C01_M,Age_30_C01_F,Age_30_C01_P,Age_30_C06_M,Age_30_C06_F,Age_30_C06_P,Age_30_C11_M,Age_30_C11_F,Age_30_C11_P,Age_31_C01_M,Age_31_C01_F,Age_31_C01_P,Age_31_C06_M,Age_31_C06_F,Age_31_C06_P,Age_31_C11_M,Age_31_C11_F,Age_31_C11_P,Age_32_C01_M,Age_32_C01_F,Age_32_C01_P,Age_32_C06_M,Age_32_C06_F,Age_32_C06_P,Age_32_C11_M,Age_32_C11_F,Age_32_C11_P,Age_33_C01_M,Age_33_C01_F,Age_33_C01_P,Age_33_C06_M,Age_33_C06_F,Age_33_C06_P,Age_33_C11_M,Age_33_C11_F,Age_33_C11_P,Age_34_C01_M,Age_34_C01_F,Age_34_C01_P,Age_34_C06_M,Age_34_C06_F,Age_34_C06_P,Age_34_C11_M,Age_34_C11_F,Age_34_C11_P,Age_30_34_C01_M,Age_30_34_C01_F,Age_30_34_C01_P,Age_30_34_C06_M,Age_30_34_C06_F,Age_30_34_C06_P,Age_30_34_C11_M,Age_30_34_C11_F,Age_30_34_C11_P,Age_35_C01_M,Age_35_C01_F,Age_35_C01_P,Age_35_C06_M,Age_35_C06_F,Age_35_C06_P,Age_35_C11_M,Age_35_C11_F,Age_35_C11_P,Age_36_C01_M,Age_36_C01_F,Age_36_C01_P,Age_36_C06_M,Age_36_C06_F,Age_36_C06_P,Age_36_C11_M,Age_36_C11_F,Age_36_C11_P,Age_37_C01_M,Age_37_C01_F,Age_37_C01_P,Age_37_C06_M
"1RNSW",29174,15443,14311,29754,16114,14747,30861,85539,79999,165538,86382,81219,167601,86425,81301,167726,14391,13504,27895,14972,14037,29009,15520,14944,30464,13960,12626,26586,14420,13643,28063,15536,14497,30033,12872,11991,24863,13655,12945,26600,14322,13823,28145,12722,11895,24617,13164,12697,25861,13657,13345,27002,12387,11835,24222,12954,12310,25264,13742,13313,27055,66332,61851,128183,69165,65632,134797,72777,69922,142699,12417,12143,24560,12435,12255,24690,13404,13113,26517,12825,12552,25377,12074,11837,23911,13398,13333,26731,13142,13236,26378,11789,11968,23757,12954,13258,26212,13787,14221,28008,11865,12030,23895,13154,13485,26639,14703,15072,29775,12037,12427,24464,13105,13227,26332,66874,67224,134098,60200,60517,120717,66015,66416,132431,15460,15952,31412,12455,12837,25292,13061,13471,26532,14109,14502,28611,12779,13306,26085,12823,13185,26008,14416,15343,29759,13679,14238,27917,12708,13391,26099,14116,14998,29114,14253,15474,29727,12840,13563,26403,14387,15238,29625,15603,16428,32031,13155,13891,27046,72488,76033,148521,68769,72283,141052,64587,67501,132088,14734,15664,30398,16001,16812,32813,13456,14281,27737,15322,16039,31361,15023,16042,31065,14122,14696,28818,16474,17266,33740,15071
"1GSYD",55878,27728,27323,55051,28969,27559,56528,138241,132758,270999,138893,132711,271604,141757,133735,275492,28829,27836,56665,28771,28137,56908,30016,29401,59417,27971,27359,55330,29539,28917,58456,30846,30104,60950,27686,27647,55333,29365,29505,58870,30940,30337,61277,27878,28036,55914,30377,30698,61075,31140,31021,62161,28435,28550,56985,30546,30731,61277,30957,31890,62847,140799,139428,280227,148598,147988,296586,153899,152753,306652,29039,29285,58324,30930,30532,61462,32339,32815,65154,29713,30397,60110,29881,30266,60147,33154,33925,67079,30732,31600,62332,29721,30379,60100,33236,34728,67964,31535,32684,64219,29415,30535,59950,34186,35746,69932,32977,34265,67242,29679,31148,60827,34120,35349,69469,153996,158231,312227,149626,152860,302486,167035,172563,339598,34437,36260,70697,30203,31228,61431,34505,35356,69861,31046,32216,63262,30977,32423,63400,33313,34168,67481,31082,32652,63734,31494,33171,64665,33237,33942,67179,30282,31372,61654,32545,34046,66591,32105,33265,65370,30138,30355,60493,33396,34938,68334,32265,33128,65393,156985,162855,319840,158615,165806,324421,165425,169859,335284,30748,30751,61499,33447,35678,69125,31975,32767,64742,30852,31630,62482,31528,32918,64446,32369,33300,65669,31614,31924,63538,30525
"19799",49,0,3,3,3,8,11,50,39,89,20,26,46,14,18,32,38,19,57,0,3,3,3,0,3,49,15,64,9,3,12,7,0,7,46,17,63,4,0,4,8,12,20,53,21,74,4,0,4,3,8,11,41,10,51,3,3,6,15,13,28,227,82,309,20,9,29,36,33,69,27,9,36,4,3,7,9,4,13,28,5,33,4,3,7,7,10,17,19,8,27,5,0,5,6,5,11,38,11,49,6,0,6,10,6,16,41,4,45,4,3,7,3,3,6,153,37,190,23,9,32,35,28,63,30,9,39,5,3,8,6,5,11,33,5,38,3,0,3,7,0,7,34,3,37,3,3,6,6,9,15,24,3,27,6,3,9,0,12,12,20,3,23,5,0,5,5,3,8,141,23,164,22,9,31,24,29,53,22,5,27,7,0,7,4,3,7,29,0,29,6,0,6,7,3,10,19,0,19,7
