"region_id",C06_P_AdD_DL_15_19,C06_P_AdD_DL_20_24,C06_P_AdD_DL_25_34,C06_P_AdD_DL_35_44,C06_P_AdD_DL_45_54,C06_P_AdD_DL_55_64,C06_P_AdD_DL_65_74,C06_P_AdD_DL_75_84,C06_P_AdD_DL_85o,C06_P_AdD_DL_Tot,C06_P_CL_CL_nfd_15_19,C06_P_CL_CL_nfd_20_24,C06_P_CL_CL_nfd_25_34,C06_P_CL_CL_nfd_35_44,C06_P_CL_CL_nfd_45_54,C06_P_CL_CL_nfd_55_64,C06_P_CL_CL_nfd_65_74,C06_P_CL_CL_nfd_75_84,C06_P_CL_CL_nfd_85_ov,C06_P_CL_CL_nfd_Tot,C06_P_CL_C_III_IV_15_19,C06_P_CL_C_III_IV_20_24,C06_P_CL_C_III_IV_25_34,C06_P_CL_C_III_IV_35_44,C06_P_CL_C_III_IV_45_54,C06_P_CL_C_III_IV_55_64,C06_P_CL_C_III_IV_65_74,C06_P_CL_C_III_IV_75_84,C06_P_CL_C_III_IV_85_ov,C06_P_CL_C_III_IV_Tot,C06_P_CL_C_I_II_15_19,C06_P_CL_C_I_II_20_24,C06_P_CL_C_I_II_25_34,C06_P_CL_C_I_II_35_44,C06_P_CL_C_I_II_45_54,C06_P_CL_C_I_II_55_64,C06_P_CL_C_I_II_65_74,C06_P_CL_C_I_II_75_84,C06_P_CL_C_I_II_85_ov,C06_P_CL_C_I_II_Tot,C06_P_CL_T_15_19,C06_P_CL_T_20_24,C06_P_CL_T_25_34,C06_P_CL_T_35_44,C06_P_CL_T_45_54,C06_P_CL_T_55_64,C06_P_CL_T_65_74,C06_P_CL_T_75_84,C06_P_CL_T_85_ov,C06_P_CL_T_Tot,C06_P_LE_ID_15_19,C06_P_LE_ID_20_24,C06_P_LE_ID_25_34,C06_P_LE_ID_35_44,C06_P_LE_ID_45_54,C06_P_LE_ID_55_64,C06_P_LE_ID_65_74,C06_P_LE_ID_75_84,C06_P_LE_ID_85o,C06_P_LE_ID_Tot,C06_P_LE_NS_15_19,C06_P_LE_NS_20_24,C06_P_LE_NS_25_34,C06_P_LE_NS_35_44,C06_P_LE_NS_45_54,C06_P_LE_NS_55_64,C06_P_LE_NS_65_74,C06_P_LE_NS_75_84,C06_P_LE_NS_85_ov,C06_P_LE_NS_T,C06_P_Tot_15_19_yrs,C06_P_Tot_20_24_yrs,C06_P_Tot_25_34_yrs,C06_P_Tot_35_44_yrs,C06_P_Tot_45_54_yrs,C06_P_Tot_55_64_yrs,C06_P_Tot_65_74_yrs,C06_P_Tot_75_84_yrs,C06_P_Tot_85o,C06_P_T_T,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85o,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85ov,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85o,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85o,C11_P_AdD_DL_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85_ov,C11_P_CL_CL_nfd_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85_ov,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85_ov,C11_P_CL_C_I_II_Tot,C11_P_CL_T_15_19,C11_P_CL_T_20_24,C11_P_CL_T_25_34,C11_P_CL_T_35_44,C11_P_CL_T_45_54,C11_P_CL_T_55_64,C11_P_CL_T_65_74,C11_P_CL_T_75_84,C11_P_CL_T_85_ov,C11_P_CL_T_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85o,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85_ov,C11_P_LE_NS_T,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85o,C11_P_T_T
"1RNSW",606,6266,19004,26510,29247,21039,10951,5251,1142,120016,817,2183,5812,7977,8394,6589,3075,1515,321,36683,5779,26419,59208,71418,68376,47414,28209,14558,2615,323996,2696,5230,6347,5739,4744,2517,848,318,59,28498,9292,33832,71367,85134,81514,56520,32132,16391,2995,389177,565,1540,3606,6112,7760,6065,3832,2217,550,32247,18947,11308,21654,27888,29584,29460,31827,33871,12780,217319,29514,63413,159773,191298,198658,144470,91468,63225,18519,960338,10,411,6372,9301,9646,8848,4101,1221,238,40148,8,309,3501,5735,6936,6922,2226,585,95,26317,66,10461,43461,43846,35735,31338,14704,5614,1558,186783,607,6594,20411,30928,32705,28131,15482,6584,1676,143118,834,2245,4452,6601,8174,8011,4499,1880,575,37271,6736,31391,68219,74727,81042,60013,35301,17138,4400,378967,2690,4490,6545,5755,5467,3674,1499,465,113,30698,10260,38126,79216,87083,94683,71698,41299,19483,5088,446936,400,1143,2430,3752,6255,6451,4442,2317,819,28009,16911,11128,19663,23957,28082,29758,31467,30723,15488,207177,28262,68172,175054,204602,214042,183146,113721,66527,24962,1078488
"1GSYD",2212,23450,62372,64798,52620,34171,15721,8523,2396,266263,1131,4192,12058,14871,13659,10195,4300,2375,685,63466,7139,34929,83855,88192,73618,53577,29228,17079,3936,391553,2618,5809,8856,7137,5761,3299,1094,577,109,35260,10888,44930,104769,110200,93038,67071,34622,20031,4730,490279,923,3456,9774,12630,11918,8796,4772,3151,999,56419,34933,34559,69314,65160,58316,49553,40533,42533,20039,414940,49496,155443,448739,420153,344608,230449,121058,85869,30923,1886738,41,3947,60982,53573,39780,25522,9965,2940,659,197409,29,1013,12151,14835,13155,10396,3339,984,209,56111,391,48585,189844,147830,102982,66431,27288,11208,3390,597949,2088,26081,70582,76967,62771,43661,21819,10055,3207,317231,1017,3534,8494,12321,13406,11487,6157,2689,1051,60156,7812,38723,90188,92678,86750,61170,35476,18312,5765,436874,2499,4597,8621,8037,6984,4599,1775,640,215,37967,11328,46854,107303,113036,107140,77256,43408,21641,7031,534997,944,3907,10695,12314,14580,13196,8637,5234,2226,71733,26308,25767,54579,47392,45101,40322,34836,32401,20648,327354,41129,156154,506136,465947,385509,276784,149292,84463,37370,2102784
"19799",0,0,10,9,15,3,0,0,0,37,0,0,0,3,3,0,0,0,0,6,0,4,16,14,11,21,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,4,16,17,14,21,0,0,0,72,0,0,3,4,0,0,3,0,0,10,0,3,12,10,17,21,3,0,0,66,0,13,50,49,49,48,6,0,0,215,0,0,5,6,5,14,3,3,0,36,0,3,3,6,3,6,6,0,0,27,0,9,13,26,22,35,25,8,0,138,0,4,7,20,32,47,44,15,3,172,0,3,3,0,7,3,9,0,0,25,0,12,14,37,65,89,72,33,3,325,0,0,3,3,3,8,4,3,3,27,0,15,20,40,75,100,85,36,6,377,0,0,5,3,5,9,10,10,4,46,7,12,22,39,58,84,89,65,8,384,7,43,75,140,200,295,262,137,21,1180
