"region_id",C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65over_NonInd_M,C11_65over_NonInd_F,C11_65over_NonInd_P,C11_65over_Indig_st_ns_M,C11_65over_Indig_st_ns_F,C11_65over_Indig_st_ns_P,C11_65_over_T_M,C11_65_over_T_F,C11_65_over_T_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
"1RNSW",71495,147171,4036,3368,7404,86426,81301,167727,4606,4483,9089,64444,62599,127043,3730,2838,6568,72780,69920,142700,3577,3712,7289,59294,60277,119571,3145,2427,5572,66016,66416,132432,2951,3160,6111,58680,61958,120638,2955,2382,5337,64586,67500,132086,3146,3644,6790,68083,72226,140309,3298,2821,6119,74527,78691,153218,3175,3740,6915,72640,77753,150393,3603,2980,6583,79418,84473,163891,2890,3344,6234,78387,81562,159949,3649,2999,6648,84926,87905,172831,2612,2870,5482,82066,85255,167321,3988,3223,7211,88666,91348,180014,2022,2153,4175,77728,79146,156874,3699,2957,6656,83449,84256,167705,1550,1567,3117,76751,76737,153488,3549,2957,6506,81850,81261,163111,2261,2688,4949,195986,227112,423098,10361,12375,22736,208608,242175,450783,57693,59371,117064,1127424,1162210,2289634,57316,52156,109472,1242433,1273737,2516170
"1GSYD",124530,255945,7124,6176,13300,141758,133734,275492,2461,2413,4874,141324,141892,283216,10112,8449,18561,153897,152754,306651,1806,2033,3839,153154,160646,313800,12073,9886,21959,167033,172565,339598,1526,1712,3238,153576,159241,312817,10323,8907,19230,165425,169860,335285,1583,1804,3387,153077,160439,313516,8977,7899,16876,163637,170142,333779,1547,1881,3428,144954,154738,299692,8051,7107,15158,154552,163726,318278,1345,1647,2992,141840,147563,289403,7638,6734,14372,150823,155944,306767,1247,1339,2586,131826,138807,270633,7404,6354,13758,140477,146500,286977,941,1056,1997,114085,121292,235377,6255,5592,11847,121281,127940,249221,703,825,1528,104089,107804,211893,5574,4980,10554,110366,113609,223975,1035,1269,2304,236288,290623,526911,14066,17047,31113,251389,308939,560328,27239,27982,55221,2006430,2087263,4093693,120077,109465,229542,2153746,2224710,4378456
"19799",13,24,0,5,5,14,18,32,3,0,3,25,28,53,7,5,12,35,33,68,0,0,0,29,23,52,5,3,8,34,26,60,0,3,3,18,20,38,6,6,12,24,29,53,0,3,3,23,28,51,7,11,18,30,42,72,4,0,4,49,43,92,15,7,22,68,50,118,0,4,4,66,55,121,13,8,21,79,67,146,3,3,6,62,60,122,11,19,30,76,82,158,0,4,4,71,95,166,18,14,32,89,113,202,0,0,0,91,133,224,20,24,44,111,157,268,0,0,0,303,355,658,68,59,127,371,414,785,13,17,30,806,908,1714,181,176,357,1000,1101,2101
