GCCSA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
1GSYD,567652,180681,48635,5885,235205,40359,843216,359043,182182,10386,1827,194393,29610,583044,367823,247085,18686,2128,267905,41164,676892,393891,199183,27343,1822,228349,31249,653487,365495,161035,40758,1570,203357,26123,594979,308673,106871,38657,1187,146717,20225,475612,194352,57235,32253,882,90370,13413,298137,118899,28311,27027,706,56044,10302,185239,56622,8723,8811,373,17908,6541,81070,2732451,1171308,252564,16376,1440239,218985,4391673,590120,205986,57004,5467,268454,41724,900294,366700,212449,15728,1466,229643,32763,629104,381811,309881,29935,2065,341882,50712,774405,375543,249822,30424,2032,282281,38216,696039,368691,182913,42423,1674,227008,31882,627576,314881,127260,53912,1402,182578,26548,524013,236390,75779,38843,1088,115713,20384,372482,121920,36388,31700,767,68854,13282,204052,60769,11951,13515,384,25851,9402,96019,2816814,1412431,313484,16349,1742263,264918,4823993,603197,252406,50213,13452,316065,43945,963205,388778,212121,7599,444,220164,28893,637826,411929,327268,27537,604,355401,43987,811314,378631,328810,33638,559,363006,36113,777748,391036,206308,42899,522,249735,26405,667167,342264,153024,62040,555,215612,21291,579166,266866,96883,58134,543,155560,17042,439467,153341,44939,36032,451,81418,14762,249517,59207,14077,18169,320
1RNSW,449995,14414,4202,670,19287,18819,488110,279835,13098,1277,198,14578,13570,307984,230076,17471,1630,206,19310,12558,261943,282814,17993,1565,198,19750,13464,316023,321888,16015,1611,194,17816,13859,353565,304653,13407,2113,204,15722,12602,332977,219767,10339,2518,176,13029,9750,242554,133013,7080,2734,132,9953,8290,151249,50146,2540,1126,74,3737,4655,58542,2272190,112356,18776,2058,133185,107573,2512950,434225,18453,5334,629,24416,26620,485265,271371,14395,1778,169,16346,19367,307087,242519,23846,2750,251,26842,21025,290384,259856,22722,1964,235,24923,20146,304920,304821,18168,2042,261,20472,23269,348555,322060,14671,2274,245,17194,24703,363962,266656,11895,2286,219,14403,22174,303232,142969,7824,2718,235,10779,14985,168736,57842,3025,1422,125,4569,8982,71398,2302331,134999,22562,2374,159939,181264,2643535,441804,26346,5792,1518,33653,30079,505534,277356,16395,916,77,17391,20147,314893,269219,33372,3026,142,36534,22779,328523,267141,32023,2968,119,35108,21313,323565,303884,21093,2642,90,23825,20385,348104,341476,15989,2800,123,18918,20573,380961,313928,12504,2885,104,15491,18786,348204,177287,7723,2555,107,10382,14066,201734,64233,3362,1678,76
19499,877,105,72,14,192,111,1181,1425,285,59,4,346,306,2077,1639,445,61,5,511,505,2655,1283,229,44,3,283,537,2102,1185,149,37,4,190,519,1894,1206,102,31,0,132,332,1676,753,49,16,6,66,148,971,163,25,14,0,36,35,240,75,9,8,4,24,24,124,8616,1396,349,34,1774,2525,12915,551,68,35,0,111,79,741,1058,360,71,4,429,392,1876,1291,575,85,0,660,748,2703,981,230,30,4,262,657,1898,1028,140,35,0,177,596,1801,1161,99,31,0,131,425,1721,904,49,12,0,61,232,1195,196,17,13,0,25,59,283,43,3,10,0,15,20,74,7209,1529,319,14,1865,3213,12288,665,55,23,9,85,513,1260,768,150,10,3,162,431,1357,1056,357,49,0,404,731,2187,887,189,24,0,215,753,1859,920,104,22,0,129,629,1678,1104,75,20,5,101,440,1648,794,49,16,5,66,195,1055,206,18,4,0,21,53,277,32,0,4,0
19799,7,0,0,0,0,0,4,3,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,0,0,0,0,11,3,4,0,0,4,3,11,21,4,0,0,7,0,25,22,7,0,0,7,0,27,20,4,0,0,4,3,25,0,0,0,0,0,0,0,86,20,0,0,26,6,115,29,0,4,0,4,3,39,24,0,0,0,0,6,27,19,6,0,0,6,6,29,23,3,0,0,3,0,31,35,4,3,0,14,4,53,45,4,15,0,23,10,74,76,14,13,0,26,13,110,23,7,6,0,13,9,43,6,3,0,0,4,0,11,277,56,42,0,95,43,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
