GCCSA_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
1GSYD,82492,1988,1691,3677,6022,8200,14224,3959,17542,21498,4149,3214,7367,61571,67686,129256,33743,24596,58341,1231,970,2203,3492,5199,8693,4969,21895,26870,2885,2417,5298,46318,55079,101404,23974,15097,39071,769,535,1299,2017,3389,5403,6580,27172,33747,2017,2305,4317,35348,48490,83844,14922,7730,22658,349,278,622,1074,2359,3430,9614,40700,50314,1323,2723,4038,27274,53796,81070,881090,883057,1764146,44062,56346,100407,108528,160934,269462,35557,147164,182720,659324,572396,1231723,1728563,1819894,3548459,456,850,1307,53,66,122,63,61,127,58,64,114,147354,139347,286699,147981,140387,288366,6397,14809,21205,278,709,990,201,427,626,110,110,222,165302,152393,317699,172284,168452,340739,43189,66137,109321,1490,2951,4442,1562,2727,4290,150,208,358,141763,121280,263043,188149,193304,381453,100424,116258,216681,3501,5407,8911,4418,6992,11407,147,373,518,85073,70366,155433,193555,199391,392946,113802,116973,230772,4713,6753,11466,7123,10939,18062,216,685,904,51097,43164,94256,176949,178513,355461,111570,112992,224562,5793,8101,13894,10664,16617,27285,400,1244,1642,39083,34110,73193,167513,173061,340581,103675,105820,209496,6406
1RNSW,70227,1714,1148,2860,6005,6020,12026,3987,13845,17841,3027,1747,4774,52620,55104,107723,28220,21467,49686,1050,744,1790,3373,3498,6870,4870,17813,22682,2110,1338,3449,39624,44852,84479,19474,12627,32105,575,346,921,1800,2069,3871,5983,21373,27358,1421,1103,2520,29251,37525,66772,11065,5852,16916,248,169,415,814,1302,2121,7600,29389,36985,839,1268,2107,20559,37979,58542,496139,495933,992078,32421,36643,69068,85694,104448,190143,31474,109925,141401,343001,289162,632163,988729,1036112,2024847,191,161,350,27,42,64,56,29,89,24,29,59,81531,77435,158971,81831,77692,159532,2356,4436,6789,179,443,621,80,122,203,50,68,121,72787,67041,139824,75450,72107,147559,15286,22588,37870,871,1661,2527,513,900,1417,75,111,195,54754,47367,102120,71504,72630,144133,32919,39123,72039,1905,2953,4856,1650,2686,4336,91,223,312,35168,29543,64711,71736,74521,146252,38737,42285,81022,2704,3922,6623,3174,4929,8108,136,393,538,25033,21974,47011,69789,73505,143293,45374,48228,93598,3926,5066,8995,6063,9114,15171,238,753,988,23129,19742,42874,78731,82899,161625,46888,50272,97156,4534
19499,175,20,5,28,67,28,88,19,20,39,25,6,35,231,137,364,42,22,60,7,5,9,23,7,31,21,9,29,10,3,12,96,50,143,15,5,19,0,0,0,11,7,14,10,36,41,11,3,15,45,47,96,16,9,26,3,0,3,3,0,3,21,55,83,4,3,10,51,72,124,1351,1218,2571,606,340,954,951,570,1521,152,227,380,3886,2421,6306,6957,4779,11736,0,0,0,0,0,0,0,0,0,0,0,0,281,227,509,283,231,516,3,24,26,3,0,10,0,4,4,5,0,5,735,584,1321,746,614,1359,76,77,146,33,21,48,9,3,15,7,0,6,801,539,1341,927,634,1561,118,107,225,43,27,64,23,13,39,0,0,0,508,308,814,685,453,1139,102,67,166,65,25,90,36,24,59,3,8,14,417,205,626,622,335,959,87,58,142,95,24,125,88,39,121,3,11,13,378,159,539,644,296,938,66,69,140,80
19799,12,0,0,0,0,0,0,0,5,5,0,0,0,9,14,22,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,3,11,0,0,0,0,0,0,0,7,9,0,0,0,8,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,59,0,0,0,9,7,12,4,19,17,13,0,13,56,54,107,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,3,11,13,0,0,3,0,0,0,0,0,0,0,0,0,5,4,4,5,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,4,10,5,8,17,7,10,13,0,0,0,0,0,0,0,0,0,0,4,4,11,8,19,0,6,3,0,0,0,0,0,0,0,0,0,0,0,5,5,3,7,8,8,18,0,0,0,0,0,0,0,0,0,0,4,3,9,10,24,6,4,6,0
