GCCSA_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
1GSYD,498827,325900,335185,388041,375230,320625,222845,143518,62610,2672775,22336,14461,35808,18440,11448,6501,2797,1246,290,113324,62962,34564,42451,29269,20206,11625,5094,1629,341,208148,6787,3894,4176,5036,4904,5537,3501,2380,1782,38001,66,69,67,55,72,36,9,3,0,371,3745,3094,6605,2501,1430,841,374,175,32,18800,3196,2881,4043,3583,3275,2264,982,366,120,20705,7005,6040,10717,6137,4775,3143,1362,549,149,39877,153980,122888,151908,124495,102599,72001,32335,16118,5559,781877,65091,50930,64063,51171,44625,35310,21978,15154,8925,357248,843216,583044,676892,653487,594979,475612,298137,185239,81070,4391673,22444,23183,34740,31710,29494,25401,11959,5009,2091,186041,84735,54864,53036,74109,85593,83821,75825,44278,24067,580336,2161,1344,1636,1449,1533,1360,836,467,145,10918,10320,7117,8025,8049,8160,8101,5721,2982,1365,59844,819,520,562,372,323,232,177,134,77,3209,245333,154055,156308,166190,165498,136164,102784,60356,26431,1213122,769,450,629,595,571,651,465,262,111,4509,29466,18346,16929,23876,25786,17066,16457,13406,4282,165603,1706,1250,1556,1820,1683,1594,1200,720,276,11812
1RNSW,313846,197868,163098,220053,260611,253434,198706,127480,48555,1783641,1344,645,1775,1122,718,478,216,59,15,6379,2944,1663,2589,1717,991,590,357,92,17,10968,259,130,140,254,254,314,205,96,42,1694,171,107,105,123,115,62,15,0,0,712,600,444,811,381,281,215,89,64,15,2896,975,1021,1316,1628,1605,1181,423,156,37,8338,1746,1572,2229,2138,2002,1459,524,226,58,11942,121819,75033,64776,61004,57784,48751,24126,10667,3738,467695,43381,28560,24319,25934,27334,24824,17463,12372,6063,210262,488110,307984,261943,316023,353565,332977,242554,151249,58542,2512950,2862,2400,3228,3910,3702,3474,1663,357,88,21693,79980,51038,44271,62649,82089,93435,90064,53155,23393,580068,6,5,5,3,9,11,0,3,0,41,6166,3397,3316,3923,4542,5137,4608,2605,1017,34715,820,650,547,385,345,222,158,140,56,3317,126432,77160,64736,71605,86073,82687,67935,39963,14973,631564,260,152,145,162,262,415,389,217,108,2116,3716,2248,2205,3157,3345,2890,2720,1882,589,22746,1762,931,1094,1356,1496,1702,1458,790,292,10874
19499,510,803,1037,887,835,945,616,148,74,5855,11,8,52,14,6,3,3,0,0,94,63,40,85,37,27,4,0,0,0,254,0,5,9,6,6,9,3,0,3,37,0,5,4,0,3,0,0,0,0,9,0,0,8,0,0,0,0,0,0,9,3,16,27,21,13,18,5,0,0,99,3,23,38,23,15,18,5,0,0,118,373,695,719,437,351,261,152,30,7,3027,211,470,657,651,624,409,181,55,35,3289,1181,2077,2655,2102,1894,1676,971,240,124,12915,5,35,55,24,30,30,20,7,0,214,77,100,149,178,197,291,265,61,22,1337,0,0,0,0,0,0,0,0,0,8,7,12,21,8,4,8,13,4,0,84,0,0,0,0,0,0,0,0,0,0,113,205,344,233,248,249,184,52,14,1643,0,0,0,0,0,0,0,0,0,4,0,11,16,16,20,9,3,0,0,80,3,0,5,13,7,3,3,0,0,35
19799,0,0,0,7,6,22,28,23,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,7,0,0,20,0,0,0,0,3,0,3,5,0,13,4,3,0,11,11,25,27,25,0,115,0,0,0,3,0,6,4,5,0,14,9,0,0,8,6,11,17,10,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,10,4,10,10,16,24,37,10,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0
