GCCSA_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
1GSYD,2162218,2229456,4391673,2376771,2447226,4823993,2585238,2645912,5231147,153488,145412,298896,159029,151144,310170,160794,151568,312364,280169,264143,544314,303429,286700,590123,334457,316384,650843,141924,133859,275789,147981,140387,288366,152229,142533,294764,154381,152882,307256,172284,168452,340739,176492,166569,343064,333807,343088,676892,381703,392698,774405,401126,410190,811314,319329,334160,653487,344461,351577,696039,385497,392253,777748,292342,302638,594979,307386,320194,627576,326780,340388,667167,233045,242561,475612,253623,270391,524013,282673,296496,579166,144795,153344,298137,179415,193073,372482,208867,230601,439467,81667,103572,185239,92308,111739,204052,115498,134013,249517,27274,53796,81070,35148,60871,96019,40821,64908,105729,23303,27273,50576,36365,45486,81847,6506,6974,13479,25445,26304,51753,33164,33817,66985,43085,44049,87140,1010,948,1955,966,967,1928,1013,965,1979,499,540,1037,587,632,1225,877,943,1821,26958,27786,54748,34719,35417,70137,44979,45959,90939,1297774,1334812,2632586,1365474,1386695,2752168,1482743,1488045,2970785,732623,770958,1503579,862753,910740,1773493,981239,1039847,2021079,1349231,1383219,2732451,1400437,1416380,2816814,1499054,1496187,2995240,688793,736741,1425533,834127,893445,1727575,945213,1012194,1957409,1777231,1847760,3624996,1886233,1948793,3835029,2085655,2141033,4226691
1RNSW,1239009,1273940,2512950,1301714,1341814,2643535,1392556,1437081,2829637,81545,77731,159279,79634,74979,154618,79655,75571,155229,168733,160096,328823,169458,161192,330645,180036,170267,350305,85917,80959,166874,81831,77692,159532,83664,78934,162601,71873,69241,141112,75450,72107,147559,77907,74384,152295,128998,132944,261943,143234,147151,290384,161894,166628,328523,153091,162934,316023,148518,156406,304920,157579,165984,323565,173638,179934,353565,169892,178660,348555,169368,178733,348104,166114,166863,332977,178424,185533,363962,185056,195902,380961,119659,122889,242554,150286,152945,303232,171497,176704,348204,68876,82377,151249,78419,90316,168736,95647,106086,201734,20559,37979,58542,26566,44830,71398,30234,47884,78115,5511,5829,11339,6195,7535,13727,2229,1742,3971,55084,56919,112000,69158,70318,139471,88863,89886,178748,1411,1373,2779,1503,1379,2883,1626,1500,3127,1114,1068,2178,1441,1393,2832,2000,1990,3995,57602,59357,116962,72105,73084,145189,92491,93386,185873,1037506,1069026,2106538,1055657,1084118,2139775,1134051,1166840,2300890,132552,139154,271708,143256,152550,295808,165367,178586,343955,1115893,1156301,2272190,1131376,1170958,2302331,1205367,1250953,2456315,61338,65728,127069,73165,79366,152530,89750,97775,187528,1118651,1161897,2280549,1150093,1193469,2343567,1236274,1286495,2522771
19499,7588,5327,12915,7353,4938,12288,6375,4997,11371,308,248,552,187,149,339,258,203,460,333,296,625,199,197,401,382,412,798,388,372,760,283,231,516,253,279,532,701,608,1314,746,614,1359,411,418,829,1498,1157,2655,1615,1087,2703,1164,1022,2187,1372,727,2102,1265,627,1898,1108,749,1859,1221,676,1894,1151,647,1801,1010,666,1678,959,715,1676,991,731,1721,949,698,1648,622,346,971,722,477,1195,648,404,1055,144,94,240,162,123,283,166,104,277,51,72,124,33,42,74,19,32,49,0,0,0,0,0,0,0,0,0,480,372,854,501,291,789,670,510,1175,22,9,30,19,10,24,11,7,20,19,6,30,16,4,29,24,11,35,519,392,913,539,298,839,712,527,1236,4868,3416,8282,4306,2725,7029,3314,2601,5912,1729,1387,3116,1666,1345,3008,971,936,1908,4850,3771,8616,4174,3039,7209,3530,2889,6417,891,823,1714,993,825,1817,576,579,1150,4841,3784,8627,4196,3006,7209,3621,2947,6569
19799,58,57,115,174,240,419,0,0,0,0,0,0,11,5,13,0,0,0,3,0,4,11,12,24,0,0,0,0,0,0,3,11,13,0,0,0,3,0,3,5,3,9,0,0,0,0,0,0,12,23,29,0,0,0,8,6,11,13,16,31,0,0,0,10,0,11,25,25,53,0,0,0,9,15,25,25,48,74,0,0,0,13,18,27,46,61,110,0,0,0,11,12,25,19,22,43,0,0,0,0,0,0,4,3,11,0,0,0,72,98,166,149,184,333,0,3,3,3,0,3,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,8,12,0,0,0,29,34,59,96,133,234,0,0,0,25,23,45,57,87,146,0,0,0,39,42,86,120,152,277,0,0,0,12,10,22,38,57,92,0,0,0,49,54,105,136,186,320,0,0,0
