GCCSA_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
1GSYD,14206,25515,1977,1904,43602,3862,6299,10163,53764,81222,6945,141924,59541,34240,2858,3813,100448,7305,5109,12417,112865,30872,10644,154381,102619,21491,2957,3694,130758,6056,1907,7964,138722,16339,12709,167770,114272,15954,3333,3100,136660,4904,1100,6003,142660,12500,10882,166035,116339,14428,3264,3047,137071,4607,930,5533,142605,12085,9574,164260,107982,13950,3018,2990,127941,4356,901,5257,133201,13343,8522,155066,103221,14244,2965,2896,123325,4242,886,5130,128455,14962,7982,151396,92208,13861,2991,2470,111525,3843,875,4712,116242,16918,7784,140942,70453,13434,2984,1840,88711,3335,1053,4382,93090,22258,6510,121854,44144,15560,2370,1239,63311,2347,1261,3610,66917,38272,6004,111195,15038,10192,1159,541,26929,308,442,753,27680,50466,5074,83220,3560,4735,418,249,8962,71,174,245,9207,48056,4315,61571,1336,2785,349,278,4753,31,95,125,4876,93350,10711,108937,844918,200383,30639,28057,1103996,45273,21014,66296,1170292,450626,107649,1728563,12873,29858,1707,1453,45891,3031,8340,11367,57260,83990,6731,147981,58599,44781,2297,3446,109117,7027,7239,14264,123383,38225,10678,172284,109020,28227,2471,3712,143424,6453,3090,9542
1RNSW,14484,17721,1502,1338,35045,3790,3438,7233,42276,39675,3963,85917,35032,11758,1655,1584,50037,4775,1671,6449,56484,11340,4043,71873,40430,6998,1487,1333,50251,3292,704,3998,54250,7398,3494,65138,41955,5971,1556,1266,50748,2533,526,3058,53808,6750,3305,63860,49312,6902,1739,1481,59438,2493,509,3000,62440,7919,3623,73986,51738,7555,1928,1579,62794,2547,567,3113,65905,9253,3946,79111,54148,8469,2068,1538,66225,2451,605,3049,69277,11456,4121,84852,53942,9590,2463,1381,67382,2324,686,3008,70388,14055,4339,88785,43422,10204,2708,1118,57443,1942,706,2643,60090,19695,3978,83760,26671,10920,2011,834,40435,1450,854,2306,42738,35700,3915,82356,8998,6666,878,437,16987,133,228,361,17348,46140,3556,67044,3101,3066,341,260,6767,50,105,155,6918,42398,3296,52620,1848,2149,320,317,4632,23,45,75,4710,76285,8443,89440,425087,107977,20647,14474,568188,27806,10635,38444,606633,328062,54039,988729,11178,18572,1184,1060,31995,3353,4215,7572,39564,37615,4655,81831,32351,14877,1326,1518,50068,5159,2319,7477,57540,12762,5143,75450,41647,9292,1325,1216,53483,3338,950,4294
19499,59,32,9,7,96,39,26,65,163,158,69,388,200,87,8,11,312,61,15,79,385,180,132,701,276,68,26,13,385,79,18,93,479,130,176,783,235,51,12,9,308,64,17,79,385,138,185,715,172,41,11,13,236,66,11,76,318,155,200,661,167,49,15,5,242,66,6,73,317,176,216,708,136,42,16,13,203,48,5,56,262,148,213,622,107,27,12,12,155,47,8,51,211,167,227,602,94,29,9,3,135,25,8,32,166,164,161,489,57,29,6,3,96,15,10,23,117,240,111,466,11,14,0,3,28,3,4,9,35,288,71,392,3,3,0,0,9,0,0,0,8,163,55,231,0,0,0,0,4,0,0,0,6,139,50,196,1522,470,117,94,2204,518,127,641,2852,2237,1869,6957,38,20,0,5,64,27,10,33,102,117,67,283,166,88,14,24,285,74,25,97,384,202,159,746,261,82,10,20,375,71,22,91
19799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,4,0,0,8,4,0,0,0,7,0,0,0,7,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,6,0,11,18,0,8,0,22,0,0,0,22,26,3,56,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,5,3,5,0,0,4,0,4,0,0,0
