GCCSA_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
1GSYD,1071,12381,47500,36570,29980,26201,17698,8097,2876,182381,426,6375,30970,28310,26466,23179,20604,8969,2539,147829,1680,19677,94428,103094,77639,51535,28470,10539,3228,390293,1286,14715,53930,52103,43572,31712,17998,6068,1379,222756,898,8487,26281,19758,12911,7497,3887,1661,587,81966,1722,6360,17458,15899,12793,7705,4590,1895,483,68916,120,314,365,245,270,363,334,265,282,2556,171,1275,4652,5472,4689,3065,2027,865,369,22586,6906,10313,29507,25083,18609,15819,14893,14542,13899,149569,14816,90646,345908,327892,252997,186047,120416,57204,27135,1423057,124,4631,15461,15809,13496,9254,4745,1741,513,65774,683,5603,35603,24042,12706,4607,846,121,18,84225,1269,12854,48649,58711,63358,48020,29947,15640,4957,283399,916,7522,22708,23993,19299,13773,8259,4124,1172,101764,350,1919,6299,5970,4868,2768,1335,622,180,24303,748,9383,36082,36426,34697,24875,12800,6643,2245,163889,206,5173,25409,28215,29408,29098,13490,5816,1680,138490,3988,38573,137138,120505,87764,56447,24290,9968,3862,482529,2122,18212,59721,55312,43102,30839,12702,4781,1315,228101,1034,11702,31148,21028,12818,7114,3150,1515,529,90045
1RNSW,852,6271,24201,21136,20675,23711,17542,7331,2215,123940,352,3379,15438,17327,16680,17078,16260,6468,1655,94645,1330,6894,26475,30212,31090,28191,18538,6816,1802,151347,1208,6975,21433,22531,22713,21100,12385,3493,611,112440,348,1919,6016,5765,4524,3630,2516,1103,319,26149,1424,4707,11798,9900,8595,6058,3951,1497,356,48279,92,177,177,85,111,122,95,86,52,1008,93,355,1170,1456,1650,1363,916,406,138,7549,6355,5735,12900,12725,12772,13693,14676,14276,10154,103296,12607,39309,129838,131062,128243,123294,92191,43572,18006,718120,42,1064,3422,4317,4059,4039,2176,767,213,20099,452,1702,4408,3644,3110,1973,609,122,11,16039,1490,10374,26958,33528,39963,35481,24205,12113,3414,187519,809,4692,11234,13153,14632,12104,7667,3858,906,69044,689,2382,7029,8647,7895,5614,2996,1227,257,36734,684,4688,16161,21087,26281,21001,10627,5018,1530,107087,113,2426,12596,16572,19777,22320,10587,4223,1017,89624,2556,11863,31361,36250,34633,26989,13698,5377,1747,164473,1392,7036,18820,22129,21229,16513,6811,2289,517,96728,438,2479,5879,5487,4707,3712,2019,844,236,25813
19499,4,13,69,59,54,62,34,14,0,298,0,5,35,19,35,31,26,9,0,157,5,27,102,84,86,92,40,13,0,455,0,26,97,52,61,74,38,6,0,352,4,14,64,26,15,16,8,0,0,158,5,21,50,26,26,23,19,0,0,162,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,3,3,0,0,21,94,139,350,305,213,159,77,26,10,1373,115,259,843,611,522,498,255,66,20,3187,0,22,59,33,14,12,7,5,0,144,0,19,67,21,15,14,0,0,0,140,0,63,199,118,143,145,107,15,0,801,5,21,83,76,55,46,44,6,0,334,0,17,32,23,19,13,7,0,0,122,5,29,123,63,85,82,28,5,3,426,5,16,77,34,50,67,21,7,0,274,15,113,277,181,120,110,42,5,0,866,12,73,190,103,83,78,31,3,0,569,0,50,109,54,39,15,12,0,0,281
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
