GCCSA_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
1GSYD,1311,2322,3522,4179,5083,4798,3044,950,269,25483,679,1967,4307,6391,10707,11753,9360,4519,1641,51326,6139,20195,44737,46474,49688,43425,24853,9734,3357,248599,197,858,2893,3206,2965,3237,3310,1977,640,19281,6919,10373,28445,24176,18997,17888,18129,17440,15255,157619,14816,90646,345908,327892,252997,186047,120416,57204,27135,1423057,37,3958,61224,53892,40126,25810,10180,2984,666,198881,32,1011,12191,14857,13141,10407,3404,1002,208,56261,391,48742,190635,148370,103463,66915,27673,11361,3404,600957,2084,26157,70768,77173,62854,43970,22143,10146,3227,318513,7821,38844,90550,92915,87018,61549,36071,18485,5799,439049,2492,4610,8627,8042,7023,4625,1806,645,217,38085,1025,3554,8480,12335,13438,11594,6294,2725,1050,60493,11336,47000,107663,113286,107487,77766,44173,21859,7065,537631,935,3896,10670,12326,14596,13215,8658,5234,2215,71751,26361,25834,54868,47441,45028,40525,35196,32535,20646,328437,41180,156602,508017,467350,386702,278604,151427,85122,37430,2112430,49,5292,89566,82544,52193,34412,17662,5157,1228,288103,99,1428,14094,17392,15019,13320,6652,1742,381,70126,565,64646,234896,180582,121434,84135,44803,16521,5185,752772
1RNSW,1226,2135,3435,3150,3650,4358,3046,881,211,22082,520,1298,2476,3091,5679,8139,7363,3345,1004,32916,5635,18975,42090,39106,42383,42116,24261,7772,2213,224563,119,255,725,808,998,1629,2055,1334,476,8398,6313,5678,12650,12427,13049,15802,18056,17007,11123,112113,12607,39309,129838,131062,128243,123294,92191,43572,18006,718120,9,390,6192,9138,9582,8851,4031,1206,238,39629,3,309,3442,5687,6971,6965,2209,570,91,26241,67,10166,42529,43487,35654,31402,14699,5538,1552,185094,593,6492,20197,30878,32883,28210,15441,6534,1661,142891,6690,31190,67851,74619,81240,60559,35548,17175,4389,379255,2672,4439,6525,5750,5496,3744,1514,467,114,30721,818,2189,4418,6582,8169,8087,4547,1876,575,37264,10179,37819,78785,86962,94905,72389,41605,19523,5080,447242,394,1142,2421,3766,6313,6631,4529,2337,831,28365,16687,11031,19496,23887,28399,30212,31649,30786,15506,207642,27936,67343,173058,203804,214699,184658,114160,66494,24956,1077110,11,438,10079,12697,11873,11328,7116,2035,428,56011,35,457,4608,6395,6995,8898,4447,1061,205,33093,78,11424,50358,50589,39078,37581,23201,8211,2307,222831
19499,11,10,12,11,9,10,12,0,0,72,0,7,10,8,11,36,21,9,0,104,19,69,127,100,109,137,63,15,0,636,0,3,3,0,0,8,5,0,0,25,93,133,352,309,221,156,85,31,11,1390,115,259,843,611,522,498,255,66,20,3187,0,15,160,78,35,40,11,0,0,345,0,0,37,17,32,16,4,0,0,113,5,179,540,230,132,140,48,13,0,1277,5,66,152,129,111,126,50,6,0,644,34,132,342,273,271,213,163,19,3,1451,25,39,33,23,15,9,9,0,0,164,8,22,47,31,34,34,17,0,0,190,62,199,421,328,328,260,183,19,4,1804,4,10,44,30,28,27,12,5,3,170,144,227,584,607,604,406,240,88,59,2966,217,694,1939,1417,1272,1019,564,140,73,7320,0,11,164,86,40,34,21,6,0,369,0,5,31,21,19,26,16,0,0,118,0,196,497,193,147,115,85,13,4,1250
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,4,0,0,4,0,0,4,0,4,8,8,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,9,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,6,9,0,20,0,0,0,6,10,12,16,15,0,63,0,0,4,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,8,7,0,3,33
