GCCSA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
1GSYD,90533,175381,7446,8967,16409,115495,134015,249517,17684,33817,51502,18204,21555,39753,4936,9532,14469,40824,64904,105729,123251,147416,270665,2317174,2359934,4677106,144813,138565,283378,2585238,2645915,5231147
1RNSW,77297,149991,6441,7185,13631,95644,106086,201734,12012,24326,36335,15189,18426,33621,3033,5130,8161,30234,47882,78115,93043,100476,193513,1198518,1246063,2444585,100995,90546,191535,1392556,1437085,2829637
19499,76,192,35,20,53,170,108,277,8,15,15,10,5,14,6,8,14,24,28,49,300,232,537,3791,3220,7010,2285,1546,3831,6376,4998,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
