GCCSA_CODE_2021,Age_55_C21_M,Age_55_C21_F,Age_55_C21_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_56_C21_M,Age_56_C21_F,Age_56_C21_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_57_C21_M,Age_57_C21_F,Age_57_C21_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_58_C21_M,Age_58_C21_F,Age_58_C21_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_59_C21_M,Age_59_C21_F,Age_59_C21_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_55_59_C21_M,Age_55_59_C21_F,Age_55_59_C21_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_60_C21_M,Age_60_C21_F,Age_60_C21_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_61_C21_M,Age_61_C21_F,Age_61_C21_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_62_C21_M,Age_62_C21_F,Age_62_C21_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_63_C21_M,Age_63_C21_F,Age_63_C21_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_64_C21_M,Age_64_C21_F,Age_64_C21_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_60_64_C21_M,Age_60_64_C21_F,Age_60_64_C21_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_65_C21_M,Age_65_C21_F,Age_65_C21_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_66_C21_M,Age_66_C21_F,Age_66_C21_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_67_C21_M,Age_67_C21_F,Age_67_C21_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_68_C21_M,Age_68_C21_F,Age_68_C21_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_69_C21_M,Age_69_C21_F,Age_69_C21_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_65_69_C21_M,Age_65_69_C21_F,Age_65_69_C21_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_70_C21_M,Age_70_C21_F,Age_70_C21_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_71_C21_M,Age_71_C21_F,Age_71_C21_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_72_C21_M,Age_72_C21_F,Age_72_C21_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_73_C21_M,Age_73_C21_F,Age_73_C21_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F,Age_74_C16_P,Age_74_C21_M,Age_74_C21_F
1GSYD,29536,29926,59460,25044,26613,51655,27967,29477,57442,29590,30569,60159,24305,25384,49688,26926,28100,55023,30039,31292,61329,23901,25036,48941,26586,28640,55225,30498,31665,62169,22631,24058,46693,25897,27656,53556,29814,30555,60369,121854,128291,250145,136867,144689,281554,149478,154011,303485,22522,23580,46102,25117,26790,51901,28793,30440,59234,22547,23296,45845,24063,25835,49898,27251,29129,56384,21639,22314,43949,23203,25138,48343,26369,27773,54138,21994,22235,44227,22846,24534,47376,25925,28104,54029,22489,22849,45339,21517,23411,44926,24859,27041,51901,111195,114271,225463,116747,125704,242452,133198,142487,275683,19203,19396,38600,21370,22900,44277,23989,26289,50274,17698,18253,35958,20980,22469,43448,23085,25718,48801,17160,17494,34658,19906,21415,41319,22332,24539,46872,14827,15569,30401,20295,21580,41874,21569,23982,45550,14326,14937,29265,20549,22059,42607,20267,22811,43079,83220,85662,168880,103107,110425,213529,111238,123339,234579,13634,14627,28264,17561,18840,36399,20185,22330,42515,13059,13948,27009,16276,17472,33746,19936,21964,41905,12339,13501,25841,15833,16825,32655,18922,20887,39817,11463,13059,24521,13533,14987,28523,19238,20959,40196,11068,12551,23619,13111,14525,27638,19346,21116
1RNSW,16633,17582,34213,17098,17246,34343,18194,19391,37581,17099,18019,35126,16614,16842,33457,18244,19272,37516,18369,19181,37550,16749,17075,33823,17938,19036,36974,18856,20155,39015,16248,16572,32822,17959,18600,36553,19426,20498,39926,83760,84852,168608,91387,95897,187283,90390,95443,185830,16498,16424,32917,17847,17995,35845,19483,20603,40088,16295,16309,32601,17480,18200,35681,19041,20187,39227,15860,15994,31854,17234,17820,35058,19002,20272,39268,16295,15995,32294,17414,18028,35443,18683,19922,38603,17401,17287,34690,17068,17588,34651,18463,19483,37943,82356,82007,164364,87047,89637,176683,94668,100460,195135,14392,14436,28834,17072,17401,34471,18328,18917,37242,14367,14309,28672,16899,17075,33980,17918,18863,36782,13700,13845,27551,16399,16628,33024,17498,18442,35938,12345,12655,25000,16681,16477,33162,17888,18431,36316,12243,12535,24775,17724,17735,35464,17203,17782,34985,67044,67785,134827,84776,85313,170094,88832,92442,181273,11268,11642,22909,14494,14675,29169,17105,17464,34567,10971,11407,22381,14049,14390,28434,16522,17007,33530,10433,11032,21463,13378,13854,27233,16179,16435,32617,10133,10573,20706,11816,12482,24300,16083,16116,32197,9806,10450,20264,11774,12233,24006,16779,17236
19499,103,62,167,97,77,180,100,59,156,88,65,152,110,78,183,107,60,167,99,65,162,80,73,153,108,75,182,111,70,185,98,51,159,92,65,156,87,96,179,489,357,847,512,343,857,480,359,844,105,78,189,120,101,220,112,78,185,71,75,150,78,77,156,85,61,151,87,65,154,93,75,172,102,78,178,104,75,174,85,73,164,78,50,127,98,63,163,93,64,154,91,74,161,466,355,829,476,393,866,470,339,808,84,43,127,112,80,195,81,48,133,89,46,132,89,65,159,74,71,137,78,45,128,73,58,138,94,36,138,77,39,120,93,54,148,78,41,119,60,34,101,94,56,148,75,36,115,392,211,604,456,327,781,403,236,637,63,35,99,84,44,126,70,46,113,50,32,90,66,31,93,55,30,85,40,20,64,39,35,71,42,39,82,37,23,57,36,25,61,32,25,58,38,15,54,46,15,60,50,26
19799,0,0,0,0,4,3,3,7,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,21,35,0,0,0,0,4,4,8,8,12,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,3,3,5,14,0,0,0,0,3,3,3,9,10,0,0,0,7,12,17,16,28,45,0,0,0,0,4,4,6,0,6,0,0,0,0,0,3,5,7,13,0,0,0,0,0,0,6,10,20,0,0,0,0,0,0,11,10,21,0,0,0,0,3,3,5,10,16,0,0,0,4,10,9,31,41,64,0,0,0,0,0,6,7,6,12,0,0,0,3,3,4,0,7,7,0,0,0,0,3,3,6,0,6,0,0,0,0,0,0,4,5,12,0,0,0,4,0,4,5,8,15,0,0
