GCCSA_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
1GSYD,291,731,1018,66,67,132,67,75,141,85,59,143,141414,132932,274349,141924,133859,275789,6606,15880,22489,286,840,1122,208,446,652,105,122,228,147172,135596,282764,154381,152882,307256,43073,65119,108192,1540,3077,4611,1437,2829,4263,116,219,333,121613,101755,223364,167770,173003,340770,85456,98576,184037,3085,4970,8059,4100,6830,10932,142,378,518,73251,59330,132583,166035,170088,336122,102941,109740,212675,4451,6950,11406,7764,12262,20030,254,782,1036,48857,40604,89462,164260,170338,334607,101737,107172,208911,5502,7937,13437,11229,18017,29246,429,1462,1891,36171,29233,65402,155066,163819,318887,101692,101506,203200,6003,8149,14149,14836,21859,36694,762,2516,3278,28108,22051,50160,151396,156088,307479,95720,94588,190313,6180,7454,13633,16537,23833,40367,1138,4251,5389,21370,16427,37798,140942,146554,287496,85060,82058,167119,5095,5943,11033,15675,22167,37838,1668,6675,8346,14359,11451,25807,121854,128291,250145,79657,71952,151606,4424,4618,9039,14325,19868,34196,2593,10121,12712,10201,7709,17908,111195,114271,225463,60770,51261,112036,3101,2872,5976,9754,13596,23353,3155,13262,16422,6441,4668,11102,83220,85662,168880,45450,37038
1RNSW,182,207,385,52,55,110,83,52,138,40,52,93,85555,80592,166149,85917,80959,166874,2724,5609,8338,219,491,708,118,151,264,54,70,131,68750,62921,131667,71873,69241,141112,15880,22904,38784,805,1625,2428,589,1148,1736,70,123,192,47796,40025,87817,65138,65831,130964,29773,35833,65609,1702,2634,4330,1838,2876,4711,100,224,323,30455,25546,56002,63860,67116,130975,41677,46352,88025,2807,4192,7000,4203,6628,10827,160,452,615,25141,20856,46000,73986,78478,152468,45950,50447,96402,3868,5190,9062,7228,10628,17853,295,957,1246,21761,17228,38992,79111,84453,163555,50240,53155,103394,4322,5517,9840,10373,14187,24563,561,1614,2176,19361,13673,33031,84852,88149,172999,54451,56755,111211,4696,5354,10050,13406,16654,30064,956,2727,3685,15270,10295,25563,88785,91783,180566,53903,54811,108717,4151,4027,8177,13836,15505,29342,1391,4237,5629,10481,6268,16748,83760,84852,168608,56948,54072,111018,3656,3148,6801,12795,14025,26821,2265,6875,9138,6691,3892,10583,82356,82007,164364,47768,43491,91259,2563,1992,4553,9221,9715,18942,3139,10175,13315,4354,2404,6762,67044,67785,134827,37885,32339
19499,0,0,0,0,0,0,0,0,0,0,0,0,388,370,757,388,372,760,11,22,38,9,9,13,3,4,3,0,0,0,682,575,1256,701,608,1314,70,82,151,24,29,52,15,7,23,0,4,4,674,520,1192,783,641,1420,127,132,260,42,49,91,21,16,38,0,0,0,526,318,852,715,520,1235,112,107,220,76,49,121,51,37,86,6,11,11,423,197,616,661,385,1053,140,72,214,77,49,125,97,65,165,4,10,15,389,145,537,708,340,1047,101,85,188,105,51,158,121,78,197,14,9,20,281,94,373,622,319,938,112,103,213,84,40,120,177,108,289,8,12,11,222,96,319,602,355,954,147,168,313,63,31,92,126,98,228,17,19,30,136,43,180,489,357,847,181,193,375,59,24,89,135,71,206,19,34,55,71,36,103,466,355,829,189,138,324,35,11,44,105,37,144,20,15,35,42,11,57,392,211,604,100,71
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,6,5,9,14,0,0,0,0,0,4,0,0,0,0,0,0,7,12,17,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,6,6
