GCCSA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
1GSYD,7669,2639,2093,6031,77803,4326,4435,16813,13083,6479,2594,2553,5926,56208,4814,5138,15383,12678,7346,3472,4173,11907,64908,750095,292194,560215,278830,101240,33208,24794,137365,2177951
1RNSW,7538,2416,1513,5750,62180,3147,2440,10966,10895,6589,2629,1968,5259,43907,3122,3043,10106,10316,7107,3372,3097,7712,47884,305789,125671,324645,211070,87254,27548,18239,91021,1191247
19499,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
