GCCSA_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
1GSYD,13693,158718,150522,309234,3966,3586,7547,134558,126887,261442,6189,5709,11900,144711,136177,280889,3784,3566,7346,137221,130558,267780,6975,6260,13239,147981,140387,288366,3361,3245,6609,158726,155395,314119,10203,9815,20010,172284,168452,340739,2586,2676,5260,173025,178232,351260,12537,12394,24933,188149,193304,381453,2032,2332,4365,179170,185387,364553,12351,11675,24029,193555,199391,392946,1794,1978,3771,164884,167012,331895,10272,9520,19793,176949,178513,355461,1872,2194,4063,156537,162470,319002,9106,8405,17508,167513,173061,340581,1789,2108,3897,146376,155129,301506,8454,7904,16358,156618,165141,321766,1615,1802,3412,141131,145693,286827,8023,7551,15575,150772,155047,305816,1334,1447,2777,128211,136142,264355,7326,7103,14426,136867,144689,281554,957,1131,2086,109474,118183,227657,6319,6393,12712,116747,125704,242452,1614,1899,3511,286796,341033,627831,18469,22748,41217,306877,365680,672561,34719,35417,70137,2211227,2282262,4493492,130822,129541,260360,2376771,2447226,4823993,5000,4754,9754,149453,140735,290192,6339,6082,12417,160794,151568,312364,5067,4587,9658,156588,148550,305136,7359,6924,14283,169015,160061,329072,4965,4780,9748,153694,145295,298993,6776,6255,13029,165443,156334,321768,4717,4284,8994,141352
1RNSW,10120,86368,82336,168703,8405,7987,16392,69681,66163,135840,5003,4711,9719,83082,78860,161944,7611,7362,14972,69231,65574,134808,4992,4755,9751,81831,77692,159532,6267,5967,12235,64139,61516,125656,5046,4627,9670,75450,72107,147559,4904,4890,9792,61607,63124,124733,4988,4621,9608,71504,72630,144133,4033,4149,8183,62923,65783,128702,4781,4586,9370,71736,74521,146252,3447,3656,7101,61856,65557,127410,4489,4294,8786,69789,73505,143293,3598,4174,7779,69890,73741,143633,5237,4984,10221,78731,82899,161625,3604,4197,7802,73151,77769,150916,5657,5409,11065,82406,87380,169779,3334,3823,7157,78022,81697,159718,6137,5759,11892,87492,91281,178772,2946,3307,6250,81936,86453,168389,6498,6138,12640,91387,95897,187283,2319,2424,4738,78546,81342,159887,6181,5871,12055,87047,89637,176683,3741,4288,8028,232417,261640,494062,19111,22162,41271,255269,288094,543366,72105,73084,145189,1141620,1181290,2322913,87995,87441,175438,1301714,1341814,2643535,10508,9858,20373,64899,61608,126502,4252,4106,8356,79655,75571,155229,11137,10236,21375,71576,67616,139194,5507,5238,10743,88216,83093,171313,10928,10475,21410,75174,71305,146483,5717,5391,11112,91820,87172,178998,9359,9071,18423,69100
19499,21,117,122,242,14,7,20,57,65,120,10,9,24,82,80,157,25,27,55,215,170,378,44,36,80,283,231,516,66,43,105,589,471,1059,95,101,197,746,614,1359,64,23,88,641,492,1135,216,119,342,927,634,1561,51,18,70,544,354,896,95,79,177,685,453,1139,66,33,95,475,246,728,80,58,142,622,335,959,52,22,78,466,230,693,125,42,169,644,296,938,58,34,92,439,237,673,74,45,120,568,310,878,38,14,55,437,273,707,106,56,157,584,335,920,19,14,33,404,281,688,88,41,129,512,343,857,15,17,35,391,317,709,64,48,117,476,393,866,23,12,35,760,533,1295,133,97,226,915,641,1553,539,298,839,5658,3871,9526,1155,763,1921,7353,4938,12288,66,50,119,131,97,230,59,60,118,258,203,460,41,44,82,96,98,195,70,86,155,199,227,428,32,25,57,86,91,178,63,70,136,185,185,369,50,49,94,152
19799,0,5,3,11,0,4,4,6,9,11,0,0,0,5,11,12,0,0,0,3,6,13,0,0,0,3,11,13,0,0,0,5,3,9,0,0,0,5,3,9,0,0,0,5,9,8,0,0,0,5,8,17,0,0,0,8,7,18,0,5,3,11,8,19,0,0,0,5,3,8,0,0,0,5,3,7,0,0,0,11,13,20,0,0,3,9,10,24,0,4,4,9,7,15,0,0,0,9,10,16,0,0,0,14,16,32,0,0,5,14,25,36,0,0,0,7,26,28,3,0,0,7,21,35,0,0,5,10,19,33,0,6,8,16,28,45,0,0,0,60,86,144,8,11,17,71,95,162,7,8,12,149,205,359,22,28,44,174,240,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
