GCCSA_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1GSYD,4671,3121,7792,6070,3852,9922,6369,4227,10595,3528,825,4350,3806,959,4774,3849,1011,4862,121653,53618,175273,88553,42281,130831,87497,43834,131332,14385,4144,18529,13672,4086,17757,14875,5206,20080,125218,20316,145533,160417,25920,186331,164734,33552,198286,67072,41455,108521,49920,31554,81477,47578,31271,78845,91006,111735,202737,96448,115447,211889,100002,113850,213851,64608,63258,127864,76421,75406,151828,67200,66138,133334,83390,25972,109356,86978,27618,114597,92254,30741,122993,36367,25431,61796,38140,25282,63422,35120,23506,58627,69103,66122,135224,76684,68119,144809,89381,80006,169389,18803,17423,36222,23036,21154,44182,24315,22635,46948,110606,87422,198021,125062,98646,223711,146473,118733,265208,35540,36578,72120,39759,41638,81397,39128,38554,77677,65992,49597,115588,68338,56096,124434,71364,61474,132839,48362,108270,156630,54600,128169,182767,58508,148081,206584,52041,172786,224832,62172,201186,263356,79018,246426,325449,17887,15236,33121,20423,17533,37956,18862,17518,36377,42151,33212,75357,43214,37684,80899,42250,35331,77583,31621,22763,54379,71216,45173,116382,70496,49341,119837,1103996,959275,2063271,1204925,1067782,2272715,1259257,1171441,2430704
1RNSW,44568,17069,61635,44853,17703,62558,44924,19083,64009,24029,2743,26769,24021,2905,26924,26658,3847,30503,70364,18969,89332,50369,15949,66323,51777,18416,70189,12534,3111,15645,11646,2444,14090,12477,3018,15491,74480,9704,84183,84948,10822,95768,102138,14855,116993,21385,8838,30223,15829,6341,22173,17598,6970,24564,48377,73352,121730,46208,68049,114265,47913,69534,117441,31806,50330,82143,35315,51683,86996,40321,53564,93891,36307,9172,45477,34687,9301,43991,36297,10189,46482,5728,4866,10590,5740,4174,9915,5319,4084,9405,7950,15147,23097,8092,14255,22350,9147,15062,24211,6996,8295,15287,6941,8479,15417,6971,8691,15667,24936,24049,48984,24802,25337,50137,30263,30942,61204,14305,15793,30099,15780,20151,35930,18376,21826,40195,44711,32061,76773,44774,34751,79528,49017,40903,89922,27492,64624,92122,27397,72213,99607,29979,85535,115512,26999,112155,139153,31918,126629,158552,42696,160744,203439,6998,6104,13102,7336,6373,13706,7685,7642,15329,24602,17530,42133,24451,19015,43469,25720,22004,47724,13628,9281,22906,26899,15568,42466,29921,18860,48782,568188,503189,1071376,572028,532139,1104163,635185,615759,1250938
19499,100,45,146,79,67,143,76,57,130,58,10,63,33,7,38,35,0,41,202,60,264,132,42,174,90,44,135,29,0,24,25,4,29,10,9,23,318,21,335,357,31,383,210,30,246,98,48,141,46,20,64,48,13,57,122,137,257,121,107,226,80,113,196,178,195,376,188,197,390,100,137,235,145,33,176,156,19,169,110,27,134,59,45,105,31,30,62,26,14,40,55,46,105,45,47,92,42,34,78,27,18,45,28,22,51,6,14,20,153,130,285,134,88,223,97,87,187,81,52,136,85,70,155,56,56,113,176,85,269,134,77,212,86,63,150,80,122,204,59,120,182,45,94,137,89,247,333,78,188,268,87,199,287,64,46,107,59,50,111,38,39,76,77,42,121,67,43,104,34,42,68,103,61,164,177,74,244,112,54,166,2204,1441,3653,2043,1290,3327,1388,1128,2511
19799,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,4,5,8,0,0,0,16,0,16,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,7,6,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,6,7,12,0,0,0,22,13,28,61,74,130,0,0,0
