GCCSA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
1GSYD,139,7495,21564,19620,17033,14199,9725,4529,1112,95417,480,11818,38637,53318,24961,12079,4127,704,53,146184,1084,12387,64764,64217,58347,60101,42446,23421,7392,334155,1514,11155,32639,28480,25326,18424,11430,6014,1860,136838,267,1865,6535,6344,5802,4815,2654,1180,332,29799,1300,15880,64446,49540,40598,35032,23819,11382,4049,246062,464,7331,38341,34773,32878,30122,27704,12134,3408,187160,2609,35235,167315,181113,134656,91096,53623,20621,5638,691910,1853,21513,81860,76693,65998,49198,30853,11535,2689,342203,1522,13706,42816,32813,20822,12425,6764,2749,867,134485,2340,9642,28438,26966,20316,12457,7227,3218,754,111361,265,678,816,510,470,611,563,420,395,4711,376,2343,8630,10079,8846,6343,4133,1930,743,43425,14845,22968,62938,53760,40178,33539,28952,26065,21089,304325,29067,174010,659742,638236,496236,380433,254013,125906,50387,2808034
1RNSW,35,1395,5121,5232,5309,4986,4749,2018,411,29254,194,1497,5503,5841,3983,3391,2115,481,43,23054,1329,8637,33836,32386,35219,41231,36049,18598,4986,212268,1051,5932,16351,14954,14675,15136,11675,5564,1578,86925,640,2492,7602,8395,9092,8161,5444,2400,539,44755,1026,7489,30415,27278,26559,29613,21968,9148,2708,156206,392,3950,19358,21922,21720,23071,24022,9420,2371,126221,1839,9896,38847,45108,46045,42125,29997,11710,2824,228399,1528,9143,29322,30972,31721,29020,19419,6213,1240,158578,594,3325,9477,8936,6969,5620,4190,1749,457,41299,1899,6638,17474,15567,13498,9768,6516,2707,618,74686,166,316,343,189,179,193,194,127,80,1806,217,808,2569,3152,3610,3214,2417,1085,353,17425,13465,13278,29960,28792,28724,29549,29836,25877,15848,215324,24381,74791,246180,248741,247304,245062,198584,97093,34057,1416203
19499,0,3,46,24,17,17,6,5,0,120,0,13,37,27,13,17,11,0,0,119,0,22,130,93,81,129,107,25,3,602,0,16,75,36,38,49,32,4,0,256,4,8,27,17,24,24,13,9,0,126,4,13,97,71,83,66,43,12,0,395,0,7,39,27,40,48,41,10,0,217,5,40,170,141,131,132,74,23,0,714,3,29,144,95,92,114,66,4,0,551,9,32,88,49,26,26,17,3,0,245,7,28,82,49,48,38,25,0,0,265,0,0,3,0,0,0,0,0,0,8,0,3,17,19,11,19,13,0,0,80,184,279,780,809,676,484,226,71,21,3539,221,494,1736,1449,1281,1165,680,173,28,7237
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
