GCCSA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
1GSYD,45232,138655,98398,822708,25306,1130307,49,568,260,6543,320,7739,330438,5306,7666,7999,6655,358066,25369,3065,1531,4870,666,35497,22967,7229,4192,9476,636,44498,281348,111603,77271,636221,25666,1132109,74578,1420,4948,636,2009,83593,14279,2146,1581,6836,442,25287,39645,10102,6790,51271,1839,109644,69273,10731,4911,25490,2447,112851,12693,2163,1008,2116,263,18247,121090,2219,1680,1109,2351,128445,64620,27666,18409,248133,6632,365460,95807,23285,9455,51685,3717,183946,47419,234,731,325,1032,49736,100104,16180,6362,14251,4572,141464,18717,1785,846,2265,605,24222,28645,6873,3582,13933,1024,54052,18325,2437,1530,971,813,24071,21681,6412,4768,2038,650,35544,23854,3200,2106,4989,551,34699,17337,1447,1188,2480,360,22820,16454,1513,554,227,831,19580,61346,26272,18516,166297,4562,276990,19044,1441,709,1308,503,23000,21246,2162,1474,557,348,25783,24964,1706,1408,2604,740,31421,15701,690,478,332,323,17524,74686,685,1114,508,2417,79413,8828,2563,1586,7791,306,21075,485712,37262,26295,32529,13852,595649,45126,4920,3847,32194,220351,306441,2014006,289889,194396,1580457,312922,4391673,60419,150269
1RNSW,8032,74204,54192,920632,25926,1082983,17,356,194,14646,599,15813,12983,914,985,4707,426,20011,4666,906,314,1270,163,7321,14987,5092,3254,8959,481,32776,121283,69868,50483,749608,24726,1015959,7413,309,1999,274,284,10273,3151,920,577,5909,193,10740,19843,7041,4657,71917,1890,105351,6204,1799,637,5029,301,13967,3099,783,269,1064,91,5307,8265,545,448,668,197,10123,21272,14581,9517,243255,5898,294525,22332,7673,2659,27998,1268,61933,1497,52,106,130,42,1823,2345,779,317,1699,154,5285,9590,1138,434,1587,327,13070,4695,1589,802,3491,213,10784,4370,1429,878,1102,263,8034,6980,3497,2664,1574,347,15064,7056,1552,943,3613,230,13399,2300,487,366,1248,76,4479,1332,377,136,97,112,2055,30926,18408,13348,183563,4309,250559,3263,371,154,413,94,4300,3847,647,469,308,62,5330,4079,643,428,2376,172,7697,1155,172,119,124,27,1601,2032,121,123,42,61,2379,5061,1962,1195,7937,224,16387,57539,12457,8417,20933,2353,101701,6673,2629,1943,47420,110777,169454,346368,143262,99675,1756244,167405,2512950,10224,79932
19499,81,371,238,3022,118,3831,0,5,3,116,9,137,347,10,8,19,10,389,29,3,0,0,0,40,101,19,16,19,0,165,889,301,232,2155,107,3685,58,0,9,0,0,72,45,8,3,20,9,87,126,35,24,237,5,425,48,12,4,17,3,88,18,11,5,3,3,38,104,0,3,4,4,117,255,82,53,800,26,1216,107,33,20,96,16,268,52,0,0,0,0,51,71,24,7,13,5,121,12,0,4,0,0,15,31,12,8,16,0,66,68,7,3,4,5,91,82,17,17,8,3,121,40,14,5,10,0,62,31,6,3,6,0,45,47,0,4,0,3,55,228,69,72,559,21,953,15,0,0,0,0,18,38,0,3,0,0,44,44,6,5,14,3,68,11,0,0,0,0,16,93,0,0,0,3,101,40,6,8,37,4,86,770,98,72,126,36,1100,81,7,9,148,2555,2791,3365,688,512,5471,2882,12915,69,302
19799,3,0,3,27,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,3,22,5,3,13,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,4,4,11,54,4,7,41,3,115,8,19
